#K OBJECT   '100563'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 100563
#K OBJRA    11:34:21.95
#K OBJDEC   +03:03:36.6
#K OBJBMAG  6.230000E+00
#K OBJVMAG  5.700000E+00
#K SPTYPE   F5V
#K OBJRV    3
#K HDNAME   HD 100563
#K BDNAME   BD+03 2521
#K HIPNAME  HIP 56445
#K SAONAME  SAO 118929
#K VHELIO   2.56680055939284E+01
#K VLSR     2.39841314560117E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.678788E+03
#K CMAX1    6.005665E+03
#K PICKTYPE F5V
#K NCOMBINE 2
#K TEFF     6423  2000A&AS..141..491C (Chen)
#K LOGG     4.310000E+00  2000A&AS..141..491C (Chen)
#K FEH      -2.000000E-02  2000A&AS..141..491C (Chen)
#K COVERAGE 3465.0-6005.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.7618752
           3465.4        0.728591
           3465.8        0.678408
           3466.2       0.6717868
           3466.6       0.6957946
            3467.       0.7189987
           3467.4       0.7420202
           3467.8       0.7630993
           3468.2       0.7609844
           3468.6       0.7426544
            3469.       0.7350338
           3469.4       0.7201861
           3469.8       0.7366092
           3470.2       0.7763162
           3470.6       0.8133228
            3471.       0.8060363
           3471.4       0.7746183
           3471.8       0.7405194
           3472.2       0.7171968
           3472.6       0.7098881
            3473.       0.7125008
           3473.4       0.7118779
           3473.8       0.6843442
           3474.2       0.6577072
           3474.6        0.652464
            3475.       0.6274948
           3475.4       0.6048803
           3475.8       0.5843459
           3476.2       0.5802693
           3476.6        0.590656
            3477.       0.5907294
           3477.4       0.6105793
           3477.8       0.6640942
           3478.2       0.7134136
           3478.6       0.7376632
            3479.       0.7426044
           3479.4       0.7425715
           3479.8       0.7278012
           3480.2       0.7383856
           3480.6       0.7330381
            3481.       0.7320086
           3481.4        0.723894
           3481.8       0.7366297
           3482.2       0.7269589
           3482.6       0.6977683
            3483.       0.6652789
           3483.4       0.6356238
           3483.8       0.6319483
           3484.2       0.6424955
           3484.6       0.6700737
            3485.       0.6748346
           3485.4       0.6760237
           3485.8       0.7048525
           3486.2       0.7341728
           3486.6        0.780103
            3487.       0.8116899
           3487.4       0.8207803
           3487.8       0.8101473
           3488.2       0.7679864
           3488.6        0.707841
            3489.       0.6634601
           3489.4       0.6478272
           3489.8       0.6457446
           3490.2       0.6415942
           3490.6       0.6380585
            3491.       0.6306701
           3491.4       0.6870151
           3491.8       0.7403372
           3492.2       0.7396225
           3492.6       0.7095284
            3493.       0.6671572
           3493.4       0.6564311
           3493.8       0.6910636
           3494.2        0.722463
           3494.6       0.7293819
            3495.       0.7041986
           3495.4       0.6467379
           3495.8       0.5990877
           3496.2       0.5678787
           3496.6       0.5729606
            3497.       0.5752306
           3497.4       0.5793923
           3497.8       0.5913022
           3498.2       0.6427619
           3498.6       0.7267868
            3499.       0.7983934
           3499.4       0.8434584
           3499.8       0.8459208
           3500.2       0.8050876
           3500.6        0.784287
            3501.       0.7864669
           3501.4       0.7915404
           3501.8       0.8092912
           3502.2       0.7920005
           3502.6       0.7861937
            3503.       0.8217538
           3503.4       0.8527148
           3503.8       0.8680626
           3504.2       0.8523107
           3504.6       0.8014559
            3505.       0.7511175
           3505.4       0.7210733
           3505.8       0.7265391
           3506.2       0.7225739
           3506.6       0.7271195
            3507.       0.7389621
           3507.4       0.7585365
           3507.8       0.7765538
           3508.2       0.7844202
           3508.6       0.7983128
            3509.       0.8112952
           3509.4       0.7959387
           3509.8       0.7578408
           3510.2          0.7136
           3510.6       0.6810011
            3511.       0.7020763
           3511.4       0.7511703
           3511.8       0.7569535
           3512.2        0.737044
           3512.6       0.7232862
            3513.       0.7208585
           3513.4       0.6916906
           3513.8        0.673991
           3514.2       0.6799243
           3514.6        0.687674
            3515.       0.7050366
           3515.4       0.7370845
           3515.8       0.7733604
           3516.2       0.7973328
           3516.6       0.7989624
            3517.       0.8165672
           3517.4       0.8287173
           3517.8       0.8492163
           3518.2       0.8357546
           3518.6       0.8175998
            3519.       0.8107961
           3519.4       0.8051796
           3519.8       0.7735496
           3520.2       0.7368336
           3520.6       0.7348438
            3521.       0.7270269
           3521.4       0.6999673
           3521.8       0.7124082
           3522.2       0.7324746
           3522.6       0.7617342
            3523.       0.7524287
           3523.4        0.721448
           3523.8       0.6787929
           3524.2       0.6447383
           3524.6       0.6268618
            3525.        0.657075
           3525.4       0.7000657
           3525.8       0.6690158
           3526.2       0.5791609
           3526.6       0.5307173
            3527.       0.5824862
           3527.4       0.6714602
           3527.8       0.7253423
           3528.2       0.7681654
           3528.6       0.8070744
            3529.       0.8207936
           3529.4       0.8147619
           3529.8       0.7863532
           3530.2       0.7738661
           3530.6       0.7808966
            3531.       0.7798277
           3531.4       0.7741918
           3531.8       0.7540225
           3532.2       0.7211545
           3532.6       0.7005832
            3533.       0.6889154
           3533.4       0.6992404
           3533.8       0.7673606
           3534.2       0.8255304
           3534.6       0.8376017
            3535.       0.8269854
           3535.4        0.797125
           3535.8       0.7733706
           3536.2       0.7735513
           3536.6       0.7820722
            3537.       0.7895757
           3537.4       0.7816568
           3537.8       0.7682372
           3538.2       0.7628651
           3538.6       0.7981445
            3539.       0.8643397
           3539.4        0.894644
           3539.8       0.9129718
           3540.2       0.8788323
           3540.6       0.8253316
            3541.       0.7864306
           3541.4       0.7658768
           3541.8       0.7670185
