#K OBJECT   '101501'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 101501
#K OBJRA    11:41:03.02
#K OBJDEC   +34:12:05.9
#K OBJBMAG  6.050000E+00
#K OBJVMAG  5.320000E+00
#K SPTYPE   G8V
#K OBJRV    -5.400000E+00
#K HDNAME   HD 101501
#K BDNAME   BD+35 2270
#K HIPNAME  HIP 56997
#K SAONAME  SAO 62655
#K VHELIO   6.83470830677612E+00
#K VLSR     1.10355901600225E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680352E+03
#K CMAX1    6.010618E+03
#K PICKTYPE G8V
#K NCOMBINE 5
#K TEFF     5538  1984Ap&SS.105...55C (Cornide)
#K LOGG     4.690000E+00  1984Ap&SS.105...55C (Cornide)
#K FEH      3.000000E-02  1984Ap&SS.105...55C (Cornide)
#K COVERAGE 3465.0-9469.0
#K GAPS     6799.4-6828.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.4164118
           3465.4       0.3610407
           3465.8       0.3046536
           3466.2       0.2903823
           3466.6       0.3224056
            3467.        0.368852
           3467.4       0.4133558
           3467.8       0.4417426
           3468.2       0.4569741
           3468.6       0.4453354
            3469.       0.4328276
           3469.4       0.4328774
           3469.8       0.4498119
           3470.2       0.4777195
           3470.6       0.4914362
            3471.       0.4759558
           3471.4       0.4405351
           3471.8       0.4007741
           3472.2       0.3694798
           3472.6       0.3518837
            3473.       0.3479069
           3473.4       0.3502108
           3473.8       0.3377389
           3474.2       0.3140675
           3474.6       0.2917131
            3475.       0.2637404
           3475.4       0.2360404
           3475.8       0.2235819
           3476.2        0.226505
           3476.6       0.2369456
            3477.       0.2610004
           3477.4       0.3082935
           3477.8       0.3593011
           3478.2       0.3992291
           3478.6       0.4122455
            3479.       0.4265069
           3479.4       0.4354831
           3479.8       0.4334533
           3480.2       0.4272625
           3480.6       0.4217821
            3481.       0.4215331
           3481.4       0.4209004
           3481.8       0.4187499
           3482.2       0.4122164
           3482.6        0.385911
            3483.       0.3581326
           3483.4       0.3393411
