#K OBJECT   '105944'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 105944
#K OBJRA    12:11:29.35
#K OBJDEC   +44:15:02.6
#K OBJBMAG  1.071000E+01
#K OBJVMAG  9.930000E+00
#K SPTYPE   G7III
#K HDNAME   HD 105944
#K BDNAME   BD+45 2002
#K SAONAME  SAO 44070
#K VHELIO   -2.23713000027071E+01
#K VLSR     -1.49759833465408E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459021E+03
#K CMAX1    4.784093E+03
#K PICKTYPE G8III
#K NCOMBINE 4
#K TEFF     5090  2001A&A...380..578T (Tautvaisiene)
#K LOGG     2.100000E+00  2001A&A...380..578T (Tautvaisiene)
#K FEH      -3.700000E-01  2001A&A...380..578T (Tautvaisiene)
#K COVERAGE 3465.0-8107.4
#K OBSTITLE Up45-68

#      wavelength        spectrum
#       angstroms                

            3465.       0.2657434
           3465.4       0.2457352
           3465.8       0.1932811
           3466.2       0.1990519
           3466.6       0.2134075
            3467.       0.2007661
           3467.4       0.2380573
           3467.8       0.2925887
           3468.2       0.2767835
           3468.6       0.2270297
            3469.       0.2005383
           3469.4       0.1881736
           3469.8       0.2429108
           3470.2       0.3015445
           3470.6       0.3077458
            3471.       0.2327997
           3471.4       0.2396705
           3471.8       0.2316292
           3472.2       0.2270218
           3472.6       0.2262554
            3473.       0.1947484
           3473.4       0.2257195
           3473.8       0.2212788
           3474.2       0.1955355
           3474.6       0.1887333
            3475.       0.1621671
           3475.4       0.1374228
           3475.8        0.125178
           3476.2       0.1505402
           3476.6       0.1236816
            3477.       0.1131992
           3477.4       0.1591945
           3477.8       0.2108819
           3478.2        0.228855
           3478.6       0.2199192
            3479.       0.2158527
           3479.4       0.1938453
           3479.8        0.194469
           3480.2       0.2057205
           3480.6       0.2386463
            3481.       0.2206174
           3481.4       0.1891088
           3481.8       0.1999861
           3482.2       0.2051838
           3482.6       0.2023124
            3483.        0.190209
           3483.4       0.1755047
           3483.8       0.1855935
           3484.2       0.1871467
           3484.6       0.1813702
            3485.       0.1979323
           3485.4       0.1903756
           3485.8       0.1972373
           3486.2         0.22196
           3486.6       0.2578717
            3487.       0.2874322
           3487.4       0.2534575
           3487.8       0.2376769
           3488.2       0.2321692
           3488.6       0.2107861
            3489.       0.1952038
           3489.4       0.1760366
