#K OBJECT   '108985'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 108985
#K OBJRA    12:31:21.42
#K OBJDEC   +07:36:15.5
#K OBJBMAG  7.608000E+00
#K OBJVMAG  6.066000E+00
#K SPTYPE   K5
#K OBJRV    -1.720000E+01
#K HDNAME   HD 108985
#K BDNAME   BD+08 2609
#K HIPNAME  HIP 61103
#K SAONAME  SAO 119453
#K VHELIO   -2.54398820128094E+01
#K VLSR     -2.20604640638676E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446033E+03
#K CMAX1    4.771536E+03
#K PICKTYPE K5III
#K NCOMBINE 6
#K TEFF     4000  Jones..Coude.Feed.Library
#K LOGG     1.600000E+00  Jones..Coude.Feed.Library
#K FEH      1.500000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.4-5460.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.0443754
           3465.4      0.03475357
           3465.8      0.02885638
           3466.2      0.02873151
           3466.6      0.03227135
            3467.      0.03831198
           3467.4      0.04530419
           3467.8      0.05143291
           3468.2      0.05600449
           3468.6      0.05690179
            3469.      0.05386927
           3469.4      0.05265432
           3469.8      0.05584641
           3470.2      0.06510215
           3470.6      0.06776433
            3471.      0.06419019
           3471.4      0.05659846
           3471.8      0.05049432
           3472.2      0.04332578
           3472.6      0.03801447
            3473.      0.03736522
           3473.4      0.03493647
           3473.8      0.03117341
           3474.2      0.02878285
           3474.6      0.02548033
            3475.      0.02281077
           3475.4      0.02085579
           3475.8      0.02100989
           3476.2      0.02204274
           3476.6      0.02445082
            3477.      0.02911225
           3477.4      0.03669378
           3477.8      0.04627849
           3478.2      0.05104471
           3478.6      0.05053439
            3479.      0.05250842
           3479.4      0.05535686
           3479.8      0.05346493
           3480.2      0.04964354
           3480.6      0.05372575
            3481.      0.05555665
           3481.4      0.05956724
           3481.8      0.06176569
           3482.2      0.06280661
           3482.6      0.05633852
            3483.      0.04605025
           3483.4      0.04086934
           3483.8      0.04241634
           3484.2      0.04768518
           3484.6      0.05077513
            3485.      0.05021678
           3485.4      0.04866736
           3485.8      0.05343774
           3486.2      0.06260749
           3486.6      0.07013557
            3487.      0.07423487
           3487.4      0.07568429
           3487.8      0.07268257
           3488.2       0.0661622
           3488.6      0.05822965
            3489.      0.05042298
           3489.4      0.04265054
           3489.8      0.03380493
           3490.2      0.02587413
           3490.6      0.02143552
            3491.      0.02361096
           3491.4      0.02948677
           3491.8      0.03409374
           3492.2      0.03478982
           3492.6      0.03108639
            3493.      0.02704794
           3493.4      0.03063549
           3493.8      0.03905863
           3494.2      0.04755337
           3494.6      0.05395193
            3495.      0.05510153
           3495.4      0.05024735
           3495.8      0.03982966
