#K OBJECT   '113848'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 113848
#K OBJRA    13:06:21.24
#K OBJDEC   +21:09:12.2
#K OBJBMAG  6.374000E+00
#K OBJVMAG  6.018000E+00
#K SPTYPE   F4V
#K OBJRV    6.000000E-01
#K HDNAME   HD 113848
#K BDNAME   BD+21 2487
#K HIPNAME  HIP 63948
#K SAONAME  SAO 82650
#K VHELIO   1.73266490439772E+01
#K VLSR     2.52865930917184E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680063E+03
#K CMAX1    6.010345E+03
#K PICKTYPE F5V
#K NCOMBINE 7
#K TEFF     6670  1994AJ....108..271G (Glaspey)
#K LOGG     4.000000E+00  1994AJ....108..271G (Glaspey)
#K FEH      -3.100000E-01  1994AJ....108..271G (Glaspey)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.7339279
           3465.4       0.7022075
           3465.8       0.6828306
           3466.2       0.6901302
           3466.6       0.7078223
            3467.       0.7376882
           3467.4       0.7551659
           3467.8       0.7531688
           3468.2       0.7419667
           3468.6       0.7390146
            3469.       0.7297484
           3469.4       0.7379047
           3469.8       0.7635821
           3470.2       0.7883767
           3470.6        0.787163
            3471.       0.7700188
           3471.4       0.7504728
           3471.8       0.7358038
           3472.2       0.7348623
           3472.6       0.7323776
            3473.       0.7185208
           3473.4       0.6976164
           3473.8       0.6800396
           3474.2       0.6558189
           3474.6        0.641138
            3475.       0.6310146
           3475.4       0.6126383
           3475.8       0.6048813
           3476.2       0.6031153
           3476.6       0.6001671
            3477.       0.6049232
           3477.4       0.6396538
           3477.8       0.6924002
           3478.2       0.7140843
           3478.6       0.7372611
            3479.       0.7419442
           3479.4       0.7330534
           3479.8       0.7271593
           3480.2       0.7380376
           3480.6       0.7397957
            3481.       0.7419202
           3481.4       0.7390952
           3481.8       0.7383786
           3482.2       0.7224484
           3482.6       0.6929037
            3483.       0.6750747
           3483.4       0.6566298
           3483.8       0.6790912
           3484.2       0.6964058
           3484.6       0.7063912
            3485.       0.7108478
           3485.4       0.7253533
           3485.8       0.7459198
           3486.2       0.7655542
           3486.6        0.790952
            3487.        0.800566
           3487.4       0.7980127
           3487.8       0.7753739
           3488.2       0.7310358
           3488.6        0.707101
            3489.       0.6781867
           3489.4       0.6574485
           3489.8       0.6522213
           3490.2       0.6565226
           3490.6       0.6544892
            3491.       0.6694239
