#K OBJECT   '114961'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 114961
#K OBJRA    13:14:04.38
#K OBJDEC   -02:48:25.1
#K OBJBMAG  8.330000E+00
#K OBJVMAG  7.050000E+00
#K SPTYPE   M7III
#K OBJRV    -15
#K HDNAME   HD 114961
#K BDNAME   BD-02 3653
#K HIPNAME  HIP 64569
#K SAONAME  SAO 139236
#K VHELIO   -2.15826266274827E+01
#K VLSR     -1.68552686969312E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446050E+03
#K CMAX1    4.771561E+03
#K PICKTYPE M7III
#K NCOMBINE 7
#K TEFF     3014  Jones..Coude.Feed.Library
#K LOGG     0.000000E+00  Jones..Coude.Feed.Library
#K FEH      -8.100000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.4-5460.2

#      wavelength        spectrum
#       angstroms                

            3465.      0.05882804
           3465.4      0.05842102
           3465.8      0.05164848
           3466.2      0.04416348
           3466.6      0.04414818
            3467.      0.05460132
           3467.4      0.06056646
           3467.8      0.06375445
           3468.2      0.07130737
           3468.6      0.06532888
            3469.      0.06785402
           3469.4      0.06822023
           3469.8      0.06275588
           3470.2      0.06803037
           3470.6       0.0701822
            3471.      0.07188554
           3471.4      0.07320718
           3471.8      0.06488047
           3472.2      0.05750939
           3472.6      0.05234244
            3473.        0.052244
           3473.4      0.05321454
           3473.8      0.04267837
           3474.2      0.04683438
           3474.6      0.03956586
            3475.      0.03822325
           3475.4      0.04020735
           3475.8       0.0318694
           3476.2      0.03718378
           3476.6      0.03793975
            3477.      0.04320403
           3477.4      0.06090477
           3477.8      0.06812896
           3478.2      0.06885098
           3478.6      0.07393514
            3479.      0.07427955
           3479.4      0.07609164
           3479.8      0.07389998
           3480.2      0.07845623
           3480.6      0.07590382
            3481.      0.07330053
           3481.4      0.07369641
           3481.8      0.07860367
           3482.2      0.08142657
           3482.6      0.07193469
            3483.      0.05664809
           3483.4      0.04678135
           3483.8      0.04854048
           3484.2      0.06040584
           3484.6      0.07121443
            3485.      0.07870159
           3485.4      0.07321923
           3485.8      0.06146174
           3486.2       0.0680248
           3486.6       0.0788005
            3487.      0.08682577
           3487.4      0.08215004
           3487.8      0.08141948
           3488.2      0.08416181
           3488.6      0.07979483
            3489.      0.07522932
           3489.4      0.06700777
           3489.8      0.05339772
           3490.2      0.04689923
           3490.6       0.0378486
            3491.      0.03532178
           3491.4      0.04704434
           3491.8      0.04554331
           3492.2      0.05020922
           3492.6      0.04773311
            3493.      0.04311568
           3493.4      0.04523098
           3493.8      0.05421856
           3494.2      0.06565259
           3494.6       0.0690436
            3495.      0.07038769
           3495.4      0.07239276
           3495.8      0.05806359
           3496.2      0.04979607
           3496.6      0.05920276
            3497.      0.04890554
           3497.4      0.04635346
           3497.8       0.0451468
           3498.2      0.04425101
           3498.6      0.05659559
            3499.      0.06535623
           3499.4       0.0740809
           3499.8      0.08016678
           3500.2      0.06847582
           3500.6      0.06655681
            3501.      0.06255433
           3501.4      0.06008577
           3501.8      0.06591967
           3502.2      0.06449457
           3502.6      0.06200592
            3503.      0.06923296
           3503.4      0.08205145
           3503.8      0.09281789
           3504.2      0.09432683
           3504.6      0.08846848
            3505.       0.0834468
           3505.4      0.08116733
           3505.8      0.07486169
           3506.2      0.06466771
           3506.6      0.06535941
            3507.      0.05993753
           3507.4      0.06007059
           3507.8      0.06549107
           3508.2      0.06523756
           3508.6      0.07167245
            3509.      0.07796975
           3509.4      0.07429456
           3509.8      0.05875598
           3510.2      0.04732079
           3510.6      0.04957931
            3511.      0.05269487
           3511.4      0.05975062
           3511.8      0.06202041
           3512.2      0.05608905
           3512.6      0.05654439
            3513.      0.05316755
           3513.4      0.04562658
           3513.8      0.04040438
           3514.2      0.04362641
           3514.6      0.04230363
            3515.      0.04163945
           3515.4      0.04831532
           3515.8       0.0570538
           3516.2       0.0680555
           3516.6       0.0727812
            3517.      0.07134037
           3517.4       0.0696623
