#K OBJECT   '115202'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 115202
#K OBJRA    13:15:58.77
#K OBJDEC   -19:56:35.2
#K OBJBMAG  6.250000E+00
#K OBJVMAG  5.220000E+00
#K SPTYPE   K1III
#K OBJRV    3.420000E+01
#K HDNAME   HD 115202
#K BDNAME   BD-19 3653
#K HIPNAME  HIP 64725
#K SAONAME  SAO 157823
#K VHELIO   -2.09641168058060E+01
#K VLSR     -1.93367963520705E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.783211E+03
#K CMAX1    8.118932E+03
#K PICKTYPE K1III
#K NCOMBINE 6
#K TEFF     4750  Jones..Coude.Feed.Library
#K LOGG     2.800000E+00  Jones..Coude.Feed.Library
#K FEH      8.000000E-02  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.        0.158744
           3465.4       0.1316546
           3465.8       0.1064996
           3466.2       0.1059578
           3466.6       0.1220689
            3467.       0.1404201
           3467.4       0.1623393
           3467.8       0.1768755
           3468.2       0.1816427
           3468.6       0.1820747
            3469.       0.1754967
           3469.4       0.1759741
           3469.8       0.1958704
           3470.2        0.212846
           3470.6       0.2154294
            3471.       0.2037573
           3471.4       0.1831561
           3471.8       0.1604499
           3472.2       0.1416685
           3472.6       0.1330139
            3473.       0.1364116
           3473.4       0.1336982
           3473.8       0.1234785
           3474.2       0.1165551
           3474.6        0.103412
            3475.      0.08795436
           3475.4      0.08038037
           3475.8      0.07349926
           3476.2      0.07332906
           3476.6      0.08221962
            3477.      0.09833457
           3477.4        0.127307
           3477.8       0.1470072
           3478.2       0.1590528
           3478.6       0.1679437
            3479.       0.1703321
           3479.4        0.167913
           3479.8       0.1594422
           3480.2       0.1537377
           3480.6       0.1583713
            3481.       0.1600823
           3481.4       0.1618123
           3481.8       0.1659791
           3482.2       0.1663675
           3482.6       0.1531924
            3483.       0.1314409
           3483.4       0.1216831
           3483.8       0.1290685
           3484.2       0.1395911
           3484.6       0.1397015
            3485.       0.1300244
           3485.4       0.1290303
           3485.8       0.1450035
           3486.2       0.1607341
           3486.6       0.1840892
            3487.       0.2082674
           3487.4       0.2133428
           3487.8       0.1973824
           3488.2       0.1766136
           3488.6       0.1520688
            3489.       0.1308365
           3489.4        0.113772
           3489.8      0.09840572
           3490.2      0.08750069
           3490.6      0.08175364
            3491.      0.09113407
           3491.4       0.1119726
           3491.8       0.1255822
           3492.2       0.1175914
           3492.6       0.1012064
            3493.      0.09708197
           3493.4       0.1114042
           3493.8       0.1388661
           3494.2       0.1645205
           3494.6       0.1772951
            3495.       0.1749518
           3495.4        0.158852
           3495.8        0.135904
           3496.2       0.1185838
           3496.6       0.1105057
            3497.       0.1012889
           3497.4      0.09883991
           3497.8       0.1067937
           3498.2       0.1293273
           3498.6       0.1604989
            3499.       0.1985213
           3499.4       0.2252562
           3499.8       0.2238413
           3500.2       0.2072428
           3500.6        0.199516
            3501.       0.2018481
           3501.4       0.2020801
           3501.8        0.196701
           3502.2        0.184012
           3502.6       0.1914811
            3503.       0.2218715
           3503.4       0.2519009
           3503.8       0.2652072
           3504.2       0.2513035
           3504.6       0.2172808
            3505.       0.1919615
           3505.4       0.1840224
           3505.8       0.1794192
           3506.2       0.1728909
           3506.6       0.1697802
            3507.       0.1788416
           3507.4       0.2002723
           3507.8       0.2176653
           3508.2       0.2196461
           3508.6       0.2141492
            3509.       0.1989149
           3509.4       0.1759576
           3509.8       0.1482203
           3510.2       0.1295147
           3510.6       0.1350813
            3511.       0.1606899
           3511.4       0.1778763
           3511.8       0.1716053
           3512.2       0.1598512
           3512.6       0.1459077
            3513.       0.1321372
           3513.4       0.1170771
           3513.8       0.1057569
           3514.2       0.1024404
           3514.6      0.09527515
            3515.      0.09756858
           3515.4        0.119748
           3515.8       0.1514534
           3516.2       0.1775728
           3516.6       0.1971435
            3517.       0.2151812
           3517.4       0.2321186
           3517.8       0.2473721
           3518.2       0.2396138
           3518.6       0.2259429
            3519.       0.2205043
           3519.4       0.2105081
           3519.8       0.1909319
           3520.2       0.1717729
           3520.6       0.1568948
            3521.       0.1406061
           3521.4       0.1246692
           3521.8       0.1248954
           3522.2        0.139111
           3522.6       0.1426327
            3523.       0.1323912
           3523.4       0.1148919
           3523.8      0.09497945
           3524.2      0.07846946
           3524.6      0.07163992
            3525.      0.07989275
           3525.4      0.08968979
           3525.8       0.0857515
           3526.2      0.08023148
           3526.6      0.09342454
            3527.       0.1197079
           3527.4       0.1456721
           3527.8       0.1684025
           3528.2       0.1878445
           3528.6       0.2049305
            3529.       0.1953496
           3529.4       0.1880039
           3529.8        0.183463
           3530.2       0.1798829
           3530.6       0.1862114
            3531.       0.1921836
           3531.4       0.1802402
           3531.8       0.1564615
           3532.2       0.1431695
           3532.6       0.1418224
            3533.       0.1439931
           3533.4       0.1588504
           3533.8       0.1853842
           3534.2        0.212646
           3534.6       0.2190156
            3535.       0.2138489
           3535.4       0.2036582
