#K OBJECT   '121146'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 121146
#K OBJRA    13:50:59.12
#K OBJDEC   +68:18:55.1
#K OBJBMAG  7.588000E+00
#K OBJVMAG  6.402000E+00
#K SPTYPE   K2IV
#K OBJRV    -4.540000E+01
#K HDNAME   HD 121146
#K BDNAME   BD+69 724
#K HIPNAME  HIP 67589
#K SAONAME  SAO 16197
#K VHELIO   6.25738983090127E+00
#K VLSR     1.84346857075315E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679279E+03
#K CMAX1    6.006284E+03
#K PICKTYPE K3IV
#K NCOMBINE 6
#K TEFF     4400  1995AJ....110.2968L (Luck)
#K LOGG     1.850000E+00  1995AJ....110.2968L (Luck)
#K FEH      -1.300000E-01  1995AJ....110.2968L (Luck)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.1096275
           3465.4      0.09261929
           3465.8      0.07045507
           3466.2      0.06496086
           3466.6      0.07785645
            3467.      0.09146986
           3467.4       0.1026479
           3467.8       0.1119278
           3468.2        0.115704
           3468.6       0.1218316
            3469.       0.1214074
           3469.4       0.1163274
           3469.8       0.1281761
           3470.2       0.1413663
           3470.6       0.1498087
            3471.        0.147857
           3471.4       0.1319923
           3471.8       0.1130534
           3472.2      0.09953354
           3472.6      0.08878259
            3473.       0.0824343
           3473.4       0.0820761
           3473.8      0.08094886
           3474.2      0.07591025
           3474.6      0.06286448
            3475.      0.05367808
           3475.4      0.05242735
           3475.8      0.04704831
           3476.2      0.04623711
           3476.6      0.05190146
            3477.      0.06328045
           3477.4      0.08215653
           3477.8       0.1007685
           3478.2        0.111394
           3478.6       0.1155282
            3479.       0.1161383
           3479.4       0.1149869
           3479.8       0.1124007
           3480.2       0.1117492
           3480.6       0.1080442
            3481.       0.1151429
           3481.4       0.1171504
           3481.8       0.1147178
           3482.2       0.1179116
