#K OBJECT   '124244'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 124244
#K OBJRA    14:12:17.11
#K OBJDEC   +08:24:25.1
#K OBJBMAG  9.080000E+00
#K OBJVMAG  8.480000E+00
#K SPTYPE   G5
#K HDNAME   HD 124244
#K BDNAME   BD+09 2858
#K HIPNAME  HIP 69390
#K SAONAME  SAO 120340
#K VHELIO   2.83136601738831E+01
#K VLSR     3.88820571263174E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.444121E+03
#K CMAX1    4.769519E+03
#K PICKTYPE G5V
#K NCOMBINE 4
#K TEFF     5853  2000A&AS..141..491C (Chen)
#K LOGG     4.110000E+00  2000A&AS..141..491C (Chen)
#K FEH      5.000000E-02  2000A&AS..141..491C (Chen)
#K COVERAGE 3465.0-8645.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.4376986
           3465.4       0.3930224
           3465.8       0.3526379
           3466.2       0.3728747
           3466.6       0.4000564
            3467.       0.4203593
           3467.4       0.4557459
           3467.8       0.4861218
           3468.2       0.4787391
           3468.6       0.4534742
            3469.       0.4347015
           3469.4       0.4379123
           3469.8       0.4787788
           3470.2       0.5184842
           3470.6       0.5105062
            3471.       0.4842388
           3471.4       0.4463083
           3471.8       0.4102162
           3472.2       0.4014079
           3472.6        0.390485
            3473.       0.3957952
           3473.4       0.3929834
           3473.8       0.3687802
           3474.2       0.3663645
           3474.6       0.3631052
            3475.       0.3298778
           3475.4       0.3088399
           3475.8       0.3133197
           3476.2       0.3115887
           3476.6       0.2987737
            3477.       0.3254362
           3477.4       0.3915456
           3477.8       0.4192223
           3478.2       0.4293683
           3478.6       0.4530566
            3479.        0.457015
           3479.4       0.4495051
           3479.8       0.4264917
           3480.2       0.4136851
           3480.6       0.4262812
            3481.       0.4311976
           3481.4       0.4366846
           3481.8       0.4200335
           3482.2       0.4189583
           3482.6       0.3993587
            3483.       0.3629704
           3483.4       0.3517438
           3483.8       0.3562828
           3484.2       0.3621221
           3484.6       0.3802728
            3485.       0.3861974
           3485.4        0.383114
           3485.8       0.4050243
           3486.2       0.4451587
           3486.6       0.4819264
            3487.       0.4978795
           3487.4       0.4904765
           3487.8       0.4650783
           3488.2       0.4325641
           3488.6       0.3920739
            3489.       0.3572232
           3489.4       0.3381122
           3489.8       0.3389984
           3490.2       0.3308859
           3490.6       0.3118616
            3491.       0.3434536
           3491.4       0.3994226
           3491.8       0.4035445
           3492.2       0.3905357
           3492.6       0.3484949
            3493.        0.333251
           3493.4       0.3736163
           3493.8       0.4202399
           3494.2       0.4467781
           3494.6       0.4423676
            3495.       0.4140115
           3495.4       0.3748805
           3495.8        0.341963
           3496.2       0.3303509
           3496.6       0.3243783
            3497.       0.3135813
           3497.4       0.3153502
           3497.8       0.3301522
           3498.2        0.392004
           3498.6        0.458303
            3499.       0.5229363
           3499.4       0.5501142
           3499.8       0.5307362
           3500.2       0.4999492
           3500.6       0.4859329
            3501.       0.5063342
           3501.4       0.5186783
           3501.8       0.4899963
           3502.2       0.4833509
           3502.6       0.5166473
            3503.       0.5459626
           3503.4       0.5911586
           3503.8       0.5784913
           3504.2       0.5344782
           3504.6       0.4580181
            3505.       0.4534326
           3505.4       0.4438382
           3505.8       0.4381822
           3506.2       0.4405661
           3506.6       0.4446244
            3507.        0.472759
           3507.4       0.4937657
           3507.8       0.5070615
           3508.2       0.5274894
           3508.6       0.5267484
            3509.       0.5185028
           3509.4       0.4676606
           3509.8       0.4129694
           3510.2       0.3977344
