#K OBJECT   '124850'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 124850
#K OBJRA    14:16:00.87
#K OBJDEC   -06:00:02.0
#K OBJBMAG  4.600000E+00
#K OBJVMAG  4.100000E+00
#K SPTYPE   F7IV
#K OBJRV    1.150000E+01
#K HDNAME   HD 124850
#K BDNAME   BD-05 3843
#K HIPNAME  HIP 69701
#K SAONAME  SAO 139824
#K VHELIO   -1.74738202341787E+01
#K VLSR     -9.12568843423602E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784544E+03
#K CMAX1    8.120332E+03
#K PICKTYPE F8IV
#K NCOMBINE 6
#K TEFF     6177  1993A&A...275..101E (Edvardsson)
#K LOGG     3.940000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -1.100000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.5932798
           3465.4       0.5658694
           3465.8       0.5329255
           3466.2       0.5336705
           3466.6       0.5567133
            3467.       0.5855283
           3467.4        0.597559
           3467.8       0.6060212
           3468.2       0.6078977
           3468.6        0.590833
            3469.       0.5773504
           3469.4       0.5841484
           3469.8       0.6061466
           3470.2       0.6339832
           3470.6        0.644469
            3471.       0.6263444
           3471.4       0.6010808
           3471.8       0.5787579
           3472.2       0.5753576
           3472.6       0.5654024
            3473.       0.5666325
           3473.4       0.5587683
           3473.8       0.5357536
           3474.2       0.5083459
           3474.6       0.4878032
            3475.       0.4714938
           3475.4       0.4556574
           3475.8       0.4524384
           3476.2       0.4571134
           3476.6       0.4512046
            3477.        0.459519
           3477.4       0.4972702
           3477.8       0.5351577
           3478.2       0.5597236
           3478.6       0.5590206
            3479.       0.5542452
           3479.4       0.5570718
           3479.8       0.5596384
           3480.2       0.5648889
           3480.6        0.568224
            3481.       0.5659816
           3481.4       0.5652829
           3481.8       0.5687369
           3482.2       0.5651104
           3482.6       0.5292907
            3483.       0.5088727
           3483.4        0.490171
           3483.8        0.499161
           3484.2       0.5203674
           3484.6       0.5428916
            3485.       0.5391425
           3485.4       0.5438809
           3485.8       0.5629422
           3486.2       0.5946782
           3486.6        0.636317
            3487.       0.6480798
           3487.4       0.6446823
           3487.8       0.6224703
           3488.2       0.5847438
           3488.6       0.5482396
            3489.        0.513631
           3489.4       0.5075306
           3489.8        0.506179
           3490.2       0.4981234
           3490.6       0.4958489
            3491.       0.5116314
           3491.4       0.5487062
           3491.8       0.5747189
           3492.2       0.5633212
           3492.6       0.5388783
            3493.       0.5171804
           3493.4       0.5149552
           3493.8         0.54154
           3494.2       0.5669901
           3494.6       0.5614467
            3495.       0.5141169
           3495.4        0.467159
           3495.8       0.4336009
           3496.2       0.4201948
           3496.6       0.4324648
            3497.       0.4408298
           3497.4       0.4465009
           3497.8        0.485642
           3498.2       0.5419035
           3498.6       0.5990677
            3499.        0.640074
           3499.4       0.6344764
           3499.8         0.63126
           3500.2       0.6153874
           3500.6       0.6005833
            3501.       0.6050147
           3501.4       0.6143671
           3501.8       0.6116576
           3502.2       0.6100385
           3502.6       0.6170037
            3503.       0.6368805
           3503.4        0.671584
           3503.8       0.6694719
           3504.2       0.6374695
           3504.6       0.5878216
            3505.       0.5524547
           3505.4       0.5372582
           3505.8       0.5367694
           3506.2       0.5457264
           3506.6       0.5601583
            3507.       0.5771455
           3507.4         0.59723
           3507.8         0.60793
           3508.2       0.6098563
           3508.6       0.6244419
            3509.       0.6330414
           3509.4        0.613557
           3509.8       0.5731605
           3510.2       0.5506841
           3510.6       0.5445399
            3511.       0.5686781
           3511.4       0.5895047
           3511.8       0.5927746
           3512.2       0.5756225
           3512.6       0.5607355
            3513.        0.553507
           3513.4       0.5341082
           3513.8       0.5242266
           3514.2       0.5367063
           3514.6       0.5521266
            3515.       0.5780599
           3515.4       0.6070591
           3515.8       0.6311615
           3516.2       0.6369303
           3516.6       0.6374978
            3517.       0.6478391
           3517.4       0.6589001
           3517.8       0.6566432
           3518.2       0.6536875
           3518.6        0.652947
            3519.        0.637318
           3519.4       0.6194462
           3519.8       0.6071052
           3520.2       0.5834912
           3520.6       0.5666824
            3521.       0.5628615
           3521.4       0.5568286
           3521.8       0.5700318
           3522.2       0.5975793
           3522.6       0.5990835
            3523.       0.5855916
           3523.4        0.565816
           3523.8       0.5302138
           3524.2       0.5016271
           3524.6       0.5079219
            3525.       0.5443407
           3525.4       0.5538234
           3525.8        0.499986
           3526.2       0.4366801
           3526.6       0.4463353
            3527.       0.4980355
           3527.4         0.55604
           3527.8       0.6049313
           3528.2       0.6408772
           3528.6       0.6622574
            3529.       0.6644872
           3529.4        0.646697
           3529.8       0.6287836
           3530.2       0.6285203
           3530.6       0.6259693
            3531.       0.6257315
           3531.4       0.6140806
           3531.8       0.5945137
           3532.2       0.5689152
           3532.6       0.5628769
            3533.       0.5700187
           3533.4       0.6080116
           3533.8       0.6506482
           3534.2         0.67097
           3534.6       0.6780682
            3535.        0.658614
           3535.4       0.6271329
           3535.8       0.6215414
           3536.2         0.62502
           3536.6       0.6382173
            3537.       0.6436248
           3537.4       0.6332549
           3537.8        0.622961
           3538.2       0.6331854
           3538.6        0.673783
            3539.        0.719781
           3539.4       0.7426549
           3539.8       0.7322459
           3540.2       0.6995503
           3540.6       0.6660686
            3541.       0.6419325
           3541.4       0.6398396
           3541.8       0.6375711
           3542.2       0.6402983
           3542.6       0.6653847
            3543.       0.6856948
           3543.4        0.698736
           3543.8       0.7070337
           3544.2       0.7144637
           3544.6         0.70134
            3545.       0.6694826
           3545.4       0.6554801
           3545.8       0.6669223
           3546.2       0.6964428
           3546.6       0.7226085
            3547.       0.7023915
           3547.4       0.6809617
           3547.8       0.6415553
           3548.2       0.6359254
           3548.6       0.6676657
            3549.       0.6837774
           3549.4       0.6947676
           3549.8       0.7092018
           3550.2       0.7107456
           3550.6       0.7102156
            3551.        0.702773
           3551.4       0.6811371
           3551.8       0.6769213
           3552.2       0.6671935
           3552.6       0.6633332
            3553.       0.6494672
           3553.4       0.6440647
           3553.8       0.6255243
           3554.2       0.6113247
           3554.6       0.6178704
            3555.       0.6377127
           3555.4       0.6765302
           3555.8       0.7033412
           3556.2       0.6842191
           3556.6       0.6574541
            3557.       0.6609001
           3557.4       0.6943954
           3557.8       0.7034534
           3558.2       0.6816391
           3558.6       0.6518111
            3559.       0.6601322
           3559.4       0.6796662
           3559.8       0.6858706
           3560.2       0.6734185
           3560.6       0.6538556
            3561.       0.6325678
           3561.4       0.6217039
           3561.8       0.6510908
           3562.2       0.7155759
           3562.6        0.773946
            3563.       0.7832752
           3563.4       0.7838871
           3563.8       0.7477207
           3564.2       0.6990359
           3564.6       0.6359336
            3565.       0.5571496
           3565.4       0.4979669
           3565.8       0.4760445
           3566.2       0.4978161
           3566.6       0.5493764
            3567.       0.5940614
           3567.4       0.6290434
           3567.8       0.6545103
           3568.2       0.6488349
           3568.6       0.6189428
            3569.        0.567973
           3569.4       0.5005828
           3569.8       0.4577561
           3570.2        0.480001
           3570.6       0.5480518
            3571.       0.6057984
           3571.4       0.6122249
           3571.8        0.578174
           3572.2       0.5593024
           3572.6       0.5798072
            3573.       0.5954018
           3573.4       0.5858947
           3573.8        0.586127
           3574.2       0.5866151
           3574.6       0.6004906
            3575.       0.5992428
           3575.4       0.5975757
           3575.8       0.6072224
           3576.2       0.6136859
           3576.6       0.6186146
            3577.       0.6405051
           3577.4        0.663406
           3577.8       0.6490127
           3578.2       0.6136327
           3578.6       0.6080467
            3579.       0.6395825
           3579.4       0.6784861
           3579.8       0.6793583
           3580.2        0.658452
           3580.6        0.563057
            3581.       0.4517243
           3581.4       0.4232337
           3581.8       0.4620412
           3582.2        0.532656
           3582.6       0.6033068
            3583.       0.6326109
           3583.4       0.6439341
           3583.8        0.640886
           3584.2       0.5810827
           3584.6       0.4938316
            3585.       0.4435055
           3585.4       0.4181333
           3585.8       0.4404428
           3586.2       0.4769839
           3586.6       0.4826843
            3587.       0.4666254
           3587.4       0.4734647
           3587.8       0.5047522
           3588.2       0.5307603
           3588.6       0.5432611
            3589.       0.5354056
           3589.4       0.5311243
           3589.8       0.5445853
           3590.2       0.5833367
           3590.6       0.6339976
            3591.       0.6782354
           3591.4       0.6955079
           3591.8         0.69381
           3592.2       0.6820559
           3592.6       0.6578422
            3593.       0.6277308
           3593.4       0.6213435
           3593.8       0.6462112
           3594.2       0.6688409
           3594.6       0.6803765
            3595.       0.6704808
           3595.4       0.6717087
           3595.8       0.6712886
           3596.2        0.694495
           3596.6       0.7053175
            3597.       0.7183269
           3597.4       0.7231119
           3597.8       0.7185557
           3598.2        0.715718
           3598.6       0.7079642
            3599.       0.6987615
           3599.4       0.6952103
           3599.8        0.708634
           3600.2       0.7273985
           3600.6       0.7407475
            3601.       0.7258264
           3601.4       0.6869545
           3601.8       0.6428747
           3602.2       0.5960403
           3602.6       0.5745638
            3603.       0.5864581
           3603.4       0.5927697
           3603.8        0.595896
           3604.2       0.6130351
           3604.6       0.6085095
            3605.       0.5830266
           3605.4       0.5697098
           3605.8        0.584843
           3606.2       0.6097425
           3606.6        0.632589
            3607.       0.6603103
           3607.4       0.6770167
           3607.8       0.6505215
