#K OBJECT   '128987'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 128987
#K OBJRA    14:40:31.11
#K OBJDEC   -16:12:33.4
#K OBJBMAG  7.920000E+00
#K OBJVMAG  7.240000E+00
#K SPTYPE   G6V
#K HDNAME   HD 128987
#K BDNAME   BD-15 3924
#K HIPNAME  HIP 71743
#K SAONAME  SAO 158720
#K VHELIO   2.99228955295026E+01
#K VLSR     3.76348167692113E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435703E+03
#K CMAX1    4.764250E+03
#K PICKTYPE G5V
#K NCOMBINE 4
#K TEFF     5588  1998A&AS..129..237F (Feltzing)
#K LOGG     5.000000E+00  1998A&AS..129..237F (Feltzing)
#K FEH      5.000000E-02  1998A&AS..129..237F (Feltzing)
#K COVERAGE 3465.0-8128.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.4290686
           3465.4       0.3680684
           3465.8       0.3284143
           3466.2       0.3314796
           3466.6       0.3737722
            3467.       0.4273691
           3467.4       0.4644039
           3467.8       0.4900144
           3468.2        0.498632
           3468.6       0.4834768
            3469.       0.4648884
           3469.4       0.4760103
           3469.8       0.5143532
           3470.2        0.550018
           3470.6       0.5409795
            3471.       0.5130459
           3471.4        0.474355
           3471.8       0.4211102
           3472.2        0.389314
           3472.6       0.3877128
            3473.       0.3958163
           3473.4       0.3867646
           3473.8       0.3610217
           3474.2       0.3331837
           3474.6        0.311782
            3475.       0.2800891
           3475.4       0.2534149
           3475.8       0.2497299
           3476.2       0.2528023
           3476.6       0.2657202
            3477.       0.3054791
           3477.4       0.3609105
           3477.8       0.4130955
           3478.2       0.4533773
           3478.6       0.4770255
            3479.       0.4829317
           3479.4       0.4777674
           3479.8       0.4718718
           3480.2       0.4638298
           3480.6       0.4576642
            3481.        0.458788
           3481.4       0.4559537
           3481.8       0.4534994
           3482.2       0.4414383
           3482.6       0.4131937
            3483.       0.3858152
           3483.4          0.3639
           3483.8       0.3722896
           3484.2       0.3851225
           3484.6       0.3969705
            3485.       0.3918563
           3485.4       0.3875638
           3485.8       0.4223748
           3486.2       0.4711238
           3486.6        0.514789
            3487.       0.5459135
           3487.4       0.5462078
           3487.8       0.5194125
           3488.2        0.474089
           3488.6       0.4128074
            3489.       0.3652134
           3489.4       0.3282464
           3489.8       0.2948386
           3490.2         0.26789
           3490.6       0.2671658
            3491.       0.3045765
           3491.4       0.3629825
           3491.8       0.3839129
           3492.2         0.36129
           3492.6       0.3289675
            3493.       0.3180436
           3493.4       0.3512062
           3493.8       0.4150105
           3494.2       0.4726523
           3494.6       0.4773773
            3495.       0.4457005
           3495.4       0.4085509
           3495.8       0.3757164
           3496.2       0.3525745
           3496.6       0.3220345
            3497.       0.2981133
           3497.4       0.2938128
           3497.8       0.3169208
           3498.2       0.3851892
           3498.6       0.4661165
            3499.       0.5263227
           3499.4       0.5852717
           3499.8        0.583428
           3500.2       0.5450816
           3500.6       0.5191291
            3501.       0.5271108
           3501.4       0.5434789
           3501.8       0.5356305
           3502.2       0.5192028
           3502.6       0.5357026
            3503.       0.5917586
           3503.4       0.6406041
           3503.8        0.642391
           3504.2       0.6013544
           3504.6       0.5387149
            3505.       0.4945069
           3505.4       0.4763271
           3505.8       0.4730417
           3506.2       0.4620889
           3506.6       0.4666413
            3507.        0.499373
           3507.4       0.5355443
           3507.8       0.5550465
           3508.2        0.565932
           3508.6       0.5661284
            3509.       0.5328259
           3509.4       0.4726411
           3509.8        0.421351
           3510.2         0.38919
           3510.6       0.3887323
            3511.       0.4542558
           3511.4         0.48835
           3511.8        0.483311
           3512.2       0.4445886
           3512.6       0.4134859
            3513.       0.3826683
           3513.4       0.3473997
           3513.8       0.3256225
           3514.2       0.3152106
           3514.6        0.315987
            3515.       0.3334159
           3515.4       0.3825032
           3515.8       0.4461586
           3516.2       0.5021961
           3516.6       0.5255151
            3517.       0.5632295
           3517.4       0.6014083
           3517.8       0.6156536
           3518.2       0.5944291
           3518.6        0.567473
            3519.       0.5511501
           3519.4       0.5260333
           3519.8       0.4936536
           3520.2       0.4598587
           3520.6        0.422594
            3521.       0.3860209
           3521.4       0.3695368
           3521.8       0.3875315
           3522.2       0.4206215
           3522.6       0.4218015
            3523.       0.3991589
           3523.4        0.358486
           3523.8       0.3131265
           3524.2       0.2785637
           3524.6       0.2711144
            3525.       0.2934024
           3525.4       0.3004104
           3525.8       0.2793288
           3526.2       0.2571689
           3526.6       0.2742087
            3527.       0.3455285
           3527.4       0.4040632
           3527.8       0.4523474
           3528.2        0.506713
           3528.6       0.5333964
            3529.       0.5403794
           3529.4       0.5180995
           3529.8       0.4920976
           3530.2       0.5059415
