#K OBJECT   '13611'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 13611
#K OBJRA    02:13:00.00
#K OBJDEC   +08:50:48.2
#K OBJBMAG  5.243000E+00
#K OBJVMAG  4.374000E+00
#K SPTYPE   G8Iab:
#K OBJRV    -4.200000E+00
#K HDNAME   HD 13611
#K BDNAME   BD+08 345
#K HIPNAME  HIP 10324
#K SAONAME  SAO 110408
#K VHELIO   -2.80688185719758E+01
#K VLSR     -3.56722396948313E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679876E+03
#K CMAX1    6.009978E+03
#K PICKTYPE G8I
#K NCOMBINE 6
#K TEFF     5050  1991ApJS...75..579L (Luck)
#K LOGG     2.220000E+00  1991ApJS...75..579L (Luck)
#K FEH      -6.000000E-02  1991ApJS...75..579L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     8127.4-8145.8

#      wavelength        spectrum
#       angstroms                

            3465.      0.09780537
           3465.4      0.08760083
           3465.8      0.07493845
           3466.2      0.07083424
           3466.6      0.07396726
            3467.      0.07872733
           3467.4      0.08373757
           3467.8       0.0896426
           3468.2      0.09533121
           3468.6      0.09585883
            3469.      0.09056574
           3469.4      0.09230235
           3469.8      0.09978895
           3470.2       0.1086208
           3470.6       0.1105924
            3471.       0.1061023
           3471.4      0.09599436
           3471.8      0.08687505
           3472.2      0.08284541
           3472.6      0.08137269
            3473.       0.0828786
           3473.4      0.08271921
           3473.8      0.07727125
           3474.2      0.07322721
           3474.6      0.06901516
            3475.      0.06729113
           3475.4      0.06386067
           3475.8      0.06218493
           3476.2      0.06072377
           3476.6      0.05840107
            3477.      0.06106656
           3477.4      0.07120088
           3477.8      0.08125141
           3478.2      0.08555564
           3478.6      0.08578517
            3479.      0.08469347
           3479.4      0.08731543
           3479.8      0.08294752
           3480.2      0.08219932
           3480.6      0.08154523
            3481.      0.08393414
           3481.4      0.08747954
           3481.8      0.08881702
           3482.2      0.08889017
           3482.6      0.08333235
            3483.      0.07528292
           3483.4      0.07171842
           3483.8      0.07255607
           3484.2      0.08018007
           3484.6      0.08137493
            3485.      0.07860341
           3485.4      0.07708201
           3485.8      0.08338569
           3486.2      0.09285545
           3486.6        0.106291
            3487.       0.1175239
           3487.4       0.1184646
           3487.8       0.1118475
           3488.2       0.1020759
           3488.6      0.08944178
            3489.      0.07997945
           3489.4      0.07741041
           3489.8      0.07401688
           3490.2      0.07238485
           3490.6      0.06597032
            3491.      0.06751422
           3491.4      0.08112455
           3491.8      0.09191619
           3492.2      0.09020378
           3492.6      0.08048188
            3493.      0.07192724
           3493.4      0.07399999
           3493.8       0.0857498
           3494.2      0.09619947
           3494.6      0.09960037
            3495.      0.09380336
           3495.4      0.08338793
           3495.8      0.07237743
           3496.2      0.06609538
           3496.6      0.06520847
            3497.      0.06501346
           3497.4      0.06601985
           3497.8      0.07188594
           3498.2      0.08399717
           3498.6       0.0994077
            3499.        0.112211
           3499.4       0.1206016
           3499.8       0.1230422
           3500.2       0.1160376
           3500.6       0.1121856
            3501.       0.1176236
           3501.4       0.1247111
           3501.8       0.1245692
           3502.2        0.116094
           3502.6       0.1169011
            3503.        0.129104
           3503.4       0.1433071
           3503.8       0.1473165
           3504.2       0.1383257
           3504.6       0.1206672
            3505.       0.1018464
