#K OBJECT   '148783'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 148783
#K OBJRA    16:28:38.55
#K OBJDEC   +41:52:54.0
#K OBJBMAG  6.190000E+00
#K OBJVMAG  4.910000E+00
#K SPTYPE   M6III
#K OBJRV    3.400000E+00
#K HDNAME   HD 148783
#K BDNAME   BD+42 2714
#K HIPNAME  HIP 80704
#K SAONAME  SAO 46108
#K VHELIO   -4.25285181807959E+00
#K VLSR     1.42226572613716E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.742689E+03
#K CMAX1    6.069218E+03
#K PICKTYPE M6III
#K NCOMBINE 6
#K TEFF     3250  2000ApJ...537..205R (Ramirez)
#K LOGG     2.000000E-01  2000ApJ...537..205R (Ramirez)
#K FEH      -1.000000E-02  2000ApJ...537..205R (Ramirez)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.      0.04036713
           3465.4      0.03497075
           3465.8      0.03278342
           3466.2      0.03343293
           3466.6      0.03483392
            3467.      0.03699964
           3467.4      0.03911862
           3467.8      0.04452384
           3468.2      0.04986412
           3468.6       0.0483367
            3469.        0.047556
           3469.4      0.04471402
           3469.8      0.04462681
           3470.2      0.04962029
           3470.6      0.05043324
            3471.      0.04912984
           3471.4      0.04529782
           3471.8      0.04145981
           3472.2      0.03744124
           3472.6      0.03505507
            3473.      0.03425869
           3473.4      0.03177996
           3473.8      0.02911703
           3474.2      0.02743279
           3474.6      0.02561895
            3475.      0.02421212
           3475.4      0.02344538
           3475.8      0.02447157
           3476.2      0.02492609
           3476.6      0.02729793
            3477.      0.03001391
           3477.4      0.03750417
           3477.8      0.04465079
           3478.2      0.04771224
           3478.6      0.04964934
            3479.      0.04989223
           3479.4       0.0498231
           3479.8      0.04969274
           3480.2      0.04915453
           3480.6      0.04903393
            3481.      0.05098458
           3481.4      0.05222773
           3481.8      0.05458038
           3482.2      0.05333376
           3482.6      0.04432197
            3483.      0.03793465
           3483.4      0.03704933
           3483.8      0.03883909
           3484.2      0.04261983
           3484.6      0.04470031
            3485.       0.0456163
           3485.4      0.04504127
           3485.8      0.04787273
           3486.2      0.05144631
           3486.6      0.05567954
            3487.      0.05640072
           3487.4      0.05791699
           3487.8      0.05477389
           3488.2      0.05284364
           3488.6      0.04978621
            3489.      0.04286661
           3489.4      0.03760472
           3489.8      0.03245859
           3490.2      0.02677323
           3490.6      0.02231276
            3491.       0.0250992
           3491.4       0.0303326
           3491.8      0.03344195
           3492.2      0.03283541
           3492.6      0.03009645
            3493.      0.02850172
           3493.4      0.03291397
           3493.8      0.03894983
           3494.2       0.0444122
           3494.6       0.0473684
            3495.      0.04393652
           3495.4      0.03930197
           3495.8      0.03599652
           3496.2      0.03361254
           3496.6      0.03222334
            3497.      0.03152746
           3497.4      0.02920519
           3497.8      0.03173509
           3498.2      0.03626719
           3498.6      0.04092411
            3499.      0.04633447
           3499.4      0.05154739
           3499.8      0.05196841
           3500.2      0.04704603
           3500.6      0.04325774
            3501.      0.04242234
           3501.4      0.04347633
           3501.8      0.04451964
           3502.2      0.04392275
           3502.6      0.04440438
            3503.      0.05119029
           3503.4      0.05974841
           3503.8      0.06313897
           3504.2      0.06123748
           3504.6      0.05975442
            3505.      0.05700503
           3505.4       0.0522485
           3505.8      0.04907074
           3506.2      0.04479135
           3506.6       0.0432863
            3507.      0.04433017
           3507.4      0.04197591
           3507.8       0.0440889
           3508.2      0.04680418
           3508.6      0.04997973
            3509.      0.04864547
           3509.4      0.04229848
           3509.8      0.03510103
           3510.2      0.03115222
           3510.6      0.03329615
            3511.      0.03944686
           3511.4      0.04321681
           3511.8      0.04237508
           3512.2      0.04020597
           3512.6      0.03589293
            3513.      0.03272004
           3513.4      0.02677063
           3513.8      0.02485309
           3514.2      0.02698694
           3514.6      0.02691053
            3515.      0.03010608
           3515.4      0.03252245
           3515.8      0.03681979
           3516.2      0.04662709
           3516.6      0.04939719
