#K OBJECT   '149630'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 149630
#K OBJRA    16:34:06.18
#K OBJDEC   +42:26:13.3
#K OBJBMAG  4.187000E+00
#K OBJVMAG  4.200000E+00
#K SPTYPE   B9V
#K OBJRV    -1.090000E+01
#K HDNAME   HD 149630
#K BDNAME   BD+42 2724
#K HIPNAME  HIP 81126
#K SAONAME  SAO 46161
#K VHELIO   -4.04187115645486E+00
#K VLSR     1.45221010437755E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785311E+03
#K CMAX1    8.121258E+03
#K PICKTYPE B9V
#K NCOMBINE 10
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.        1.219714
           3465.4        1.232391
           3465.8        1.224787
           3466.2        1.217543
           3466.6        1.219849
            3467.        1.215234
           3467.4        1.211681
           3467.8        1.218128
           3468.2         1.21262
           3468.6        1.206264
            3469.        1.220683
           3469.4        1.211513
           3469.8        1.207158
           3470.2        1.217489
           3470.6        1.215475
            3471.        1.196833
           3471.4        1.199736
           3471.8         1.19611
           3472.2        1.182952
           3472.6        1.168005
            3473.        1.165238
           3473.4         1.17265
           3473.8        1.169745
           3474.2        1.160964
           3474.6        1.151545
            3475.        1.164115
           3475.4         1.14347
           3475.8        1.154372
           3476.2        1.171111
           3476.6        1.185433
            3477.        1.189043
           3477.4         1.17035
           3477.8        1.174007
           3478.2        1.180675
           3478.6        1.183564
            3479.        1.198461
           3479.4        1.190359
           3479.8        1.194482
           3480.2        1.195921
           3480.6        1.195627
            3481.        1.187917
           3481.4        1.192238
           3481.8        1.188652
           3482.2        1.174791
           3482.6        1.177197
            3483.        1.185128
           3483.4        1.185217
           3483.8        1.182635
           3484.2        1.187029
           3484.6         1.18987
            3485.        1.177125
           3485.4        1.184669
           3485.8        1.194107
           3486.2         1.18012
           3486.6        1.171749
            3487.         1.19448
           3487.4        1.176788
           3487.8        1.175735
           3488.2        1.177688
           3488.6        1.156173
            3489.        1.157733
           3489.4        1.169325
           3489.8        1.158066
           3490.2        1.149839
           3490.6         1.15175
            3491.         1.17056
           3491.4        1.162761
           3491.8        1.158581
           3492.2         1.15962
           3492.6        1.161324
            3493.        1.152816
           3493.4        1.146176
           3493.8        1.146606
           3494.2        1.143871
           3494.6        1.127541
            3495.        1.117786
           3495.4        1.131142
           3495.8        1.132452
           3496.2        1.135746
           3496.6        1.139029
            3497.        1.135724
           3497.4        1.147091
           3497.8        1.160951
           3498.2        1.166815
           3498.6        1.162118
            3499.        1.156262
           3499.4        1.162292
           3499.8        1.171538
           3500.2        1.177213
           3500.6        1.186137
            3501.         1.18431
           3501.4        1.170525
           3501.8         1.16973
           3502.2        1.173437
           3502.6        1.175947
            3503.        1.168254
           3503.4        1.181505
           3503.8        1.180778
           3504.2         1.16323
           3504.6        1.175805
            3505.        1.189354
           3505.4        1.178072
           3505.8        1.177231
           3506.2        1.175324
           3506.6        1.169047
            3507.         1.17152
           3507.4        1.177449
           3507.8        1.170523
           3508.2         1.16827
           3508.6        1.179699
            3509.        1.176769
           3509.4        1.182134
           3509.8        1.180834
           3510.2        1.158194
           3510.6        1.154427
            3511.        1.164234
           3511.4        1.154357
           3511.8        1.147195
           3512.2        1.152244
           3512.6         1.15963
            3513.        1.158399
           3513.4         1.16392
           3513.8        1.168408
           3514.2        1.158028
           3514.6        1.164175
            3515.        1.171683
           3515.4         1.17978
           3515.8        1.186365
           3516.2        1.181389
           3516.6        1.187976
            3517.        1.180929
           3517.4         1.17464
           3517.8        1.188779
           3518.2        1.183576
           3518.6        1.174868
            3519.        1.187227
           3519.4        1.183686
           3519.8        1.182106
           3520.2         1.18289
           3520.6        1.178278
            3521.        1.186599
           3521.4        1.190055
           3521.8        1.174294
           3522.2        1.177123
           3522.6        1.194227
            3523.         1.19918
           3523.4        1.187024
           3523.8        1.184759
           3524.2          1.1846
           3524.6        1.179833
