#K OBJECT   '151862'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 151862
#K OBJRA    16:49:34.66
#K OBJDEC   +13:15:40.1
#K OBJBMAG  5.940000E+00
#K OBJVMAG  5.910000E+00
#K SPTYPE   A1V
#K OBJRV    -2.330000E+01
#K HDNAME   HD 151862
#K BDNAME   BD+13 3233
#K HIPNAME  HIP 82350
#K SAONAME  SAO 102410
#K VHELIO   -1.20310247452353E+00
#K VLSR     1.70719501496484E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784884E+03
#K CMAX1    8.120949E+03
#K PICKTYPE A2V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.8616592
           3465.4       0.8449155
           3465.8       0.8406549
           3466.2       0.8565247
           3466.6       0.8538185
            3467.       0.8542048
           3467.4       0.8742498
           3467.8       0.8793033
           3468.2       0.8653043
           3468.6       0.8552788
            3469.       0.8698038
           3469.4       0.8651965
           3469.8       0.8631087
           3470.2       0.8654743
           3470.6       0.8655391
            3471.       0.8704201
           3471.4       0.8647822
           3471.8       0.8488185
           3472.2       0.8499132
           3472.6       0.8510106
            3473.       0.8353859
           3473.4       0.8334851
           3473.8       0.8127155
           3474.2       0.8070276
           3474.6       0.8088235
            3475.       0.8041093
           3475.4       0.8151127
           3475.8       0.8197584
           3476.2        0.819434
           3476.6       0.8290617
            3477.       0.8356063
           3477.4       0.8359618
           3477.8       0.8446758
           3478.2         0.85402
           3478.6       0.8482726
            3479.       0.8606292
           3479.4       0.8633607
           3479.8       0.8605374
           3480.2       0.8519783
           3480.6       0.8587661
            3481.       0.8665429
           3481.4       0.8640834
           3481.8       0.8546488
           3482.2       0.8440748
           3482.6       0.8337061
            3483.       0.8276926
           3483.4       0.8308271
           3483.8       0.8323097
           3484.2         0.85173
           3484.6       0.8565584
            3485.       0.8595175
           3485.4       0.8672273
           3485.8       0.8654388
           3486.2       0.8674828
           3486.6       0.8763657
            3487.       0.8806047
           3487.4       0.8685678
           3487.8       0.8516372
           3488.2       0.8456384
           3488.6       0.8348962
            3489.       0.8217024
           3489.4       0.8243277
           3489.8       0.8274925
           3490.2       0.8347049
           3490.6       0.8225031
            3491.       0.8254411
           3491.4       0.8386863
           3491.8       0.8490644
           3492.2       0.8438458
           3492.6        0.835894
            3493.       0.8320516
           3493.4       0.8242354
           3493.8       0.8228359
           3494.2       0.8188849
           3494.6         0.81061
            3495.       0.8093001
           3495.4       0.8039314
           3495.8       0.7924399
           3496.2       0.7767615
           3496.6       0.7741998
            3497.       0.7864726
           3497.4       0.7985149
           3497.8       0.8021528
           3498.2       0.8125167
           3498.6       0.8365355
            3499.       0.8537607
           3499.4       0.8512081
           3499.8       0.8423561
           3500.2       0.8530723
           3500.6       0.8584343
            3501.       0.8614624
           3501.4       0.8455721
           3501.8       0.8550323
           3502.2       0.8587257
           3502.6       0.8586998
            3503.       0.8524218
           3503.4        0.843558
           3503.8       0.8447556
           3504.2       0.8324592
           3504.6       0.8151993
            3505.       0.8138766
           3505.4        0.815998
           3505.8       0.8311279
           3506.2       0.8285961
           3506.6       0.8361997
            3507.       0.8450366
           3507.4       0.8450077
           3507.8       0.8468891
           3508.2       0.8464637
           3508.6       0.8522666
            3509.       0.8553758
           3509.4       0.8464468
           3509.8       0.8377478
           3510.2        0.821544
           3510.6       0.8254094
            3511.       0.8133306
           3511.4       0.8181282
           3511.8       0.8228775
           3512.2       0.8272739
           3512.6       0.8352295
            3513.       0.8287891
           3513.4       0.8218722
           3513.8       0.8186986
           3514.2       0.8145143
           3514.6       0.8131135
            3515.       0.8168147
           3515.4       0.8309599
           3515.8       0.8407523
