#K OBJECT   '152569'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 152569
#K OBJRA    16:54:10.61
#K OBJDEC   -01:36:44.3
#K OBJBMAG  6.514000E+00
#K OBJVMAG  6.252000E+00
#K SPTYPE   F0V
#K OBJRV    -20
#K HDNAME   HD 152569
#K BDNAME   BD-01 3268
#K HIPNAME  HIP 82693
#K SAONAME  SAO 141427
#K VHELIO   7.19050060086228E-01
#K VLSR     1.69571660380720E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785618E+03
#K CMAX1    8.121627E+03
#K PICKTYPE F0V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.7704957
           3465.4       0.7599312
           3465.8       0.7583864
           3466.2       0.7655876
           3466.6       0.7674074
            3467.       0.7652993
           3467.4       0.7671831
           3467.8       0.7877561
           3468.2       0.8015208
           3468.6       0.7964388
            3469.       0.7937303
           3469.4       0.7862887
           3469.8       0.7851774
           3470.2       0.7907958
           3470.6        0.779255
            3471.       0.7773167
           3471.4       0.7787504
           3471.8       0.7739075
           3472.2       0.7642362
           3472.6       0.7419237
            3473.       0.7414701
           3473.4       0.7123198
           3473.8       0.6872073
           3474.2       0.6817813
           3474.6       0.6753125
            3475.       0.6550332
           3475.4        0.649281
           3475.8        0.648072
           3476.2       0.6472857
           3476.6       0.6568276
            3477.       0.6729317
           3477.4       0.6860799
           3477.8       0.6953992
           3478.2       0.7098938
           3478.6       0.7257452
            3479.        0.736842
           3479.4       0.7434319
           3479.8       0.7477096
           3480.2       0.7461999
           3480.6       0.7372094
            3481.       0.7373863
           3481.4       0.7317948
           3481.8       0.7249322
           3482.2       0.7209522
           3482.6       0.7147797
            3483.       0.7116434
           3483.4       0.6989171
           3483.8       0.6984031
           3484.2       0.7158553
           3484.6       0.7103482
            3485.       0.7287354
           3485.4       0.7427438
           3485.8       0.7525015
           3486.2       0.7644267
           3486.6       0.7667357
            3487.        0.758806
           3487.4       0.7512124
           3487.8       0.7475114
           3488.2       0.7354988
           3488.6       0.7166022
            3489.       0.7098029
