#K OBJECT   '155514'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 155514
#K OBJRA    17:11:03.16
#K OBJDEC   +24:14:15.7
#K OBJBMAG  6.411000E+00
#K OBJVMAG  6.204000E+00
#K SPTYPE   A8V
#K OBJRV    -2.200000E+00
#K HDNAME   HD 155514
#K BDNAME   BD+24 3140
#K HIPNAME  HIP 84054
#K SAONAME  SAO 84896
#K VHELIO   1.91868435543485E+01
#K VLSR     3.86678938924909E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.740724E+03
#K CMAX1    6.067517E+03
#K PICKTYPE A7V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     8107.4-8137.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.7468409
           3465.4       0.7368891
           3465.8       0.7325297
           3466.2       0.7413489
           3466.6       0.7532156
            3467.       0.7641817
           3467.4       0.7599048
           3467.8       0.7487015
           3468.2       0.7550413
           3468.6       0.7670047
            3469.       0.7681529
           3469.4       0.7643935
           3469.8       0.7801847
           3470.2       0.7871141
           3470.6       0.7593116
            3471.       0.7541677
           3471.4       0.7649515
           3471.8       0.7544994
           3472.2       0.7341353
           3472.6       0.7309703
            3473.       0.7316803
           3473.4       0.7164677
           3473.8       0.7053287
           3474.2       0.7021226
           3474.6       0.6864398
            3475.       0.6816443
           3475.4       0.6522182
           3475.8       0.6445409
           3476.2       0.6461552
           3476.6       0.6502867
            3477.        0.667616
           3477.4       0.6729618
           3477.8       0.6920246
           3478.2       0.7120392
           3478.6       0.7138492
            3479.       0.7270117
           3479.4       0.7292219
           3479.8       0.7408764
           3480.2       0.7446862
           3480.6       0.7382827
            3481.       0.7692438
           3481.4       0.7598947
           3481.8       0.7404123
           3482.2       0.7435665
           3482.6       0.7326453
            3483.       0.7239247
           3483.4       0.7199565
           3483.8       0.7186126
           3484.2        0.730785
           3484.6       0.7230558
            3485.       0.7221894
           3485.4       0.7460259
           3485.8       0.7638439
           3486.2       0.7751637
           3486.6       0.7742119
            3487.       0.7588222
           3487.4       0.7517791
           3487.8       0.7604725
           3488.2       0.7465315
           3488.6       0.7248561
            3489.       0.7187365
           3489.4       0.7071081
           3489.8       0.6970785
           3490.2       0.6981303
           3490.6       0.7011761
            3491.        0.704103
           3491.4       0.7098735
           3491.8       0.7267284
           3492.2       0.7380816
           3492.6       0.7103887
            3493.       0.6968026
           3493.4        0.709142
           3493.8       0.7038598
           3494.2       0.6950027
           3494.6       0.6898716
            3495.        0.667659
           3495.4       0.6579134
           3495.8       0.6509895
           3496.2       0.6323826
           3496.6       0.6274149
            3497.       0.6386901
           3497.4       0.6559426
           3497.8        0.662629
           3498.2       0.6760396
           3498.6       0.7166291
            3499.       0.7307646
           3499.4       0.7432597
           3499.8        0.770867
           3500.2       0.7639287
           3500.6       0.7574669
            3501.       0.7450803
           3501.4       0.7352628
           3501.8       0.7395228
           3502.2       0.7504561
           3502.6       0.7668812
            3503.       0.7671446
           3503.4       0.7540337
           3503.8       0.7448103
           3504.2       0.7320612
           3504.6       0.7236846
            3505.       0.7260796
           3505.4       0.7191614
           3505.8       0.7091509
           3506.2       0.7151135
           3506.6       0.7223275
            3507.       0.7254008
           3507.4       0.7423988
           3507.8       0.7579678
           3508.2       0.7532052
           3508.6       0.7439471
            3509.       0.7440056
           3509.4       0.7428052
           3509.8       0.7325778
           3510.2       0.7186573
           3510.6       0.7092696
            3511.       0.7083583
           3511.4       0.7102691
           3511.8       0.7086009
           3512.2       0.7098883
           3512.6       0.7241195
            3513.        0.716953
           3513.4       0.7063326
           3513.8       0.7177923
           3514.2       0.7225928
           3514.6       0.7133847
            3515.       0.7164218
           3515.4       0.7362077
           3515.8       0.7416547
           3516.2       0.7391888
           3516.6       0.7635064
            3517.         0.77899
           3517.4       0.7746276
           3517.8       0.7584025
           3518.2        0.757857
           3518.6       0.7628998
            3519.       0.7580366
           3519.4       0.7551694
           3519.8       0.7489236
           3520.2       0.7359396
           3520.6       0.7290659
            3521.       0.7279808
           3521.4       0.7349395
           3521.8       0.7409239
           3522.2       0.7257343
           3522.6       0.7368799
            3523.       0.7469624
           3523.4        0.741808
           3523.8       0.7280012
           3524.2       0.7179096
           3524.6       0.7010419
            3525.         0.68945
           3525.4       0.6811669
           3525.8       0.6722053
           3526.2       0.6730498
           3526.6       0.6867136
            3527.       0.7042292
           3527.4       0.7230365
           3527.8        0.748841
           3528.2       0.7503908
           3528.6       0.7561661
            3529.       0.7696198
           3529.4       0.7757539
           3529.8       0.7717429
           3530.2       0.7560712
           3530.6       0.7569622
            3531.       0.7639194
           3531.4       0.7523075
           3531.8       0.7454726
           3532.2       0.7560703
           3532.6       0.7564715
            3533.       0.7447525
           3533.4       0.7539926
           3533.8       0.7638406
           3534.2       0.7569293
           3534.6       0.7463124
            3535.        0.748755
           3535.4       0.7410126
           3535.8       0.7446768
           3536.2       0.7440478
           3536.6       0.7413911
            3537.        0.748719
           3537.4       0.7473946
           3537.8       0.7584853
           3538.2        0.776409
           3538.6       0.7921706
            3539.       0.7906533
           3539.4       0.7788548
           3539.8        0.793867
           3540.2       0.7913556
           3540.6       0.7855859
            3541.        0.773609
           3541.4       0.7619542
           3541.8       0.7603148
           3542.2       0.7539954
           3542.6       0.7511417
            3543.       0.7628673
           3543.4        0.776485
           3543.8       0.7915506
           3544.2       0.7868392
           3544.6       0.7875276
            3545.       0.7797036
           3545.4       0.7726233
           3545.8       0.7792161
           3546.2       0.7885731
           3546.6       0.7742954
            3547.       0.7769849
           3547.4       0.7844001
           3547.8       0.7722707
           3548.2       0.7823037
           3548.6       0.7776695
            3549.       0.7640288
           3549.4       0.7743716
           3549.8       0.7907389
           3550.2        0.782409
           3550.6       0.7854483
            3551.       0.7931511
           3551.4       0.7976698
           3551.8       0.7971186
           3552.2       0.8008966
           3552.6       0.7888761
            3553.       0.7668313
           3553.4       0.7627961
           3553.8       0.7557807
           3554.2        0.757511
           3554.6       0.7481536
            3555.       0.7518528
           3555.4       0.7566606
           3555.8        0.747597
           3556.2       0.7514951
           3556.6       0.7514454
            3557.       0.7506719
           3557.4       0.7479578
           3557.8       0.7436071
           3558.2       0.7482671
           3558.6       0.7561534
            3559.       0.7693188
           3559.4       0.7805178
           3559.8       0.7717341
           3560.2       0.7847745
           3560.6       0.7844325
            3561.       0.7707625
           3561.4       0.7938711
           3561.8       0.7879595
           3562.2       0.7839583
           3562.6        0.802037
            3563.       0.8091209
           3563.4       0.8082985
           3563.8        0.796338
           3564.2       0.7719811
           3564.6        0.757534
            3565.       0.7314309
           3565.4       0.7201176
           3565.8       0.7169686
           3566.2       0.6976321
           3566.6        0.693858
            3567.       0.6994568
           3567.4       0.7196739
           3567.8       0.7400351
           3568.2       0.7344058
           3568.6       0.7259811
            3569.       0.7295062
           3569.4       0.7282019
           3569.8       0.7253916
           3570.2       0.7110543
           3570.6       0.7043412
            3571.       0.7084661
           3571.4       0.7056965
           3571.8       0.7057893
           3572.2       0.6981258
           3572.6       0.6962155
            3573.       0.7099708
           3573.4        0.705983
           3573.8       0.7013016
           3574.2       0.7198716
           3574.6       0.7268485
            3575.        0.723739
           3575.4       0.7247495
           3575.8       0.7194491
           3576.2       0.7247859
           3576.6       0.7258298
            3577.       0.7283469
           3577.4       0.7293284
           3577.8       0.7327064
           3578.2       0.7383576
           3578.6       0.7449597
            3579.       0.7594886
           3579.4       0.7599397
           3579.8       0.7451457
           3580.2       0.7409675
           3580.6       0.7283211
            3581.       0.7361187
           3581.4       0.7396019
           3581.8       0.7316887
           3582.2       0.7262778
           3582.6       0.7400131
            3583.       0.7459736
           3583.4       0.7377517
           3583.8       0.7322399
           3584.2        0.711391
           3584.6        0.684042
            3585.       0.6699063
           3585.4       0.6484724
           3585.8       0.6374265
           3586.2        0.642369
           3586.6       0.6381032
            3587.       0.6477022
           3587.4       0.6497741
           3587.8       0.6606637
           3588.2       0.6792726
           3588.6       0.6752906
            3589.         0.68243
           3589.4       0.6985393
           3589.8       0.6935098
           3590.2       0.6908823
