#K OBJECT   '157198'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 157198
#K OBJRA    17:20:54.21
#K OBJDEC   +24:29:58.0
#K OBJBMAG  5.125000E+00
#K OBJVMAG  5.126000E+00
#K SPTYPE   A2V
#K OBJRV    -18
#K HDNAME   HD 157198
#K BDNAME   BD+24 3167
#K HIPNAME  HIP 84887
#K SAONAME  SAO 85021
#K VHELIO   1.45956649283372E+00
#K VLSR     2.10913642292657E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784932E+03
#K CMAX1    8.120938E+03
#K PICKTYPE A2V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     8121.4-8137.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.8800622
           3465.4       0.8797531
           3465.8       0.8771847
           3466.2       0.8834428
           3466.6       0.8769721
            3467.       0.8817785
           3467.4       0.8788446
           3467.8       0.8821163
           3468.2        0.875416
           3468.6       0.8706387
            3469.       0.8723524
           3469.4       0.8729295
           3469.8       0.8726181
           3470.2       0.8643393
           3470.6       0.8696538
            3471.       0.8789039
           3471.4       0.8634697
           3471.8        0.864764
           3472.2        0.855681
           3472.6       0.8526711
            3473.       0.8527034
           3473.4       0.8555481
           3473.8       0.8480576
           3474.2       0.8256023
           3474.6       0.8195564
            3475.       0.8295063
           3475.4       0.8442772
           3475.8       0.8445802
           3476.2       0.8347514
           3476.6       0.8430462
            3477.       0.8492047
           3477.4       0.8436362
           3477.8       0.8366845
           3478.2       0.8437034
           3478.6       0.8475159
            3479.       0.8437585
           3479.4       0.8583866
           3479.8       0.8543371
           3480.2       0.8494946
           3480.6       0.8622154
            3481.       0.8659131
           3481.4       0.8620799
           3481.8       0.8526684
           3482.2       0.8349118
           3482.6       0.8387535
            3483.       0.8334258
           3483.4        0.830862
           3483.8       0.8394507
           3484.2       0.8483992
           3484.6        0.864533
            3485.       0.8513649
           3485.4         0.83937
           3485.8       0.8517708
           3486.2       0.8643591
           3486.6       0.8587552
            3487.        0.844353
           3487.4       0.8361558
           3487.8       0.8299425
           3488.2       0.8257771
           3488.6       0.8101485
            3489.        0.822765
           3489.4       0.8310552
           3489.8       0.8318061
           3490.2       0.8292933
           3490.6       0.8282458
            3491.       0.8242688
           3491.4       0.8164935
           3491.8       0.8208628
           3492.2       0.8377249
           3492.6       0.8402128
            3493.       0.8263136
           3493.4       0.8241469
           3493.8       0.8263849
           3494.2       0.8171471
           3494.6       0.8039072
