#K OBJECT   '158716'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 158716
#K OBJRA    17:30:22.65
#K OBJDEC   +11:55:26.5
#K OBJBMAG  6.517000E+00
#K OBJVMAG  6.464000E+00
#K SPTYPE   A1V
#K OBJRV    -2.460000E+01
#K HDNAME   HD 158716
#K BDNAME   BD+12 3234
#K HIPNAME  HIP 85666
#K SAONAME  SAO 102869
#K VHELIO   3.57597836642286E+00
#K VLSR     2.24067684872315E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785122E+03
#K CMAX1    8.121166E+03
#K PICKTYPE A2V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9452.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.8641809
           3465.4       0.8337792
           3465.8       0.8223912
           3466.2        0.841466
           3466.6        0.863403
            3467.       0.8834429
           3467.4       0.8850429
           3467.8       0.8540308
           3468.2       0.8585313
           3468.6       0.8648767
            3469.       0.8625734
           3469.4       0.8730076
           3469.8       0.8744918
           3470.2       0.8800244
           3470.6       0.8668395
            3471.       0.8647645
           3471.4       0.8590571
           3471.8       0.8376392
           3472.2       0.8324857
           3472.6       0.8467846
            3473.       0.8579008
           3473.4       0.8403429
           3473.8       0.8150221
           3474.2       0.7936338
           3474.6       0.8013881
            3475.       0.8111149
           3475.4       0.7821328
           3475.8       0.8023447
           3476.2       0.8352351
           3476.6       0.8303373
            3477.        0.808525
           3477.4       0.8269272
           3477.8       0.8493723
           3478.2       0.8762763
           3478.6        0.876102
            3479.       0.8692355
           3479.4       0.8583335
           3479.8       0.8534037
           3480.2       0.8711771
           3480.6       0.8685459
            3481.       0.8539234
           3481.4       0.8519584
           3481.8       0.8423569
           3482.2       0.8723571
           3482.6       0.8394573
            3483.       0.8073756
           3483.4       0.8116156
           3483.8       0.8337733
           3484.2       0.8571008
           3484.6       0.8636968
            3485.        0.874922
           3485.4       0.8708297
           3485.8       0.8579107
           3486.2       0.8938609
           3486.6         0.89478
            3487.       0.8925157
           3487.4       0.8933259
           3487.8       0.8648103
           3488.2        0.853123
           3488.6       0.8259209
            3489.       0.8194199
           3489.4       0.8377629
           3489.8       0.8500966
           3490.2       0.8596374
           3490.6       0.8367226
            3491.       0.8127197
           3491.4       0.8501525
           3491.8       0.8656654
           3492.2       0.8666542
           3492.6       0.8414347
            3493.       0.8226464
           3493.4       0.8141795
           3493.8       0.8314152
           3494.2       0.8555972
           3494.6       0.8323691
            3495.       0.7993613
           3495.4       0.7833477
           3495.8       0.7664475
           3496.2       0.7617172
           3496.6       0.7751845
            3497.       0.7872602
           3497.4       0.7947157
           3497.8       0.8151839
           3498.2        0.841472
           3498.6       0.8554458
            3499.       0.8796489
           3499.4        0.885842
           3499.8       0.8696006
           3500.2       0.8584042
           3500.6       0.8715699
            3501.       0.8708102
           3501.4       0.8568663
           3501.8       0.8604647
           3502.2       0.8667438
           3502.6       0.8976266
            3503.       0.8866108
           3503.4        0.871805
           3503.8       0.8541425
           3504.2       0.8425869
           3504.6       0.8248774
            3505.       0.8175368
           3505.4       0.8334892
           3505.8       0.8510497
           3506.2       0.8734729
           3506.6        0.880606
            3507.       0.8582357
           3507.4       0.8588791
           3507.8       0.8712881
           3508.2        0.870995
           3508.6       0.8670161
            3509.       0.8726861
           3509.4       0.8643308
           3509.8       0.8384979
           3510.2       0.8120582
           3510.6        0.797318
            3511.        0.782847
           3511.4       0.7947142
           3511.8       0.8315213
           3512.2       0.8510695
           3512.6       0.8595994
            3513.       0.8612406
           3513.4       0.8387921
           3513.8       0.7987846
           3514.2       0.7991995
           3514.6       0.8008173
            3515.       0.8188186
           3515.4       0.8234016
           3515.8       0.8538236
           3516.2        0.866344
           3516.6       0.8442788
            3517.       0.8435742
           3517.4       0.8555404
           3517.8       0.8585731
           3518.2       0.8658617
           3518.6       0.8657943
            3519.       0.8669029
           3519.4       0.8601663
           3519.8       0.8251494
           3520.2       0.8175237
           3520.6       0.8191504
            3521.       0.8307227
           3521.4       0.8427874
           3521.8        0.843234
           3522.2       0.8439048
           3522.6       0.8594568
            3523.       0.8679669
           3523.4       0.8446315
           3523.8        0.832434
           3524.2       0.8304124
           3524.6       0.8035908
            3525.        0.819585
           3525.4       0.8369487
           3525.8         0.82384
           3526.2       0.8116859
           3526.6       0.8011414
            3527.       0.8137109
           3527.4       0.8432205
           3527.8       0.8659137
           3528.2       0.8665136
           3528.6       0.8568844
            3529.       0.8813282
           3529.4       0.8683002
           3529.8       0.8617079
           3530.2       0.8476359
           3530.6       0.8496134
            3531.       0.8471682
           3531.4       0.8479937
           3531.8       0.8450873
           3532.2       0.8438348
           3532.6       0.8484489
            3533.       0.8349814
           3533.4       0.8314809
           3533.8       0.8530856
           3534.2       0.8491216
           3534.6       0.8601033
            3535.       0.8472805
           3535.4       0.8199045
           3535.8       0.8299337
           3536.2       0.8484265
           3536.6       0.8377784
            3537.       0.8422956
           3537.4       0.8536766
           3537.8       0.8603801
           3538.2       0.8690402
           3538.6        0.867328
            3539.       0.8606831
           3539.4       0.8544461
           3539.8       0.8446887
           3540.2       0.8532066
           3540.6       0.8688277
            3541.       0.8528867
           3541.4       0.8269808
           3541.8       0.8268862
           3542.2       0.8233212
           3542.6       0.8256999
            3543.       0.8328574
           3543.4       0.8455622
           3543.8         0.86654
           3544.2       0.8739651
           3544.6       0.8623524
            3545.       0.8370903
           3545.4       0.8316233
           3545.8        0.830173
           3546.2       0.8396438
           3546.6       0.8561655
            3547.       0.8655202
           3547.4       0.8488798
           3547.8       0.8314213
           3548.2       0.8402649
           3548.6        0.833701
            3549.       0.8287739
           3549.4       0.8439775
           3549.8       0.8379064
           3550.2       0.8539768
           3550.6       0.8559555
            3551.         0.84845
           3551.4       0.8458827
           3551.8       0.8552294
           3552.2       0.8488178
           3552.6       0.8433493
            3553.       0.8422601
           3553.4       0.8337333
           3553.8       0.8374602
           3554.2       0.8380128
           3554.6       0.8259766
            3555.       0.8305761
           3555.4        0.834024
           3555.8       0.8356993
           3556.2       0.8195893
           3556.6       0.8020474
            3557.       0.7842247
           3557.4       0.7980082
           3557.8        0.819071
           3558.2       0.8167084
           3558.6       0.8245145
            3559.        0.834446
           3559.4        0.843784
           3559.8       0.8483675
           3560.2       0.8407524
           3560.6       0.8539481
            3561.       0.8388462
           3561.4       0.8240888
           3561.8       0.8493738
           3562.2        0.853754
           3562.6       0.8516727
            3563.       0.8549799
           3563.4       0.8519456
           3563.8       0.8560945
           3564.2       0.8428383
           3564.6       0.8114319
            3565.        0.793263
           3565.4       0.7800171
           3565.8       0.7663749
           3566.2       0.7605621
           3566.6       0.7685912
            3567.       0.8122789
           3567.4       0.8396137
           3567.8       0.8681666
           3568.2       0.8547507
           3568.6       0.8366469
            3569.       0.8407534
           3569.4       0.8093221
           3569.8       0.7635769
           3570.2       0.7626476
           3570.6       0.7920009
            3571.       0.8137733
           3571.4       0.8097554
           3571.8       0.8163016
           3572.2       0.8233219
           3572.6       0.8048068
            3573.       0.8156258
           3573.4       0.8175543
           3573.8       0.8179715
           3574.2        0.820239
           3574.6       0.8275602
            3575.       0.8359847
           3575.4       0.8357954
           3575.8       0.8339307
           3576.2       0.8242527
           3576.6       0.8011471
            3577.       0.7952917
           3577.4       0.8077779
           3577.8        0.816893
           3578.2       0.7930483
           3578.6       0.8055463
            3579.        0.814164
           3579.4       0.8392552
           3579.8       0.8530489
           3580.2       0.8429279
           3580.6       0.8182004
            3581.       0.7817316
           3581.4       0.7705357
           3581.8       0.7924913
           3582.2       0.8168814
           3582.6       0.8174348
            3583.       0.8381396
           3583.4       0.8403659
           3583.8       0.8253391
           3584.2       0.8112891
           3584.6        0.786128
            3585.       0.7466921
           3585.4       0.7113245
           3585.8       0.7196389
           3586.2       0.7591963
           3586.6       0.7758659
            3587.        0.783668
           3587.4       0.8000616
           3587.8       0.7999472
           3588.2       0.8117018
           3588.6       0.8105901
            3589.       0.8144546
           3589.4       0.8105105
           3589.8       0.7954676
           3590.2       0.8069457
           3590.6       0.8137663
            3591.       0.8118161
           3591.4       0.8141192
           3591.8        0.801469
           3592.2       0.7985957
           3592.6       0.8087602
            3593.       0.8002676
           3593.4       0.7872369
           3593.8         0.77746
           3594.2       0.7943977
           3594.6       0.8012089
            3595.       0.8059778
           3595.4       0.8066115
           3595.8        0.793378
           3596.2       0.8006377
           3596.6       0.8170653
            3597.       0.8169972
           3597.4       0.8189043
           3597.8       0.8140016
           3598.2       0.8204001
           3598.6       0.8280691
            3599.       0.8177312
           3599.4       0.8287073
           3599.8       0.8100275
           3600.2       0.8180824
           3600.6       0.8159347
            3601.       0.7922181
           3601.4       0.7973732
           3601.8       0.8120726
           3602.2       0.8109541
           3602.6       0.8099445
            3603.       0.7952332
           3603.4       0.7677029
           3603.8       0.7456381
           3604.2       0.7529405
           3604.6       0.7812966
            3605.       0.7821488
           3605.4        0.770747
           3605.8       0.7664512
           3606.2       0.7842824
           3606.6        0.807703
            3607.       0.8060835
           3607.4       0.7955658
           3607.8       0.8111531
           3608.2       0.8163863
           3608.6       0.7780993
            3609.       0.7707722
           3609.4       0.7656937
           3609.8       0.7899544
           3610.2       0.7700461
           3610.6       0.7628701
            3611.        0.778258
           3611.4       0.7987387
           3611.8       0.8109388
           3612.2       0.7969582
           3612.6       0.7838053
            3613.       0.7771449
           3613.4       0.7668401
           3613.8       0.7885309
           3614.2       0.7850866
           3614.6       0.7855695
            3615.       0.7951316
           3615.4       0.8207352
           3615.8       0.8339189
           3616.2       0.8161387
           3616.6       0.8201616
            3617.       0.8159884
           3617.4       0.8067464
           3617.8       0.8045716
           3618.2       0.7799369
           3618.6       0.7462642
            3619.       0.7237527
           3619.4       0.7407378
           3619.8       0.7520949
           3620.2       0.7774615
           3620.6       0.8008614
            3621.       0.7958657
           3621.4       0.7658632
           3621.8       0.7783458
           3622.2       0.8022295
           3622.6       0.7978522
            3623.       0.8076403
           3623.4       0.8193746
           3623.8       0.8044208
           3624.2       0.8009944
           3624.6       0.7883576
            3625.       0.7863245
           3625.4       0.8033023
           3625.8       0.8241172
           3626.2       0.8161367
           3626.6       0.8234147
            3627.       0.8293787
           3627.4       0.8388392
           3627.8       0.8430636
           3628.2       0.8332356
           3628.6       0.8272918
            3629.       0.8356491
           3629.4       0.8465405
           3629.8       0.8308038
           3630.2       0.8237348
           3630.6       0.8127949
            3631.       0.7724435
           3631.4        0.724567
           3631.8       0.7196946
           3632.2       0.7617415
           3632.6       0.7806577
            3633.       0.7872289
           3633.4       0.8165499
           3633.8       0.8240358
           3634.2       0.8126178
           3634.6       0.8176791
            3635.       0.7997505
           3635.4       0.8110325
           3635.8       0.8532102
           3636.2       0.8370289
           3636.6       0.8392957
            3637.       0.8297421
           3637.4       0.8239097
           3637.8       0.8289201
           3638.2       0.8340999
           3638.6       0.8330461
            3639.       0.8278102
           3639.4       0.8336548
           3639.8       0.8307364
           3640.2       0.7984124
           3640.6       0.7924607
            3641.       0.8025434
           3641.4       0.7955811
           3641.8       0.8189566
           3642.2       0.8294531
           3642.6       0.8261979
            3643.       0.8183734
           3643.4       0.8118055
           3643.8       0.8126058
           3644.2       0.8171573
           3644.6       0.8197201
            3645.       0.8227885
           3645.4       0.8323662
           3645.8       0.8420448
           3646.2       0.8460091
           3646.6       0.8462215
            3647.       0.8250546
           3647.4       0.7949969
           3647.8        0.772013
           3648.2       0.7841753
           3648.6       0.8148275
            3649.       0.8226488
           3649.4       0.8064282
           3649.8       0.8018029
           3650.2       0.8149613
           3650.6       0.8193075
            3651.       0.8171657
           3651.4        0.810485
           3651.8       0.8104699
           3652.2       0.8121922
           3652.6       0.8181689
            3653.       0.8400445
           3653.4       0.8493524
           3653.8       0.8404688
           3654.2       0.8424252
           3654.6       0.8468933
            3655.        0.837257
           3655.4       0.8301918
           3655.8       0.8355754
           3656.2       0.8400608
           3656.6        0.831636
            3657.       0.8528668
