#K OBJECT   '160315'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 160315
#K OBJRA    17:39:08.50
#K OBJDEC   +02:01:41.0
#K OBJBMAG  7.270000E+00
#K OBJVMAG  6.262000E+00
#K SPTYPE   K0III+...
#K OBJRV    0
#K HDNAME   HD 160315
#K BDNAME   BD+02 3373
#K HIPNAME  HIP 86391
#K SAONAME  SAO 122607
#K VHELIO   2.70266283333546E+01
#K VLSR     4.45883563050518E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.440801E+03
#K CMAX1    4.766996E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4787  Jones..Coude.Feed.Library
#K LOGG     2.340000E+00  Jones..Coude.Feed.Library
#K FEH      -6.000000E-02  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     8107.8-8137.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.2250415
           3465.4       0.1973606
           3465.8         0.16849
           3466.2       0.1425467
           3466.6       0.1406484
            3467.       0.1594202
           3467.4       0.1764773
           3467.8       0.1927124
           3468.2       0.2116807
           3468.6       0.2177807
            3469.       0.2083409
           3469.4       0.2019518
           3469.8       0.2065648
           3470.2       0.2316059
           3470.6       0.2591662
            3471.       0.2593658
           3471.4       0.2365122
           3471.8        0.207229
           3472.2       0.1854052
           3472.6        0.170299
            3473.       0.1680431
           3473.4       0.1740873
           3473.8       0.1715132
           3474.2       0.1621617
           3474.6        0.149092
            3475.         0.13494
           3475.4       0.1206846
           3475.8       0.1077724
           3476.2       0.1185401
           3476.6       0.1162445
            3477.       0.1156715
           3477.4       0.1329301
           3477.8       0.1608005
           3478.2        0.183355
           3478.6       0.1927447
            3479.       0.1962787
           3479.4       0.1991903
           3479.8       0.1962176
           3480.2       0.1854614
           3480.6       0.1767592
            3481.        0.173141
           3481.4       0.1749009
           3481.8       0.1832934
           3482.2       0.1940534
           3482.6       0.1835163
            3483.       0.1656135
           3483.4       0.1472181
           3483.8       0.1388353
           3484.2       0.1524592
           3484.6        0.164215
            3485.       0.1582128
           3485.4       0.1502733
           3485.8       0.1593071
           3486.2       0.1732081
           3486.6       0.2004208
            3487.       0.2293839
           3487.4       0.2463094
           3487.8       0.2423783
           3488.2        0.226797
           3488.6       0.2064123
            3489.       0.1792927
           3489.4       0.1536961
           3489.8       0.1378117
           3490.2       0.1258512
           3490.6        0.117267
            3491.       0.1179376
           3491.4       0.1320624
           3491.8       0.1624277
           3492.2       0.1716354
           3492.6       0.1513792
            3493.       0.1301877
           3493.4        0.130966
           3493.8       0.1569616
           3494.2        0.188223
           3494.6       0.2076917
            3495.       0.2119575
           3495.4       0.2027532
           3495.8       0.1846148
           3496.2       0.1564152
           3496.6       0.1394437
            3497.       0.1303732
           3497.4       0.1226861
           3497.8       0.1261679
           3498.2         0.14021
           3498.6       0.1694272
            3499.       0.2099592
           3499.4       0.2498445
           3499.8       0.2725036
           3500.2       0.2711704
           3500.6       0.2555788
            3501.       0.2450429
           3501.4       0.2536785
           3501.8       0.2527866
           3502.2        0.244633
           3502.6       0.2267459
            3503.       0.2443559
           3503.4       0.2823336
           3503.8       0.3133671
           3504.2       0.3220948
           3504.6       0.2898233
            3505.       0.2429429
           3505.4       0.2174172
           3505.8       0.2101001
           3506.2        0.207497
           3506.6       0.1996331
            3507.       0.2057376
           3507.4       0.2212918
           3507.8       0.2452023
           3508.2       0.2585443
           3508.6       0.2645375
            3509.       0.2579101
           3509.4       0.2349859
           3509.8       0.2095504
           3510.2       0.1799781
           3510.6       0.1621106
            3511.       0.1816076
           3511.4       0.2098145
           3511.8        0.215465
           3512.2       0.2076859
           3512.6       0.1905968
            3513.       0.1723014
           3513.4       0.1592062
           3513.8       0.1499338
           3514.2       0.1393377
           3514.6       0.1328614
            3515.       0.1297561
           3515.4       0.1405029
           3515.8       0.1699507
           3516.2        0.206608
           3516.6       0.2313469
            3517.       0.2442524
           3517.4       0.2778212
           3517.8       0.2955529
           3518.2        0.304313
           3518.6       0.2925091
            3519.       0.2788137
           3519.4       0.2727929
           3519.8        0.254829
           3520.2       0.2314499
           3520.6       0.2160657
            3521.       0.1984084
           3521.4       0.1731951
           3521.8       0.1612757
           3522.2       0.1747838
           3522.6       0.1902146
            3523.       0.1888987
           3523.4       0.1707663
           3523.8        0.143062
           3524.2       0.1224661
           3524.6       0.1054068
            3525.       0.1082321
           3525.4       0.1271683
           3525.8       0.1297792
           3526.2       0.1147325
           3526.6        0.109267
            3527.        0.129407
           3527.4       0.1669471
           3527.8       0.1941064
           3528.2       0.2086799
           3528.6       0.2325347
            3529.        0.254076
           3529.4       0.2535896
           3529.8       0.2376333
           3530.2       0.2276622
           3530.6       0.2252098
            3531.       0.2306705
           3531.4       0.2348133
           3531.8       0.2193338
           3532.2       0.1915759
           3532.6        0.176646
            3533.       0.1768662
           3533.4        0.182356
           3533.8       0.2043058
           3534.2       0.2408635
           3534.6         0.26214
            3535.       0.2581716
           3535.4       0.2498077
           3535.8       0.2455028
           3536.2       0.2408154
           3536.6       0.2344996
            3537.       0.2321302
           3537.4        0.231982
           3537.8       0.2211801
           3538.2       0.2085681
           3538.6        0.219787
            3539.       0.2458806
           3539.4       0.2794647
           3539.8       0.2962877
           3540.2       0.2837929
           3540.6       0.2647588
            3541.       0.2355864
           3541.4       0.2162349
           3541.8       0.2178016
           3542.2       0.2170617
           3542.6       0.2070493
            3543.       0.2082031
           3543.4       0.2243581
           3543.8       0.2372288
           3544.2       0.2482332
           3544.6       0.2595685
            3545.       0.2629871
           3545.4       0.2492725
           3545.8       0.2355387
           3546.2       0.2343783
           3546.6       0.2360178
            3547.       0.2358734
           3547.4       0.2247603
           3547.8       0.1975759
           3548.2       0.1789474
           3548.6       0.1912219
            3549.       0.2236632
           3549.4       0.2509266
           3549.8       0.2521776
           3550.2       0.2435509
           3550.6       0.2242288
            3551.       0.2115912
           3551.4       0.2034411
           3551.8       0.2010197
           3552.2       0.2067895
           3552.6       0.2059396
            3553.       0.1958957
           3553.4       0.1847351
           3553.8       0.1712055
           3554.2       0.1625274
           3554.6        0.160811
            3555.       0.1644762
           3555.4       0.1884207
           3555.8       0.2112285
           3556.2       0.2235811
           3556.6       0.2130338
            3557.       0.1949445
           3557.4       0.1968176
           3557.8       0.2064105
           3558.2       0.1924002
           3558.6       0.1602502
            3559.       0.1464112
           3559.4       0.1576349
           3559.8       0.1680987
           3560.2       0.1793235
           3560.6        0.180263
            3561.       0.1770677
           3561.4       0.1768802
           3561.8       0.1764326
           3562.2       0.1837628
           3562.6       0.1968478
            3563.        0.222301
           3563.4        0.246877
           3563.8       0.2482418
           3564.2       0.2264697
           3564.6       0.1859379
            3565.       0.1425631
           3565.4       0.1073692
           3565.8       0.0875733
           3566.2      0.08633376
           3566.6       0.1005477
            3567.       0.1275541
           3567.4       0.1524347
           3567.8       0.1687121
           3568.2        0.175738
           3568.6       0.1704294
            3569.       0.1487156
           3569.4       0.1186401
           3569.8      0.09500794
           3570.2      0.08032456
           3570.6      0.08370763
            3571.       0.1075294
           3571.4       0.1307252
           3571.8       0.1388737
           3572.2       0.1431186
           3572.6       0.1609864
            3573.       0.1918635
           3573.4       0.2077565
           3573.8       0.1995815
           3574.2       0.1905942
           3574.6       0.1896963
            3575.       0.1856785
           3575.4       0.1807457
           3575.8       0.1832278
           3576.2       0.1933053
           3576.6       0.1985977
            3577.       0.1988589
           3577.4       0.2006473
           3577.8       0.1818565
           3578.2       0.1526802
           3578.6       0.1259174
            3579.       0.1115171
           3579.4       0.1148891
           3579.8       0.1217165
           3580.2        0.114574
           3580.6      0.09367206
            3581.      0.07311308
           3581.4      0.05907781
           3581.8      0.05567619
           3582.2       0.0674952
           3582.6      0.08567385
            3583.      0.09541352
           3583.4       0.1053474
           3583.8       0.1096417
           3584.2       0.1058462
           3584.6      0.09802764
            3585.      0.08326823
           3585.4      0.06745042
           3585.8      0.06616288
           3586.2      0.07946035
           3586.6      0.08653697
            3587.      0.08437593
           3587.4      0.08493704
           3587.8      0.09187357
           3588.2       0.1050477
           3588.6       0.1093357
            3589.       0.1083241
           3589.4        0.104162
           3589.8      0.09846468
           3590.2       0.1102159
           3590.6       0.1442429
            3591.       0.1848097
           3591.4       0.2229118
           3591.8       0.2449567
           3592.2       0.2532924
           3592.6       0.2418041
            3593.       0.2178056
           3593.4       0.1840007
           3593.8       0.1642502
           3594.2        0.177831
           3594.6       0.2059558
            3595.       0.2220905
           3595.4       0.2297081
           3595.8        0.244795
           3596.2       0.2692378
           3596.6       0.2993605
            3597.       0.3225283
           3597.4       0.3103283
           3597.8       0.2761531
           3598.2       0.2691909
           3598.6       0.2740633
            3599.       0.2825876
           3599.4         0.28067
           3599.8       0.2865427
           3600.2       0.3131456
           3600.6       0.3372886
            3601.       0.3379954
           3601.4       0.3187623
           3601.8       0.2832636
           3602.2       0.2293947
           3602.6        0.194123
            3603.       0.1938219
           3603.4       0.2037188
           3603.8       0.2094572
           3604.2       0.2084965
           3604.6       0.2068463
            3605.        0.194502
           3605.4       0.1732981
           3605.8       0.1659183
           3606.2       0.1820148
           3606.6       0.2054985
            3607.       0.2246238
           3607.4       0.2424358
           3607.8       0.2370334
           3608.2       0.1939955
           3608.6       0.1458644
            3609.       0.1081918
           3609.4       0.1012131
           3609.8       0.1171409
           3610.2        0.135166
           3610.6       0.1432523
            3611.       0.1610858
           3611.4       0.2005369
           3611.8       0.2355542
           3612.2        0.248773
           3612.6       0.2445615
            3613.       0.2233756
           3613.4       0.1938043
           3613.8        0.183805
           3614.2       0.1946481
           3614.6       0.2199703
            3615.       0.2490074
           3615.4       0.2822943
           3615.8        0.290512
           3616.2       0.2840195
           3616.6       0.2829174
            3617.       0.2689194
           3617.4       0.2373171
           3617.8       0.1944967
           3618.2       0.1490458
           3618.6       0.1061658
            3619.      0.08295151
           3619.4      0.07647138
           3619.8      0.09604365
           3620.2       0.1297324
           3620.6       0.1691063
            3621.       0.1936055
           3621.4       0.1985638
           3621.8       0.2084594
           3622.2       0.2363504
           3622.6        0.277196
            3623.       0.3046037
           3623.4       0.2800449
           3623.8       0.2395338
           3624.2       0.2222955
           3624.6       0.2293231
            3625.       0.2485103
           3625.4       0.2796223
           3625.8        0.317549
           3626.2       0.3534013
           3626.6       0.3697766
            3627.       0.3715076
           3627.4       0.3615208
           3627.8       0.3388002
           3628.2       0.3245258
           3628.6       0.3208636
            3629.       0.3356924
           3629.4       0.3381932
           3629.8       0.3270877
           3630.2       0.2819548
           3630.6       0.2147655
            3631.         0.15659
           3631.4         0.11307
           3631.8      0.09832569
           3632.2       0.1166101
           3632.6       0.1530974
            3633.        0.184342
           3633.4       0.2012366
           3633.8        0.220428
           3634.2        0.216097
           3634.6       0.1978482
            3635.       0.1855445
           3635.4       0.2023013
           3635.8       0.2435774
           3636.2       0.2705258
