#K OBJECT   '160933'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 160933
#K OBJRA    17:36:39.94
#K OBJDEC   +69:34:14.6
#K OBJBMAG  7.000000E+00
#K OBJVMAG  6.420000E+00
#K SPTYPE   F9V
#K OBJRV    -5.340000E+01
#K HDNAME   HD 160933
#K BDNAME   BD+69 933
#K HIPNAME  HIP 86184
#K SAONAME  SAO 17572
#K VHELIO   -1.51454654888254E+00
#K VLSR     1.38609229106203E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.743638E+03
#K CMAX1    6.070430E+03
#K PICKTYPE F8V
#K NCOMBINE 5
#K TEFF     5765  1993A&A...275..101E (Edvardsson)
#K LOGG     4.020000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -3.900000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     8109.4-8146.6

#      wavelength        spectrum
#       angstroms                

            3465.        0.619176
           3465.4       0.5698914
           3465.8       0.5202142
           3466.2         0.51549
           3466.6       0.5507113
            3467.       0.5786196
           3467.4       0.6033104
           3467.8       0.6331978
           3468.2       0.6188517
           3468.6       0.5948393
            3469.       0.6026095
           3469.4       0.5783281
           3469.8       0.6007555
           3470.2       0.6760041
           3470.6       0.6811993
            3471.       0.6475105
           3471.4       0.6137788
           3471.8       0.5781612
           3472.2       0.5710987
           3472.6       0.5776076
            3473.       0.5679621
           3473.4       0.5559297
           3473.8       0.5284123
           3474.2       0.5087115
           3474.6       0.4996571
            3475.       0.4844802
           3475.4       0.4533703
           3475.8       0.4364411
           3476.2       0.4526184
           3476.6       0.4438421
            3477.       0.4380014
           3477.4        0.495555
           3477.8        0.559359
           3478.2       0.5817246
           3478.6       0.5960097
            3479.       0.5980678
           3479.4       0.5982971
           3479.8       0.6088122
           3480.2       0.5875976
           3480.6       0.6022387
            3481.       0.5982053
           3481.4       0.5978388
           3481.8       0.6049569
           3482.2       0.5997293
           3482.6       0.5755776
            3483.       0.5463155
           3483.4       0.5252033
           3483.8       0.5130406
           3484.2       0.5235137
           3484.6       0.5527258
            3485.        0.557049
           3485.4       0.5434554
           3485.8       0.5644469
           3486.2       0.6112558
           3486.6       0.6692027
            3487.       0.7054468
           3487.4       0.6966893
           3487.8       0.6549188
           3488.2       0.6148406
           3488.6       0.5860848
            3489.       0.5448315
           3489.4       0.5152626
           3489.8       0.5279899
           3490.2       0.5063162
           3490.6       0.4730374
            3491.       0.4945157
           3491.4       0.5455385
           3491.8       0.6004505
           3492.2       0.5939097
           3492.6       0.5379799
            3493.       0.4968135
           3493.4       0.5124261
           3493.8       0.5664307
           3494.2       0.6084097
           3494.6       0.6117432
            3495.       0.5700894
           3495.4       0.5108893
           3495.8       0.4786858
           3496.2       0.4572477
           3496.6       0.4575975
            3497.       0.4588767
           3497.4       0.4602614
           3497.8       0.4940484
           3498.2       0.5503392
           3498.6       0.6278819
            3499.       0.6821266
           3499.4       0.6877927
           3499.8       0.6939999
           3500.2       0.6824457
           3500.6       0.6471202
            3501.       0.6502919
           3501.4       0.6604226
           3501.8       0.6495253
           3502.2       0.6384625
           3502.6       0.6449424
            3503.       0.6760291
           3503.4       0.7215112
           3503.8        0.725715
           3504.2       0.6931997
           3504.6       0.6474109
            3505.        0.595404
           3505.4       0.5777607
           3505.8       0.5734914
           3506.2        0.568931
           3506.6        0.589115
            3507.       0.6028856
           3507.4       0.6482241
           3507.8       0.6657741
           3508.2       0.6690909
           3508.6       0.6966133
            3509.       0.6833473
           3509.4        0.636189
           3509.8       0.5980097
           3510.2       0.5594953
           3510.6       0.5487999
            3511.       0.5877955
           3511.4        0.640358
           3511.8       0.6297244
           3512.2       0.5936303
           3512.6       0.5909134
            3513.       0.5629939
           3513.4       0.5295886
           3513.8       0.5258684
           3514.2       0.5344027
           3514.6        0.546149
            3515.       0.5524592
           3515.4       0.5807741
           3515.8        0.632953
           3516.2       0.6545407
           3516.6       0.6875268
            3517.       0.6970848
           3517.4       0.7202187
           3517.8       0.7207357
           3518.2       0.7173309
           3518.6       0.6907355
            3519.       0.6720921
           3519.4        0.668315
           3519.8        0.638198
           3520.2       0.6120433
           3520.6       0.6016113
            3521.       0.5685775
           3521.4       0.5549057
           3521.8       0.5844885
           3522.2       0.6198968
           3522.6       0.6319626
            3523.       0.5921071
           3523.4       0.5489326
           3523.8       0.5125961
           3524.2       0.4831475
           3524.6       0.4658153
            3525.       0.5061904
           3525.4       0.5407923
           3525.8       0.4910002
           3526.2       0.4205244
           3526.6       0.4183272
            3527.        0.490299
           3527.4       0.5606223
           3527.8       0.6216695
           3528.2       0.6560787
           3528.6       0.6836409
            3529.       0.6899865
           3529.4        0.663954
           3529.8        0.638388
           3530.2       0.6414439
           3530.6        0.645514
            3531.       0.6585299
           3531.4       0.6697782
           3531.8         0.62774
           3532.2       0.5914347
           3532.6       0.5858932
            3533.       0.5651114
           3533.4       0.6057436
           3533.8       0.6593225
           3534.2       0.7113373
           3534.6       0.7027741
            3535.       0.6860172
           3535.4       0.6720355
           3535.8       0.6624897
           3536.2       0.6711863
           3536.6       0.6797924
            3537.       0.6753395
           3537.4        0.652661
           3537.8       0.6321569
           3538.2       0.6522041
           3538.6       0.6960431
            3539.       0.7494325
           3539.4       0.7955005
           3539.8       0.7702372
           3540.2       0.7209656
           3540.6       0.6857936
            3541.       0.6575705
           3541.4       0.6549395
           3541.8       0.6511818
           3542.2       0.6396725
           3542.6        0.665353
            3543.        0.688578
           3543.4       0.7234879
           3543.8       0.7422035
           3544.2       0.7499638
           3544.6       0.7270724
            3545.       0.7029285
           3545.4       0.6935784
           3545.8       0.7016832
           3546.2       0.7133003
           3546.6       0.7381811
            3547.       0.7392628
           3547.4       0.6933456
           3547.8       0.6546708
           3548.2       0.6414021
           3548.6        0.681877
            3549.       0.7228403
           3549.4       0.7335029
           3549.8       0.7400818
           3550.2       0.7263009
           3550.6       0.7173687
            3551.       0.7274838
           3551.4        0.692175
           3551.8       0.6702772
           3552.2       0.6828507
           3552.6       0.6840331
            3553.       0.6797718
           3553.4       0.6425288
           3553.8         0.62069
           3554.2       0.6146093
           3554.6       0.6044831
            3555.       0.6239769
           3555.4       0.6877449
           3555.8       0.7267663
           3556.2       0.7248271
           3556.6       0.6873698
            3557.       0.6651715
           3557.4       0.6947681
           3557.8       0.7119556
           3558.2       0.6758118
           3558.6       0.6387121
            3559.       0.6355942
           3559.4       0.6724787
           3559.8       0.6840847
           3560.2       0.6744885
           3560.6       0.6561415
            3561.       0.6480876
           3561.4       0.6398314
           3561.8       0.6574208
           3562.2       0.7168671
           3562.6       0.7671753
            3563.       0.7801459
           3563.4       0.7940909
           3563.8       0.7878205
           3564.2       0.7127964
           3564.6       0.6286831
            3565.       0.5151623
           3565.4       0.4413145
           3565.8       0.4245412
           3566.2       0.4407353
           3566.6       0.4916683
            3567.       0.5663684
           3567.4        0.616697
           3567.8       0.6416423
           3568.2        0.647509
           3568.6       0.6175503
            3569.       0.5542043
           3569.4       0.4685772
           3569.8       0.4047495
           3570.2       0.4014231
           3570.6       0.4608124
            3571.       0.5533289
           3571.4       0.5762557
           3571.8       0.5455953
           3572.2       0.5419406
           3572.6       0.5688115
            3573.       0.5908976
           3573.4       0.5934296
           3573.8       0.5820838
           3574.2       0.5756828
           3574.6       0.5858185
            3575.        0.598153
           3575.4        0.598368
           3575.8       0.6069769
           3576.2       0.6163208
           3576.6       0.6324785
            3577.       0.6498057
           3577.4       0.6605402
           3577.8       0.6587469
           3578.2       0.6156604
           3578.6       0.5725695
            3579.       0.5872414
           3579.4       0.6196339
           3579.8       0.6263424
           3580.2       0.5867471
           3580.6       0.4645723
            3581.       0.3637426
           3581.4       0.3276931
           3581.8       0.3711869
           3582.2       0.4443366
           3582.6       0.5129198
            3583.       0.5818071
           3583.4       0.6153386
           3583.8       0.6192445
           3584.2       0.5991871
           3584.6       0.5199413
            3585.       0.4161539
           3585.4       0.3659064
           3585.8       0.3911385
           3586.2       0.4318164
           3586.6        0.434514
            3587.       0.4273826
           3587.4       0.4484985
           3587.8       0.5001896
           3588.2       0.5254164
           3588.6       0.5287092
            3589.       0.5309442
           3589.4       0.5228581
           3589.8       0.5367253
           3590.2       0.5762475
           3590.6       0.6129577
            3591.       0.6814977
           3591.4       0.6980073
           3591.8       0.7003897
           3592.2        0.687833
           3592.6       0.6674615
            3593.       0.6343752
           3593.4       0.5939652
           3593.8       0.6170586
           3594.2       0.6720696
           3594.6       0.6766914
            3595.       0.6689016
           3595.4       0.6849283
           3595.8       0.6880618
           3596.2       0.7030883
           3596.6       0.7259657
            3597.       0.7361482
           3597.4       0.7451931
           3597.8       0.7245768
           3598.2       0.7211085
           3598.6       0.7233348
            3599.        0.706946
           3599.4       0.7017497
           3599.8        0.725948
           3600.2       0.7706113
           3600.6       0.7946666
            3601.       0.7706051
           3601.4        0.735252
           3601.8       0.6635994
           3602.2       0.5763636
           3602.6       0.5559813
            3603.         0.58299
           3603.4       0.5782509
           3603.8       0.5760974
           3604.2       0.6022891
           3604.6       0.6123655
            3605.       0.5775928
           3605.4       0.5455264
           3605.8       0.5649918
           3606.2       0.5981418
           3606.6       0.6146113
            3607.       0.6524175
           3607.4       0.6751387
           3607.8       0.6629608
           3608.2       0.5831757
           3608.6       0.4922318
            3609.        0.453223
           3609.4       0.4795948
           3609.8       0.5235044
           3610.2        0.537335
           3610.6        0.541668
            3611.        0.584069
           3611.4       0.6479665
           3611.8       0.6818139
           3612.2       0.6760311
           3612.6       0.6255549
            3613.       0.5630332
           3613.4       0.5339613
           3613.8       0.5273555
           3614.2        0.552028
           3614.6       0.6206532
            3615.       0.6723267
           3615.4       0.6897334
           3615.8        0.693882
           3616.2       0.6891961
           3616.6       0.6903324
            3617.       0.6909856
           3617.4       0.6465966
           3617.8       0.5544301
           3618.2       0.4703044
           3618.6       0.3934894
            3619.       0.3494187
           3619.4       0.4037084
           3619.8       0.4912768
           3620.2       0.5614096
           3620.6       0.6083312
            3621.       0.6040626
           3621.4       0.5761726
           3621.8       0.5954591
           3622.2       0.6616067
           3622.6       0.7122685
            3623.       0.6983084
           3623.4       0.6674948
           3623.8       0.6187542
           3624.2       0.6001175
           3624.6       0.6071541
            3625.       0.6261601
           3625.4       0.6905826
           3625.8       0.7557379
           3626.2       0.7756361
           3626.6       0.7826977
            3627.       0.7914769
           3627.4       0.7771074
           3627.8       0.7513506
           3628.2       0.7434438
           3628.6       0.7513074
            3629.        0.769969
           3629.4       0.7814173
           3629.8       0.7325521
           3630.2       0.6370001
           3630.6       0.5396169
            3631.       0.4408303
           3631.4       0.3859271
           3631.8       0.4045336
           3632.2       0.4805747
