#K OBJECT   '163506'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 163506
#K OBJRA    17:55:25.19
#K OBJDEC   +26:03:00.0
#K OBJBMAG  5.799000E+00
#K OBJVMAG  5.474000E+00
#K SPTYPE   F2Ibe
#K OBJRV    -2.850000E+01
#K HDNAME   HD 163506
#K BDNAME   BD+26 3120
#K HIPNAME  HIP 87747
#K SAONAME  SAO 85545
#K VHELIO   5.57090346214243E+00
#K VLSR     2.55127132452863E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.458081E+03
#K CMAX1    4.783491E+03
#K PICKTYPE F2II
#K NCOMBINE 4
#K TEFF     6400  1990ApJ...357..188L (Luck)
#K LOGG     1.200000E+00  1990ApJ...357..188L (Luck)
#K FEH      -4.100000E-01  1990ApJ...357..188L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     6800.2-8137.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.4975781
           3465.4       0.4896689
           3465.8       0.4689257
           3466.2       0.4755246
           3466.6       0.5144103
            3467.       0.5360526
           3467.4       0.5478756
           3467.8       0.5615054
           3468.2       0.5628058
           3468.6       0.5524715
            3469.        0.535835
           3469.4       0.5300716
           3469.8       0.5588142
           3470.2       0.5902355
           3470.6       0.5852064
            3471.        0.559117
           3471.4       0.5279289
           3471.8       0.5220561
           3472.2        0.531133
           3472.6       0.5157766
            3473.       0.5051551
           3473.4       0.4885371
           3473.8       0.4411537
           3474.2       0.4115764
           3474.6       0.3994743
            3475.       0.3757356
           3475.4       0.3680176
           3475.8       0.3752629
           3476.2       0.3997029
           3476.6       0.4039028
            3477.       0.4086391
           3477.4       0.4411174
           3477.8       0.4835327
           3478.2       0.5141169
           3478.6       0.5217896
            3479.       0.5137508
           3479.4       0.5071638
           3479.8       0.5087494
           3480.2       0.5164908
           3480.6       0.5146914
            3481.       0.5145814
           3481.4       0.5155252
           3481.8       0.5107052
           3482.2       0.4709083
           3482.6       0.4332074
            3483.       0.4091179
           3483.4       0.4038005
           3483.8       0.4259515
           3484.2       0.4661144
           3484.6       0.5116966
            3485.       0.5423711
           3485.4       0.5378405
           3485.8        0.524915
           3486.2       0.5385503
           3486.6       0.5524222
            3487.       0.5541229
           3487.4       0.5361158
           3487.8       0.4778078
           3488.2       0.4225378
           3488.6       0.4112592
            3489.       0.4164069
           3489.4       0.4182848
           3489.8       0.4247478
           3490.2       0.4131702
           3490.6       0.3802185
            3491.       0.3835986
           3491.4        0.433133
           3491.8       0.4800222
           3492.2       0.4880866
           3492.6       0.4689664
            3493.       0.4265201
           3493.4        0.425041
           3493.8       0.4437827
           3494.2       0.4445245
           3494.6       0.4328525
            3495.       0.4106088
           3495.4       0.3769875
           3495.8       0.3485849
           3496.2        0.339788
           3496.6       0.3388226
            3497.        0.350087
           3497.4       0.3531992
           3497.8       0.3641746
           3498.2       0.4224687
           3498.6       0.4834491
            3499.       0.5149543
           3499.4       0.5142801
           3499.8       0.4938677
           3500.2       0.4712032
           3500.6       0.4594742
            3501.       0.4680603
           3501.4       0.4814185
           3501.8       0.4857095
           3502.2       0.5010931
           3502.6       0.5090556
            3503.       0.5118104
           3503.4       0.5053765
           3503.8       0.4972669
           3504.2       0.4719238
           3504.6       0.4435399
            3505.       0.4356578
           3505.4       0.4448086
           3505.8       0.4653203
           3506.2       0.4886738
           3506.6       0.4982321
            3507.       0.4925972
           3507.4       0.4767497
           3507.8        0.476979
           3508.2       0.4885098
           3508.6       0.5088309
            3509.       0.5204422
           3509.4       0.5154879
           3509.8       0.4807757
           3510.2       0.4367283
           3510.6       0.4119927
            3511.       0.4115016
           3511.4       0.4205524
           3511.8       0.4341015
           3512.2       0.4695032
           3512.6       0.4859103
            3513.       0.4823585
           3513.4       0.4622296
           3513.8        0.435266
           3514.2       0.4311116
           3514.6        0.435922
            3515.       0.4596222
           3515.4       0.4819246
           3515.8       0.5014472
           3516.2        0.522913
           3516.6       0.5133548
            3517.       0.4864281
           3517.4       0.4844008
           3517.8       0.5046465
           3518.2       0.5265232
           3518.6       0.5376177
            3519.       0.5384261
           3519.4       0.5073772
           3519.8       0.4699927
           3520.2       0.4450865
           3520.6       0.4529734
            3521.       0.4630529
           3521.4       0.4640434
           3521.8       0.4865814
           3522.2       0.5098789
           3522.6        0.513786
            3523.       0.5104027
           3523.4       0.4939806
           3523.8       0.4470475
           3524.2       0.4213476
           3524.6        0.415896
            3525.       0.4314777
           3525.4       0.4513086
           3525.8       0.4437896
           3526.2       0.4277698
