#K OBJECT   '171301'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 171301
#K OBJRA    18:32:49.96
#K OBJDEC   +30:33:15.2
#K OBJBMAG  5.389000E+00
#K OBJVMAG  5.465000E+00
#K SPTYPE   B8IV
#K OBJRV    -9.500000E+00
#K HDNAME   HD 171301
#K BDNAME   BD+30 3223
#K HIPNAME  HIP 90923
#K SAONAME  SAO 67090
#K VHELIO   8.95759588536854E+00
#K VLSR     2.88374576673042E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785520E+03
#K CMAX1    8.121519E+03
#K PICKTYPE B8V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.        1.397146
           3465.4        1.410718
           3465.8        1.417554
           3466.2        1.405148
           3466.6        1.414023
            3467.        1.421057
           3467.4        1.400548
           3467.8        1.402768
           3468.2        1.399295
           3468.6        1.408985
            3469.        1.398753
           3469.4        1.411966
           3469.8        1.406943
           3470.2        1.416158
           3470.6        1.413843
            3471.        1.402068
           3471.4         1.40436
           3471.8         1.39315
           3472.2        1.390588
           3472.6         1.38304
            3473.        1.369246
           3473.4        1.342993
           3473.8         1.31917
           3474.2        1.324237
           3474.6        1.331552
            3475.         1.36686
           3475.4        1.385185
           3475.8         1.38802
           3476.2        1.391102
           3476.6         1.38204
            3477.        1.384408
           3477.4        1.388385
           3477.8        1.376151
           3478.2        1.397821
           3478.6        1.397558
            3479.        1.405727
           3479.4        1.393638
           3479.8        1.401549
           3480.2         1.40562
           3480.6         1.40334
            3481.        1.385728
           3481.4        1.382528
           3481.8        1.386467
           3482.2        1.370824
           3482.6        1.349746
            3483.        1.333078
           3483.4        1.359094
           3483.8        1.374017
           3484.2         1.38991
           3484.6        1.385339
            3485.        1.383196
           3485.4         1.39299
           3485.8        1.399832
           3486.2        1.393323
           3486.6        1.391323
            3487.        1.398167
           3487.4        1.399498
           3487.8        1.378848
           3488.2        1.347119
           3488.6        1.346295
            3489.        1.349104
           3489.4        1.354295
           3489.8        1.372001
           3490.2        1.393409
           3490.6        1.382506
            3491.        1.359113
           3491.4        1.370898
           3491.8        1.393753
           3492.2        1.401283
           3492.6        1.392317
            3493.        1.371013
           3493.4        1.365108
           3493.8        1.375377
           3494.2         1.37483
           3494.6        1.372005
            3495.        1.358584
           3495.4        1.323933
           3495.8        1.315131
           3496.2        1.333459
           3496.6        1.326325
            3497.        1.317932
           3497.4        1.331473
           3497.8        1.348545
           3498.2        1.359122
           3498.6        1.366633
            3499.        1.378565
           3499.4        1.382838
           3499.8        1.372388
           3500.2        1.367255
           3500.6        1.392086
            3501.        1.384958
           3501.4        1.371453
           3501.8        1.370348
           3502.2        1.370509
           3502.6        1.375694
            3503.        1.369393
           3503.4        1.365198
           3503.8        1.379603
           3504.2        1.372943
           3504.6        1.355694
            3505.        1.346699
           3505.4        1.358817
           3505.8        1.351883
           3506.2        1.359576
           3506.6        1.376785
            3507.        1.364442
           3507.4        1.366076
           3507.8        1.380523
           3508.2        1.375045
           3508.6        1.376581
            3509.        1.385602
           3509.4        1.365968
           3509.8        1.350141
           3510.2        1.354892
           3510.6        1.339119
            3511.        1.330234
           3511.4        1.341516
           3511.8         1.34969
           3512.2        1.358323
           3512.6        1.351995
            3513.        1.355432
           3513.4        1.365144
           3513.8        1.364353
           3514.2        1.365378
           3514.6        1.366126
            3515.        1.364887
           3515.4        1.366793
           3515.8        1.373734
           3516.2        1.381092
           3516.6        1.379563
            3517.        1.364414
           3517.4        1.371459
           3517.8        1.369017
           3518.2        1.371034
           3518.6         1.36617
            3519.        1.358914
           3519.4        1.359119
           3519.8        1.354685
           3520.2        1.360264
           3520.6        1.352996
            3521.        1.355162
           3521.4        1.358858
           3521.8        1.362232
           3522.2        1.355153
           3522.6        1.352131
            3523.        1.371192
           3523.4        1.367566
           3523.8        1.367784
           3524.2        1.371457
           3524.6        1.362146
            3525.         1.36352
           3525.4        1.359835
           3525.8        1.358068
           3526.2        1.371783
           3526.6        1.370383
            3527.        1.364599
           3527.4        1.372163
           3527.8        1.362919
           3528.2        1.363414
           3528.6        1.380808
            3529.        1.369907
           3529.4        1.349434
           3529.8        1.359193
           3530.2         1.37482
           3530.6        1.371291
            3531.        1.361811
           3531.4        1.356355
           3531.8         1.35487
           3532.2        1.357379
           3532.6        1.360943
            3533.        1.355848
           3533.4        1.356495
           3533.8        1.355027
           3534.2        1.359699
           3534.6        1.355428
            3535.        1.338513
           3535.4           1.338
           3535.8        1.346561
           3536.2        1.348885
           3536.6        1.358461
            3537.        1.361822
           3537.4        1.369685
           3537.8        1.360036
           3538.2        1.356729
