#K OBJECT   '172569'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 172569
#K OBJRA    18:36:13.27
#K OBJDEC   +65:29:19.4
#K OBJBMAG  6.328000E+00
#K OBJVMAG  6.064000E+00
#K SPTYPE   F0V
#K OBJRV    -23
#K HDNAME   HD 172569
#K BDNAME   BD+65 1283
#K HIPNAME  HIP 91196
#K SAONAME  SAO 17947
#K VHELIO   1.90561029458836E+00
#K VLSR     1.81197137508424E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785650E+03
#K CMAX1    8.121678E+03
#K PICKTYPE F0V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.7411752
           3465.4       0.7230258
           3465.8       0.7300919
           3466.2       0.7243875
           3466.6       0.7445304
            3467.       0.7886218
           3467.4       0.7944881
           3467.8        0.789692
           3468.2       0.7928995
           3468.6       0.7784795
            3469.          0.7556
           3469.4        0.766324
           3469.8       0.7943134
           3470.2       0.7964826
           3470.6       0.7927008
            3471.       0.7930651
           3471.4       0.7633094
           3471.8       0.7458174
           3472.2       0.7479569
           3472.6       0.7384992
            3473.       0.7383726
           3473.4       0.7145339
           3473.8        0.709552
           3474.2        0.672493
           3474.6       0.6323364
            3475.       0.6284093
           3475.4       0.6279907
           3475.8       0.6297579
           3476.2       0.6321045
           3476.6       0.6267233
            3477.       0.6424611
           3477.4       0.6659948
           3477.8       0.6944849
           3478.2       0.7352443
           3478.6       0.7528365
            3479.       0.7540104
           3479.4       0.7470869
           3479.8       0.7501594
           3480.2       0.7463264
           3480.6       0.7530769
            3481.       0.7529933
           3481.4       0.7352439
           3481.8       0.7546476
           3482.2       0.7266634
           3482.6       0.7059072
            3483.       0.6836959
           3483.4       0.6669406
           3483.8       0.6770403
           3484.2       0.6998485
           3484.6       0.7044789
            3485.       0.7321655
           3485.4        0.747595
           3485.8       0.7557597
           3486.2       0.7855921
           3486.6       0.7975863
            3487.       0.7980672
           3487.4       0.7893451
           3487.8       0.7643161
           3488.2       0.7214239
           3488.6       0.6974366
            3489.        0.691806
           3489.4       0.6722177
           3489.8       0.6668583
           3490.2       0.6640168
           3490.6       0.6622869
            3491.       0.6681626
           3491.4       0.6899106
           3491.8       0.7202297
           3492.2       0.7259289
           3492.6       0.7088093
            3493.       0.6849645
           3493.4       0.6960598
           3493.8        0.699692
           3494.2       0.6955523
           3494.6       0.6774023
            3495.       0.6499742
           3495.4       0.6058499
           3495.8       0.5913633
           3496.2       0.5834275
           3496.6       0.5715341
            3497.       0.5833616
           3497.4       0.6053695
           3497.8       0.6443267
           3498.2       0.6866189
           3498.6       0.7435014
            3499.       0.7781761
           3499.4       0.7694805
           3499.8       0.7633705
           3500.2       0.7646427
           3500.6        0.737458
            3501.       0.7285694
           3501.4       0.7385039
           3501.8       0.7487147
           3502.2       0.7465139
           3502.6       0.7419982
            3503.        0.778354
           3503.4        0.794019
           3503.8       0.7718721
           3504.2       0.7509167
           3504.6       0.7078963
            3505.       0.6873956
           3505.4       0.6953548
           3505.8       0.6893525
           3506.2       0.6814808
           3506.6       0.7148954
            3507.       0.7327055
           3507.4       0.7244532
           3507.8        0.748233
           3508.2       0.7647735
           3508.6       0.7516944
            3509.       0.7536933
           3509.4       0.7578868
           3509.8       0.6941203
           3510.2       0.6681166
           3510.6       0.6662009
            3511.       0.6729022
           3511.4       0.6850494
           3511.8       0.7129627
           3512.2       0.7413657
           3512.6       0.7234141
            3513.       0.6919404
           3513.4       0.6954834
           3513.8       0.6848357
           3514.2       0.6699297
           3514.6        0.690093
            3515.       0.7174323
           3515.4       0.7359934
           3515.8       0.7505611
           3516.2       0.7551334
           3516.6       0.7500542
            3517.       0.7634635
           3517.4       0.7649086
           3517.8       0.7516199
           3518.2        0.763464
           3518.6       0.7704014
            3519.       0.7478639
           3519.4       0.7394339
           3519.8       0.7294252
           3520.2        0.688763
           3520.6       0.6888407
            3521.       0.6861894
           3521.4       0.7062911
           3521.8       0.7185456
           3522.2       0.7400395
           3522.6       0.7507446
            3523.       0.7540034
           3523.4       0.7439012
           3523.8       0.6995174
           3524.2       0.6677141
           3524.6       0.6621626
            3525.       0.6823949
           3525.4       0.6698497
           3525.8       0.6463388
           3526.2       0.6128287
           3526.6       0.6010684
            3527.       0.6448784
           3527.4        0.692378
           3527.8       0.7317739
           3528.2       0.7577635
           3528.6       0.7717106
            3529.       0.7804002
           3529.4       0.7784895
           3529.8       0.7740358
           3530.2        0.739647
           3530.6       0.7266071
            3531.       0.7485583
           3531.4       0.7526845
           3531.8       0.7334958
           3532.2       0.7222838
           3532.6       0.7156203
            3533.       0.7158644
           3533.4       0.7220998
           3533.8       0.7394828
           3534.2       0.7635785
           3534.6       0.7650104
            3535.       0.7416409
           3535.4       0.7229812
           3535.8       0.7265475
           3536.2       0.7255195
           3536.6       0.7331998
            3537.       0.7221475
           3537.4        0.723834
           3537.8       0.7437037
           3538.2       0.7739731
           3538.6       0.7840296
            3539.       0.7914045
           3539.4       0.8115438
           3539.8       0.8118331
           3540.2       0.7898275
           3540.6       0.7577071
            3541.       0.7409613
           3541.4       0.7448174
           3541.8       0.7374321
           3542.2       0.7389464
           3542.6       0.7491051
            3543.       0.7751039
           3543.4       0.8099119
           3543.8       0.8160355
           3544.2       0.8042015
           3544.6       0.7817106
            3545.       0.7607042
           3545.4       0.7684659
           3545.8       0.7819249
           3546.2       0.8028824
           3546.6       0.7948071
            3547.       0.8077923
           3547.4       0.7974045
           3547.8       0.7629856
           3548.2       0.7395893
           3548.6       0.7445629
            3549.       0.7538058
           3549.4        0.778071
           3549.8       0.7973123
           3550.2       0.7982494
           3550.6       0.8087893
            3551.       0.8037009
           3551.4       0.7961191
           3551.8       0.8042517
           3552.2        0.783878
           3552.6       0.7778668
            3553.       0.7832156
           3553.4       0.7446661
           3553.8       0.7206653
           3554.2        0.720623
           3554.6       0.7230111
            3555.       0.7276291
           3555.4        0.745406
           3555.8       0.7671978
           3556.2       0.7640604
           3556.6       0.7485934
            3557.       0.7376529
           3557.4       0.7526953
           3557.8       0.7514174
           3558.2       0.7485778
           3558.6       0.7571394
            3559.       0.7604348
           3559.4       0.7668048
           3559.8       0.7784382
           3560.2       0.7755498
           3560.6       0.7698023
            3561.       0.7621537
           3561.4       0.7460471
           3561.8       0.7598694
           3562.2       0.7805858
           3562.6       0.7992443
            3563.       0.8313572
           3563.4       0.8332803
           3563.8       0.8314375
           3564.2       0.7799898
           3564.6       0.7275388
            3565.       0.6896345
           3565.4       0.6431945
           3565.8       0.6072838
           3566.2       0.6085374
           3566.6       0.6410269
            3567.       0.6758997
           3567.4       0.7037569
           3567.8       0.7258937
           3568.2       0.7270133
           3568.6       0.7044463
            3569.       0.6990965
           3569.4       0.6698807
           3569.8       0.6370781
           3570.2       0.6226029
           3570.6       0.6456729
            3571.       0.6924444
           3571.4       0.7003115
           3571.8       0.6703329
           3572.2       0.6572837
           3572.6       0.6604199
            3573.       0.6708161
           3573.4       0.6745813
           3573.8       0.7004249
           3574.2       0.7159442
           3574.6       0.7072284
            3575.       0.7126775
           3575.4       0.7136278
           3575.8       0.6925943
           3576.2       0.6881559
           3576.6       0.6999851
            3577.       0.7059638
           3577.4       0.7177576
           3577.8       0.7233573
           3578.2        0.723904
           3578.6        0.727185
            3579.       0.7436562
           3579.4       0.7587508
           3579.8       0.7600871
           3580.2       0.7493749
           3580.6       0.6935464
            3581.       0.6428134
           3581.4       0.6384895
           3581.8       0.6478471
           3582.2        0.675882
           3582.6       0.7273243
            3583.       0.7518908
           3583.4        0.756213
           3583.8        0.742052
           3584.2       0.7023419
           3584.6       0.6425038
            3585.       0.5773773
           3585.4       0.5354054
           3585.8       0.5459707
           3586.2       0.5699219
           3586.6        0.583059
            3587.       0.5991709
           3587.4       0.6167593
           3587.8       0.6330876
           3588.2       0.6485084
           3588.6       0.6594775
            3589.       0.6635531
           3589.4       0.6250287
           3589.8       0.6384308
           3590.2       0.6560959
           3590.6       0.7065974
            3591.       0.7411142
           3591.4       0.7468953
           3591.8       0.7475728
           3592.2       0.7507329
           3592.6       0.7387805
            3593.       0.7124286
           3593.4       0.7029768
           3593.8       0.7057469
           3594.2       0.7224513
           3594.6       0.7375393
            3595.       0.7482099
           3595.4       0.7516218
           3595.8       0.7574038
           3596.2       0.7425426
           3596.6       0.7545842
            3597.        0.769098
           3597.4       0.7705176
           3597.8       0.7652897
           3598.2       0.7591187
           3598.6       0.7776413
            3599.       0.7878196
           3599.4        0.785438
           3599.8       0.7827577
           3600.2       0.7702204
           3600.6        0.772103
            3601.       0.7590017
           3601.4       0.7432423
           3601.8       0.7097807
           3602.2       0.7005311
           3602.6       0.6932021
            3603.       0.6647791
           3603.4       0.6600318
           3603.8       0.6776785
           3604.2       0.6992462
           3604.6       0.7196654
            3605.       0.7090756
           3605.4       0.6780836
           3605.8       0.6965354
           3606.2       0.7055627
           3606.6       0.7412459
            3607.       0.7370025
           3607.4       0.7335121
           3607.8       0.7545434
           3608.2       0.7259818
           3608.6       0.6760976
            3609.        0.661167
           3609.4       0.6600366
           3609.8       0.6698925
           3610.2       0.6504567
           3610.6       0.6655939
            3611.       0.6711927
           3611.4       0.6919221
           3611.8       0.7276409
           3612.2       0.7322908
           3612.6       0.6922781
            3613.       0.6574358
           3613.4       0.6347016
           3613.8       0.6242638
           3614.2        0.645148
           3614.6       0.6812774
            3615.       0.7219824
           3615.4       0.7503362
           3615.8       0.7732216
           3616.2       0.7805502
           3616.6       0.7666037
            3617.       0.7457469
           3617.4       0.7071837
           3617.8       0.6875802
           3618.2       0.6539719
           3618.6       0.6180814
            3619.       0.6245532
           3619.4       0.6468694
           3619.8       0.6713749
           3620.2       0.7088346
           3620.6       0.7292943
            3621.       0.7124279
           3621.4       0.6872032
           3621.8          0.6866
           3622.2       0.7105971
           3622.6       0.7322046
            3623.       0.7410067
           3623.4       0.7460769
           3623.8       0.7371946
           3624.2       0.7031692
           3624.6       0.6932724
            3625.       0.7226957
           3625.4       0.7383823
           3625.8       0.7672381
           3626.2          0.8095
           3626.6       0.8284339
            3627.       0.8259185
           3627.4       0.8168957
           3627.8       0.7898432
           3628.2       0.7910184
           3628.6       0.8027726
            3629.       0.7997503
           3629.4       0.7866819
           3629.8       0.7596637
           3630.2       0.7191238
           3630.6       0.6619415
            3631.       0.5937639
           3631.4       0.5666273
           3631.8       0.5805163
           3632.2       0.6099629
           3632.6       0.6605266
            3633.       0.6874775
           3633.4       0.7076139
           3633.8       0.7142586
           3634.2       0.7033483
           3634.6       0.6987321
            3635.       0.7081274
           3635.4        0.711496
           3635.8       0.7123963
           3636.2       0.7341727
           3636.6       0.7491356
            3637.       0.7529395
           3637.4       0.7479761
           3637.8       0.7560179
           3638.2       0.7533865
           3638.6       0.7631781
            3639.       0.7827407
           3639.4       0.7914317
           3639.8       0.7753704
           3640.2        0.765222
           3640.6        0.758007
            3641.       0.7296341
           3641.4       0.7237736
           3641.8        0.722737
           3642.2       0.7093453
           3642.6        0.697051
            3643.       0.6870309
           3643.4       0.6751875
           3643.8       0.6790306
           3644.2       0.6806555
           3644.6       0.6688796
            3645.       0.6712304
           3645.4        0.674633
           3645.8        0.687014
           3646.2          0.7282
           3646.6       0.7484357
            3647.       0.7441182
           3647.4       0.7257077
           3647.8       0.7099543
           3648.2       0.7059022
           3648.6       0.7120305
            3649.       0.7290273
           3649.4       0.6971884
           3649.8       0.6897472
           3650.2       0.7017462
           3650.6        0.704317
            3651.       0.7102947
           3651.4       0.7076194
           3651.8       0.7139488
           3652.2       0.7356376
           3652.6       0.7610714
            3653.       0.7918937
           3653.4       0.7928078
           3653.8       0.7852474
           3654.2       0.7880353
           3654.6       0.7941625
            3655.       0.7915777
           3655.4       0.7818095
           3655.8       0.7709685
           3656.2       0.7763565
           3656.6       0.7761227
            3657.       0.7722461
           3657.4       0.8069102
           3657.8       0.8081285
           3658.2       0.8082155
           3658.6       0.7932009
            3659.       0.7864984
           3659.4       0.7710677
           3659.8       0.7715654
           3660.2       0.7496958
           3660.6        0.759377
            3661.       0.7928811
           3661.4       0.7887245
           3661.8       0.7716827
           3662.2       0.7675713
           3662.6       0.7652127
            3663.       0.7637007
           3663.4        0.763067
           3663.8        0.763462
           3664.2       0.7602363
           3664.6       0.7436553
            3665.       0.7635437
           3665.4       0.7794299
           3665.8       0.7884618
           3666.2       0.7871391
           3666.6       0.7752019
            3667.       0.7844746
           3667.4        0.793751
           3667.8       0.7838912
           3668.2       0.7847602
           3668.6       0.7627309
            3669.       0.7488442
           3669.4        0.719958
           3669.8       0.7272013
           3670.2       0.7200373
           3670.6        0.731514
            3671.       0.7629477
           3671.4       0.7865605
           3671.8       0.8023095
           3672.2       0.8171535
           3672.6       0.8213032
            3673.       0.8030162
           3673.4       0.7797096
           3673.8       0.7692269
           3674.2       0.7728368
           3674.6       0.7735937
            3675.       0.7774476
           3675.4        0.801801
           3675.8        0.790889
           3676.2       0.7744383
           3676.6       0.7493869
            3677.       0.7222508
           3677.4       0.6893523
           3677.8       0.6662676
           3678.2       0.6956754
           3678.6       0.7140356
            3679.       0.7117325
           3679.4       0.7154896
           3679.8       0.7127971
           3680.2       0.7082449
           3680.6       0.7183362
            3681.       0.7455469
           3681.4       0.7593007
           3681.8       0.7462487
           3682.2       0.7333848
           3682.6       0.7289499
            3683.       0.7299421
           3683.4       0.7393988
           3683.8       0.7483678
           3684.2       0.7528877
           3684.6       0.7268633
            3685.       0.6988834
           3685.4       0.6861504
           3685.8       0.6910599
           3686.2       0.6917102
           3686.6       0.6892154
            3687.       0.6735066
           3687.4       0.6619308
           3687.8        0.682127
           3688.2       0.7142341
           3688.6       0.7480221
            3689.       0.7830372
           3689.4       0.7851177
           3689.8       0.7828517
           3690.2       0.7746553
           3690.6       0.7766278
            3691.       0.7476779
           3691.4        0.742138
           3691.8       0.7603715
           3692.2       0.7767326
           3692.6       0.7870494
            3693.       0.7990171
           3693.4       0.8069742
           3693.8       0.7958773
           3694.2       0.7780483
           3694.6       0.7831775
            3695.       0.8054336
           3695.4       0.8058299
           3695.8       0.7916527
           3696.2       0.7653888
           3696.6       0.7214031
            3697.       0.6914001
           3697.4       0.6858613
           3697.8       0.7050958
           3698.2       0.7327718
           3698.6       0.7703663
            3699.       0.8324124
           3699.4       0.8846238
           3699.8       0.8948291
           3700.2       0.8862675
           3700.6       0.8713324
            3701.       0.8515311
           3701.4       0.8570016
           3701.8       0.8400484
           3702.2       0.8100932
           3702.6       0.7751017
            3703.        0.723075
           3703.4       0.6698833
           3703.8       0.6466724
           3704.2       0.6372675
           3704.6       0.6298586
            3705.       0.6457591
           3705.4       0.6450004
           3705.8       0.6271198
           3706.2       0.6332999
           3706.6       0.6799201
            3707.       0.7414296
           3707.4       0.7811077
           3707.8       0.8002691
           3708.2       0.8056942
           3708.6       0.8027074
            3709.       0.7912185
           3709.4       0.7726947
           3709.8       0.7471076
           3710.2       0.7173066
           3710.6       0.7003847
            3711.       0.6815787
           3711.4       0.6607137
           3711.8       0.6181671
           3712.2       0.5986867
           3712.6       0.6240535
            3713.       0.6819496
           3713.4       0.7397401
           3713.8        0.809799
           3714.2         0.86185
           3714.6       0.8739214
            3715.       0.8760263
           3715.4       0.8652817
           3715.8       0.8648918
           3716.2       0.9014092
           3716.6       0.9362391
            3717.       0.9685827
           3717.4       0.9885427
           3717.8       0.9968004
           3718.2       0.9884226
           3718.6       0.9474189
            3719.       0.8866895
           3719.4       0.8331574
           3719.8       0.7864004
           3720.2       0.7285187
           3720.6       0.6655339
            3721.       0.6142203
           3721.4       0.5629232
           3721.8       0.5190566
           3722.2       0.5085577
           3722.6       0.5431772
            3723.       0.6062926
           3723.4       0.6753523
           3723.8       0.7412161
           3724.2       0.8003321
           3724.6       0.8429474
            3725.       0.9055526
           3725.4        0.968029
           3725.8       0.9837865
           3726.2       0.9825279
           3726.6       0.9273899
            3727.       0.8672649
           3727.4       0.8236223
           3727.8       0.8252755
           3728.2       0.8956729
           3728.6       0.9591504
            3729.       0.9972367
           3729.4        1.018443
