#K OBJECT   '172958'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 172958
#K OBJRA    18:41:41.31
#K OBJDEC   +31:37:03.4
#K OBJBMAG  6.356000E+00
#K OBJVMAG  6.403000E+00
#K SPTYPE   B8V
#K OBJRV    -1.630000E+01
#K HDNAME   HD 172958
#K BDNAME   BD+31 3332
#K HIPNAME  HIP 91675
#K SAONAME  SAO 67256
#K VHELIO   9.04810508413873E+00
#K VLSR     2.88393625143770E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    5.463710E+03
#K CMAX1    6.796240E+03
#K PICKTYPE B8V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     8108.6-8137.4

#      wavelength        spectrum
#       angstroms                

            3465.        1.397364
           3465.4        1.410472
           3465.8        1.408276
           3466.2        1.401915
           3466.6        1.393811
            3467.        1.414508
           3467.4        1.410872
           3467.8        1.401324
           3468.2        1.398005
           3468.6        1.407837
            3469.        1.387447
           3469.4        1.372987
           3469.8        1.374493
           3470.2        1.388039
           3470.6        1.398501
            3471.         1.36893
           3471.4        1.374665
           3471.8        1.400984
           3472.2        1.391932
           3472.6        1.339923
            3473.        1.343712
           3473.4        1.358266
           3473.8        1.352123
           3474.2        1.339343
           3474.6         1.36797
            3475.        1.364147
           3475.4        1.341432
           3475.8        1.350685
           3476.2        1.354289
           3476.6         1.38339
            3477.        1.391841
           3477.4        1.423495
           3477.8        1.385261
           3478.2         1.36164
           3478.6        1.380816
            3479.        1.372393
           3479.4        1.363462
           3479.8        1.377206
           3480.2        1.393971
           3480.6        1.384121
            3481.        1.361661
           3481.4        1.370056
           3481.8        1.387568
           3482.2        1.368972
           3482.6        1.340034
            3483.        1.355677
           3483.4        1.347432
           3483.8        1.389728
           3484.2        1.370578
           3484.6        1.362043
            3485.        1.364771
           3485.4         1.36969
           3485.8        1.376859
           3486.2        1.367742
           3486.6         1.36073
            3487.        1.365831
           3487.4         1.37762
           3487.8         1.37023
           3488.2        1.350902
           3488.6        1.368326
            3489.        1.368863
           3489.4        1.351642
           3489.8        1.349657
           3490.2         1.36536
           3490.6        1.366207
            3491.        1.359564
           3491.4        1.349446
           3491.8        1.337846
           3492.2        1.349052
           3492.6        1.360473
            3493.        1.351938
           3493.4        1.336153
           3493.8        1.339408
           3494.2        1.329095
           3494.6        1.339156
            3495.        1.329002
           3495.4        1.334155
           3495.8        1.340451
           3496.2        1.329456
           3496.6        1.334327
            3497.        1.347764
           3497.4        1.350552
           3497.8        1.345948
           3498.2        1.327093
           3498.6        1.340276
            3499.        1.362252
           3499.4        1.363588
           3499.8         1.35907
           3500.2        1.347471
           3500.6        1.354098
            3501.        1.363167
           3501.4        1.366117
           3501.8         1.36355
           3502.2        1.356992
           3502.6        1.350498
            3503.        1.347411
           3503.4        1.356616
           3503.8        1.350448
           3504.2        1.347561
           3504.6        1.356708
            3505.        1.371707
           3505.4        1.373569
           3505.8        1.368307
           3506.2        1.356076
           3506.6        1.335082
            3507.        1.342694
           3507.4        1.350411
           3507.8        1.329049
           3508.2         1.32976
           3508.6        1.349863
            3509.        1.363648
           3509.4        1.358819
           3509.8        1.386754
           3510.2          1.3566
           3510.6        1.335694
            3511.        1.330095
           3511.4        1.359271
           3511.8        1.378675
           3512.2        1.338941
           3512.6        1.311488
            3513.        1.323998
           3513.4        1.335914
           3513.8        1.348884
           3514.2        1.336208
           3514.6        1.341835
            3515.        1.334594
           3515.4        1.348938
           3515.8        1.360896
           3516.2        1.368835
           3516.6        1.351405
            3517.        1.372883
           3517.4        1.378272
           3517.8        1.354959
           3518.2        1.357838
           3518.6        1.354966
            3519.        1.359198
           3519.4        1.379115
           3519.8        1.351903
           3520.2        1.349159
           3520.6        1.363758
            3521.        1.340083
           3521.4        1.344704
           3521.8        1.356256
           3522.2        1.359478
           3522.6        1.350225
            3523.        1.340165
           3523.4        1.359478
           3523.8        1.369685
           3524.2        1.340471
           3524.6        1.345685
            3525.        1.377724
           3525.4        1.364898
           3525.8        1.351575
           3526.2        1.353846
           3526.6        1.357222
            3527.        1.366389
           3527.4        1.378185
           3527.8        1.361533
           3528.2        1.366608
           3528.6        1.388365
            3529.        1.376975
           3529.4        1.350674
           3529.8        1.349202
           3530.2        1.391872
           3530.6         1.36442
            3531.        1.357502
           3531.4        1.381487
           3531.8        1.366005
           3532.2        1.371407
           3532.6        1.362092
            3533.        1.359974
           3533.4        1.370026
           3533.8        1.356479
           3534.2        1.352344
           3534.6        1.361006
            3535.        1.340851
           3535.4        1.335465
           3535.8        1.349433
           3536.2        1.352108
           3536.6        1.378004
            3537.        1.356728
           3537.4        1.363166
           3537.8        1.353248
           3538.2         1.34121
           3538.6        1.352852
            3539.        1.359276
           3539.4        1.358468
           3539.8         1.34208
           3540.2        1.328463
           3540.6        1.362842
            3541.        1.365198
           3541.4         1.35036
           3541.8         1.33262
           3542.2        1.329677
           3542.6        1.365509
            3543.        1.373104
           3543.4        1.365174
           3543.8        1.370546
           3544.2        1.390882
           3544.6        1.369394
            3545.        1.332196
           3545.4        1.352979
           3545.8        1.367283
           3546.2        1.371186
           3546.6        1.365224
            3547.        1.353483
           3547.4        1.373849
           3547.8        1.340111
           3548.2        1.340466
           3548.6        1.360894
            3549.        1.336179
           3549.4        1.345076
           3549.8        1.369138
           3550.2        1.369713
           3550.6        1.371056
            3551.        1.345471
           3551.4        1.351636
           3551.8        1.361462
           3552.2        1.364532
           3552.6        1.360759
            3553.        1.347945
           3553.4        1.350237
           3553.8        1.344801
           3554.2        1.335596
           3554.6        1.344267
            3555.        1.342937
           3555.4        1.350482
           3555.8        1.379431
           3556.2        1.373683
           3556.6        1.361729
            3557.        1.365512
           3557.4        1.360973
           3557.8        1.372009
           3558.2        1.360216
           3558.6        1.368924
            3559.        1.349799
           3559.4        1.338991
           3559.8        1.352206
           3560.2        1.339165
           3560.6        1.333154
            3561.        1.356023
           3561.4        1.362977
           3561.8        1.358831
           3562.2        1.349085
           3562.6        1.371751
            3563.        1.366521
           3563.4        1.345503
           3563.8        1.316778
           3564.2        1.364981
           3564.6         1.36791
            3565.        1.335853
           3565.4        1.348427
           3565.8        1.337915
           3566.2        1.330947
           3566.6        1.360905
            3567.        1.341821
           3567.4        1.351758
           3567.8        1.360209
           3568.2         1.35658
           3568.6        1.334187
            3569.        1.324758
           3569.4        1.323485
           3569.8        1.317391
           3570.2        1.339547
           3570.6         1.33165
            3571.        1.313252
           3571.4        1.326603
           3571.8        1.325841
           3572.2        1.331325
           3572.6        1.351129
            3573.        1.338008
           3573.4         1.32856
           3573.8        1.338815
           3574.2        1.326863
           3574.6        1.312618
            3575.        1.348328
           3575.4        1.344299
           3575.8        1.314933
           3576.2        1.313257
           3576.6        1.318148
            3577.        1.319883
           3577.4        1.322068
           3577.8        1.314503
           3578.2        1.313562
           3578.6        1.343846
            3579.          1.3191
           3579.4        1.321608
           3579.8        1.334912
           3580.2        1.328324
           3580.6        1.331353
            3581.        1.342485
           3581.4        1.336013
           3581.8        1.326933
           3582.2        1.319747
           3582.6        1.314348
            3583.        1.331033
           3583.4        1.341928
           3583.8        1.343737
           3584.2        1.314309
           3584.6         1.30513
            3585.        1.298428
           3585.4        1.286359
           3585.8        1.279803
           3586.2         1.30025
           3586.6        1.317898
            3587.        1.308332
           3587.4        1.305215
           3587.8        1.315668
           3588.2         1.30826
           3588.6        1.307831
            3589.        1.332441
           3589.4        1.323011
           3589.8        1.329172
           3590.2        1.319747
           3590.6        1.341849
            3591.        1.317451
           3591.4        1.329947
           3591.8        1.336279
           3592.2        1.332211
           3592.6        1.349655
            3593.        1.325055
           3593.4        1.308681
           3593.8        1.336704
           3594.2        1.331423
           3594.6        1.318372
            3595.        1.306888
           3595.4          1.3134
           3595.8        1.296576
           3596.2        1.307082
           3596.6        1.327518
            3597.        1.325851
           3597.4        1.309181
           3597.8        1.296174
           3598.2        1.299653
           3598.6        1.316528
            3599.        1.320271
           3599.4        1.305495
           3599.8        1.317085
           3600.2        1.281665
           3600.6        1.284438
            3601.         1.31594
           3601.4        1.307517
           3601.8        1.310249
           3602.2        1.302694
           3602.6        1.294907
            3603.        1.303049
           3603.4        1.307809
           3603.8        1.304045
           3604.2        1.293294
           3604.6        1.299289
            3605.        1.285178
           3605.4         1.28546
           3605.8        1.288625
           3606.2        1.315139
           3606.6        1.304199
            3607.         1.30163
           3607.4        1.300646
           3607.8        1.281851
           3608.2        1.290731
           3608.6        1.304652
            3609.        1.302276
           3609.4        1.313738
           3609.8        1.304749
           3610.2        1.305475
           3610.6        1.289739
            3611.        1.266732
           3611.4        1.294614
           3611.8        1.315865
           3612.2        1.285555
           3612.6        1.291104
            3613.        1.291034
           3613.4        1.265103
           3613.8        1.267387
           3614.2         1.28967
           3614.6         1.30146
            3615.        1.295144
           3615.4        1.292901
           3615.8        1.296478
           3616.2        1.303401
           3616.6        1.292924
            3617.        1.284586
           3617.4        1.289953
           3617.8        1.289506
           3618.2        1.313413
           3618.6        1.315771
            3619.        1.279299
           3619.4        1.265576
           3619.8        1.280525
           3620.2          1.2946
           3620.6        1.289998
            3621.        1.287014
           3621.4        1.287338
           3621.8        1.294135
           3622.2        1.296028
           3622.6         1.28686
            3623.        1.293359
           3623.4        1.291425
           3623.8        1.288791
           3624.2        1.278227
           3624.6        1.268444
            3625.        1.281614
           3625.4        1.279331
           3625.8        1.271378
           3626.2        1.265238
           3626.6        1.265893
            3627.        1.287883
           3627.4        1.282512
           3627.8        1.270966
           3628.2         1.26299
           3628.6        1.284121
            3629.        1.286785
           3629.4        1.277772
           3629.8        1.280795
           3630.2        1.271779
           3630.6        1.265347
            3631.        1.266979
           3631.4        1.269498
           3631.8        1.256468
           3632.2        1.269814
           3632.6        1.265797
            3633.        1.287108
           3633.4        1.281819
           3633.8        1.269335
           3634.2        1.255194
           3634.6        1.273793
            3635.        1.284169
           3635.4        1.274188
           3635.8        1.293326
           3636.2        1.273621
           3636.6        1.273141
            3637.        1.290922
           3637.4          1.2754
           3637.8        1.262117
           3638.2        1.284722
           3638.6        1.259317
            3639.         1.26055
           3639.4        1.269364
           3639.8        1.257305
           3640.2        1.276258
           3640.6        1.282788
            3641.        1.259452
           3641.4        1.271358
           3641.8        1.258522
           3642.2        1.246546
           3642.6        1.266056
            3643.         1.27078
           3643.4        1.265687
           3643.8        1.270646
           3644.2        1.263531
           3644.6        1.249542
            3645.        1.267108
           3645.4        1.271936
           3645.8        1.258818
           3646.2        1.255314
           3646.6        1.240199
            3647.        1.257621
           3647.4        1.269176
           3647.8        1.259768
           3648.2        1.255938
           3648.6        1.231376
            3649.        1.269815
           3649.4         1.27114
           3649.8        1.262534
           3650.2        1.234896
           3650.6        1.223799
            3651.        1.250211
           3651.4        1.263536
           3651.8        1.268527
           3652.2        1.253735
           3652.6        1.258698
            3653.        1.270391
           3653.4        1.254147
           3653.8        1.260641
           3654.2         1.25115
           3654.6         1.25748
            3655.        1.242657
           3655.4        1.235567
           3655.8        1.253856
           3656.2        1.260893
           3656.6        1.258675
            3657.        1.257813
           3657.4         1.25201
           3657.8         1.24292
           3658.2         1.23177
           3658.6        1.238212
            3659.        1.260335
           3659.4        1.244295
           3659.8        1.240435
           3660.2        1.250014
           3660.6        1.243584
            3661.        1.235614
           3661.4        1.241554
           3661.8        1.232701
           3662.2        1.220597
           3662.6        1.240479
            3663.        1.245293
           3663.4        1.242168
           3663.8        1.241708
           3664.2        1.246864
           3664.6        1.242061
            3665.        1.241561
           3665.4        1.241632
           3665.8         1.23403
           3666.2         1.23082
           3666.6        1.237791
            3667.        1.244886
           3667.4        1.241137
           3667.8        1.239798
           3668.2        1.244018
           3668.6         1.22403
            3669.        1.233741
           3669.4        1.219489
           3669.8        1.235802
           3670.2        1.241314
           3670.6        1.242993
            3671.        1.237789
           3671.4        1.229171
           3671.8        1.236995
           3672.2         1.24148
           3672.6        1.229965
            3673.        1.235767
           3673.4        1.251191
           3673.8        1.244051
           3674.2        1.243873
           3674.6        1.227256
            3675.        1.232677
           3675.4        1.213053
           3675.8        1.223165
           3676.2        1.227296
           3676.6        1.207679
            3677.        1.219106
           3677.4        1.221089
           3677.8        1.205152
           3678.2        1.219436
           3678.6        1.214356
            3679.        1.210592
           3679.4        1.215325
           3679.8        1.205277
           3680.2        1.217236
           3680.6        1.218112
            3681.        1.200423
           3681.4        1.219627
           3681.8        1.238117
           3682.2        1.233812
           3682.6        1.231412
            3683.        1.218044
           3683.4        1.203765
           3683.8        1.213811
           3684.2        1.211749
           3684.6        1.203922
            3685.        1.194253
           3685.4        1.198523
           3685.8        1.207701
           3686.2        1.189923
           3686.6        1.194699
            3687.        1.197015
           3687.4        1.199728
           3687.8        1.208724
           3688.2        1.219796
           3688.6        1.244447
            3689.         1.25385
           3689.4        1.231389
           3689.8        1.208919
           3690.2        1.225517
           3690.6        1.214648
            3691.        1.203114
           3691.4        1.184192
           3691.8        1.178978
           3692.2        1.202511
           3692.6        1.218342
            3693.        1.213717
           3693.4        1.229042
           3693.8        1.249368
           3694.2        1.247676
           3694.6        1.251741
            3695.        1.227671
           3695.4        1.211307
           3695.8        1.196666
           3696.2        1.182188
           3696.6        1.168486
            3697.        1.150899
           3697.4        1.143188
           3697.8         1.16253
           3698.2        1.180947
           3698.6        1.215567
            3699.        1.258877
           3699.4        1.266845
           3699.8        1.283997
           3700.2        1.298976
           3700.6        1.285291
            3701.        1.273852
           3701.4         1.25235
           3701.8        1.209281
           3702.2        1.188987
           3702.6        1.145694
            3703.        1.123886
           3703.4        1.113509
           3703.8        1.104352
           3704.2        1.095048
           3704.6        1.074913
            3705.        1.108784
           3705.4        1.184942
           3705.8        1.252649
           3706.2         1.25779
           3706.6        1.296198
            3707.        1.340095
           3707.4        1.361492
           3707.8         1.36913
           3708.2        1.385269
           3708.6         1.36703
            3709.        1.298155
           3709.4        1.259467
           3709.8        1.256877
           3710.2        1.204355
           3710.6        1.131266
            3711.        1.092272
           3711.4        1.053665
           3711.8        1.033627
           3712.2        1.035088
           3712.6        1.054269
            3713.          1.0949
           3713.4        1.142429
           3713.8        1.178501
           3714.2        1.236543
           3714.6        1.303168
            3715.        1.354889
           3715.4        1.416221
           3715.8         1.46119
           3716.2        1.486632
           3716.6        1.495848
            3717.        1.524651
           3717.4        1.500262
           3717.8        1.487211
           3718.2        1.457683
           3718.6        1.394189
            3719.        1.342315
           3719.4        1.282059
           3719.8        1.207043
           3720.2        1.151443
           3720.6        1.093665
            3721.        1.036762
           3721.4        1.009499
           3721.8       0.9645541
           3722.2       0.9639214
           3722.6       0.9849072
            3723.         1.01865
           3723.4        1.090289
           3723.8        1.141783
           3724.2        1.203423
           3724.6        1.301069
            3725.        1.383556
           3725.4        1.460856
           3725.8        1.521354
           3726.2        1.532937
           3726.6        1.587022
            3727.        1.625508
           3727.4        1.634297
           3727.8        1.657969
           3728.2        1.690298
           3728.6        1.682325
            3729.        1.658381
           3729.4        1.640152
           3729.8         1.61275
           3730.2        1.556626
           3730.6        1.494635
            3731.        1.432031
           3731.4        1.348293
           3731.8        1.278076
           3732.2        1.205577
           3732.6        1.125483
            3733.        1.038815
           3733.4       0.9749647
           3733.8       0.9408965
           3734.2       0.9083754
           3734.6       0.9036181
            3735.       0.9296903
           3735.4       0.9779006
           3735.8        1.026233
           3736.2        1.067844
           3736.6        1.151991
            3737.        1.260682
           3737.4        1.330797
           3737.8        1.404505
           3738.2        1.493997
           3738.6        1.576164
            3739.        1.654569
           3739.4          1.7166
           3739.8        1.762013
           3740.2        1.805183
           3740.6           1.846
            3741.        1.861168
           3741.4        1.886803
           3741.8        1.931885
           3742.2        1.920867
           3742.6        1.910255
            3743.         1.91313
           3743.4        1.885406
           3743.8        1.854006
           3744.2        1.836676
           3744.6        1.789319
            3745.        1.723036
           3745.4        1.667233
           3745.8        1.592137
           3746.2        1.524578
           3746.6        1.462246
            3747.        1.364202
           3747.4        1.274954
           3747.8        1.185547
           3748.2        1.109693
           3748.6        1.026803
            3749.       0.9765963
           3749.4       0.8960975
           3749.8       0.8854704
           3750.2        0.883462
           3750.6       0.8762859
            3751.       0.9106826
           3751.4       0.9632131
           3751.8        1.032743
           3752.2        1.121705
           3752.6        1.190658
            3753.        1.264965
           3753.4        1.357467
           3753.8        1.450814
           3754.2        1.518741
           3754.6        1.610201
            3755.        1.675516
           3755.4        1.743547
           3755.8         1.81402
           3756.2        1.857011
           3756.6        1.907495
            3757.        1.970443
           3757.4        2.011262
           3757.8        2.036175
           3758.2        2.041932
           3758.6        2.047429
            3759.        2.079331
           3759.4        2.077265
           3759.8        2.075035
           3760.2        2.113704
           3760.6        2.117997
            3761.        2.128674
           3761.4        2.139959
           3761.8        2.132139
           3762.2        2.116811
           3762.6        2.083106
            3763.        2.040668
           3763.4        2.002525
           3763.8        1.969583
           3764.2        1.939628
           3764.6        1.881161
            3765.         1.79606
           3765.4         1.74876
           3765.8        1.681142
           3766.2        1.631488
           3766.6         1.54541
            3767.        1.453454
           3767.4        1.384958
           3767.8         1.29526
           3768.2        1.193801
           3768.6        1.090808
            3769.        1.029298
           3769.4       0.9588417
           3769.8        0.905387
           3770.2       0.8501145
           3770.6       0.8366749
            3771.       0.8472343
           3771.4       0.8734839
           3771.8       0.9203396
           3772.2       0.9879819
           3772.6        1.089197
            3773.        1.161376
           3773.4        1.210812
           3773.8        1.327076
           3774.2        1.420781
           3774.6         1.51867
            3775.        1.593888
           3775.4        1.663864
           3775.8         1.73366
           3776.2        1.831039
           3776.6        1.879767
            3777.        1.947144
           3777.4        2.005288
           3777.8        2.049489
           3778.2        2.119776
           3778.6         2.17083
            3779.        2.217823
           3779.4        2.273034
           3779.8         2.30781
           3780.2        2.323899
           3780.6         2.36192
            3781.        2.351748
           3781.4         2.39872
           3781.8        2.435999
           3782.2        2.458741
           3782.6        2.458111
            3783.        2.432951
           3783.4        2.428925
           3783.8        2.457021
           3784.2        2.466772
           3784.6        2.434728
            3785.        2.449207
           3785.4        2.437739
           3785.8        2.405471
           3786.2        2.400569
           3786.6        2.419209
            3787.        2.413666
           3787.4        2.379816
           3787.8        2.350491
           3788.2         2.33323
           3788.6        2.297243
            3789.        2.253847
           3789.4        2.228866
           3789.8        2.189389
           3790.2        2.135248
           3790.6        2.071759
            3791.        2.039868
           3791.4        1.990654
           3791.8        1.912778
           3792.2        1.830005
           3792.6        1.782742
            3793.         1.69809
           3793.4        1.599753
           3793.8        1.539663
           3794.2        1.455859
           3794.6         1.34821
            3795.        1.271915
           3795.4         1.19718
           3795.8         1.11636
           3796.2        1.033207
           3796.6       0.9291563
            3797.       0.8826123
           3797.4       0.8288663
           3797.8       0.8073976
           3798.2       0.8104716
           3798.6       0.8354259
            3799.       0.8811613
           3799.4       0.9443958
           3799.8        1.022994
           3800.2        1.090062
           3800.6         1.19097
            3801.        1.297134
           3801.4        1.397707
           3801.8        1.469409
           3802.2        1.542896
           3802.6        1.629665
            3803.        1.692613
           3803.4        1.756604
           3803.8         1.84275
           3804.2        1.919507
           3804.6        1.964114
            3805.        2.005299
           3805.4        2.072295
           3805.8        2.135949
           3806.2        2.185612
           3806.6        2.242511
            3807.        2.269806
           3807.4         2.27945
           3807.8        2.334463
           3808.2        2.385246
           3808.6        2.392227
            3809.        2.405884
           3809.4        2.433136
           3809.8        2.461774
           3810.2        2.501054
           3810.6        2.526092
            3811.        2.519787
           3811.4        2.507756
           3811.8        2.543827
           3812.2        2.536108
           3812.6        2.566341
            3813.        2.590655
           3813.4        2.529356
           3813.8        2.532365
           3814.2        2.565174
           3814.6        2.562609
            3815.        2.560849
           3815.4        2.579462
           3815.8        2.600529
           3816.2        2.570816
           3816.6        2.555389
            3817.        2.573044
           3817.4        2.598421
           3817.8        2.578818
           3818.2        2.524018
           3818.6        2.488054
            3819.        2.488411
           3819.4        2.464027
           3819.8        2.424627
           3820.2        2.435256
           3820.6        2.448317
            3821.         2.44507
           3821.4        2.479459
           3821.8         2.46961
           3822.2         2.46991
           3822.6        2.466262
            3823.        2.450772
           3823.4         2.43039
           3823.8        2.397243
           3824.2        2.387522
           3824.6        2.366843
            3825.        2.332008
           3825.4          2.2926
           3825.8        2.240943
           3826.2         2.20832
           3826.6        2.196552
            3827.        2.162947
           3827.4        2.094234
           3827.8        2.051811
           3828.2        2.003755
           3828.6        1.929226
            3829.        1.860985
           3829.4        1.824672
           3829.8        1.760284
           3830.2        1.667929
           3830.6        1.594489
            3831.        1.522211
           3831.4        1.449088
           3831.8        1.392704
           3832.2        1.304608
           3832.6        1.199678
            3833.        1.103782
           3833.4        1.038427
           3833.8       0.9693844
           3834.2        0.893021
           3834.6        0.826434
            3835.       0.7993172
           3835.4       0.7838372
           3835.8       0.7920315
           3836.2       0.8314498
           3836.6       0.8709348
            3837.        0.939351
           3837.4         1.01978
           3837.8        1.072938
           3838.2        1.162889
           3838.6        1.249919
            3839.        1.337748
           3839.4        1.421825
           3839.8        1.503191
           3840.2        1.573638
           3840.6        1.641437
            3841.        1.723313
           3841.4        1.804251
           3841.8        1.870589
           3842.2        1.942681
           3842.6        2.000724
            3843.        2.012686
           3843.4        2.063985
           3843.8        2.128328
           3844.2        2.190693
           3844.6        2.198401
            3845.        2.225969
           3845.4        2.284012
           3845.8        2.309483
           3846.2        2.326991
           3846.6        2.355857
            3847.         2.37297
           3847.4        2.397554
           3847.8        2.418408
           3848.2        2.416332
           3848.6        2.429435
            3849.        2.431724
           3849.4        2.455943
           3849.8        2.476991
           3850.2        2.524616
           3850.6        2.519616
            3851.        2.508213
           3851.4        2.548972
           3851.8        2.563541
           3852.2        2.545716
           3852.6        2.554245
            3853.        2.556861
           3853.4        2.554307
           3853.8        2.561561
           3854.2        2.556389
           3854.6         2.51809
            3855.        2.528424
           3855.4        2.549091
           3855.8         2.53723
           3856.2        2.554748
           3856.6        2.579418
            3857.        2.568645
           3857.4        2.587622
           3857.8        2.641141
           3858.2        2.639522
           3858.6        2.618483
            3859.        2.654246
           3859.4        2.669731
           3859.8        2.655712
           3860.2        2.639645
           3860.6        2.645583
            3861.         2.61764
           3861.4        2.579961
           3861.8        2.588496
           3862.2        2.595301
           3862.6        2.576415
            3863.        2.573948
           3863.4        2.578141
           3863.8        2.575678
           3864.2        2.576432
           3864.6        2.625761
            3865.        2.668999
           3865.4        2.645856
           3865.8        2.629813
           3866.2        2.631161
           3866.6        2.632585
            3867.        2.600051
           3867.4        2.590098
           3867.8        2.609442
           3868.2        2.607112
           3868.6        2.615341
            3869.        2.605958
           3869.4        2.607096
           3869.8        2.604242
           3870.2        2.604746
           3870.6        2.576964
            3871.        2.593708
           3871.4        2.575104
           3871.8        2.532987
           3872.2        2.533823
           3872.6        2.541744
            3873.        2.533113
           3873.4        2.518117
           3873.8          2.5064
           3874.2         2.51982
           3874.6        2.495369
            3875.        2.472623
           3875.4        2.464565
           3875.8        2.462733
           3876.2        2.441758
           3876.6        2.426566
            3877.        2.374939
           3877.4         2.32951
           3877.8        2.326769
           3878.2        2.298124
           3878.6         2.25193
            3879.        2.254582
           3879.4        2.249632
           3879.8        2.193841
           3880.2        2.141433
           3880.6          2.0934
            3881.        2.057916
           3881.4        2.028177
           3881.8        1.968538
           3882.2        1.914272
           3882.6        1.850989
            3883.        1.791637
           3883.4        1.749863
           3883.8        1.675939
           3884.2        1.588311
           3884.6        1.527874
            3885.        1.446864
           3885.4        1.368566
           3885.8        1.311308
           3886.2        1.206036
           3886.6        1.114084
            3887.        1.038555
           3887.4       0.9703584
           3887.8       0.8887504
           3888.2       0.8298449
           3888.6       0.8000809
            3889.       0.7797642
           3889.4       0.7928925
           3889.8       0.8248427
           3890.2       0.8664145
           3890.6       0.9117913
            3891.       0.9806662
           3891.4        1.058193
           3891.8        1.151692
           3892.2        1.249995
           3892.6        1.330231
            3893.        1.405228
           3893.4         1.47788
           3893.8        1.550474
           3894.2        1.610302
           3894.6        1.671479
            3895.        1.755813
           3895.4        1.800911
           3895.8        1.870085
           3896.2        1.932898
           3896.6        1.996493
            3897.        2.030348
           3897.4        2.084682
           3897.8        2.117016
           3898.2        2.149367
           3898.6        2.187977
            3899.        2.210164
           3899.4         2.23859
           3899.8        2.266935
           3900.2         2.27813
           3900.6        2.299937
            3901.        2.323367
           3901.4        2.343126
           3901.8        2.359303
           3902.2        2.383569
           3902.6         2.42551
            3903.        2.440963
           3903.4        2.438712
           3903.8        2.440584
           3904.2        2.470901
           3904.6        2.483083
            3905.        2.459422
           3905.4        2.478819
           3905.8        2.497973
           3906.2        2.516945
           3906.6        2.542607
            3907.        2.561215
           3907.4        2.548131
           3907.8        2.573894
           3908.2        2.571911
           3908.6        2.575342
            3909.         2.60511
           3909.4        2.613334
           3909.8        2.613304
           3910.2        2.624081
           3910.6        2.627314
            3911.        2.625283
           3911.4        2.619721
           3911.8        2.638885
           3912.2         2.62472
           3912.6        2.606012
            3913.        2.604415
           3913.4        2.592448
           3913.8        2.599055
           3914.2        2.632887
           3914.6        2.647733
            3915.        2.628855
           3915.4        2.624728
           3915.8        2.662483
           3916.2         2.68277
           3916.6        2.660891
            3917.        2.670488
           3917.4        2.667453
           3917.8        2.653577
           3918.2        2.656591
           3918.6        2.643375
            3919.        2.628287
           3919.4        2.645878
           3919.8        2.655936
           3920.2         2.63914
           3920.6        2.632747
            3921.        2.628902
           3921.4        2.613552
           3921.8        2.626045
           3922.2        2.660961
           3922.6        2.657703
            3923.        2.658904
           3923.4        2.693451
           3923.8        2.683302
           3924.2        2.647737
           3924.6        2.658578
            3925.        2.668459
           3925.4          2.6478
           3925.8        2.649148
           3926.2         2.65733
           3926.6        2.643569
            3927.        2.646056
           3927.4        2.649495
           3927.8        2.648352
           3928.2        2.659012
           3928.6        2.669947
            3929.        2.667296
           3929.4        2.628679
           3929.8        2.643106
           3930.2        2.643785
           3930.6         2.63024
            3931.        2.648999
           3931.4        2.615822
           3931.8        2.582125
           3932.2        2.539809
           3932.6        2.481791
            3933.        2.433198
           3933.4        2.399457
           3933.8        2.384476
           3934.2        2.418475
           3934.6        2.461363
            3935.        2.493583
           3935.4        2.526369
           3935.8        2.555564
           3936.2        2.600563
           3936.6         2.63689
            3937.        2.614741
           3937.4        2.620915
           3937.8        2.649791
           3938.2         2.62756
           3938.6        2.608785
            3939.        2.638877
           3939.4        2.621354
           3939.8         2.61837
           3940.2        2.649707
           3940.6        2.659265
            3941.        2.646904
           3941.4        2.633308
           3941.8        2.627426
           3942.2        2.639846
           3942.6        2.650002
            3943.        2.633938
           3943.4        2.624837
           3943.8        2.644831
           3944.2        2.625557
           3944.6        2.617187
            3945.        2.616203
           3945.4        2.585871
           3945.8        2.585384
           3946.2        2.601645
           3946.6         2.58556
            3947.        2.597367
           3947.4        2.633832
           3947.8        2.625678
           3948.2        2.607835
           3948.6        2.568779
            3949.        2.591367
           3949.4        2.589799
           3949.8        2.564319
           3950.2        2.550713
           3950.6        2.552955
            3951.        2.544605
           3951.4        2.540274
           3951.8        2.550336
           3952.2        2.551042
           3952.6        2.540147
            3953.        2.507826
           3953.4        2.479735
           3953.8        2.485065
           3954.2        2.497701
           3954.6        2.468771
            3955.         2.47051
           3955.4        2.447078
           3955.8        2.413183
           3956.2         2.41367
           3956.6        2.419378
            3957.        2.397481
           3957.4         2.35793
           3957.8           2.336
           3958.2        2.334979
           3958.6        2.311189
            3959.        2.274082
           3959.4        2.250338
           3959.8        2.223626
