#K OBJECT   '175426'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 175426
#K OBJRA    18:53:43.56
#K OBJDEC   +36:58:18.2
#K OBJBMAG  5.433000E+00
#K OBJVMAG  5.569000E+00
#K SPTYPE   B2.5V
#K OBJRV    -2.580000E+01
#K HDNAME   HD 175426
#K BDNAME   BD+36 3307
#K HIPNAME  HIP 92728
#K SAONAME  SAO 67537
#K VHELIO   9.65863601768397E+00
#K VLSR     2.91843500552893E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785889E+03
#K CMAX1    8.121963E+03
#K PICKTYPE B3V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     8122.6-8137.8

#      wavelength        spectrum
#       angstroms                

            3465.        2.884444
           3465.4        2.881764
           3465.8        2.877894
           3466.2        2.854074
           3466.6        2.844867
            3467.        2.858456
           3467.4        2.867431
           3467.8        2.868299
           3468.2        2.858174
           3468.6        2.862193
            3469.        2.878071
           3469.4         2.83084
           3469.8        2.816808
           3470.2        2.844961
           3470.6        2.824329
            3471.         2.83876
           3471.4         2.83459
           3471.8        2.831737
           3472.2        2.830337
           3472.6        2.832059
            3473.        2.836617
           3473.4         2.86101
           3473.8        2.890791
           3474.2        2.869712
           3474.6         2.84333
            3475.        2.839241
           3475.4        2.853862
           3475.8        2.855313
           3476.2        2.821886
           3476.6         2.86068
            3477.        2.893803
           3477.4        2.839822
           3477.8        2.826091
           3478.2        2.847587
           3478.6        2.845153
            3479.        2.839551
           3479.4        2.826485
           3479.8        2.846189
           3480.2        2.869766
           3480.6        2.845711
            3481.        2.851001
           3481.4        2.847721
           3481.8        2.863613
           3482.2         2.86182
           3482.6        2.869937
            3483.        2.861763
           3483.4         2.82953
           3483.8        2.832351
           3484.2        2.842612
           3484.6        2.848377
            3485.        2.869134
           3485.4        2.828782
           3485.8        2.832563
           3486.2        2.816227
           3486.6        2.829684
            3487.        2.823215
           3487.4        2.815434
           3487.8        2.843766
           3488.2        2.843865
           3488.6         2.82087
            3489.        2.820896
           3489.4         2.81414
           3489.8        2.821574
           3490.2        2.848582
           3490.6        2.816367
            3491.        2.836002
           3491.4        2.859289
           3491.8        2.831752
           3492.2        2.834294
           3492.6        2.849624
            3493.        2.825829
           3493.4        2.803023
           3493.8        2.824978
           3494.2        2.842231
           3494.6        2.842007
            3495.        2.842647
           3495.4          2.8347
           3495.8        2.838402
           3496.2        2.822133
           3496.6        2.814165
            3497.        2.821254
           3497.4        2.809384
           3497.8        2.803911
           3498.2        2.785908
           3498.6        2.788463
            3499.        2.787382
           3499.4        2.788755
           3499.8        2.804341
           3500.2        2.806635
           3500.6        2.805959
            3501.        2.802233
           3501.4        2.782232
           3501.8        2.770543
           3502.2        2.784278
           3502.6        2.818733
            3503.        2.828069
           3503.4        2.807453
           3503.8        2.777469
           3504.2        2.774724
           3504.6        2.780385
            3505.        2.781807
           3505.4        2.796541
           3505.8        2.808983
           3506.2        2.795658
           3506.6        2.780428
            3507.        2.799277
           3507.4        2.785124
           3507.8        2.774926
           3508.2        2.773228
           3508.6        2.781325
            3509.        2.798059
           3509.4        2.775109
           3509.8        2.758309
           3510.2        2.753716
           3510.6        2.737118
            3511.        2.722142
           3511.4        2.728808
           3511.8        2.766234
           3512.2        2.736879
           3512.6         2.72687
            3513.        2.697355
           3513.4        2.717635
           3513.8        2.729384
           3514.2        2.706387
           3514.6        2.723658
            3515.        2.730095
           3515.4        2.718466
           3515.8        2.746796
           3516.2        2.769083
           3516.6        2.748987
            3517.         2.75076
           3517.4        2.775551
           3517.8        2.755073
           3518.2        2.771322
           3518.6        2.754854
            3519.        2.752545
           3519.4        2.783425
           3519.8        2.796129
           3520.2        2.779986
           3520.6          2.7414
            3521.        2.744693
           3521.4        2.799297
           3521.8        2.804405
           3522.2        2.766415
           3522.6        2.757582
            3523.        2.756403
           3523.4        2.734527
           3523.8        2.752337
           3524.2        2.759531
           3524.6        2.761748
            3525.         2.76271
           3525.4         2.72701
           3525.8        2.728645
           3526.2        2.768034
           3526.6         2.76912
            3527.        2.739406
           3527.4        2.741876
           3527.8        2.784778
           3528.2         2.73736
           3528.6        2.717401
            3529.        2.732934
           3529.4        2.713365
           3529.8        2.708484
           3530.2        2.703309
           3530.6        2.681027
            3531.        2.694691
           3531.4        2.695503
           3531.8        2.674934
           3532.2        2.692635
           3532.6        2.718716
            3533.        2.741647
           3533.4        2.739069
           3533.8        2.730104
           3534.2        2.728138
           3534.6        2.736836
            3535.        2.730317
           3535.4        2.731659
           3535.8        2.719951
           3536.2        2.719634
           3536.6        2.723609
            3537.        2.715538
           3537.4        2.719085
           3537.8        2.702701
           3538.2        2.681575
           3538.6        2.719082
            3539.        2.707247
           3539.4        2.735777
           3539.8        2.729635
           3540.2         2.72286
           3540.6        2.675483
            3541.        2.713547
           3541.4        2.715298
           3541.8        2.695182
           3542.2        2.699385
           3542.6        2.699938
            3543.        2.724812
           3543.4        2.699037
           3543.8        2.670425
           3544.2        2.681662
           3544.6        2.690523
            3545.        2.718746
           3545.4        2.725613
           3545.8        2.703423
           3546.2        2.709794
           3546.6        2.709853
            3547.        2.674339
           3547.4        2.678957
           3547.8        2.685764
           3548.2        2.653859
           3548.6        2.668586
            3549.        2.663172
           3549.4        2.640673
           3549.8        2.668278
           3550.2        2.655107
           3550.6        2.673455
            3551.        2.667463
           3551.4        2.647084
           3551.8        2.635968
           3552.2        2.639148
           3552.6         2.62878
            3553.        2.616781
           3553.4        2.608883
           3553.8        2.577803
           3554.2        2.569616
           3554.6        2.593379
            3555.        2.656168
           3555.4        2.657363
           3555.8        2.634456
           3556.2        2.628246
           3556.6        2.661475
            3557.        2.673872
           3557.4        2.678699
           3557.8        2.679584
           3558.2        2.660062
           3558.6        2.665355
            3559.        2.684063
           3559.4        2.677213
           3559.8        2.687656
           3560.2        2.669365
           3560.6        2.672505
            3561.        2.680054
           3561.4        2.685883
           3561.8        2.683542
           3562.2        2.701174
           3562.6        2.702499
            3563.        2.692925
           3563.4        2.669041
           3563.8        2.654074
           3564.2        2.683799
           3564.6        2.685715
            3565.        2.680246
           3565.4        2.702073
           3565.8        2.676872
           3566.2        2.678718
           3566.6        2.678011
            3567.        2.705528
           3567.4        2.688398
           3567.8        2.681425
           3568.2        2.695158
           3568.6        2.691993
            3569.        2.682043
           3569.4        2.683193
           3569.8        2.697746
           3570.2        2.680684
           3570.6         2.65647
            3571.        2.674489
           3571.4        2.667967
           3571.8        2.653954
           3572.2        2.687645
           3572.6        2.661305
            3573.        2.645657
           3573.4        2.659763
           3573.8        2.681088
           3574.2        2.677458
           3574.6        2.651569
            3575.        2.669767
           3575.4          2.6753
           3575.8        2.661376
           3576.2        2.650504
           3576.6        2.632186
            3577.        2.653309
           3577.4        2.652758
           3577.8         2.65235
           3578.2        2.644555
           3578.6        2.636402
            3579.        2.637448
           3579.4        2.643578
           3579.8        2.644654
           3580.2        2.640193
           3580.6        2.645069
            3581.        2.624558
           3581.4        2.593333
           3581.8        2.602234
           3582.2        2.618672
           3582.6        2.613305
            3583.        2.609693
           3583.4        2.615391
           3583.8        2.616209
           3584.2        2.601519
           3584.6        2.602985
            3585.        2.600709
           3585.4        2.570061
           3585.8         2.55761
           3586.2        2.539355
           3586.6        2.522509
            3587.          2.4819
           3587.4         2.48075
           3587.8        2.497464
           3588.2        2.526202
           3588.6        2.550782
            3589.        2.550917
           3589.4        2.563134
           3589.8        2.595055
           3590.2        2.599159
           3590.6        2.584191
            3591.        2.581964
           3591.4        2.581817
           3591.8        2.598113
           3592.2        2.582233
           3592.6        2.591425
            3593.         2.60867
           3593.4        2.574481
           3593.8        2.567523
           3594.2        2.564503
           3594.6        2.562032
            3595.        2.583729
           3595.4        2.582306
           3595.8        2.582235
           3596.2        2.597025
           3596.6        2.553949
            3597.        2.559241
           3597.4        2.574764
           3597.8        2.542923
           3598.2        2.535853
           3598.6        2.552838
            3599.        2.544976
           3599.4        2.547049
           3599.8        2.527966
           3600.2        2.531646
           3600.6        2.544593
            3601.        2.531993
           3601.4        2.544552
           3601.8        2.528136
           3602.2        2.521816
           3602.6        2.562441
            3603.        2.563365
           3603.4        2.576069
           3603.8        2.556825
           3604.2        2.542387
           3604.6        2.555965
            3605.         2.53745
           3605.4        2.545395
           3605.8        2.560181
           3606.2        2.548213
           3606.6         2.54954
            3607.         2.53099
           3607.4        2.531194
           3607.8        2.499244
           3608.2        2.523853
           3608.6        2.532766
            3609.        2.537031
           3609.4        2.529362
           3609.8        2.532688
           3610.2        2.549338
