#K OBJECT   '176819'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 176819
#K OBJRA    19:01:22.55
#K OBJDEC   +20:49:58.2
#K OBJBMAG  6.776000E+00
#K OBJVMAG  6.777000E+00
#K SPTYPE   B2IV-V
#K OBJRV    -1.030000E+01
#K HDNAME   HD 176819
#K BDNAME   BD+20 4022
#K HIPNAME  HIP 93404
#K SAONAME  SAO 86704
#K VHELIO   1.34071808369833E+01
#K VLSR     3.26441552777325E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785620E+03
#K CMAX1    8.121642E+03
#K PICKTYPE B2IV
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.        4.227934
           3465.4        4.162569
           3465.8        4.273829
           3466.2        4.274926
           3466.6        4.190876
            3467.        4.201401
           3467.4        4.198053
           3467.8        4.255636
           3468.2        4.236498
           3468.6         4.15942
            3469.        4.183155
           3469.4        4.160973
           3469.8        4.132136
           3470.2        4.174452
           3470.6        4.142576
            3471.        4.186844
           3471.4         4.09144
           3471.8        4.104869
           3472.2        4.125863
           3472.6        4.058047
            3473.        4.034903
           3473.4        4.112289
           3473.8        4.135651
           3474.2        4.140758
           3474.6        4.185989
            3475.        4.191234
           3475.4        4.151339
           3475.8        4.128453
           3476.2        4.108399
           3476.6        4.049952
            3477.        4.030061
           3477.4        4.094611
           3477.8        4.051024
           3478.2        4.079773
           3478.6        4.070858
            3479.        4.095004
           3479.4        4.079654
           3479.8        4.055746
           3480.2        4.115548
           3480.6        4.106528
            3481.          4.0472
           3481.4        4.058736
           3481.8        4.025752
           3482.2        4.078575
           3482.6        4.089744
            3483.        4.131495
           3483.4        4.129235
           3483.8        4.123915
           3484.2         4.08599
           3484.6        4.075383
            3485.        4.079313
           3485.4        4.065892
           3485.8         4.03852
           3486.2        3.985152
           3486.6        3.972006
            3487.        3.980607
           3487.4        3.953413
           3487.8        4.001861
           3488.2        3.982169
           3488.6        3.980551
            3489.        3.978582
           3489.4        4.002501
           3489.8        4.035286
           3490.2        4.037821
           3490.6        4.014137
            3491.        4.018208
           3491.4        4.039686
           3491.8        4.029391
           3492.2        4.042934
           3492.6        4.038582
            3493.        3.989368
           3493.4        3.970219
