#K OBJECT   '180928'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 180928
#K OBJRA    19:19:00.10
#K OBJDEC   -15:32:11.7
#K OBJBMAG  7.490000E+00
#K OBJVMAG  6.080000E+00
#K SPTYPE   K4III
#K OBJRV    -1.780000E+01
#K HDNAME   HD 180928
#K BDNAME   BD-15 5310
#K HIPNAME  HIP 94929
#K SAONAME  SAO 162462
#K VHELIO   1.88575901419158E+01
#K VLSR     3.19775009994818E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.088577E+03
#K CMAX1    5.414795E+03
#K PICKTYPE K4III
#K NCOMBINE 5
#K TEFF     4000  1989A&A...214..239B (Barbuy)
#K LOGG     1.200000E+00  1989A&A...214..239B (Barbuy)
#K FEH      -5.500000E-01  1989A&A...214..239B (Barbuy)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.4-5460.6,6798.6-6810.2

#      wavelength        spectrum
#       angstroms                

            3465.      0.06136652
           3465.4      0.04977345
           3465.8      0.03926533
           3466.2      0.03723976
           3466.6      0.04743464
            3467.      0.05622087
           3467.4      0.06155271
           3467.8      0.07186934
           3468.2      0.07845583
           3468.6      0.07603366
            3469.      0.07303982
           3469.4      0.06943282
           3469.8      0.07835929
           3470.2      0.08454084
           3470.6      0.08652889
            3471.      0.08067213
           3471.4      0.06918559
           3471.8      0.06250987
           3472.2      0.05569251
           3472.6      0.04841493
            3473.      0.04725671
           3473.4      0.04813751
           3473.8      0.04515611
           3474.2      0.04034719
           3474.6      0.03664449
            3475.      0.02849454
           3475.4      0.02747009
           3475.8      0.03054827
           3476.2      0.02839616
           3476.6      0.02798874
            3477.      0.03932149
           3477.4      0.04921724
           3477.8      0.06041913
           3478.2      0.06804845
           3478.6       0.0656682
            3479.      0.06655246
           3479.4      0.06609388
           3479.8      0.06391566
           3480.2      0.06486358
           3480.6       0.0679632
            3481.      0.07124946
           3481.4      0.07207462
           3481.8      0.07825027
           3482.2      0.07884046
           3482.6       0.0706269
            3483.      0.05816888
           3483.4      0.05020672
           3483.8      0.05268089
           3484.2      0.06069052
           3484.6      0.06450404
            3485.      0.05968152
           3485.4      0.05959238
           3485.8      0.06678993
           3486.2      0.08045519
           3486.6      0.08842875
            3487.      0.09317418
           3487.4      0.09620952
           3487.8      0.08935647
           3488.2      0.08104739
           3488.6      0.07469944
            3489.      0.06330077
           3489.4      0.04937007
           3489.8      0.03819642
           3490.2      0.03244554
           3490.6      0.03255645
            3491.      0.03514853
           3491.4      0.04421076
           3491.8      0.04845934
           3492.2      0.04584944
           3492.6      0.03620411
            3493.      0.03507598
           3493.4      0.04358197
           3493.8      0.05314268
           3494.2      0.06508331
           3494.6      0.07146847
            3495.      0.06885605
           3495.4      0.06434235
           3495.8      0.04879525
           3496.2      0.04575463
           3496.6      0.04741782
            3497.      0.04241416
           3497.4      0.04339822
           3497.8       0.0453134
           3498.2      0.05372371
           3498.6      0.06774673
            3499.      0.08123488
           3499.4      0.09072047
           3499.8      0.09389643
           3500.2      0.08867813
           3500.6      0.08002645
            3501.      0.07919154
           3501.4      0.07879936
           3501.8      0.07618678
           3502.2      0.07322729
           3502.6      0.07473063
            3503.      0.09519995
           3503.4       0.1082661
           3503.8       0.1136768
           3504.2       0.1127939
           3504.6       0.0951903
            3505.      0.07948974
           3505.4      0.07752032
           3505.8      0.07072501
           3506.2      0.06539579
           3506.6      0.07074836
            3507.      0.07281472
           3507.4      0.08085757
           3507.8      0.08905672
           3508.2      0.09358318
           3508.6      0.09136645
            3509.      0.08708281
           3509.4      0.07500993
           3509.8      0.06091394
           3510.2      0.05141451
           3510.6      0.05245439
            3511.      0.06594249
           3511.4      0.07205889
           3511.8      0.07219985
           3512.2      0.06880437
           3512.6      0.05680758
            3513.      0.05356877
           3513.4      0.04492104
           3513.8       0.0398606
           3514.2      0.03809843
           3514.6      0.03527882
            3515.      0.03763492
           3515.4      0.04867167
           3515.8      0.06216958
           3516.2      0.07199997
           3516.6      0.08138038
            3517.       0.0925888
           3517.4      0.09805065
           3517.8       0.1007999
           3518.2      0.09660162
           3518.6      0.09923023
            3519.      0.09080202
           3519.4      0.08173391
           3519.8      0.07245661
           3520.2      0.06529131
           3520.6      0.06002427
            3521.      0.05130358
           3521.4      0.04652081
           3521.8      0.05102015
           3522.2      0.05861771
           3522.6       0.0605511
            3523.      0.05002902
           3523.4      0.03512318
           3523.8      0.03249757
           3524.2      0.02593794
           3524.6      0.02267559
            3525.      0.02709658
           3525.4      0.02998613
           3525.8      0.02944695
           3526.2      0.03055988
           3526.6      0.03784846
            3527.      0.05139864
           3527.4      0.06172213
           3527.8      0.06458137
           3528.2      0.07275955
           3528.6      0.08203436
            3529.      0.08131065
           3529.4      0.07885485
           3529.8      0.08077358
           3530.2      0.07843896
           3530.6      0.07936524
            3531.      0.08140776
           3531.4       0.0783055
           3531.8       0.0745096
           3532.2      0.07331034
           3532.6      0.07221981
            3533.       0.0670996
           3533.4      0.07074668
           3533.8       0.0825627
           3534.2      0.08980106
           3534.6      0.09881997
            3535.      0.09047261
           3535.4      0.08498155
           3535.8       0.0895539
           3536.2      0.08933758
           3536.6      0.09103325
            3537.      0.09415348
           3537.4      0.08927373
           3537.8      0.08577865
           3538.2      0.08843842
           3538.6      0.09920201
            3539.       0.1055359
           3539.4       0.1149776
           3539.8       0.1116645
           3540.2        0.101242
           3540.6       0.0902006
            3541.      0.08283985
           3541.4      0.08278118
           3541.8      0.08434482
           3542.2      0.08205356
           3542.6       0.0796762
            3543.      0.07950865
           3543.4      0.08338466
           3543.8      0.09379517
           3544.2      0.09633319
           3544.6      0.09553208
            3545.      0.09362765
           3545.4      0.08670799
           3545.8      0.08314018
           3546.2      0.08496168
           3546.6      0.08317229
            3547.      0.07801629
           3547.4      0.07253139
           3547.8      0.06461026
           3548.2      0.06222278
           3548.6      0.07221601
            3549.      0.08133549
           3549.4      0.08502099
           3549.8      0.08338802
           3550.2      0.07620681
           3550.6      0.07623459
            3551.      0.07720765
           3551.4      0.07640573
           3551.8      0.07846988
           3552.2      0.08072705
           3552.6       0.0731069
            3553.      0.06233519
           3553.4      0.05874897
           3553.8      0.05651267
           3554.2      0.05720596
           3554.6       0.0613899
            3555.      0.06982641
           3555.4      0.08148858
           3555.8       0.0857862
           3556.2      0.08459752
           3556.6      0.07693922
            3557.      0.07522924
           3557.4      0.07637239
           3557.8      0.07500219
           3558.2      0.06704205
           3558.6      0.05558273
            3559.      0.05653638
           3559.4      0.06509212
           3559.8      0.07004963
           3560.2      0.06965195
           3560.6      0.06455995
            3561.       0.0678758
           3561.4      0.06957734
           3561.8      0.06997479
           3562.2      0.07320645
           3562.6      0.08210421
            3563.      0.08781945
           3563.4      0.08734931
           3563.8      0.08130133
           3564.2      0.06642453
           3564.6      0.05165577
            3565.      0.03951382
           3565.4      0.02802845
           3565.8       0.0267726
           3566.2      0.02914393
           3566.6      0.03629493
            3567.      0.04804231
           3567.4      0.05371064
           3567.8      0.05682792
           3568.2      0.05521214
           3568.6      0.05022071
            3569.      0.03976025
           3569.4      0.02643574
           3569.8      0.02492271
           3570.2      0.02515062
           3570.6      0.03079407
            3571.      0.03937027
           3571.4       0.0438751
           3571.8      0.03808835
           3572.2      0.04286034
           3572.6       0.0520622
            3573.      0.06391602
           3573.4      0.06474724
           3573.8      0.05953959
           3574.2      0.05959939
           3574.6      0.05698993
            3575.      0.05432795
           3575.4      0.05408519
           3575.8      0.05357251
           3576.2      0.05954389
           3576.6       0.0595304
            3577.      0.05915111
           3577.4      0.05310679
           3577.8      0.04333445
           3578.2      0.03422379
           3578.6      0.02791559
            3579.      0.02702785
           3579.4      0.02850482
           3579.8      0.03079412
           3580.2      0.03000748
           3580.6        0.020743
            3581.      0.01635668
           3581.4      0.01521049
           3581.8      0.01834045
           3582.2      0.02469585
           3582.6      0.03824572
            3583.      0.04284098
           3583.4      0.04819158
           3583.8      0.04955281
           3584.2      0.04657762
           3584.6      0.03937006
            3585.       0.0299894
           3585.4      0.02526595
           3585.8      0.02247576
           3586.2      0.02663127
           3586.6       0.0267316
            3587.      0.02745901
           3587.4      0.03167426
           3587.8      0.03480407
           3588.2      0.04152395
           3588.6      0.04428301
            3589.      0.04036212
           3589.4      0.04159421
           3589.8      0.04377767
           3590.2      0.04747962
           3590.6       0.0615892
            3591.      0.07337003
           3591.4      0.07457703
           3591.8       0.0717255
           3592.2      0.06953301
           3592.6      0.05634585
            3593.      0.03963898
           3593.4      0.03149462
           3593.8      0.03396335
           3594.2      0.04136961
           3594.6      0.04842857
            3595.      0.05591079
           3595.4      0.06509461
           3595.8      0.07244238
           3596.2      0.08050212
           3596.6      0.08964384
            3597.      0.08807837
           3597.4      0.08355857
           3597.8      0.06926319
           3598.2      0.07465075
           3598.6      0.08477762
            3599.      0.09101832
           3599.4      0.09347759
           3599.8        0.100736
           3600.2       0.1045706
           3600.6       0.1039403
            3601.       0.1023701
           3601.4      0.08995442
           3601.8       0.0744523
           3602.2      0.06597846
           3602.6      0.06031055
            3603.      0.06400562
           3603.4       0.0666909
           3603.8      0.06623118
           3604.2      0.05818745
           3604.6      0.04875756
            3605.      0.03802194
           3605.4      0.03448834
           3605.8      0.04170467
           3606.2      0.05070162
           3606.6      0.05900444
            3607.      0.06673893
           3607.4      0.06771333
           3607.8      0.06012435
           3608.2      0.05115971
           3608.6      0.03538905
            3609.      0.02792032
           3609.4      0.02911714
           3609.8      0.03418243
           3610.2      0.03739904
           3610.6      0.04295231
            3611.      0.05191926
           3611.4      0.06144355
           3611.8      0.07047061
           3612.2      0.07054336
           3612.6      0.06106196
            3613.       0.0567421
           3613.4      0.05500746
           3613.8      0.05931691
           3614.2      0.06888335
           3614.6      0.08255984
            3615.      0.08508353
           3615.4       0.0875167
           3615.8      0.09026697
           3616.2      0.08797719
           3616.6       0.0854969
            3617.      0.07961749
           3617.4      0.06449199
           3617.8      0.04763795
           3618.2      0.03705094
           3618.6      0.03034774
            3619.      0.02343362
           3619.4      0.02434635
           3619.8      0.03104869
           3620.2      0.04777832
           3620.6      0.05969717
            3621.      0.06589921
           3621.4      0.07331128
           3621.8      0.08402842
           3622.2      0.09636678
           3622.6       0.1026395
            3623.      0.09842642
           3623.4      0.08644738
           3623.8      0.07365892
           3624.2       0.0717713
           3624.6      0.07260767
            3625.       0.0823604
           3625.4      0.08882333
           3625.8       0.1021289
           3626.2       0.1139976
           3626.6       0.1159164
            3627.       0.1109805
           3627.4       0.1036201
           3627.8      0.09820811
           3628.2      0.09697625
           3628.6      0.09924722
            3629.         0.10062
           3629.4       0.1016372
           3629.8      0.08596135
           3630.2      0.07031503
           3630.6      0.04903772
            3631.       0.0353021
           3631.4      0.02936986
           3631.8      0.03014165
           3632.2      0.04110806
           3632.6      0.05194836
            3633.      0.05744996
           3633.4       0.0626293
           3633.8       0.0653912
           3634.2      0.06615659
           3634.6      0.05769036
            3635.      0.05326426
           3635.4      0.05561466
           3635.8      0.06516524
           3636.2      0.07397273
           3636.6      0.07767227
            3637.      0.08053529
           3637.4      0.07965799
           3637.8      0.08223093
           3638.2      0.08856369
           3638.6       0.0924741
            3639.       0.1017922
           3639.4       0.1029194
           3639.8      0.09809354
           3640.2       0.1040649
           3640.6       0.1070387
            3641.      0.09923947
           3641.4      0.09116311
           3641.8      0.08580434
           3642.2      0.08116435
           3642.6      0.07623356
            3643.       0.0760715
           3643.4      0.08215937
           3643.8      0.08550823
           3644.2      0.08221034
           3644.6       0.0746249
            3645.      0.06172511
           3645.4      0.05443032
           3645.8      0.06089092
           3646.2      0.06713893
           3646.6       0.0688538
            3647.      0.05807866
           3647.4      0.04661986
           3647.8      0.03662859
           3648.2      0.03541413
           3648.6      0.04360808
            3649.       0.0504566
           3649.4      0.05499293
           3649.8      0.05829934
           3650.2      0.06996207
           3650.6      0.07541862
            3651.      0.08018991
           3651.4      0.07926416
           3651.8      0.07767549
           3652.2      0.08429323
           3652.6      0.09290081
            3653.      0.09270503
           3653.4      0.08413892
           3653.8      0.08247233
           3654.2      0.08981536
           3654.6      0.09177222
            3655.      0.09016661
           3655.4      0.09295581
           3655.8      0.09943125
           3656.2       0.1040246
           3656.6       0.1068852
