#K OBJECT   '185644'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 185644
#K OBJRA    19:40:43.38
#K OBJDEC   -16:17:35.8
#K OBJBMAG  6.428000E+00
#K OBJVMAG  5.302000E+00
#K SPTYPE   K1III
#K OBJRV    -5.790000E+01
#K HDNAME   HD 185644
#K BDNAME   BD-16 5399
#K HIPNAME  HIP 96808
#K SAONAME  SAO 162883
#K VHELIO   2.18537565215717E+01
#K VLSR     3.42104550226157E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446841E+03
#K CMAX1    4.772733E+03
#K PICKTYPE K1III
#K NCOMBINE 6
#K TEFF     4519  Jones..Coude.Feed.Library
#K LOGG     2.670000E+00  Jones..Coude.Feed.Library
#K FEH      1.400000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     5416.6-5463.4,6801.4-6811.0

#      wavelength        spectrum
#       angstroms                

            3465.        0.173556
           3465.4       0.1378815
           3465.8       0.1087879
           3466.2       0.1018669
           3466.6       0.1161721
            3467.       0.1374152
           3467.4       0.1509802
           3467.8       0.1691276
           3468.2       0.1883369
           3468.6       0.1858383
            3469.       0.1720247
           3469.4       0.1694124
           3469.8       0.1854698
           3470.2       0.2157286
           3470.6       0.2301832
            3471.       0.2238217
           3471.4       0.1972345
           3471.8       0.1657557
           3472.2       0.1435882
           3472.6       0.1376664
            3473.       0.1396277
           3473.4       0.1416813
           3473.8       0.1330584
           3474.2       0.1144901
           3474.6       0.1042282
            3475.      0.09181418
           3475.4      0.07878169
           3475.8      0.07591854
           3476.2      0.07564527
           3476.6      0.07467324
            3477.      0.09065705
           3477.4       0.1168508
           3477.8       0.1427436
           3478.2        0.159313
           3478.6       0.1630957
            3479.       0.1664666
           3479.4       0.1700322
           3479.8        0.162477
           3480.2       0.1533806
           3480.6       0.1485253
            3481.       0.1511519
           3481.4       0.1589361
           3481.8       0.1684046
           3482.2       0.1679738
           3482.6         0.15455
            3483.       0.1341542
           3483.4       0.1204561
           3483.8       0.1245115
           3484.2       0.1374965
           3484.6       0.1440302
            3485.       0.1375606
           3485.4       0.1253169
           3485.8       0.1326895
           3486.2       0.1562878
           3486.6       0.1816044
            3487.       0.2062459
           3487.4       0.2174815
           3487.8       0.2058442
           3488.2       0.1868449
           3488.6         0.16394
            3489.        0.137216
           3489.4       0.1162747
           3489.8       0.1042646
           3490.2      0.09195303
           3490.6      0.07827307
            3491.      0.08155077
           3491.4       0.1021659
           3491.8       0.1202272
           3492.2       0.1210791
           3492.6       0.1049028
            3493.      0.09465901
           3493.4        0.106732
           3493.8       0.1353576
           3494.2       0.1630141
           3494.6          0.1784
            3495.       0.1775528
           3495.4       0.1613632
           3495.8        0.136937
           3496.2       0.1162249
           3496.6       0.1089897
            3497.       0.1017463
           3497.4      0.09769382
           3497.8      0.09742393
           3498.2        0.116333
           3498.6       0.1558349
            3499.        0.195329
           3499.4       0.2244571
           3499.8       0.2359081
           3500.2       0.2240026
           3500.6       0.2061485
            3501.       0.2004252
           3501.4       0.2018749
           3501.8       0.1994709
           3502.2       0.1814689
           3502.6       0.1897365
            3503.       0.2181206
           3503.4       0.2528746
           3503.8       0.2787964
           3504.2       0.2685305
           3504.6       0.2368211
            3505.       0.2015018
           3505.4       0.1835125
           3505.8       0.1819525
           3506.2       0.1719384
           3506.6       0.1669457
            3507.       0.1746571
           3507.4         0.19825
           3507.8       0.2146344
           3508.2       0.2266154
           3508.6       0.2220952
            3509.       0.2088673
           3509.4       0.1825447
           3509.8       0.1483879
           3510.2       0.1227088
           3510.6       0.1237277
            3511.       0.1489907
           3511.4       0.1714246
           3511.8       0.1746266
           3512.2       0.1613255
           3512.6       0.1447138
            3513.       0.1308516
           3513.4       0.1158296
           3513.8       0.1003225
           3514.2      0.09281224
           3514.6      0.09598313
            3515.      0.09671483
           3515.4       0.1132528
           3515.8       0.1476649
           3516.2       0.1760597
           3516.6       0.1957241
            3517.       0.2116877
           3517.4       0.2310477
           3517.8       0.2576937
           3518.2       0.2577528
           3518.6       0.2357144
            3519.       0.2242656
           3519.4       0.2083419
           3519.8       0.1848201
           3520.2        0.165089
           3520.6       0.1527764
            3521.       0.1357699
           3521.4       0.1186385
           3521.8       0.1216152
           3522.2       0.1372708
           3522.6       0.1422869
            3523.       0.1316293
           3523.4       0.1100296
           3523.8      0.08932012
           3524.2      0.07598838
           3524.6       0.0674999
            3525.      0.07262394
           3525.4      0.08410889
           3525.8      0.08298557
           3526.2      0.07586613
           3526.6      0.08545097
            3527.       0.1152699
           3527.4       0.1476402
           3527.8        0.167302
           3528.2       0.1814276
           3528.6       0.2027975
            3529.       0.2093288
           3529.4       0.2038618
           3529.8       0.1906086
           3530.2        0.183015
           3530.6       0.1828457
            3531.       0.1910172
           3531.4       0.1834568
           3531.8       0.1614834
           3532.2       0.1455953
           3532.6       0.1371104
            3533.       0.1385673
