#K OBJECT   '186486'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 186486
#K OBJRA    19:43:42.93
#K OBJDEC   +25:46:18.9
#K OBJBMAG  6.420000E+00
#K OBJVMAG  5.497000E+00
#K SPTYPE   G8III
#K OBJRV    -9.300000E+00
#K HDNAME   HD 186486
#K BDNAME   BD+25 3933
#K HIPNAME  HIP 97077
#K SAONAME  SAO 87633
#K VHELIO   1.60930879132294E+01
#K VLSR     3.45805727657244E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459358E+03
#K CMAX1    4.784550E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     4980  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.080000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.100000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     6800.2-6810.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.2391766
           3465.4        0.211122
           3465.8       0.1909498
           3466.2       0.1825957
           3466.6       0.1887947
            3467.       0.2098988
           3467.4       0.2257613
           3467.8       0.2357079
           3468.2       0.2440093
           3468.6        0.240327
            3469.       0.2289356
           3469.4        0.235822
           3469.8        0.261344
           3470.2        0.272728
           3470.6       0.2791502
            3471.        0.269337
           3471.4       0.2402103
           3471.8       0.2093877
           3472.2       0.1978534
           3472.6       0.1961871
            3473.       0.1971423
           3473.4       0.1983873
           3473.8       0.1915348
           3474.2       0.1812604
           3474.6       0.1735366
            3475.       0.1609275
           3475.4       0.1492946
           3475.8       0.1390648
           3476.2       0.1311338
           3476.6       0.1351082
            3477.        0.152925
           3477.4        0.173462
           3477.8       0.2032734
           3478.2       0.2153071
           3478.6       0.2133773
            3479.       0.2170103
           3479.4       0.2153357
           3479.8       0.2080696
           3480.2       0.2035686
           3480.6       0.1990904
            3481.       0.2011254
           3481.4       0.2004669
           3481.8       0.2093821
           3482.2       0.2056004
           3482.6       0.1920722
            3483.       0.1712551
           3483.4       0.1645407
           3483.8       0.1716263
           3484.2       0.1783554
           3484.6       0.1775278
            3485.       0.1710082
           3485.4       0.1734424
           3485.8       0.1926458
           3486.2       0.2235236
           3486.6       0.2456321
            3487.       0.2715884
           3487.4       0.2692463
           3487.8       0.2506414
           3488.2       0.2348376
           3488.6       0.2057309
            3489.       0.1811436
           3489.4       0.1710154
           3489.8       0.1546177
           3490.2       0.1413808
           3490.6       0.1407483
            3491.       0.1458343
           3491.4       0.1783334
           3491.8       0.1954651
           3492.2       0.1826835
           3492.6       0.1626454
            3493.       0.1627088
           3493.4       0.1719803
           3493.8       0.1944027
           3494.2       0.2232892
           3494.6       0.2341395
            3495.       0.2174342
           3495.4       0.1944388
           3495.8       0.1710223
           3496.2       0.1472247
           3496.6       0.1494954
            3497.       0.1385422
           3497.4       0.1407235
           3497.8       0.1601891
           3498.2       0.1833252
           3498.6       0.2222418
            3499.       0.2557385
           3499.4       0.2837343
           3499.8       0.2949672
           3500.2       0.2700212
           3500.6       0.2492422
            3501.       0.2630556
           3501.4       0.2720813
           3501.8       0.2638861
           3502.2       0.2563519
           3502.6       0.2651497
            3503.       0.3079995
           3503.4       0.3225715
           3503.8       0.3282398
