#K OBJECT   '188001'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 188001
#K OBJRA    19:52:21.76
#K OBJDEC   +18:40:18.7
#K OBJBMAG  6.209000E+00
#K OBJVMAG  6.243000E+00
#K SPTYPE   O8e
#K OBJRV    9
#K HDNAME   HD 188001
#K BDNAME   BD+18 4276
#K HIPNAME  HIP 97796
#K SAONAME  SAO 105360
#K VHELIO   1.76427314916949E+01
#K VLSR     3.54470987331996E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    8.115815E+03
#K CMAX1    9.451463E+03
#K PICKTYPE O8III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9451.8
#K GAPS     6798.2-6810.2

#      wavelength        spectrum
#       angstroms                

            3465.        5.476116
           3465.4         5.56775
           3465.8         5.44657
           3466.2        5.443831
           3466.6        5.475958
            3467.        5.462059
           3467.4        5.489622
           3467.8        5.467245
           3468.2         5.38076
           3468.6        5.402644
            3469.        5.359249
           3469.4         5.36297
           3469.8        5.432272
           3470.2        5.403928
           3470.6        5.360884
            3471.         5.39681
           3471.4        5.358932
           3471.8        5.298001
           3472.2        5.387034
           3472.6         5.36637
            3473.        5.359389
           3473.4        5.406412
           3473.8        5.290172
           3474.2        5.264191
           3474.6        5.280909
            3475.        5.243734
           3475.4        5.177474
           3475.8         5.23153
           3476.2        5.335442
           3476.6        5.306857
            3477.        5.259655
           3477.4        5.198575
           3477.8        5.081864
           3478.2        4.928694
           3478.6        4.891537
            3479.        4.837861
           3479.4        4.948784
           3479.8        5.025754
           3480.2        5.081357
           3480.6        5.090736
            3481.        5.089815
           3481.4        5.166862
           3481.8        5.177121
           3482.2        5.088534
           3482.6        5.067808
            3483.         5.05779
           3483.4         4.98185
           3483.8        5.021166
           3484.2        5.015761
           3484.6        5.068666
            3485.        5.057447
           3485.4        5.025677
           3485.8        5.067194
           3486.2         5.16998
           3486.6        5.160559
            3487.        5.119928
           3487.4        5.184606
           3487.8        5.167903
           3488.2        5.188278
           3488.6        5.186455
            3489.        5.220571
           3489.4        5.180119
           3489.8        5.101631
           3490.2         5.13764
           3490.6         5.15259
            3491.        5.194301
           3491.4        5.163248
           3491.8        5.106751
           3492.2        5.124739
           3492.6        5.170717
            3493.        5.224019
           3493.4        5.136806
           3493.8        5.124099
           3494.2        5.150064
           3494.6        5.166861
            3495.        5.224821
           3495.4        5.200003
           3495.8        5.230076
           3496.2        5.229951
           3496.6        5.152727
            3497.         5.07248
           3497.4        5.053794
           3497.8        5.080808
           3498.2        5.061885
           3498.6        5.057855
            3499.        5.127234
           3499.4        5.119131
           3499.8        5.033306
           3500.2        5.043129
           3500.6        5.014831
            3501.        5.137134
           3501.4        5.200572
           3501.8        5.092416
           3502.2        5.069969
           3502.6        5.121554
            3503.        5.133886
           3503.4        5.136433
           3503.8        5.084414
           3504.2        5.047505
           3504.6         4.99331
            3505.        5.023976
           3505.4        5.087929
           3505.8        5.007084
           3506.2         5.04517
           3506.6        5.092016
            3507.        5.031306
           3507.4        4.995215
           3507.8        5.025345
           3508.2        5.047033
           3508.6        5.069768
            3509.        5.083251
           3509.4        5.026048
           3509.8        4.996442
           3510.2        4.969414
           3510.6        4.971604
            3511.        4.983804
           3511.4        4.965197
           3511.8         4.94332
           3512.2        4.919674
           3512.6        4.886505
            3513.        4.847853
           3513.4        4.840177
           3513.8        4.923098
           3514.2        5.002537
           3514.6        4.949337
            3515.        4.924263
           3515.4        4.973983
           3515.8        5.023272
           3516.2        5.051697
           3516.6        4.960427
            3517.        4.910944
           3517.4        4.942989
           3517.8        4.945773
           3518.2        4.997702
           3518.6        4.984193
            3519.        4.933934
           3519.4        4.934474
           3519.8        4.826705
           3520.2        4.915246
           3520.6        4.973054
            3521.        5.034798
           3521.4        5.043768
           3521.8        4.969185
           3522.2        4.828565
           3522.6         4.88781
            3523.        4.942037
           3523.4        4.940531
           3523.8        4.963019
           3524.2        4.929625
           3524.6        4.869761
            3525.        4.864831
           3525.4        4.883795
           3525.8         4.87394
           3526.2        4.952389
           3526.6        4.920316
            3527.        4.910843
           3527.4        4.878126
           3527.8        4.914898
           3528.2        4.956881
           3528.6        4.898849
            3529.        4.907952
           3529.4        4.862268
           3529.8        4.756431
           3530.2        4.799709
           3530.6        4.742293
            3531.        4.776085
           3531.4          4.8274
           3531.8        4.812278
           3532.2        4.802844
           3532.6        4.846179
            3533.        4.887105
           3533.4        4.793749
           3533.8        4.815168
           3534.2         4.89765
           3534.6        4.823652
            3535.        4.768997
           3535.4        4.857557
           3535.8        4.874014
           3536.2        4.794568
           3536.6        4.877315
            3537.         4.82818
           3537.4        4.837744
           3537.8        4.814115
           3538.2        4.819782
           3538.6        4.810488
            3539.        4.825243
           3539.4        4.786021
           3539.8        4.833953
           3540.2         4.90016
           3540.6        4.785049
            3541.        4.765014
           3541.4        4.815414
           3541.8        4.834474
           3542.2        4.772433
           3542.6        4.729995
            3543.        4.784162
           3543.4        4.787599
           3543.8        4.746179
           3544.2        4.752567
           3544.6        4.801179
            3545.          4.8138
           3545.4        4.835204
           3545.8        4.841231
           3546.2        4.767435
           3546.6        4.753121
            3547.        4.721399
           3547.4        4.688467
           3547.8        4.754239
           3548.2        4.860219
           3548.6        4.788479
            3549.        4.741273
           3549.4        4.809883
           3549.8         4.79653
           3550.2        4.778646
           3550.6        4.765841
            3551.        4.688487
           3551.4        4.704951
           3551.8        4.747692
           3552.2         4.70404
           3552.6        4.715611
            3553.        4.678462
           3553.4        4.616191
           3553.8        4.605731
