#K OBJECT   '188260'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 188260
#K OBJRA    19:53:27.70
#K OBJDEC   +24:04:46.6
#K OBJBMAG  4.520000E+00
#K OBJVMAG  4.580000E+00
#K SPTYPE   B9.5III
#K OBJRV    -2.820000E+01
#K HDNAME   HD 188260
#K BDNAME   BD+23 3820
#K HIPNAME  HIP 97886
#K SAONAME  SAO 87883
#K VHELIO   1.67796139790261E+01
#K VLSR     3.48978616529637E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    8.116795E+03
#K CMAX1    9.452604E+03
#K PICKTYPE B9III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9453.0
#K GAPS     6799.0-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.        1.153031
           3465.4        1.178464
           3465.8        1.174169
           3466.2        1.151546
           3466.6         1.16205
            3467.        1.206633
           3467.4        1.210281
           3467.8        1.177611
           3468.2        1.176026
           3468.6        1.163897
            3469.        1.166095
           3469.4        1.171569
           3469.8        1.171946
           3470.2         1.17453
           3470.6        1.180322
            3471.        1.182024
           3471.4        1.169757
           3471.8        1.152604
           3472.2        1.147454
           3472.6        1.148006
            3473.        1.142665
           3473.4        1.150128
           3473.8        1.138567
           3474.2        1.099113
           3474.6        1.128482
            3475.        1.137602
           3475.4        1.128693
           3475.8         1.14449
           3476.2        1.140285
           3476.6        1.136242
            3477.        1.151936
           3477.4        1.147803
           3477.8        1.161969
           3478.2        1.169647
           3478.6        1.152802
            3479.        1.149982
           3479.4        1.168698
           3479.8        1.178561
           3480.2        1.156413
           3480.6        1.161553
            3481.        1.167095
           3481.4         1.15146
           3481.8        1.148513
           3482.2        1.146271
           3482.6         1.13905
            3483.        1.128658
           3483.4        1.146685
           3483.8        1.159274
           3484.2        1.160888
           3484.6        1.159109
            3485.        1.154111
           3485.4        1.157145
           3485.8        1.163963
           3486.2        1.174135
           3486.6        1.165207
            3487.        1.148988
           3487.4        1.156791
           3487.8        1.157526
           3488.2         1.14674
           3488.6        1.144908
            3489.        1.152904
           3489.4        1.152165
           3489.8        1.155494
           3490.2        1.143542
           3490.6        1.132405
            3491.        1.138863
           3491.4        1.147591
           3491.8        1.154409
           3492.2        1.148907
           3492.6        1.136049
            3493.        1.138801
           3493.4        1.140068
           3493.8        1.142246
           3494.2        1.133537
           3494.6        1.115156
            3495.        1.119567
           3495.4        1.117174
           3495.8        1.093803
           3496.2        1.100135
           3496.6        1.116543
            3497.        1.127047
           3497.4        1.133719
           3497.8         1.13697
           3498.2        1.152397
           3498.6        1.160435
            3499.        1.151411
           3499.4        1.156636
           3499.8        1.172208
           3500.2        1.144972
           3500.6        1.148446
            3501.        1.146892
           3501.4        1.141175
           3501.8         1.16466
           3502.2        1.154724
           3502.6        1.127721
            3503.        1.142534
           3503.4        1.153169
           3503.8        1.149349
           3504.2         1.15599
           3504.6        1.141842
            3505.        1.144453
           3505.4         1.13752
           3505.8        1.141976
           3506.2        1.143047
           3506.6        1.141443
            3507.        1.141602
           3507.4        1.147623
           3507.8        1.152604
           3508.2        1.140297
           3508.6        1.139315
            3509.        1.153072
           3509.4        1.137072
           3509.8        1.135678
           3510.2        1.115255
           3510.6        1.095587
            3511.          1.1044
           3511.4        1.116079
           3511.8        1.103397
           3512.2        1.116642
           3512.6        1.122816
            3513.        1.122175
           3513.4        1.110464
           3513.8        1.088451
           3514.2        1.102196
