#K OBJECT   '191026'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 191026
#K OBJRA    20:06:21.77
#K OBJDEC   +35:58:20.9
#K OBJBMAG  6.210000E+00
#K OBJVMAG  5.360000E+00
#K SPTYPE   K0IV
#K OBJRV    -3.340000E+01
#K HDNAME   HD 191026
#K BDNAME   BD+35 3959
#K HIPNAME  HIP 99031
#K SAONAME  SAO 69413
#K VHELIO   1.56426795159390E+01
#K VLSR     3.35785755225381E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459202E+03
#K CMAX1    4.784530E+03
#K PICKTYPE K0IV
#K NCOMBINE 5
#K TEFF     5150  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.490000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.000000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     6801.0-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.        0.246007
           3465.4        0.207604
           3465.8       0.1684994
           3466.2       0.1722281
           3466.6       0.1901255
            3467.       0.2105359
           3467.4       0.2441173
           3467.8        0.254094
           3468.2       0.2713071
           3468.6       0.2555713
            3469.        0.237233
           3469.4       0.2389463
           3469.8       0.2681202
           3470.2       0.2959948
           3470.6       0.3021652
            3471.       0.2903037
           3471.4       0.2508604
           3471.8       0.2191759
           3472.2       0.2103719
           3472.6       0.2074026
            3473.       0.2008546
           3473.4       0.2073805
           3473.8       0.1872511
           3474.2       0.1778553
           3474.6       0.1804914
            3475.       0.1583666
           3475.4       0.1327616
           3475.8       0.1324978
           3476.2       0.1385309
           3476.6       0.1362736
            3477.       0.1469245
           3477.4        0.180204
           3477.8       0.2047692
           3478.2       0.2298963
           3478.6       0.2445762
            3479.       0.2514054
           3479.4       0.2431171
           3479.8        0.237236
           3480.2       0.2285611
           3480.6       0.2287809
            3481.       0.2427462
           3481.4       0.2393836
           3481.8       0.2337652
           3482.2       0.2395584
           3482.6       0.2132779
            3483.       0.2038594
           3483.4       0.2016213
           3483.8       0.1913818
           3484.2       0.2042964
           3484.6       0.2050485
            3485.       0.1975658
           3485.4       0.1971625
           3485.8       0.2035354
           3486.2        0.236458
           3486.6       0.2812221
            3487.       0.2986114
           3487.4       0.2960112
           3487.8        0.281407
           3488.2       0.2546909
           3488.6       0.2213676
            3489.       0.1926592
           3489.4       0.1721876
           3489.8       0.1610269
           3490.2       0.1536345
           3490.6       0.1332154
            3491.       0.1468106
           3491.4       0.1815529
           3491.8       0.1991224
           3492.2       0.1927709
           3492.6       0.1639853
            3493.       0.1628589
           3493.4        0.186963
           3493.8       0.2094136
           3494.2       0.2347331
           3494.6       0.2572502
            3495.       0.2533288
           3495.4       0.2274476
           3495.8       0.2035309
           3496.2       0.1889426
           3496.6       0.1705293
            3497.       0.1548997
           3497.4       0.1514831
           3497.8       0.1617704
           3498.2       0.1960055
           3498.6        0.240803
            3499.       0.2831838
           3499.4       0.3052139
           3499.8       0.3126462
           3500.2       0.3099969
           3500.6       0.2867934
            3501.       0.2830162
           3501.4       0.2978595
           3501.8        0.286645
           3502.2       0.2743779
           3502.6       0.2862555
            3503.       0.3094401
           3503.4       0.3437491
           3503.8       0.3564504
           3504.2       0.3395821
           3504.6       0.2973872
            3505.       0.2615148
           3505.4       0.2537998
           3505.8       0.2506389
           3506.2       0.2422059
           3506.6       0.2451754
            3507.       0.2594933
           3507.4       0.2779757
           3507.8       0.2917476
           3508.2       0.2935536
           3508.6       0.2984039
            3509.       0.2979409
           3509.4       0.2549023
           3509.8       0.2152546
           3510.2       0.2057337
           3510.6       0.2077451
            3511.       0.2294038
           3511.4       0.2518553
           3511.8       0.2449706
           3512.2       0.2385135
           3512.6       0.2117838
            3513.       0.1861036
           3513.4       0.1897826
           3513.8       0.1797378
           3514.2       0.1656849
           3514.6       0.1565642
            3515.       0.1674933
           3515.4       0.1908857
           3515.8       0.2381633
           3516.2       0.2569451
           3516.6       0.2824418
            3517.       0.3064687
           3517.4       0.3266418
           3517.8       0.3483956
           3518.2       0.3419248
           3518.6       0.3112316
            3519.       0.2940601
           3519.4       0.2879741
           3519.8       0.2722612
           3520.2       0.2447482
           3520.6       0.2342658
            3521.       0.2135125
           3521.4       0.1914868
           3521.8       0.1957344
           3522.2       0.2151337
           3522.6       0.2251328
            3523.       0.2037809
           3523.4       0.1825777
           3523.8       0.1692421
           3524.2       0.1425479
           3524.6       0.1311581
            3525.       0.1438941
           3525.4       0.1556228
           3525.8       0.1443141
           3526.2       0.1264724
           3526.6       0.1364016
            3527.       0.1776649
           3527.4       0.2160525
           3527.8       0.2355494
           3528.2         0.26266
           3528.6       0.2915874
            3529.       0.2963183
           3529.4         0.27659
           3529.8        0.256732
           3530.2       0.2640494
           3530.6        0.280625
            3531.       0.2767143
           3531.4        0.257948
           3531.8       0.2409457
           3532.2       0.2113313
           3532.6       0.1966782
            3533.       0.2056518
           3533.4       0.2389757
           3533.8       0.2733182
           3534.2       0.2958195
           3534.6       0.3069113
            3535.       0.3005644
           3535.4       0.2891591
           3535.8       0.2841349
           3536.2       0.2816139
           3536.6       0.2674429
            3537.       0.2631319
           3537.4       0.2505105
           3537.8       0.2414448
           3538.2       0.2542171
           3538.6       0.2802766
            3539.       0.3201295
           3539.4       0.3463814
           3539.8       0.3338524
           3540.2       0.3009923
           3540.6        0.263368
            3541.       0.2374655
           3541.4       0.2398451
           3541.8       0.2414534
           3542.2       0.2352355
           3542.6       0.2489238
            3543.       0.2629717
           3543.4       0.2660524
           3543.8        0.273062
           3544.2       0.2961475
           3544.6       0.3069721
            3545.        0.296005
           3545.4       0.2878116
           3545.8       0.2811773
           3546.2       0.2760255
           3546.6       0.2825002
            3547.       0.2701829
           3547.4        0.243446
           3547.8       0.2160013
           3548.2       0.2281304
           3548.6       0.2607374
            3549.       0.2787464
           3549.4       0.2992536
           3549.8       0.3016725
           3550.2       0.2763787
           3550.6       0.2567008
            3551.       0.2537213
           3551.4       0.2530689
           3551.8       0.2423387
           3552.2        0.251787
           3552.6        0.255154
            3553.       0.2259339
           3553.4       0.2130577
           3553.8        0.198632
           3554.2       0.1838813
           3554.6       0.1955874
            3555.       0.2058277
           3555.4       0.2203338
           3555.8        0.252935
           3556.2        0.261473
           3556.6       0.2460453
            3557.       0.2407022
           3557.4       0.2363544
           3557.8       0.2322829
           3558.2       0.2092085
           3558.6       0.1842401
            3559.       0.1883894
           3559.4       0.2078231
           3559.8       0.2188938
           3560.2       0.2231259
           3560.6       0.2280758
            3561.       0.2327045
           3561.4       0.2323774
           3561.8       0.2321035
