#K OBJECT   '196610'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 196610
#K OBJRA    20:37:54.73
#K OBJDEC   +18:16:06.9
#K OBJBMAG  7.380000E+00
#K OBJVMAG  6.230000E+00
#K SPTYPE   M6III
#K OBJRV    -6.620000E+01
#K HDNAME   HD 196610
#K BDNAME   BD+17 4370
#K HIPNAME  HIP 101810
#K SAONAME  SAO 106329
#K VHELIO   2.19952698912486E+01
#K VLSR     3.79987533422822E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459642E+03
#K CMAX1    4.785144E+03
#K PICKTYPE M6III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     6799.8-6812.2

#      wavelength        spectrum
#       angstroms                

            3465.      0.03874509
           3465.4      0.03548533
           3465.8      0.03005695
           3466.2      0.02486657
           3466.6      0.03531102
            3467.       0.0411195
           3467.4      0.04254267
           3467.8      0.02999581
           3468.2      0.04271987
           3468.6      0.04640058
            3469.      0.04060339
           3469.4      0.03952584
           3469.8      0.04324647
           3470.2      0.04567994
           3470.6      0.04700251
            3471.      0.04754934
           3471.4      0.04621501
           3471.8      0.04831599
           3472.2      0.03720405
           3472.6      0.04201148
            3473.      0.03631325
           3473.4      0.03898849
           3473.8      0.03757385
           3474.2      0.02560991
           3474.6      0.02541603
            3475.      0.02964254
           3475.4      0.02451337
           3475.8      0.02143153
           3476.2      0.03155115
           3476.6      0.03851822
            3477.       0.0306127
           3477.4      0.03799189
           3477.8      0.04416994
           3478.2      0.05607036
           3478.6      0.04404163
            3479.      0.04376659
           3479.4      0.04478952
           3479.8      0.04873414
           3480.2      0.05245556
           3480.6      0.05001587
            3481.      0.04699299
           3481.4      0.04852221
           3481.8      0.05787486
           3482.2      0.06369442
           3482.6      0.05525966
            3483.      0.04791788
           3483.4      0.04183776
           3483.8      0.03883384
           3484.2      0.04599428
           3484.6       0.0456809
            3485.      0.05025594
           3485.4      0.05161022
           3485.8      0.04745301
           3486.2       0.0550983
           3486.6      0.06228176
            3487.      0.05579397
           3487.4      0.05129122
           3487.8      0.05148584
           3488.2      0.05452378
           3488.6      0.04243684
            3489.      0.04396451
           3489.4      0.04528703
           3489.8      0.03354327
           3490.2      0.02730735
           3490.6      0.03196962
            3491.      0.02988016
           3491.4      0.03188363
           3491.8      0.04185507
           3492.2      0.04314844
           3492.6      0.04209931
            3493.      0.04055227
           3493.4      0.03913621
           3493.8      0.03724907
           3494.2      0.05008506
           3494.6      0.05218831
            3495.      0.05277208
           3495.4      0.03537384
           3495.8      0.03387748
           3496.2      0.03331714
           3496.6       0.0330757
            3497.      0.04003124
           3497.4      0.03209664
           3497.8      0.02622775
           3498.2      0.03576675
           3498.6      0.04598836
            3499.      0.04575993
           3499.4      0.05654369
           3499.8       0.0497382
           3500.2      0.05059443
           3500.6      0.03796025
            3501.      0.04358338
           3501.4      0.05427268
           3501.8      0.04756961
           3502.2       0.0387261
           3502.6      0.04329827
            3503.       0.0596925
           3503.4      0.07087728
           3503.8      0.07217969
           3504.2      0.06310073
           3504.6      0.06634621
            3505.      0.06336673
           3505.4      0.05848524
           3505.8      0.05069668
           3506.2       0.0369435
           3506.6      0.05064914
            3507.      0.05600014
           3507.4      0.04546327
           3507.8      0.04733688
           3508.2       0.0516932
           3508.6      0.05101247
            3509.      0.03707307
           3509.4      0.04194022
           3509.8      0.04192285
           3510.2      0.04552772
           3510.6      0.05157384
            3511.      0.04406461
           3511.4      0.04385667
           3511.8      0.04896307
           3512.2      0.04547711
           3512.6       0.0361819
            3513.      0.02760503
           3513.4      0.02307257
           3513.8       0.0249737
           3514.2      0.02606019
           3514.6      0.02267282
            3515.      0.03468312
           3515.4      0.03501941
           3515.8      0.02813808
           3516.2      0.04507822
           3516.6      0.04448996
            3517.      0.04474251
           3517.4      0.04946286
           3517.8      0.05190109
           3518.2      0.05394226
           3518.6      0.05344366
            3519.      0.05161099
           3519.4      0.04315908
           3519.8      0.03599666
           3520.2      0.02726321
           3520.6      0.03113156
            3521.      0.03737102
           3521.4      0.03634439
           3521.8      0.04107749
           3522.2      0.03505191
           3522.6      0.03693654
            3523.      0.03645393
           3523.4       0.0211585
           3523.8      0.01659515
           3524.2      0.02420159
           3524.6      0.02534061
            3525.      0.02345849
           3525.4      0.02973483
           3525.8      0.02505436
           3526.2      0.01591655
           3526.6      0.02148008
            3527.      0.03856576
           3527.4       0.0376714
           3527.8      0.02698531
           3528.2      0.02922405
           3528.6      0.03835113
            3529.      0.04349447
           3529.4      0.04894907
           3529.8      0.04525775
           3530.2      0.03209873
           3530.6      0.04370464
            3531.       0.0508613
           3531.4      0.06302081
           3531.8      0.05602368
           3532.2      0.04532545
           3532.6      0.04595477
            3533.      0.05570891
           3533.4      0.05362394
           3533.8      0.04933599
           3534.2       0.0580841
           3534.6      0.06069665
            3535.      0.05415768
           3535.4      0.05317329
           3535.8      0.05072897
