#K OBJECT   '199960'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 199960
#K OBJRA    21:00:33.84
#K OBJDEC   -04:43:48.9
#K OBJBMAG  6.815000E+00
#K OBJVMAG  6.214000E+00
#K SPTYPE   G1V
#K OBJRV    -1.740000E+01
#K HDNAME   HD 199960
#K BDNAME   BD-05 5433
#K HIPNAME  HIP 103682
#K SAONAME  SAO 145022
#K VHELIO   2.71790707041988E+01
#K VLSR     3.87383124151147E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446436E+03
#K CMAX1    4.772173E+03
#K PICKTYPE G2V
#K NCOMBINE 5
#K TEFF     5813  1993A&A...275..101E (Edvardsson)
#K LOGG     4.200000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      1.100000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.8-5460.6,6798.6-6811.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.5546544
           3465.4       0.5089845
           3465.8       0.4429734
           3466.2       0.4240018
           3466.6       0.4486101
            3467.       0.4852023
           3467.4       0.5186956
           3467.8       0.5425667
           3468.2       0.5591681
           3468.6       0.5527595
            3469.       0.5227817
           3469.4       0.5233672
           3469.8       0.5489458
           3470.2       0.6002306
           3470.6       0.6264957
            3471.       0.6001616
           3471.4       0.5467893
           3471.8        0.500106
           3472.2       0.4637716
           3472.6       0.4555795
            3473.       0.4805099
           3473.4       0.4908025
           3473.8       0.4653293
           3474.2       0.4466524
           3474.6       0.4435768
            3475.       0.4205473
           3475.4       0.3831204
           3475.8       0.3719206
           3476.2       0.3711139
           3476.6       0.3605743
            3477.       0.3722327
           3477.4       0.4187334
           3477.8       0.4690732
           3478.2       0.4992573
           3478.6       0.5107281
            3479.       0.5182629
           3479.4       0.5231338
           3479.8       0.5115086
           3480.2       0.4995236
           3480.6       0.4969455
            3481.       0.4942609
           3481.4       0.5027404
           3481.8       0.5008174
           3482.2       0.4910258
           3482.6       0.4668982
            3483.       0.4355961
           3483.4       0.4127197
           3483.8       0.4080796
           3484.2       0.4255223
           3484.6       0.4385315
            3485.       0.4228554
           3485.4       0.4177226
           3485.8       0.4480222
           3486.2       0.4912707
           3486.6       0.5593236
            3487.       0.5945745
           3487.4       0.6180204
           3487.8        0.584888
           3488.2       0.5302837
           3488.6       0.4694095
            3489.       0.4187934
           3489.4       0.4070045
           3489.8       0.4066881
           3490.2       0.3942814
           3490.6       0.3754796
            3491.       0.3945056
           3491.4       0.4445697
           3491.8       0.4909994
           3492.2       0.4766037
           3492.6       0.4209988
            3493.       0.3775684
           3493.4        0.392901
           3493.8       0.4589846
           3494.2       0.5156417
           3494.6       0.5329961
            3495.       0.5140464
           3495.4       0.4660749
           3495.8       0.4206553
           3496.2       0.3905375
           3496.6        0.374392
            3497.       0.3622813
           3497.4       0.3590001
           3497.8       0.3757547
           3498.2       0.4216848
           3498.6       0.5027288
            3499.       0.5875904
           3499.4       0.6400995
           3499.8       0.6409319
           3500.2       0.6050833
           3500.6       0.5764931
            3501.        0.582364
           3501.4       0.6092303
           3501.8       0.5993124
           3502.2       0.5734288
           3502.6        0.575616
            3503.       0.6245353
           3503.4        0.690686
           3503.8       0.6977645
           3504.2       0.6659106
           3504.6       0.5964745
            3505.       0.5334406
           3505.4       0.5315911
           3505.8       0.5359284
           3506.2        0.517816
           3506.6       0.5157756
            3507.       0.5372629
           3507.4       0.5664368
           3507.8       0.5856268
           3508.2       0.5992541
           3508.6       0.6094952
            3509.       0.6017344
           3509.4        0.571006
           3509.8        0.512172
           3510.2       0.4603205
           3510.6       0.4570414
            3511.       0.4997676
           3511.4       0.5432036
           3511.8       0.5370061
           3512.2       0.5081691
           3512.6       0.4827888
            3513.       0.4736931
           3513.4       0.4453164
           3513.8       0.4194121
