#K OBJECT   '200790'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 200790
#K OBJRA    21:05:26.72
#K OBJDEC   +05:57:29.5
#K OBJBMAG  6.454000E+00
#K OBJVMAG  5.968000E+00
#K SPTYPE   F8V
#K OBJRV    -22
#K HDNAME   HD 200790
#K BDNAME   BD+05 4697
#K HIPNAME  HIP 104101
#K SAONAME  SAO 126535
#K VHELIO   2.55782652819622E+01
#K VLSR     3.87141383262931E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459176E+03
#K CMAX1    4.784498E+03
#K PICKTYPE F8V
#K NCOMBINE 5
#K TEFF     6166  1993A&A...275..101E (Edvardsson)
#K LOGG     4.050000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -7.000000E-02  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     6801.0-6811.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.6158746
           3465.4       0.5839602
           3465.8       0.5337598
           3466.2       0.5222459
           3466.6       0.5387952
            3467.       0.5803225
           3467.4       0.6111458
           3467.8       0.6204226
           3468.2       0.6058428
           3468.6       0.6052406
            3469.       0.5958994
           3469.4       0.6026922
           3469.8       0.6388276
           3470.2       0.6599879
           3470.6       0.6605341
            3471.       0.6544648
           3471.4       0.6255882
           3471.8       0.5859749
           3472.2       0.5717131
           3472.6       0.5846571
            3473.       0.5829561
           3473.4       0.5633341
           3473.8       0.5354798
           3474.2       0.5141422
           3474.6        0.521004
            3475.       0.5170627
           3475.4       0.4723966
           3475.8       0.4478717
           3476.2       0.4631803
           3476.6       0.4736849
            3477.       0.4838055
           3477.4       0.5029556
           3477.8       0.5337198
           3478.2       0.5798852
           3478.6       0.5928343
            3479.       0.5780247
           3479.4       0.5878781
           3479.8       0.5984238
           3480.2       0.5918595
           3480.6       0.5801756
            3481.       0.5913256
           3481.4         0.60294
           3481.8        0.592117
           3482.2       0.5766538
           3482.6       0.5478992
            3483.       0.5182023
           3483.4       0.4926947
           3483.8        0.494952
           3484.2       0.5380365
           3484.6       0.5377086
            3485.       0.5472773
           3485.4       0.5439236
           3485.8       0.5778332
           3486.2        0.620831
           3486.6       0.6411155
            3487.       0.6529443
           3487.4       0.6468616
           3487.8       0.6434124
           3488.2       0.6165772
           3488.6        0.574228
            3489.       0.5328267
           3489.4       0.5073583
           3489.8       0.5127232
           3490.2       0.5022575
           3490.6       0.5091448
            3491.       0.5306883
           3491.4       0.5647594
           3491.8       0.5943363
           3492.2       0.5826804
           3492.6       0.5412676
            3493.       0.5083645
           3493.4       0.5181968
           3493.8       0.5624783
           3494.2       0.5660276
           3494.6       0.5716037
            3495.       0.5515909
           3495.4       0.4930481
           3495.8       0.4572032
           3496.2       0.4429927
           3496.6       0.4440424
            3497.       0.4564306
           3497.4        0.468323
           3497.8       0.4979353
           3498.2       0.5507728
           3498.6       0.6068768
            3499.       0.6688893
           3499.4       0.6926979
           3499.8       0.6619563
           3500.2        0.647671
           3500.6       0.6426685
            3501.       0.6356664
           3501.4       0.6460306
           3501.8       0.6540536
           3502.2       0.6316426
           3502.6       0.6380107
            3503.        0.676458
           3503.4       0.6966044
           3503.8       0.7184885
           3504.2       0.6920424
           3504.6       0.6164533
            3505.       0.5805818
           3505.4       0.5728119
           3505.8       0.5825975
           3506.2        0.581606
           3506.6       0.5879436
            3507.       0.6049903
           3507.4       0.6397399
           3507.8        0.651566
           3508.2       0.6512665
           3508.6       0.6625312
            3509.       0.6563287
           3509.4       0.6455362
           3509.8       0.5777818
           3510.2       0.5603701
           3510.6       0.5692968
            3511.       0.6053087
           3511.4        0.623608
           3511.8       0.6095967
           3512.2       0.5756499
           3512.6        0.566129
            3513.       0.5623948
           3513.4       0.5559876
           3513.8       0.5503168
           3514.2       0.5443736
           3514.6       0.5677045
            3515.       0.5730683
           3515.4       0.6065111
           3515.8       0.6275494
           3516.2       0.6623173
           3516.6        0.676842
            3517.       0.6866668
           3517.4       0.6828635
           3517.8       0.6922773
           3518.2       0.6932433
           3518.6       0.6752459
