#K OBJECT   '207978'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 207978
#K OBJRA    21:52:29.92
#K OBJDEC   +28:47:36.7
#K OBJBMAG  5.920000E+00
#K OBJVMAG  5.535000E+00
#K SPTYPE   F6IV-Vwvar
#K OBJRV    1.900000E+01
#K HDNAME   HD 207978
#K BDNAME   BD+28 4215
#K HIPNAME  HIP 107975
#K SAONAME  SAO 90065
#K VHELIO   2.29157836202041E+01
#K VLSR     3.59627827993987E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.439837E+03
#K CMAX1    4.765814E+03
#K PICKTYPE F6V
#K NCOMBINE 4
#K TEFF     6285  1993A&A...275..101E (Edvardsson)
#K LOGG     4.090000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -6.600000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     4766.6-5462.2,6799.8-6810.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.6774958
           3465.4       0.6390949
           3465.8       0.6126676
           3466.2       0.6340373
           3466.6        0.661669
            3467.       0.6815139
           3467.4       0.6958875
           3467.8       0.6948223
           3468.2       0.6900815
           3468.6       0.6803877
            3469.       0.6700932
           3469.4       0.6712049
           3469.8       0.6894618
           3470.2       0.7163382
           3470.6       0.7172442
            3471.       0.7000341
           3471.4       0.6824234
           3471.8       0.6695995
           3472.2       0.6624259
           3472.6       0.6632236
            3473.       0.6588836
           3473.4       0.6446531
           3473.8        0.621228
           3474.2       0.6044551
           3474.6        0.601395
            3475.        0.587581
           3475.4       0.5634432
           3475.8       0.5608623
           3476.2        0.562505
           3476.6       0.5501792
            3477.       0.5614774
           3477.4        0.606444
           3477.8       0.6498528
           3478.2       0.6650629
           3478.6       0.6807343
            3479.       0.6842666
           3479.4       0.6832231
           3479.8       0.6875303
           3480.2       0.6840206
           3480.6       0.6798025
            3481.       0.6788648
           3481.4       0.6886835
           3481.8       0.7031391
           3482.2       0.6770775
           3482.6       0.6430269
            3483.        0.620631
           3483.4        0.607721
           3483.8       0.6153447
           3484.2       0.6397461
           3484.6       0.6574211
            3485.        0.659875
           3485.4        0.658316
           3485.8        0.669062
           3486.2       0.6967514
           3486.6       0.7209706
            3487.       0.7287037
           3487.4       0.7255631
