#K OBJECT   '210752'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 210752
#K OBJRA    22:12:43.54
#K OBJDEC   -06:28:08.1
#K OBJBMAG  7.920000E+00
#K OBJVMAG  7.400000E+00
#K SPTYPE   G0
#K HDNAME   HD 210752
#K BDNAME   BD-07 5727
#K HIPNAME  HIP 109646
#K SAONAME  SAO 145939
#K VHELIO   2.90071716821206E+01
#K VLSR     3.59037922769625E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.783651E+03
#K CMAX1    8.119416E+03
#K PICKTYPE G0V
#K NCOMBINE 7
#K TEFF     5910  1993A&A...275..101E (Edvardsson)
#K LOGG     4.250000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -6.400000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.5510287
           3465.4       0.4996064
           3465.8       0.4872468
           3466.2       0.4909934
           3466.6       0.5192537
            3467.       0.5435426
           3467.4       0.5614341
           3467.8       0.5830973
           3468.2       0.5930062
           3468.6       0.5789713
            3469.       0.5538318
           3469.4       0.5585155
           3469.8       0.5880592
           3470.2       0.5849152
           3470.6       0.5958565
            3471.       0.5757531
           3471.4       0.5536282
           3471.8       0.5450014
           3472.2       0.5328963
           3472.6       0.5310587
            3473.       0.5205138
           3473.4        0.505718
           3473.8       0.4901788
           3474.2       0.4812499
           3474.6       0.4762093
            3475.       0.4357979
           3475.4       0.4021764
           3475.8       0.4135749
           3476.2       0.4160135
           3476.6       0.4179444
            3477.       0.4451796
           3477.4       0.4910645
           3477.8       0.5283245
           3478.2       0.5506647
           3478.6       0.5539656
            3479.       0.5594736
           3479.4        0.573606
           3479.8       0.5744055
           3480.2       0.5666364
           3480.6       0.5597122
            3481.       0.5563495
           3481.4       0.5626873
           3481.8       0.5662001
           3482.2       0.5414423
           3482.6       0.5222045
            3483.       0.4954379
           3483.4       0.4844904
           3483.8       0.5072967
           3484.2       0.5316787
           3484.6        0.541178
            3485.       0.5363962
           3485.4       0.5379246
           3485.8       0.5714327
           3486.2       0.5943279
           3486.6       0.6164853
            3487.       0.6426868
           3487.4       0.6319364
           3487.8       0.5966764
           3488.2       0.5659459
           3488.6       0.5471871
            3489.       0.5209393
           3489.4       0.4944126
           3489.8       0.4759536
           3490.2       0.4532736
           3490.6        0.439289
            3491.       0.4660382
           3491.4       0.5249882
           3491.8       0.5626504
           3492.2        0.545801
           3492.6       0.4952073
            3493.       0.4757074
           3493.4        0.495063
           3493.8       0.5490581
           3494.2       0.5685543
           3494.6       0.5523778
            3495.       0.5256534
           3495.4         0.48581
           3495.8       0.4587239
           3496.2       0.4498783
           3496.6       0.4383217
            3497.       0.4482127
           3497.4       0.4642688
           3497.8       0.4785596
           3498.2        0.543557
           3498.6       0.5941842
            3499.          0.6242
           3499.4       0.6254329
           3499.8       0.6120777
           3500.2       0.5932323
           3500.6       0.5753096
            3501.       0.5736153
           3501.4       0.5796494
           3501.8       0.5811856
           3502.2       0.5762657
           3502.6       0.5852572
            3503.       0.6194745
           3503.4       0.6417999
           3503.8       0.6294814
           3504.2       0.6032131
           3504.6       0.5669391
            3505.       0.5543697
           3505.4       0.5526617
           3505.8       0.5477084
           3506.2       0.5428121
           3506.6       0.5482227
            3507.       0.5742782
           3507.4       0.5743361
           3507.8       0.5796549
           3508.2       0.5899324
           3508.6       0.6028733
            3509.       0.5942287
           3509.4       0.5660806
           3509.8       0.5219963
           3510.2       0.4993485
           3510.6       0.5161152
            3511.       0.5493194
           3511.4       0.5652999
           3511.8       0.5526771
           3512.2       0.5388776
           3512.6       0.5350829
            3513.       0.5158859
           3513.4       0.4967391
           3513.8       0.4804107
           3514.2       0.4887068
           3514.6       0.4980586
            3515.        0.508319
           3515.4       0.5481089
           3515.8       0.5935163
           3516.2       0.6078895
           3516.6       0.6084011
            3517.       0.6260651
           3517.4        0.638717
           3517.8       0.6254528
           3518.2         0.61797
           3518.6       0.6008976
            3519.       0.6018268
           3519.4       0.5947294
           3519.8       0.5634555
           3520.2       0.5511023
           3520.6       0.5578066
            3521.       0.5254298
           3521.4       0.5055711
           3521.8       0.5339778
           3522.2       0.5688204
           3522.6       0.5791236
            3523.       0.5477093
           3523.4        0.515031
           3523.8       0.4811695
           3524.2       0.4361875
           3524.6       0.4391536
            3525.       0.4923134
           3525.4       0.4795117
           3525.8       0.4392881
           3526.2       0.4006241
           3526.6       0.4106098
            3527.       0.4802397
           3527.4       0.5420767
           3527.8       0.5702888
           3528.2       0.5930806
           3528.6       0.6153972
            3529.        0.612641
           3529.4       0.6096593
           3529.8       0.5946759
           3530.2       0.5910069
           3530.6        0.598387
            3531.       0.5980592
           3531.4       0.5899422
           3531.8       0.5783162
           3532.2       0.5601991
           3532.6       0.5508283
            3533.       0.5559489
           3533.4       0.5782292
           3533.8       0.6280301
           3534.2       0.6527827
           3534.6       0.6478763
            3535.        0.634876
           3535.4       0.6265094
           3535.8       0.6094659
           3536.2       0.6152667
           3536.6       0.6259478
            3537.       0.6110453
           3537.4       0.5888641
           3537.8        0.590201
           3538.2       0.6105551
           3538.6       0.6407183
            3539.       0.6802937
           3539.4        0.696033
           3539.8       0.6761309
           3540.2       0.6322666
           3540.6       0.5914303
            3541.       0.5884275
           3541.4       0.5939713
           3541.8       0.5915682
           3542.2       0.6010599
           3542.6       0.6192802
            3543.       0.6367723
           3543.4       0.6547028
           3543.8       0.6703981
           3544.2       0.6788244
           3544.6       0.6700465
            3545.       0.6481982
           3545.4       0.6310056
           3545.8       0.6330841
           3546.2       0.6641361
           3546.6       0.6751595
            3547.         0.64668
           3547.4       0.6134357
           3547.8       0.5936543
           3548.2        0.608337
           3548.6        0.633894
            3549.       0.6483554
           3549.4       0.6765955
           3549.8        0.687764
           3550.2       0.6807583
           3550.6       0.6727322
            3551.       0.6619515
           3551.4       0.6611382
           3551.8       0.6427964
           3552.2       0.6384022
           3552.6       0.6362286
            3553.       0.6197177
           3553.4       0.5956247
           3553.8        0.573607
           3554.2       0.5655214
           3554.6        0.560889
            3555.       0.5747914
           3555.4       0.6379815
           3555.8       0.6519884
           3556.2       0.6443702
           3556.6       0.6029994
            3557.       0.6209932
           3557.4       0.6413447
           3557.8       0.6336685
           3558.2       0.6019188
           3558.6       0.5862466
            3559.       0.6067638
