#K OBJECT   '210855'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 210855
#K OBJRA    22:11:48.77
#K OBJDEC   +56:50:21.7
#K OBJBMAG  5.750000E+00
#K OBJVMAG  5.200000E+00
#K SPTYPE   F8V
#K OBJRV    -1.890000E+01
#K HDNAME   HD 210855
#K BDNAME   BD+56 2727
#K HIPNAME  HIP 109572
#K SAONAME  SAO 34151
#K VHELIO   1.32663838523912E+01
#K VLSR     2.60886916775671E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.440162E+03
#K CMAX1    4.766264E+03
#K PICKTYPE F8V
#K NCOMBINE 6
#K TEFF     6249  1993A&A...275..101E (Edvardsson)
#K LOGG     3.860000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      6.000000E-02  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     6800.6-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.6058573
           3465.4       0.5714272
           3465.8       0.5438374
           3466.2       0.5434465
           3466.6       0.5594525
            3467.       0.5826386
           3467.4       0.6023324
           3467.8       0.6191754
           3468.2       0.6156793
           3468.6       0.5979838
            3469.       0.5813744
           3469.4       0.5820439
           3469.8       0.6185787
           3470.2       0.6672997
           3470.6       0.6753086
            3471.       0.6407449
           3471.4       0.6067812
           3471.8       0.5874496
           3472.2       0.5751483
           3472.6       0.5733101
            3473.       0.5790367
           3473.4       0.5627828
           3473.8       0.5367891
           3474.2       0.5133773
           3474.6       0.5061422
            3475.       0.4959374
           3475.4       0.4740528
           3475.8       0.4651799
           3476.2       0.4676264
           3476.6       0.4604439
            3477.       0.4655742
           3477.4       0.5066904
           3477.8       0.5494497
           3478.2       0.5664921
           3478.6       0.5785881
            3479.       0.5870683
           3479.4       0.5854438
           3479.8       0.5832099
           3480.2       0.5750659
           3480.6        0.570704
            3481.       0.5676586
           3481.4        0.570873
           3481.8       0.5820264
           3482.2       0.5680871
           3482.6       0.5439638
            3483.       0.5192396
