#K OBJECT   '216131'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 216131
#K OBJRA    22:50:00.19
#K OBJDEC   +24:36:05.7
#K OBJBMAG  4.430000E+00
#K OBJVMAG  3.513000E+00
#K SPTYPE   G8III
#K OBJRV    1.390000E+01
#K HDNAME   HD 216131
#K BDNAME   BD+23 4615
#K HIPNAME  HIP 112748
#K SAONAME  SAO 90816
#K VHELIO   2.52929468795775E+01
#K VLSR     3.44446791131160E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459180E+03
#K CMAX1    4.784310E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     4950  1995AJ....110.2968L (Luck)
#K LOGG     2.500000E+00  1995AJ....110.2968L (Luck)
#K FEH      -3.000000E-02  1995AJ....110.2968L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     6799.8-6810.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.2290268
           3465.4       0.2020917
           3465.8       0.1702259
           3466.2       0.1673641
           3466.6       0.1927924
            3467.       0.2113095
           3467.4       0.2248708
           3467.8       0.2264951
           3468.2       0.2379309
           3468.6       0.2460712
            3469.       0.2430979
           3469.4       0.2411913
           3469.8       0.2604931
           3470.2       0.2867405
           3470.6       0.2838462
            3471.       0.2639787
           3471.4       0.2459289
           3471.8       0.2200802
           3472.2       0.2082056
           3472.6       0.1950608
            3473.       0.1962373
           3473.4       0.1975668
           3473.8        0.182512
           3474.2       0.1758038
           3474.6       0.1667451
            3475.       0.1494024
           3475.4       0.1361583
           3475.8       0.1299063
           3476.2       0.1287335
           3476.6          0.1317
            3477.       0.1451593
           3477.4       0.1768232
           3477.8       0.2011855
           3478.2       0.2084873
           3478.6       0.2160808
            3479.       0.2126696
           3479.4        0.208613
           3479.8       0.2091397
           3480.2       0.2093164
           3480.6       0.2016787
            3481.       0.1960105
           3481.4       0.2093481
           3481.8       0.2121663
           3482.2       0.1964386
           3482.6       0.1990041
            3483.       0.1784576
           3483.4       0.1687984
           3483.8       0.1798696
           3484.2       0.1899401
           3484.6       0.1864605
            3485.       0.1746853
           3485.4       0.1766408
           3485.8       0.1964445
           3486.2       0.2202556
           3486.6       0.2451914
            3487.       0.2680444
           3487.4       0.2804963
           3487.8       0.2695244
           3488.2       0.2285291
           3488.6       0.2042597
            3489.       0.1765511
           3489.4       0.1616706
           3489.8       0.1556157
           3490.2       0.1471061
           3490.6       0.1373926
            3491.       0.1540438
           3491.4       0.1810303
           3491.8       0.1940094
           3492.2         0.18268
           3492.6       0.1586968
            3493.       0.1576824
           3493.4        0.172189
           3493.8       0.1999986
           3494.2       0.2262518
           3494.6       0.2297889
            3495.       0.2197318
           3495.4       0.2021614
           3495.8       0.1666387
           3496.2       0.1509648
           3496.6       0.1506005
            3497.       0.1415937
           3497.4       0.1392927
           3497.8       0.1475473
           3498.2       0.1722374
           3498.6       0.2262195
            3499.       0.2598133
           3499.4       0.2788992
           3499.8       0.2911438
           3500.2       0.2694111
           3500.6       0.2526099
            3501.       0.2644653
           3501.4       0.2738853
           3501.8       0.2707518
           3502.2       0.2578499
           3502.6       0.2670526
            3503.       0.3018043
           3503.4       0.3230375
           3503.8       0.3327411
           3504.2         0.30975
           3504.6       0.2597379
            3505.       0.2364726
           3505.4       0.2246335
           3505.8       0.2274021
           3506.2       0.2210024
           3506.6       0.2112888
            3507.       0.2276839
           3507.4       0.2470349
           3507.8       0.2610821
           3508.2       0.2734901
           3508.6       0.2645957
            3509.       0.2524537
           3509.4       0.2407552
           3509.8       0.2026199
           3510.2       0.1886426
           3510.6       0.1931693
            3511.       0.2235973
           3511.4       0.2472254
           3511.8       0.2343678
           3512.2       0.2055282
           3512.6       0.1841747
            3513.       0.1782276
           3513.4       0.1721965
           3513.8       0.1592262
           3514.2       0.1540999
           3514.6       0.1515328
            3515.       0.1629465
           3515.4       0.1898087
           3515.8       0.2237618
           3516.2       0.2459019
           3516.6         0.25346
            3517.       0.2678465
           3517.4       0.2911154
           3517.8       0.3138388
           3518.2       0.3158306
           3518.6       0.3025316
            3519.       0.2880255
           3519.4        0.265467
           3519.8       0.2480678
           3520.2       0.2374485
           3520.6       0.2133358
            3521.       0.1922546
           3521.4       0.1846827
           3521.8       0.1958461
           3522.2       0.2130472
           3522.6       0.2075716
            3523.       0.1887325
           3523.4       0.1757349
           3523.8        0.154717
           3524.2       0.1314897
           3524.6       0.1335535
            3525.       0.1521918
           3525.4       0.1575723
           3525.8       0.1315844
           3526.2       0.1285449
           3526.6        0.136574
            3527.       0.1670652
           3527.4       0.2025158
           3527.8        0.232734
           3528.2       0.2527793
           3528.6       0.2706887
            3529.       0.2722715
           3529.4       0.2539149
           3529.8       0.2466836
           3530.2       0.2478641
           3530.6       0.2454271
            3531.       0.2538251
           3531.4       0.2381929
           3531.8        0.204708
           3532.2       0.1916853
           3532.6       0.1847246
            3533.       0.1894791
           3533.4       0.2126604
           3533.8       0.2545442
           3534.2       0.2854322
           3534.6       0.2759756
            3535.       0.2615686
           3535.4         0.26626
           3535.8       0.2569638
           3536.2       0.2534084
           3536.6       0.2557618
            3537.       0.2410946
           3537.4       0.2439521
           3537.8       0.2326415
           3538.2       0.2461451
           3538.6       0.2618303
            3539.       0.2912942
           3539.4       0.3183038
           3539.8       0.3062826
           3540.2       0.2799081
           3540.6       0.2573211
            3541.       0.2401791
           3541.4       0.2401631
           3541.8       0.2281638
           3542.2       0.2273325
           3542.6       0.2366986
            3543.       0.2483557
           3543.4       0.2559796
           3543.8       0.2564359
           3544.2       0.2611261
           3544.6       0.2748855
            3545.       0.2732285
           3545.4       0.2610063
           3545.8       0.2631035
           3546.2       0.2670288
           3546.6       0.2661507
            3547.       0.2532681
           3547.4       0.2279895
           3547.8       0.2108925
           3548.2       0.2081499
           3548.6       0.2348062
            3549.       0.2553575
           3549.4       0.2677084
           3549.8       0.2717593
           3550.2       0.2512602
           3550.6       0.2335874
            3551.       0.2333931
           3551.4       0.2227997
           3551.8       0.2181712
           3552.2       0.2314623
           3552.6       0.2342909
            3553.       0.2114881
           3553.4       0.1969615
           3553.8       0.1853397
           3554.2        0.181303
           3554.6       0.1895735
            3555.       0.2037648
           3555.4       0.2325918
           3555.8       0.2523333
           3556.2       0.2407271
           3556.6       0.2232036
            3557.       0.2177846
           3557.4       0.2257178
           3557.8       0.2129426
           3558.2       0.1965477
           3558.6       0.1779974
            3559.       0.1701757
           3559.4       0.1844096
           3559.8       0.2086105
           3560.2       0.2135745
           3560.6       0.2061809
            3561.          0.2023
           3561.4       0.1993943
           3561.8       0.2024455
           3562.2       0.2219395
           3562.6       0.2533253
            3563.       0.2734459
           3563.4       0.2727644
           3563.8       0.2612893
           3564.2       0.2258952
           3564.6       0.1793911
            3565.       0.1341322
           3565.4       0.1069483
           3565.8       0.1052697
           3566.2       0.1186719
           3566.6       0.1430464
            3567.       0.1721264
           3567.4       0.1892417
           3567.8       0.1973446
           3568.2       0.1987059
           3568.6       0.1799134
            3569.       0.1533197
           3569.4       0.1186102
           3569.8      0.09761313
           3570.2       0.0977942
           3570.6       0.1292834
            3571.       0.1545204
           3571.4       0.1602149
           3571.8       0.1666631
           3572.2        0.177671
           3572.6       0.1995854
            3573.       0.2225029
           3573.4       0.2205674
           3573.8       0.2101452
           3574.2       0.2034816
           3574.6       0.2048749
            3575.        0.210197
           3575.4       0.2092961
           3575.8       0.2191394
           3576.2       0.2246148
           3576.6       0.2293051
