#K OBJECT   '216228'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 216228
#K OBJRA    22:49:40.82
#K OBJDEC   +66:12:01.5
#K OBJBMAG  4.560000E+00
#K OBJVMAG  3.510000E+00
#K SPTYPE   K0III
#K OBJRV    -1.240000E+01
#K HDNAME   HD 216228
#K BDNAME   BD+65 1814
#K HIPNAME  HIP 112724
#K SAONAME  SAO 20268
#K VHELIO   1.73969055954710E+00
#K VLSR     1.31107600257866E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.450058E+03
#K CMAX1    4.775696E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4675  1995AJ....110.2968L (Luck)
#K LOGG     2.150000E+00  1995AJ....110.2968L (Luck)
#K FEH      2.000000E-02  1995AJ....110.2968L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     6800.2-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2119071
           3465.4       0.1804404
           3465.8       0.1501493
           3466.2       0.1385511
           3466.6       0.1501063
            3467.       0.1728682
           3467.4       0.1971899
           3467.8       0.2070453
           3468.2       0.2155187
           3468.6       0.2187569
            3469.       0.2086394
           3469.4       0.2031612
           3469.8       0.2272285
           3470.2       0.2517343
           3470.6       0.2646986
            3471.       0.2525028
           3471.4       0.2288848
           3471.8        0.210319
           3472.2       0.1774602
           3472.6       0.1649467
            3473.       0.1664657
           3473.4       0.1682063
           3473.8       0.1573608
           3474.2       0.1493174
           3474.6         0.13447
            3475.        0.117212
           3475.4       0.1100137
           3475.8       0.1025017
           3476.2       0.1007801
           3476.6       0.1085814
            3477.       0.1190409
           3477.4       0.1488595
           3477.8       0.1866807
           3478.2       0.1931503
           3478.6       0.1916096
            3479.        0.193932
           3479.4       0.2016211
           3479.8       0.1882376
           3480.2       0.1741762
           3480.6       0.1800605
            3481.       0.1870909
           3481.4       0.1912005
           3481.8       0.1990139
           3482.2       0.1953445
           3482.6       0.1818723
            3483.       0.1700892
           3483.4       0.1495158
           3483.8       0.1521145
           3484.2        0.170949
           3484.6       0.1774075
            3485.        0.168649
           3485.4        0.155841
           3485.8       0.1679312
           3486.2       0.1972479
           3486.6       0.2291037
            3487.       0.2532641
           3487.4       0.2646333
           3487.8       0.2553351
           3488.2       0.2273364
           3488.6       0.2026498
            3489.       0.1648245
           3489.4       0.1447757
           3489.8       0.1310697
           3490.2       0.1185709
           3490.6       0.1081367
            3491.       0.1267563
           3491.4       0.1535245
           3491.8       0.1662012
           3492.2       0.1569216
           3492.6       0.1371955
            3493.       0.1261995
           3493.4       0.1396294
           3493.8       0.1835136
           3494.2       0.2143075
           3494.6       0.2271767
            3495.       0.2145728
           3495.4       0.2060695
           3495.8        0.171925
           3496.2       0.1468343
           3496.6       0.1355031
            3497.       0.1289013
           3497.4       0.1311159
           3497.8       0.1389823
           3498.2       0.1575745
           3498.6       0.1977973
            3499.       0.2439117
           3499.4       0.2741999
           3499.8       0.2861401
           3500.2       0.2697006
           3500.6       0.2532803
            3501.       0.2580372
           3501.4       0.2572116
           3501.8       0.2417167
           3502.2       0.2252834
           3502.6       0.2345376
            3503.       0.2743449
           3503.4       0.3111452
           3503.8       0.3279148
           3504.2       0.3240509
           3504.6       0.2797241
            3505.       0.2288257
           3505.4        0.217049
           3505.8       0.2200771
           3506.2       0.2078249
           3506.6       0.2065251
            3507.       0.2216464
           3507.4       0.2334194
           3507.8       0.2500497
           3508.2       0.2685275
           3508.6        0.264123
            3509.       0.2425809
           3509.4       0.2209429
           3509.8       0.1906592
           3510.2       0.1610349
           3510.6       0.1610254
            3511.       0.1944521
           3511.4       0.2155409
           3511.8        0.212093
           3512.2       0.2040371
           3512.6       0.1862625
            3513.       0.1666748
           3513.4       0.1487494
           3513.8       0.1378988
           3514.2       0.1343225
           3514.6       0.1297212
            3515.       0.1375506
           3515.4        0.157014
           3515.8       0.1899046
           3516.2       0.2343083
           3516.6       0.2498659
            3517.       0.2645273
           3517.4       0.3006404
           3517.8       0.3133015
           3518.2       0.3057097
           3518.6       0.2755979
            3519.       0.2604604
           3519.4       0.2606114
           3519.8       0.2332332
           3520.2       0.2138391
           3520.6       0.1993423
            3521.       0.1798169
           3521.4       0.1595719
           3521.8       0.1714924
           3522.2       0.1839959
           3522.6       0.1864655
            3523.       0.1721349
           3523.4       0.1429175
           3523.8       0.1169543
           3524.2       0.1003224
           3524.6      0.09046906
            3525.       0.1034833
           3525.4       0.1239664
           3525.8       0.1099077
           3526.2       0.1013367
           3526.6       0.1219419
            3527.       0.1618637
           3527.4       0.1858885
           3527.8       0.2128615
           3528.2       0.2314174
           3528.6        0.249373
            3529.       0.2617884
           3529.4       0.2508878
           3529.8       0.2385684
           3530.2       0.2388816
           3530.6       0.2415149
            3531.       0.2425618
           3531.4       0.2190636
           3531.8       0.1957018
           3532.2       0.1782173
           3532.6        0.173935
            3533.        0.170512
           3533.4       0.1917204
           3533.8        0.223289
           3534.2       0.2493307
           3534.6       0.2616499
            3535.       0.2640575
           3535.4       0.2548946
           3535.8       0.2412368
           3536.2       0.2435315
           3536.6       0.2424265
            3537.        0.242347
           3537.4       0.2331171
           3537.8       0.2188744
           3538.2       0.2112499
           3538.6       0.2337611
            3539.       0.2809192
           3539.4       0.3008043
           3539.8       0.2961484
           3540.2       0.2770431
           3540.6       0.2422339
            3541.       0.2185519
           3541.4       0.2178871
           3541.8       0.2205462
           3542.2       0.2122806
           3542.6       0.2155879
            3543.       0.2204396
           3543.4       0.2263298
           3543.8       0.2306222
           3544.2       0.2583394
           3544.6       0.2737353
            3545.       0.2575819
           3545.4       0.2409047
           3545.8       0.2300643
           3546.2        0.231625
           3546.6       0.2454169
            3547.       0.2336452
           3547.4       0.2109528
           3547.8       0.1806206
           3548.2       0.1773712
           3548.6       0.2060648
            3549.       0.2336699
           3549.4       0.2523816
           3549.8       0.2474039
           3550.2       0.2320562
           3550.6       0.2135294
            3551.        0.199457
           3551.4       0.2006259
           3551.8       0.2035728
           3552.2       0.2033569
           3552.6       0.1990283
