#K OBJECT   '217014'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 217014
#K OBJRA    22:57:27.98
#K OBJDEC   +20:46:07.8
#K OBJBMAG  6.160000E+00
#K OBJVMAG  5.490000E+00
#K SPTYPE   G2.5IVa
#K OBJRV    -3.120000E+01
#K HDNAME   HD 217014
#K BDNAME   BD+19 5036
#K HIPNAME  HIP 113357
#K SAONAME  SAO 90896
#K VHELIO   -1.42635354381836E+01
#K VLSR     -6.09298307365931E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.450077E+03
#K CMAX1    4.775728E+03
#K PICKTYPE G2IV
#K NCOMBINE 5
#K TEFF     5755  1993A&A...275..101E (Edvardsson)
#K LOGG     4.180000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      6.000000E-02  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     6801.0-6811.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.5337454
           3465.4       0.4662693
           3465.8       0.3972751
           3466.2       0.4018454
           3466.6       0.4428018
            3467.        0.476181
           3467.4       0.5129594
           3467.8       0.5403124
           3468.2       0.5405328
           3468.6       0.5275683
            3469.       0.4984609
           3469.4       0.5012295
           3469.8       0.5350327
           3470.2       0.5769394
           3470.6       0.5896931
            3471.       0.5577978
           3471.4       0.5103465
           3471.8         0.46595
           3472.2        0.433788
           3472.6        0.427792
            3473.       0.4384752
           3473.4       0.4405197
           3473.8       0.4141029
           3474.2        0.394976
           3474.6       0.3857264
            3475.       0.3647831
           3475.4       0.3318221
           3475.8       0.3170222
           3476.2        0.321802
           3476.6       0.3217805
            3477.       0.3337738
           3477.4       0.3812515
           3477.8       0.4309473
           3478.2       0.4585093
           3478.6       0.4758233
            3479.       0.4730377
           3479.4       0.4800969
           3479.8        0.473511
           3480.2       0.4585217
           3480.6        0.456982
            3481.       0.4576011
           3481.4       0.4526725
           3481.8       0.4530001
           3482.2       0.4464056
           3482.6       0.4165871
            3483.       0.3847725
           3483.4       0.3656826
           3483.8       0.3644738
           3484.2       0.3879103
           3484.6       0.3903014
            3485.       0.3860152
           3485.4        0.386555
           3485.8       0.4076106
           3486.2       0.4493385
           3486.6       0.5029871
            3487.       0.5404573
           3487.4       0.5397047
           3487.8       0.5147576
           3488.2       0.4713937
           3488.6       0.4143375
            3489.       0.3689267
           3489.4       0.3580491
           3489.8       0.3443262
           3490.2       0.3243611
           3490.6       0.3111961
            3491.       0.3392936
           3491.4       0.3906871
           3491.8       0.4137748
           3492.2       0.3933904
           3492.6        0.352617
            3493.       0.3280886
           3493.4       0.3569316
           3493.8       0.4266316
           3494.2       0.4649508
           3494.6       0.4715766
            3495.        0.452041
           3495.4       0.4074858
           3495.8       0.3711873
           3496.2       0.3474802
           3496.6       0.3315151
            3497.       0.3164836
           3497.4       0.3054076
           3497.8       0.3166976
           3498.2       0.3711318
           3498.6       0.4583244
            3499.       0.5251505
           3499.4       0.5549616
           3499.8       0.5634306
           3500.2       0.5336785
           3500.6       0.5055654
            3501.       0.5173479
           3501.4       0.5327324
           3501.8       0.5163469
           3502.2       0.4967014
           3502.6       0.5072564
            3503.       0.5525644
           3503.4       0.6000078
           3503.8       0.6093063
           3504.2       0.5745944
           3504.6       0.5045305
            3505.       0.4627805
           3505.4       0.4585385
           3505.8       0.4533421
           3506.2        0.443589
           3506.6       0.4418668
            3507.       0.4629543
           3507.4       0.4920783
           3507.8         0.50956
           3508.2       0.5227587
           3508.6       0.5288872
            3509.       0.5094372
           3509.4       0.4701695
           3509.8        0.422572
           3510.2       0.3802351
           3510.6       0.3808861
            3511.       0.4344992
           3511.4       0.4649831
           3511.8       0.4486631
           3512.2       0.4305502
           3512.6       0.4104478
            3513.       0.3892348
           3513.4       0.3650025
           3513.8       0.3446292
           3514.2       0.3399144
           3514.6       0.3342831
            3515.       0.3441716
           3515.4         0.38732
           3515.8        0.447085
           3516.2       0.4845178
           3516.6       0.5030091
            3517.       0.5292532
           3517.4       0.5690491
           3517.8        0.579756
           3518.2       0.5592708
           3518.6       0.5401898
            3519.       0.5320402
           3519.4       0.5088462
           3519.8       0.4693448
           3520.2       0.4542003
           3520.6       0.4416471
            3521.       0.4087283
           3521.4       0.3822433
           3521.8       0.3933076
           3522.2       0.4311987
           3522.6        0.432203
            3523.       0.4027097
           3523.4        0.369403
           3523.8        0.331618
           3524.2       0.2930729
           3524.6       0.2857292
            3525.       0.3219925
           3525.4       0.3423133
           3525.8       0.3014745
           3526.2       0.2560644
           3526.6       0.2677445
            3527.       0.3410196
           3527.4       0.4059856
           3527.8       0.4442036
           3528.2       0.4766105
           3528.6       0.5078539
            3529.       0.5160794
           3529.4       0.4954497
           3529.8       0.4752324
           3530.2       0.4793094
           3530.6       0.4963028
            3531.       0.5048099
           3531.4       0.4891088
           3531.8        0.436707
           3532.2       0.3987712
           3532.6        0.381656
            3533.       0.3869516
           3533.4       0.4336627
           3533.8       0.4935998
           3534.2       0.5293248
           3534.6       0.5359804
            3535.       0.5205899
           3535.4       0.4986483
           3535.8       0.4882737
           3536.2       0.4851252
           3536.6       0.4792366
            3537.       0.4667221
           3537.4       0.4556027
           3537.8       0.4408509
           3538.2       0.4548225
           3538.6        0.514604
            3539.       0.5693095
           3539.4       0.5972557
           3539.8       0.5916681
           3540.2       0.5428939
           3540.6       0.4815148
            3541.       0.4457347
           3541.4       0.4350987
           3541.8       0.4344907
           3542.2        0.437353
           3542.6       0.4660031
            3543.       0.5004116
           3543.4       0.5127324
           3543.8       0.5182936
           3544.2       0.5319443
           3544.6       0.5327254
            3545.       0.5149786
           3545.4       0.4996695
           3545.8       0.5064149
           3546.2       0.5295141
           3546.6       0.5417739
            3547.       0.5283599
           3547.4       0.4876105
           3547.8       0.4514824
           3548.2       0.4442638
           3548.6       0.4782931
            3549.       0.5244425
           3549.4       0.5493952
           3549.8       0.5549125
           3550.2       0.5337484
           3550.6       0.5132124
            3551.       0.5043456
           3551.4       0.4893004
           3551.8       0.4897287
           3552.2       0.4969291
           3552.6       0.4820419
            3553.       0.4482113
           3553.4       0.4264261
           3553.8       0.4057667
           3554.2       0.3825137
           3554.6        0.372015
            3555.       0.4031703
           3555.4       0.4678532
           3555.8       0.5222626
           3556.2       0.5221675
           3556.6       0.4824861
            3557.        0.467364
           3557.4       0.4840301
           3557.8       0.4827882
           3558.2       0.4378178
           3558.6       0.3900275
            3559.       0.4087995
           3559.4       0.4490654
           3559.8       0.4610718
           3560.2       0.4590323
           3560.6       0.4530796
            3561.       0.4537956
           3561.4       0.4638785
           3561.8       0.4766659
           3562.2       0.5021845
           3562.6       0.5440096
            3563.       0.5797808
           3563.4       0.5819879
           3563.8       0.5528854
           3564.2       0.4779039
           3564.6       0.3809815
            3565.       0.3033011
           3565.4       0.2507239
           3565.8       0.2378871
           3566.2       0.2574774
           3566.6       0.3017614
            3567.       0.3665305
           3567.4       0.4209788
           3567.8       0.4452316
           3568.2       0.4399906
           3568.6       0.4017639
            3569.       0.3388827
           3569.4       0.2685857
           3569.8       0.2209038
           3570.2       0.2211875
           3570.6       0.2750991
            3571.       0.3375244
           3571.4       0.3562634
           3571.8       0.3483595
           3572.2       0.3608307
           3572.6        0.406083
            3573.       0.4432963
           3573.4       0.4266894
           3573.8       0.4016532
           3574.2       0.4032003
           3574.6       0.4191567
            3575.       0.4148459
           3575.4       0.4147182
           3575.8       0.4392853
           3576.2        0.460908
           3576.6       0.4703806
            3577.       0.4721487
           3577.4       0.4653021
           3577.8       0.4301269
           3578.2       0.3648955
           3578.6        0.327826
            3579.       0.3392558
           3579.4       0.3623691
           3579.8       0.3562328
           3580.2       0.3011053
           3580.6       0.2375525
            3581.       0.1840051
           3581.4        0.167814
           3581.8        0.190072
           3582.2       0.2327439
           3582.6       0.2800188
            3583.       0.3167223
           3583.4       0.3316987
           3583.8       0.3297401
           3584.2       0.3172374
           3584.6       0.2719367
            3585.       0.2221105
           3585.4       0.1956652
           3585.8       0.2113375
           3586.2       0.2369503
           3586.6       0.2485476
            3587.       0.2456578
           3587.4       0.2573489
           3587.8       0.2961005
           3588.2       0.3276283
           3588.6       0.3322067
            3589.       0.3262729
           3589.4       0.3219663
           3589.8       0.3378956
           3590.2       0.3754548
           3590.6       0.4417247
            3591.        0.498516
           3591.4       0.5407781
           3591.8       0.5498696
           3592.2       0.5301806
           3592.6       0.4943707
            3593.        0.440149
           3593.4        0.406797
           3593.8       0.4306382
           3594.2       0.4649576
           3594.6       0.4764562
            3595.        0.496379
           3595.4       0.5230728
           3595.8       0.5510579
           3596.2       0.5687202
           3596.6       0.5889212
            3597.       0.5833447
           3597.4       0.5537868
           3597.8        0.534803
           3598.2       0.5279824
           3598.6       0.5249851
            3599.       0.5217034
           3599.4       0.5239295
           3599.8       0.5629157
           3600.2       0.6133257
           3600.6       0.6210004
            3601.       0.6193298
           3601.4       0.5795274
           3601.8       0.5076638
           3602.2       0.4338833
           3602.6       0.4045412
            3603.         0.40737
           3603.4        0.411984
           3603.8       0.4165659
           3604.2       0.4210951
           3604.6       0.4072086
            3605.       0.3739318
           3605.4       0.3621449
           3605.8       0.3853524
           3606.2       0.4228878
           3606.6       0.4461938
            3607.       0.4700734
           3607.4       0.4770898
           3607.8       0.4260598
           3608.2       0.3436404
           3608.6       0.2739002
            3609.       0.2544215
           3609.4       0.2868398
           3609.8       0.3197361
           3610.2       0.3308093
           3610.6       0.3571526
            3611.       0.4180004
           3611.4        0.470307
           3611.8       0.4976095
           3612.2       0.4931569
           3612.6       0.4587837
            3613.       0.4164914
           3613.4        0.384284
           3613.8       0.3851623
           3614.2       0.4161762
           3614.6       0.4563596
            3615.       0.5007588
           3615.4       0.5385156
           3615.8       0.5436288
           3616.2       0.5216386
           3616.6        0.508059
            3617.       0.4721328
           3617.4       0.4228652
           3617.8        0.352966
           3618.2       0.2782637
           3618.6       0.2181954
            3619.       0.1946646
           3619.4       0.2220392
           3619.8       0.2869696
           3620.2       0.3607381
           3620.6       0.4040879
            3621.       0.3993309
           3621.4       0.3956724
           3621.8       0.4260743
           3622.2       0.4900517
           3622.6       0.5380958
            3623.       0.5305828
           3623.4       0.4779357
           3623.8       0.4385421
           3624.2       0.4371244
           3624.6       0.4510585
            3625.       0.4841271
           3625.4       0.5428407
           3625.8       0.5983214
           3626.2       0.6338738
           3626.6       0.6459543
            3627.       0.6361801
           3627.4       0.6157596
           3627.8        0.595903
           3628.2       0.5918279
           3628.6       0.5983778
            3629.       0.6112812
           3629.4       0.6072811
           3629.8       0.5571097
           3630.2       0.4665388
           3630.6       0.3621468
            3631.       0.2707213
           3631.4       0.2275665
           3631.8       0.2507664
           3632.2       0.3179128
           3632.6       0.3909985
            3633.       0.4295536
           3633.4       0.4444179
           3633.8       0.4368126
           3634.2       0.3999857
           3634.6       0.3717355
            3635.        0.385155
           3635.4       0.4443204
           3635.8        0.490005
           3636.2       0.4828553
           3636.6       0.4660749
            3637.        0.464409
           3637.4       0.4884674
           3637.8        0.493569
           3638.2       0.5047777
           3638.6       0.5405263
            3639.       0.5686048
           3639.4       0.5767171
           3639.8       0.5740298
           3640.2       0.5809913
           3640.6       0.5869631
            3641.       0.5728623
           3641.4       0.5464343
           3641.8       0.5312854
           3642.2       0.5339831
           3642.6       0.5164726
            3643.       0.4866443
           3643.4       0.4874309
           3643.8       0.4885938
           3644.2       0.4666529
           3644.6       0.4263514
            3645.       0.3963725
           3645.4       0.4084531
           3645.8       0.4506532
           3646.2       0.4857446
           3646.6       0.4820073
            3647.        0.427649
           3647.4       0.3518466
           3647.8       0.3069058
           3648.2       0.3325105
           3648.6       0.4005083
            3649.       0.4291403
           3649.4       0.4217481
           3649.8        0.418609
           3650.2       0.4478847
           3650.6       0.4896525
            3651.        0.490886
