#K OBJECT   '221170'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 221170
#K OBJRA    23:29:28.81
#K OBJDEC   +30:25:57.8
#K OBJBMAG  8.730000E+00
#K OBJVMAG  7.710000E+00
#K SPTYPE   G2IV
#K OBJRV    -119
#K HDNAME   HD 221170
#K BDNAME   BD+29 4940
#K HIPNAME  HIP 115949
#K SAONAME  SAO 73293
#K VHELIO   -8.67537402341233E+00
#K VLSR     -1.37603445311806E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.451142E+03
#K CMAX1    4.777206E+03
#K PICKTYPE G2IV
#K NCOMBINE 5
#K TEFF     4500  2000AJ....120.1841F (Fulbright)
#K LOGG     9.000000E-01  2000AJ....120.1841F (Fulbright)
#K FEH      -2.190000E+00  2000AJ....120.1841F (Fulbright)
#K COVERAGE 3465.0-8076.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.5327804
           3465.4       0.5024787
           3465.8       0.4855644
           3466.2        0.472528
           3466.6       0.4705463
            3467.       0.4714984
           3467.4       0.5044483
           3467.8       0.5259145
           3468.2       0.5320911
           3468.6       0.5342923
            3469.       0.5074459
           3469.4       0.4924213
           3469.8       0.5229931
           3470.2       0.5652431
           3470.6       0.5338629
            3471.       0.5191492
           3471.4       0.5077925
           3471.8       0.5057468
           3472.2       0.5020884
           3472.6       0.4648495
            3473.       0.4488304
           3473.4       0.4451904
           3473.8        0.418206
           3474.2       0.4024786
           3474.6       0.4052091
            3475.       0.3879712
           3475.4       0.3529747
           3475.8       0.3744821
           3476.2       0.3857471
           3476.6       0.3509473
            3477.       0.3570939
           3477.4       0.4078765
           3477.8       0.4416505
           3478.2       0.4699636
           3478.6       0.4725941
            3479.       0.4705988
           3479.4       0.4840072
           3479.8       0.4668521
           3480.2       0.4501822
           3480.6       0.4578153
            3481.       0.4645749
           3481.4       0.4787039
           3481.8       0.4732813
           3482.2       0.4593465
           3482.6       0.4589384
            3483.       0.4158301
           3483.4        0.398093
           3483.8       0.3908838
           3484.2       0.4065791
           3484.6       0.4207954
            3485.       0.4123604
           3485.4       0.4648871
           3485.8       0.4746171
           3486.2       0.4743691
           3486.6       0.4783596
            3487.       0.5104952
           3487.4       0.5284987
           3487.8       0.4915732
           3488.2       0.5121425
           3488.6       0.4837144
            3489.       0.4511894
           3489.4       0.4163281
           3489.8       0.3761694
           3490.2       0.3903463
           3490.6        0.371221
            3491.       0.3499714
           3491.4       0.3837078
           3491.8        0.417878
           3492.2       0.4693404
           3492.6       0.3984258
            3493.       0.3741575
           3493.4       0.3936171
           3493.8       0.4140758
           3494.2       0.4195092
           3494.6       0.4322746
            3495.       0.4095827
           3495.4        0.350591
           3495.8       0.3297327
           3496.2       0.3220261
           3496.6       0.3483759
            3497.       0.3611583
           3497.4        0.351725
           3497.8       0.3554524
           3498.2       0.3982093
           3498.6       0.4493991
            3499.       0.4596577
           3499.4        0.467829
           3499.8       0.4613709
           3500.2       0.4352429
           3500.6       0.4097683
            3501.       0.3918907
           3501.4        0.414592
           3501.8       0.4324757
           3502.2       0.4166692
           3502.6       0.4309605
            3503.       0.4417742
           3503.4       0.4858106
           3503.8       0.5000653
           3504.2       0.4690632
           3504.6       0.4242861
            3505.       0.3975607
           3505.4       0.3894553
           3505.8       0.3696476
           3506.2       0.3547527
           3506.6       0.3867599
            3507.        0.410384
           3507.4       0.3948504
           3507.8       0.4255824
           3508.2       0.4278246
           3508.6       0.4405538
            3509.       0.4403454
           3509.4       0.4179883
           3509.8       0.3726518
           3510.2          0.3593
           3510.6       0.3725342
            3511.       0.3980384
           3511.4       0.4339513
           3511.8       0.4344625
           3512.2       0.4144733
           3512.6       0.3914348
            3513.       0.3786595
           3513.4       0.3274113
           3513.8       0.3416995
           3514.2       0.3493429
           3514.6       0.3598828
            3515.        0.395525
           3515.4       0.4219358
           3515.8       0.4303773
           3516.2       0.4419476
           3516.6       0.4559327
            3517.       0.4529976
           3517.4       0.4576404
           3517.8       0.4787894
           3518.2       0.4419249
           3518.6        0.443038
            3519.       0.4566577
           3519.4        0.433556
           3519.8       0.4033999
           3520.2       0.3920192
           3520.6       0.3997782
            3521.       0.3837054
           3521.4        0.359149
           3521.8       0.3798808
           3522.2       0.4171911
           3522.6       0.4301078
            3523.       0.4091287
           3523.4       0.3629434
           3523.8       0.3405205
           3524.2       0.2864105
           3524.6       0.2921615
            3525.       0.3406663
           3525.4       0.3500813
           3525.8       0.3628426
           3526.2        0.341776
           3526.6       0.3124433
            3527.       0.3473492
           3527.4       0.3993432
           3527.8       0.4168608
           3528.2       0.4122784
           3528.6        0.448454
            3529.       0.4456679
           3529.4       0.3991808
           3529.8        0.401989
           3530.2         0.42014
           3530.6       0.4565068
            3531.       0.4683672
           3531.4       0.4338062
           3531.8       0.4205666
           3532.2       0.4145616
           3532.6       0.4027571
            3533.        0.423685
           3533.4        0.423566
           3533.8       0.4281612
           3534.2        0.447074
           3534.6       0.4479246
            3535.       0.4403309
           3535.4       0.4141301
           3535.8       0.4107068
           3536.2       0.4405466
           3536.6       0.4451293
            3537.       0.4403259
           3537.4       0.4445911
           3537.8       0.4454878
           3538.2       0.4639983
           3538.6       0.4693932
            3539.        0.458699
           3539.4       0.4891592
           3539.8          0.4903
           3540.2       0.4755761
           3540.6       0.4399545
            3541.       0.4314165
           3541.4       0.4554295
           3541.8       0.4544356
           3542.2       0.4422797
           3542.6       0.4479384
            3543.       0.4703541
           3543.4       0.5012352
           3543.8       0.5065225
           3544.2       0.4949438
           3544.6       0.4769363
            3545.       0.4445283
           3545.4       0.4500538
           3545.8       0.4380076
           3546.2        0.455066
           3546.6       0.4826878
            3547.       0.4922527
           3547.4       0.4719249
           3547.8       0.4472768
           3548.2       0.4487593
           3548.6       0.4627773
            3549.         0.45984
           3549.4       0.4526642
           3549.8       0.4995748
           3550.2         0.49593
           3550.6       0.4654316
