#K OBJECT   '22468'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 22468
#K OBJRA    03:36:47.29
#K OBJDEC   +00:35:15.9
#K OBJBMAG  6.757000E+00
#K OBJVMAG  5.905000E+00
#K SPTYPE   G9V
#K OBJRV    -23
#K HDNAME   HD 22468
#K BDNAME   BD+00 616
#K HIPNAME  HIP 16846
#K SAONAME  SAO 111291
#K VHELIO   1.43100043211815E+01
#K VLSR     5.37465061612633E-01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453842E+03
#K CMAX1    4.778639E+03
#K PICKTYPE G8V
#K NCOMBINE 9
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     6792.6-6811.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.4406395
           3465.4       0.3910395
           3465.8       0.3576013
           3466.2       0.3513816
           3466.6       0.3706507
            3467.       0.3964714
           3467.4       0.4266905
           3467.8       0.4568947
           3468.2       0.4621997
           3468.6       0.4531476
            3469.       0.4461595
           3469.4       0.4549744
           3469.8       0.4634788
           3470.2       0.4962622
           3470.6       0.5102922
            3471.       0.5071684
           3471.4       0.4654955
           3471.8       0.4225377
           3472.2       0.3995017
           3472.6       0.3824241
            3473.       0.3730994
           3473.4       0.3596328
           3473.8       0.3445881
           3474.2       0.3306456
           3474.6       0.3160234
            3475.       0.2995521
           3475.4       0.2829939
           3475.8       0.2750383
           3476.2       0.2765619
           3476.6       0.2831821
            3477.        0.300513
           3477.4       0.3325116
           3477.8       0.3661353
           3478.2       0.3909231
           3478.6       0.4047306
            3479.       0.4097999
           3479.4        0.416044
           3479.8       0.4105324
           3480.2       0.4081573
           3480.6       0.4008809
            3481.       0.4027947
           3481.4       0.4197069
           3481.8       0.4251021
           3482.2       0.4127849
           3482.6       0.3929821
            3483.       0.3617092
           3483.4       0.3375004
           3483.8       0.3438743
           3484.2       0.3576058
           3484.6       0.3599811
            3485.       0.3581781
           3485.4       0.3651296
           3485.8       0.3775261
           3486.2        0.408964
           3486.6       0.4446508
            3487.        0.474735
           3487.4       0.4763947
           3487.8       0.4642092
           3488.2       0.4319667
           3488.6       0.3863244
            3489.       0.3538552
           3489.4       0.3256808
           3489.8       0.3047543
           3490.2       0.2796278
           3490.6       0.2784009
            3491.       0.2939653
           3491.4       0.3201908
           3491.8       0.3419912
           3492.2       0.3469243
           3492.6       0.3212766
            3493.       0.2930483
           3493.4       0.3138957
           3493.8       0.3547924
           3494.2       0.3798917
           3494.6       0.4019619
            3495.       0.3966211
           3495.4       0.3656683
           3495.8       0.3264686
           3496.2       0.3008226
           3496.6       0.2847061
            3497.       0.2775685
           3497.4       0.2780396
           3497.8       0.2964602
           3498.2       0.3302189
           3498.6       0.3852349
            3499.       0.4480059
           3499.4       0.4770986
           3499.8        0.467469
           3500.2        0.451906
           3500.6       0.4432803
            3501.       0.4426015
           3501.4       0.4600919
           3501.8       0.4600146
           3502.2       0.4438254
           3502.6        0.454868
            3503.       0.4923251
           3503.4       0.5178958
           3503.8       0.5329126
           3504.2       0.5235876
           3504.6       0.4682999
            3505.       0.4168963
           3505.4       0.4037397
           3505.8        0.391541
           3506.2       0.3886772
           3506.6       0.3942461
            3507.        0.409507
           3507.4       0.4328017
           3507.8       0.4534746
           3508.2       0.4656704
           3508.6        0.467876
            3509.       0.4532996
           3509.4       0.4193084
           3509.8       0.3711244
           3510.2       0.3351571
           3510.6       0.3279952
            3511.       0.3463065
           3511.4       0.3911013
           3511.8       0.3902639
           3512.2        0.378883
           3512.6       0.3593018
            3513.        0.343002
           3513.4       0.3219858
           3513.8       0.3061013
           3514.2       0.2975145
           3514.6       0.2991523
            3515.       0.3104709
           3515.4       0.3349121
           3515.8       0.3742055
           3516.2        0.407142
           3516.6       0.4329363
            3517.       0.4565639
           3517.4       0.4800259
           3517.8       0.5138133
           3518.2       0.5045494
           3518.6       0.4933423
            3519.       0.4780121
           3519.4       0.4452783
           3519.8        0.420361
