#K OBJECT   '2796'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 2796
#K OBJRA    00:31:16.91
#K OBJDEC   -16:47:40.8
#K OBJBMAG  9.180000E+00
#K OBJVMAG  8.510000E+00
#K SPTYPE   Fw
#K OBJRV    -61
#K HDNAME   HD 2796
#K BDNAME   BD-17 70
#K HIPNAME  HIP 2463
#K SAONAME  SAO 147321
#K VHELIO   -2.70645821912054E+01
#K VLSR     -3.19339737262602E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.444574E+03
#K CMAX1    4.770175E+03
#K PICKTYPE F5III
#K NCOMBINE 3
#K TEFF     4900  2000ApJ...544..302B (Burris)
#K LOGG     1.600000E+00  2000ApJ...544..302B (Burris)
#K FEH      -2.230000E+00  2000ApJ...544..302B (Burris)
#K COVERAGE 3465.0-8074.2
#K GAPS     6003.4-6741.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.5954435
           3465.4       0.5669783
           3465.8       0.5425499
           3466.2       0.5516664
           3466.6       0.5923492
            3467.       0.6069422
           3467.4       0.6089361
           3467.8       0.6174026
           3468.2       0.6520984
           3468.6       0.6416034
            3469.       0.5986447
           3469.4       0.6086395
           3469.8       0.6288871
           3470.2       0.6348279
           3470.6       0.6678756
            3471.       0.6525409
           3471.4       0.6506839
           3471.8       0.6407492
           3472.2       0.5918359
           3472.6       0.5907639
            3473.       0.5700014
           3473.4       0.5740596
           3473.8       0.5767972
           3474.2       0.5632746
           3474.6       0.5382173
            3475.       0.5316164
           3475.4       0.5587663
           3475.8       0.5277885
           3476.2       0.5117294
           3476.6       0.4943356
            3477.       0.4902543
           3477.4       0.5330294
           3477.8       0.5789127
           3478.2       0.6119568
           3478.6       0.6075674
            3479.       0.6083485
           3479.4       0.6214748
           3479.8       0.6278167
           3480.2       0.6267669
           3480.6       0.6477111
            3481.       0.6734053
           3481.4       0.6132681
           3481.8       0.6167768
           3482.2       0.6542525
           3482.6       0.6348777
            3483.       0.5975517
           3483.4       0.5822106
           3483.8       0.6056184
           3484.2       0.6107025
           3484.6        0.602384
            3485.       0.6133556
           3485.4       0.6276007
           3485.8       0.6375847
           3486.2       0.6610088
           3486.6       0.6818005
            3487.       0.6631908
           3487.4       0.6833416
           3487.8       0.6626695
           3488.2        0.649202
           3488.6       0.6492335
            3489.       0.6299495
           3489.4       0.5881999
           3489.8       0.5658018
           3490.2       0.5286557
           3490.6       0.5152938
            3491.         0.54356
           3491.4       0.5472367
           3491.8       0.6181409
           3492.2       0.6726709
           3492.6       0.6272069
            3493.       0.5879309
           3493.4       0.5947955
           3493.8        0.634827
           3494.2       0.6307304
           3494.6       0.6125011
            3495.       0.6050112
           3495.4       0.5658423
           3495.8       0.5325968
           3496.2       0.5373214
           3496.6       0.5362061
            3497.       0.5514269
           3497.4       0.5675009
           3497.8       0.5619059
           3498.2       0.6464322
           3498.6       0.6667638
            3499.       0.6746841
           3499.4       0.7010226
           3499.8        0.670353
           3500.2       0.6348194
           3500.6       0.6123784
            3501.       0.6419103
           3501.4       0.6726816
           3501.8       0.6209099
           3502.2       0.6007035
           3502.6       0.5952817
            3503.       0.6279368
           3503.4       0.6640635
           3503.8       0.6990002
           3504.2       0.6570053
           3504.6       0.6397576
            3505.       0.6316344
           3505.4       0.6240051
           3505.8       0.6177118
           3506.2       0.6085408
           3506.6       0.6252356
            3507.         0.64704
           3507.4       0.6431617
           3507.8       0.6576731
           3508.2       0.6834021
           3508.6        0.700744
