#K OBJECT   '27971'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 27971
#K OBJRA    04:26:06.31
#K OBJDEC   +31:26:20.1
#K OBJBMAG  6.264000E+00
#K OBJVMAG  5.289000E+00
#K SPTYPE   K1III
#K OBJRV    2.750000E+01
#K HDNAME   HD 27971
#K BDNAME   BD+31 776
#K HIPNAME  HIP 20704
#K SAONAME  SAO 57229
#K VHELIO   -2.92095638892267E+01
#K VLSR     -3.74456487259094E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790279E+03
#K CMAX1    8.125516E+03
#K PICKTYPE K1III
#K NCOMBINE 6
#K TEFF     4860  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.820000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -8.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8126.2-8145.0

#      wavelength        spectrum
#       angstroms                

            3465.        0.170471
           3465.4       0.1456657
           3465.8       0.1229358
           3466.2       0.1170126
           3466.6       0.1390515
            3467.       0.1537055
           3467.4       0.1578146
           3467.8       0.1708683
           3468.2       0.1808188
           3468.6       0.1792068
            3469.       0.1677037
           3469.4       0.1734812
           3469.8        0.190363
           3470.2       0.2116367
           3470.6       0.2113211
            3471.        0.198521
           3471.4       0.1787671
           3471.8       0.1572243
           3472.2       0.1422932
           3472.6       0.1386983
            3473.       0.1430763
           3473.4       0.1431823
           3473.8       0.1348567
           3474.2       0.1262346
           3474.6       0.1162747
            3475.        0.106367
           3475.4      0.09723167
           3475.8      0.09006499
           3476.2      0.09083665
           3476.6       0.0921807
            3477.       0.1014668
           3477.4       0.1255361
           3477.8       0.1480342
           3478.2        0.159013
           3478.6        0.161217
            3479.       0.1612997
           3479.4       0.1651244
           3479.8       0.1569216
           3480.2       0.1500943
           3480.6       0.1479636
            3481.       0.1479449
           3481.4       0.1603137
           3481.8       0.1581825
           3482.2       0.1532957
           3482.6       0.1420528
            3483.       0.1246392
           3483.4       0.1172798
           3483.8       0.1235438
           3484.2       0.1367951
           3484.6       0.1385308
            3485.       0.1253021
           3485.4       0.1240232
           3485.8       0.1403588
           3486.2       0.1581664
           3486.6        0.182066
            3487.       0.2016748
           3487.4       0.2067095
           3487.8       0.1935805
           3488.2       0.1701734
           3488.6       0.1467752
            3489.       0.1258727
           3489.4       0.1139295
           3489.8        0.107223
           3490.2      0.09249219
           3490.6      0.09322152
            3491.       0.1042248
           3491.4       0.1294993
           3491.8       0.1379244
           3492.2       0.1281991
           3492.6       0.1116787
            3493.       0.1040859
           3493.4        0.121204
           3493.8       0.1482457
           3494.2       0.1684323
           3494.6       0.1776742
            3495.        0.167669
           3495.4       0.1466979
           3495.8       0.1262242
           3496.2       0.1193346
           3496.6       0.1064031
            3497.       0.1025092
           3497.4        0.103378
           3497.8       0.1102155
           3498.2       0.1340087
           3498.6       0.1662142
            3499.       0.1966219
           3499.4       0.2182062
           3499.8       0.2210126
           3500.2       0.2101944
           3500.6        0.200739
            3501.       0.1994668
           3501.4       0.2066242
           3501.8       0.2029378
           3502.2       0.1873752
           3502.6       0.1960672
            3503.       0.2266506
           3503.4       0.2555133
           3503.8       0.2610787
           3504.2       0.2435035
           3504.6       0.2081692
            3505.       0.1767575
           3505.4       0.1719936
           3505.8       0.1687818
           3506.2       0.1581865
           3506.6       0.1632199
            3507.       0.1770572
           3507.4        0.194134
           3507.8       0.2079916
           3508.2       0.2120468
           3508.6       0.2061218
            3509.       0.1906306
           3509.4       0.1693618
           3509.8       0.1456822
           3510.2       0.1334237
           3510.6       0.1438814
            3511.       0.1638982
           3511.4       0.1762551
           3511.8       0.1663902
           3512.2        0.154624
           3512.6       0.1383961
            3513.       0.1294633
           3513.4       0.1211265
           3513.8       0.1123225
           3514.2       0.1070372
           3514.6       0.1037671
            3515.       0.1084479
           3515.4        0.130383
           3515.8       0.1635094
           3516.2       0.1883318
           3516.6       0.1988534
            3517.        0.216152
           3517.4       0.2398881
           3517.8       0.2415627
           3518.2       0.2322334
           3518.6       0.2270507
            3519.       0.2229244
           3519.4       0.2076095
           3519.8       0.1889904
           3520.2       0.1729487
           3520.6       0.1585933
            3521.       0.1410874
           3521.4       0.1261985
           3521.8       0.1360018
           3522.2       0.1520116
           3522.6       0.1547187
