#K OBJECT   '28305'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 28305
#K OBJRA    04:28:37.00
#K OBJDEC   +19:10:49.6
#K OBJBMAG  4.549000E+00
#K OBJVMAG  3.540000E+00
#K SPTYPE   G9.5III
#K OBJRV    39
#K HDNAME   HD 28305
#K BDNAME   BD+18 640
#K HIPNAME  HIP 20889
#K SAONAME  SAO 93954
#K VHELIO   -2.97793729172407E+01
#K VLSR     -4.14601410340919E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790015E+03
#K CMAX1    8.125197E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     4820  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.770000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      4.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8125.8-8144.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.2186746
           3465.4       0.1882103
           3465.8       0.1657762
           3466.2       0.1723254
           3466.6       0.1874916
            3467.       0.2062273
           3467.4       0.2279019
           3467.8       0.2349851
           3468.2       0.2329384
           3468.6       0.2295119
            3469.       0.2327782
           3469.4       0.2473611
           3469.8       0.2674214
           3470.2       0.2923675
           3470.6       0.2798728
            3471.       0.2569319
           3471.4       0.2402708
           3471.8       0.2142393
           3472.2       0.1953778
           3472.6       0.1951528
            3473.       0.1949196
           3473.4       0.1942349
           3473.8       0.1814872
           3474.2       0.1673696
           3474.6       0.1616278
            3475.        0.143865
           3475.4       0.1360388
           3475.8       0.1329822
           3476.2       0.1379504
           3476.6       0.1416703
            3477.       0.1579761
           3477.4       0.1899813
           3477.8        0.212844
           3478.2       0.2192613
           3478.6       0.2188465
            3479.       0.2168969
           3479.4       0.2138441
           3479.8       0.2127213
           3480.2       0.2096983
           3480.6       0.2027771
            3481.       0.2095195
           3481.4       0.2198919
           3481.8       0.2177768
           3482.2        0.204969
           3482.6       0.1823493
            3483.       0.1732653
           3483.4        0.174866
           3483.8       0.1806499
           3484.2       0.1865883
           3484.6       0.1851638
            3485.       0.1834736
           3485.4       0.1936475
           3485.8       0.2142752
           3486.2        0.242516
           3486.6       0.2738255
            3487.       0.2961557
           3487.4        0.279628
           3487.8       0.2589497
           3488.2        0.228169
           3488.6       0.2001875
            3489.       0.1843518
           3489.4       0.1693664
           3489.8       0.1506381
           3490.2       0.1396125
           3490.6       0.1466992
            3491.        0.168041
           3491.4       0.1881104
           3491.8       0.1921618
           3492.2       0.1824955
           3492.6       0.1564296
            3493.       0.1576736
           3493.4       0.1946744
           3493.8       0.2261664
           3494.2       0.2384047
           3494.6       0.2459563
            3495.       0.2291938
           3495.4       0.1950183
           3495.8       0.1711327
           3496.2       0.1529413
           3496.6       0.1453254
            3497.        0.143164
           3497.4        0.152897
           3497.8       0.1757749
           3498.2       0.2076132
           3498.6       0.2552202
            3499.        0.293688
           3499.4       0.3166805
           3499.8       0.3057113
           3500.2       0.2876647
           3500.6       0.2896416
            3501.       0.2927592
           3501.4       0.2841564
           3501.8        0.273228
           3502.2       0.2808033
           3502.6       0.3077661
            3503.       0.3517998
           3503.4       0.3713811
           3503.8       0.3506489
           3504.2       0.3135794
           3504.6       0.2756639
            3505.       0.2530268
           3505.4       0.2437783
           3505.8       0.2360526
           3506.2        0.232292
           3506.6       0.2391239
            3507.       0.2579612
           3507.4       0.2816761
           3507.8       0.2915745
           3508.2       0.2893976
           3508.6       0.2851753
            3509.       0.2635839
           3509.4       0.2341084
           3509.8       0.2005945
           3510.2       0.1873168
           3510.6       0.2083949
            3511.       0.2314534
           3511.4       0.2314231
           3511.8       0.2226896
           3512.2       0.2175282
           3512.6       0.2031157
            3513.       0.1770082
           3513.4       0.1692364
           3513.8       0.1598803
           3514.2       0.1534914
           3514.6        0.154245
            3515.       0.1684005
           3515.4       0.2031149
           3515.8       0.2425062
           3516.2       0.2698071
           3516.6       0.2941401
            3517.       0.3142591
