#K OBJECT   '38899'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 38899
#K OBJRA    05:49:32.93
#K OBJDEC   +12:39:04.8
#K OBJBMAG  4.821000E+00
#K OBJVMAG  4.877000E+00
#K SPTYPE   B9IV
#K OBJRV    18
#K HDNAME   HD 38899
#K BDNAME   BD+12 912
#K HIPNAME  HIP 27511
#K SAONAME  SAO 94888
#K VHELIO   -2.61594241485925E+01
#K VLSR     -4.08359198328710E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790753E+03
#K CMAX1    8.126037E+03
#K PICKTYPE B9V
#K NCOMBINE 6
#K TEFF     10850  1993A&A...274..335S (Smith)
#K LOGG     4.100000E+00  1993A&A...274..335S (Smith)
#K FEH      -5.000000E-02  1993A&A...274..335S (Smith)
#K COVERAGE 3465.0-9449.4

#      wavelength        spectrum
#       angstroms                

            3465.        1.232866
           3465.4        1.230389
           3465.8        1.224977
           3466.2         1.23031
           3466.6        1.232605
            3467.        1.228063
           3467.4        1.229191
           3467.8        1.227606
           3468.2         1.22174
           3468.6        1.219899
            3469.        1.217361
           3469.4        1.219127
           3469.8        1.223244
           3470.2        1.215247
           3470.6        1.218941
            3471.         1.21779
           3471.4        1.211262
           3471.8        1.211421
           3472.2        1.204015
           3472.6        1.200588
            3473.        1.194241
           3473.4        1.173029
           3473.8        1.160768
           3474.2        1.154422
           3474.6        1.164262
            3475.        1.179667
           3475.4        1.183415
           3475.8        1.195995
           3476.2        1.195207
           3476.6        1.198781
            3477.        1.196731
           3477.4          1.2002
           3477.8        1.202998
           3478.2        1.203713
           3478.6        1.205081
            3479.        1.200101
           3479.4        1.203473
           3479.8        1.204257
           3480.2         1.20574
           3480.6        1.195925
            3481.        1.199921
           3481.4          1.2048
           3481.8        1.207183
           3482.2        1.200869
           3482.6        1.178838
            3483.        1.171437
           3483.4        1.178281
           3483.8        1.191838
           3484.2        1.207474
           3484.6        1.206094
            3485.        1.206513
           3485.4        1.196234
           3485.8        1.204818
           3486.2        1.214078
           3486.6        1.207425
            3487.         1.20646
           3487.4         1.20793
           3487.8        1.201239
           3488.2        1.178679
           3488.6        1.170541
            3489.        1.181771
           3489.4        1.188627
           3489.8         1.19296
           3490.2        1.189984
           3490.6        1.187596
            3491.        1.185477
           3491.4        1.192458
           3491.8         1.19489
           3492.2        1.203259
           3492.6        1.196721
            3493.        1.184548
           3493.4        1.177698
           3493.8        1.181481
           3494.2        1.183306
           3494.6        1.177047
            3495.        1.172585
           3495.4        1.161907
           3495.8        1.158769
           3496.2        1.170794
           3496.6        1.165216
            3497.        1.160174
           3497.4        1.169154
           3497.8        1.179761
           3498.2        1.195294
           3498.6        1.200957
            3499.        1.199815
           3499.4        1.204723
           3499.8        1.204607
           3500.2        1.193854
           3500.6        1.190606
            3501.         1.19943
           3501.4        1.196631
           3501.8        1.185178
           3502.2        1.188871
           3502.6        1.178086
            3503.        1.186843
           3503.4         1.18937
           3503.8        1.177017
           3504.2        1.164299
           3504.6        1.159166
            3505.        1.162225
           3505.4        1.164844
           3505.8        1.170636
           3506.2        1.175137
           3506.6        1.161169
            3507.        1.171451
           3507.4        1.164489
           3507.8        1.168013
           3508.2        1.171328
           3508.6        1.173653
            3509.        1.174884
           3509.4         1.17429
           3509.8        1.169087
           3510.2        1.165033
           3510.6        1.161751
            3511.        1.156327
           3511.4        1.158321
           3511.8        1.157677
           3512.2        1.161111
           3512.6        1.173254
            3513.        1.163707
           3513.4        1.154956
           3513.8        1.156196
           3514.2         1.15528
           3514.6        1.165004
            3515.        1.172437
           3515.4        1.175132
           3515.8        1.185783
           3516.2        1.193538
           3516.6         1.19057
            3517.        1.182469
           3517.4        1.187078
           3517.8        1.194901
           3518.2         1.18738
           3518.6        1.196148
            3519.        1.192901
           3519.4        1.186363
           3519.8        1.185159
           3520.2        1.182193
           3520.6        1.181677
            3521.        1.185214
           3521.4        1.187282
           3521.8        1.188792
           3522.2        1.193046
           3522.6        1.196077
            3523.        1.184496
           3523.4         1.17962
           3523.8        1.190495
           3524.2        1.186588
           3524.6        1.186643
            3525.        1.188451
           3525.4        1.186367
           3525.8        1.182099
           3526.2        1.176506
           3526.6        1.179533
            3527.        1.183109
           3527.4        1.183011
           3527.8        1.197583
           3528.2        1.189168
           3528.6        1.196554
            3529.        1.190567
           3529.4        1.194026
           3529.8        1.192655
           3530.2        1.182094
           3530.6         1.18304
            3531.        1.190144
           3531.4        1.181502
           3531.8        1.180143
           3532.2        1.193583
           3532.6        1.189334
            3533.        1.187116
           3533.4        1.185822
           3533.8        1.189769
           3534.2        1.179047
           3534.6        1.177895
            3535.        1.172169
           3535.4        1.174863
           3535.8         1.17464
           3536.2        1.179234
           3536.6        1.183818
            3537.         1.18627
           3537.4        1.192356
           3537.8        1.186804
           3538.2        1.182191
           3538.6        1.177176
            3539.        1.173561
           3539.4        1.175084
           3539.8        1.187662
           3540.2        1.185449
           3540.6        1.173794
            3541.        1.179589
           3541.4         1.18404
           3541.8        1.186209
           3542.2        1.187998
           3542.6        1.182056
            3543.        1.180618
           3543.4        1.183829
           3543.8        1.187602
           3544.2        1.177484
           3544.6        1.182454
            3545.        1.181773
           3545.4          1.1825
           3545.8        1.176378
           3546.2        1.177996
           3546.6        1.184813
            3547.        1.182192
           3547.4        1.177337
           3547.8        1.185309
           3548.2          1.1885
           3548.6        1.173628
            3549.        1.175167
           3549.4        1.181331
           3549.8        1.180968
           3550.2        1.184612
           3550.6        1.190083
            3551.        1.193596
           3551.4        1.192329
           3551.8        1.183994
           3552.2        1.180431
           3552.6        1.190708
            3553.        1.191729
           3553.4        1.183857
           3553.8        1.185018
           3554.2        1.174947
           3554.6        1.175298
            3555.        1.175184
           3555.4        1.178899
           3555.8        1.178394
           3556.2        1.186388
           3556.6        1.185855
            3557.         1.17984
           3557.4        1.183543
           3557.8        1.184453
           3558.2         1.17807
           3558.6        1.176995
            3559.        1.183658
           3559.4        1.196677
           3559.8        1.199647
           3560.2        1.184458
           3560.6        1.183425
            3561.        1.181899
           3561.4        1.193978
           3561.8        1.193914
           3562.2        1.196748
           3562.6        1.196378
            3563.        1.191379
           3563.4        1.194379
           3563.8        1.191118
           3564.2        1.180151
           3564.6        1.179297
            3565.        1.179778
           3565.4        1.178406
           3565.8         1.17472
           3566.2        1.179128
           3566.6        1.182432
            3567.        1.190499
           3567.4        1.195929
           3567.8        1.189986
           3568.2         1.18822
           3568.6        1.191503
            3569.        1.192494
           3569.4        1.187848
           3569.8         1.17466
           3570.2        1.173366
           3570.6         1.17641
            3571.        1.174093
