#K OBJECT   '39587'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 39587
#K OBJRA    05:54:22.98
#K OBJDEC   +20:16:34.2
#K OBJBMAG  5.000000E+00
#K OBJVMAG  4.410000E+00
#K SPTYPE   G0V
#K OBJRV    -1.350000E+01
#K HDNAME   HD 39587
#K BDNAME   BD+20 1162
#K HIPNAME  HIP 27913
#K SAONAME  SAO 77705
#K VHELIO   -2.62647924954725E+01
#K VLSR     -3.90305816608702E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.791464E+03
#K CMAX1    8.126887E+03
#K PICKTYPE G0V
#K NCOMBINE 6
#K TEFF     5953  1993A&A...275..101E (Edvardsson)
#K LOGG     4.460000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -3.000000E-02  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9444.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.5722934
           3465.4       0.5252436
           3465.8       0.4719113
           3466.2       0.4807392
           3466.6       0.5159549
            3467.        0.548638
           3467.4       0.5831679
           3467.8       0.6052364
           3468.2       0.6014237
           3468.6       0.5814985
            3469.       0.5697616
           3469.4       0.5745919
           3469.8       0.6128778
           3470.2       0.6414242
           3470.6       0.6503393
            3471.       0.6313706
           3471.4       0.5815965
           3471.8       0.5506346
           3472.2       0.5326216
           3472.6        0.516223
            3473.       0.5228048
           3473.4       0.5121534
           3473.8       0.4963208
           3474.2       0.4740784
           3474.6       0.4553658
            3475.       0.4275032
           3475.4       0.4002078
           3475.8       0.3950773
           3476.2       0.3982172
           3476.6       0.4027008
            3477.       0.4278069
           3477.4       0.4716681
           3477.8       0.5192563
           3478.2       0.5569661
           3478.6       0.5751663
            3479.       0.5786011
           3479.4       0.5804896
           3479.8        0.573398
           3480.2       0.5627387
           3480.6       0.5633281
            3481.       0.5636845
           3481.4       0.5621079
           3481.8       0.5622568
           3482.2       0.5487087
           3482.6       0.5219309
            3483.       0.4954288
           3483.4       0.4781606
           3483.8       0.4892901
           3484.2       0.4959366
           3484.6       0.5094387
            3485.       0.5102441
           3485.4       0.5156538
           3485.8       0.5503135
           3486.2       0.5875556
           3486.6       0.6211206
            3487.       0.6507252
           3487.4       0.6535398
           3487.8       0.6199977
           3488.2       0.5622608
           3488.6       0.5189052
            3489.        0.488949
           3489.4       0.4668782
           3489.8       0.4443451
           3490.2       0.4249699
           3490.6       0.4268605
            3491.       0.4437677
           3491.4       0.4907224
           3491.8       0.5374293
           3492.2        0.519384
           3492.6       0.4690702
            3493.       0.4586639
           3493.4       0.4881742
           3493.8       0.5397033
           3494.2       0.5667236
           3494.6       0.5663717
            3495.       0.5337102
           3495.4       0.4966462
           3495.8       0.4602271
           3496.2       0.4351064
           3496.6       0.4305281
            3497.       0.4179065
           3497.4       0.4178281
           3497.8       0.4734032
           3498.2        0.523214
           3498.6       0.5567006
            3499.        0.647532
           3499.4       0.6725366
           3499.8       0.6562703
           3500.2       0.6342763
           3500.6        0.623703
            3501.       0.6257659
           3501.4       0.6359438
           3501.8       0.6311871
           3502.2       0.6234663
           3502.6       0.6345062
            3503.       0.6671856
           3503.4        0.709578
           3503.8       0.7172423
           3504.2       0.6704203
           3504.6       0.6209133
            3505.       0.5848438
           3505.4       0.5730349
           3505.8       0.5580358
           3506.2       0.5597357
           3506.6       0.5663093
            3507.       0.5822344
           3507.4       0.6168426
           3507.8       0.6314059
           3508.2       0.6319472
           3508.6       0.6372913
            3509.       0.6199961
           3509.4        0.586354
           3509.8       0.5416781
           3510.2       0.5097861
           3510.6       0.5084307
            3511.       0.5522217
           3511.4       0.5799496
           3511.8       0.5799153
           3512.2       0.5588384
           3512.6       0.5331706
            3513.       0.5098915
           3513.4       0.4884078
           3513.8       0.4731337
           3514.2         0.46686
           3514.6       0.4776208
            3515.       0.5018546
           3515.4       0.5254633
           3515.8       0.5793248
           3516.2       0.6141964
           3516.6       0.6478058
            3517.       0.6661763
           3517.4       0.6914218
           3517.8       0.6976502
           3518.2       0.6841705
           3518.6        0.674324
            3519.       0.6522026
           3519.4       0.6247294
           3519.8       0.6065188
           3520.2       0.5753952
           3520.6       0.5548479
            3521.       0.5293571
           3521.4       0.5229846
           3521.8        0.525162
           3522.2       0.5525942
           3522.6       0.5721084
            3523.       0.5530201
           3523.4       0.5003354
           3523.8       0.4554548
           3524.2        0.430054
           3524.6        0.437445
            3525.       0.4714845
           3525.4       0.4664971
           3525.8       0.4470717
           3526.2       0.3827729
           3526.6       0.3613136
            3527.       0.4557147
           3527.4       0.5306934
           3527.8       0.5745881
           3528.2       0.6113581
           3528.6       0.6458487
            3529.       0.6497282
           3529.4       0.6273303
           3529.8       0.6116669
           3530.2       0.6133419
           3530.6       0.6317822
            3531.       0.6324179
           3531.4       0.6192788
           3531.8       0.5798497
           3532.2       0.5386274
           3532.6       0.5230502
            3533.       0.5346416
           3533.4       0.5901329
           3533.8        0.649861
           3534.2       0.6864109
           3534.6       0.6911464
            3535.        0.667435
           3535.4        0.640581
           3535.8       0.6184497
           3536.2       0.6161666
           3536.6       0.6270118
            3537.       0.6045381
           3537.4        0.601737
           3537.8       0.5988956
           3538.2       0.6238525
           3538.6       0.6791235
            3539.       0.7225562
           3539.4       0.7463456
           3539.8       0.7331653
           3540.2       0.6697271
           3540.6       0.6073003
            3541.       0.5843982
           3541.4       0.5792373
           3541.8       0.5838775
           3542.2       0.5982352
           3542.6       0.6229104
            3543.       0.6545724
           3543.4       0.6780365
           3543.8       0.7004259
           3544.2       0.7096759
           3544.6       0.7006688
            3545.       0.6770931
           3545.4       0.6555171
           3545.8       0.6601892
           3546.2       0.6901862
           3546.6       0.7129735
            3547.       0.6931527
           3547.4       0.6526567
