#K OBJECT   '40111'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 40111
#K OBJRA    05:57:59.66
#K OBJDEC   +25:57:14.1
#K OBJBMAG  4.736000E+00
#K OBJVMAG  4.823000E+00
#K SPTYPE   B0.5II
#K OBJRV    8
#K HDNAME   HD 40111
#K BDNAME   BD+25 1052
#K HIPNAME  HIP 28237
#K SAONAME  SAO 77775
#K VHELIO   -2.39233010218655E+01
#K VLSR     -3.51144910980994E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435449E+03
#K CMAX1    4.763602E+03
#K PICKTYPE B2II
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9443.8

#      wavelength        spectrum
#       angstroms                

            3465.        3.781509
           3465.4        3.779641
           3465.8        3.788522
           3466.2         3.78213
           3466.6        3.780168
            3467.        3.774257
           3467.4        3.780359
           3467.8        3.788172
           3468.2        3.771903
           3468.6        3.764085
            3469.        3.759756
           3469.4         3.74277
           3469.8        3.711369
           3470.2        3.683861
           3470.6        3.683226
            3471.        3.692071
           3471.4        3.710794
           3471.8        3.714525
           3472.2        3.701329
           3472.6         3.73385
            3473.        3.773444
           3473.4        3.772677
           3473.8        3.781796
           3474.2        3.780902
           3474.6        3.770826
            3475.         3.77213
           3475.4        3.776284
           3475.8        3.771669
           3476.2        3.752813
           3476.6        3.756452
            3477.        3.749624
           3477.4        3.732419
           3477.8        3.719439
           3478.2        3.700309
           3478.6        3.679035
            3479.        3.663255
           3479.4        3.662374
           3479.8        3.665043
           3480.2        3.663182
           3480.6        3.659654
            3481.        3.665417
           3481.4        3.679961
           3481.8        3.679726
           3482.2        3.684638
           3482.6        3.675952
            3483.        3.697002
           3483.4        3.727463
           3483.8        3.715042
           3484.2        3.714521
           3484.6        3.702768
            3485.        3.701046
           3485.4        3.717606
           3485.8        3.711067
           3486.2        3.678632
           3486.6        3.645671
            3487.        3.637907
           3487.4        3.623479
           3487.8        3.617672
           3488.2        3.616009
           3488.6        3.615924
            3489.         3.63623
           3489.4        3.670363
           3489.8        3.665067
           3490.2        3.659135
           3490.6        3.668053
            3491.        3.659225
           3491.4        3.658768
           3491.8        3.676795
           3492.2        3.678247
           3492.6        3.666546
            3493.        3.649714
           3493.4        3.677359
           3493.8        3.649571
           3494.2        3.626335
           3494.6        3.634147
            3495.        3.635789
           3495.4        3.646147
           3495.8        3.633743
           3496.2        3.594869
           3496.6        3.567957
            3497.         3.53287
           3497.4         3.50303
           3497.8        3.503783
           3498.2        3.492004
           3498.6        3.491727
            3499.        3.502976
           3499.4         3.52316
           3499.8        3.542082
           3500.2        3.562086
           3500.6        3.571384
            3501.        3.569447
           3501.4         3.58947
           3501.8        3.602809
           3502.2        3.593224
           3502.6        3.600243
            3503.        3.586871
           3503.4        3.591544
           3503.8        3.584466
           3504.2        3.608994
           3504.6        3.608478
            3505.        3.605927
           3505.4        3.605724
