#K OBJECT   '4817'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 4817
#K OBJRA    00:51:16.38
#K OBJDEC   +61:48:19.8
#K OBJBMAG  7.960000E+00
#K OBJVMAG  6.083000E+00
#K SPTYPE   K3Iab:
#K OBJRV    -6
#K HDNAME   HD 4817
#K BDNAME   BD+61 178
#K HIPNAME  HIP 3988
#K SAONAME  SAO 11430
#K VHELIO   -1.79611714137740E+01
#K VLSR     -1.08278025468807E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.444062E+03
#K CMAX1    4.769459E+03
#K PICKTYPE K3I
#K NCOMBINE 5
#K TEFF     4200  1991ApJS...75..579L (Luck)
#K LOGG     9.100000E-01  1991ApJS...75..579L (Luck)
#K FEH      -2.900000E-01  1991ApJS...75..579L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     6790.2-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.      0.03232613
           3465.4      0.04389246
           3465.8      0.04386996
           3466.2      0.03578231
           3466.6      0.03212659
            3467.      0.03831981
           3467.4      0.03772089
           3467.8      0.04248086
           3468.2      0.05206826
           3468.6      0.05119064
            3469.      0.04614283
           3469.4       0.0434045
           3469.8      0.04483795
           3470.2       0.0502174
           3470.6      0.05603588
            3471.      0.05700961
           3471.4      0.05204072
           3471.8      0.04489398
           3472.2      0.03486298
           3472.6       0.0408471
            3473.      0.03882245
           3473.4       0.0356468
           3473.8      0.03064398
           3474.2      0.03475903
           3474.6      0.02910012
            3475.      0.02699397
           3475.4      0.02970665
           3475.8      0.03035641
           3476.2      0.03675296
           3476.6      0.03424139
            3477.      0.03083813
           3477.4      0.03568267
           3477.8      0.04147965
           3478.2      0.04107579
           3478.6      0.05263503
            3479.      0.05429042
           3479.4      0.04650759
           3479.8      0.04781038
           3480.2      0.04250552
           3480.6      0.03895076
            3481.      0.04815423
           3481.4        0.051242
           3481.8      0.05232467
           3482.2      0.05427095
           3482.6      0.04258766
            3483.      0.03977212
           3483.4      0.03483313
           3483.8      0.03734985
           3484.2      0.04953443
           3484.6      0.05111378
            3485.       0.0432556
           3485.4       0.0357385
           3485.8      0.04536485
           3486.2      0.05582001
           3486.6      0.05646499
            3487.      0.06387432
           3487.4      0.06185917
           3487.8      0.05452058
           3488.2       0.0518399
           3488.6      0.04329761
            3489.      0.03673774
           3489.4      0.04325498
           3489.8      0.04681905
           3490.2      0.03440883
           3490.6      0.02848925
            3491.      0.03117028
           3491.4      0.03396177
           3491.8      0.04078219
           3492.2      0.04582928
           3492.6      0.04318388
            3493.      0.03565992
           3493.4       0.0300023
           3493.8      0.04161034
           3494.2      0.03926103
           3494.6      0.04334357
            3495.      0.04992728
           3495.4       0.0438002
           3495.8      0.03773877
           3496.2      0.03494512
           3496.6      0.03981633
            3497.      0.03465421
           3497.4      0.02429578
           3497.8      0.03500642
           3498.2      0.03232496
           3498.6      0.04070053
            3499.      0.05678235
           3499.4      0.05342884
           3499.8      0.05272337
           3500.2      0.05235451
           3500.6      0.04328023
            3501.      0.04218961
           3501.4      0.04890057
           3501.8      0.04886749
           3502.2      0.04556646
           3502.6      0.04504474
            3503.      0.05302067
           3503.4      0.06732254
           3503.8      0.06293216
           3504.2      0.06742079
           3504.6       0.0715785
            3505.      0.04831341
           3505.4      0.04343483
           3505.8      0.04662472
           3506.2       0.0409238
           3506.6      0.03804049
            3507.      0.04127462
           3507.4      0.04214711
           3507.8      0.04747669
           3508.2      0.05507492
           3508.6      0.04813663
            3509.      0.04549079
           3509.4      0.05328729
           3509.8      0.05373018
           3510.2      0.05756303
           3510.6      0.04968849
            3511.      0.04525223
           3511.4      0.05785602
           3511.8      0.05953653
           3512.2      0.05138444
           3512.6      0.04857422
            3513.      0.04773579
           3513.4      0.03968642
           3513.8      0.03602765
           3514.2       0.0483179
           3514.6      0.03395411
            3515.      0.03382816
           3515.4      0.04637779
           3515.8      0.05738276
           3516.2      0.04901296
           3516.6      0.05253025
            3517.      0.06081652
           3517.4      0.06783677
           3517.8      0.07038759
           3518.2      0.06735913
           3518.6      0.06442524
            3519.      0.05686391
           3519.4      0.04808501
           3519.8      0.04171122
           3520.2      0.04770948
           3520.6      0.05070531
            3521.      0.03558943
           3521.4      0.03670575
           3521.8      0.04369945
           3522.2      0.04170891
           3522.6       0.0469713
            3523.      0.04371795
           3523.4       0.0286404
           3523.8      0.02666266
           3524.2      0.03078361
           3524.6      0.03466114
            3525.      0.04494919
           3525.4      0.04568233
           3525.8      0.04604603
           3526.2      0.03977913
           3526.6      0.02922272
            3527.      0.03445366
           3527.4      0.04557232
           3527.8      0.04885688
           3528.2      0.05670166
           3528.6      0.06409843
            3529.      0.05430105
           3529.4      0.03963676
           3529.8      0.03921686
           3530.2      0.04589213
           3530.6      0.04373163
            3531.      0.05122302
           3531.4       0.0619994
           3531.8      0.04582373
           3532.2      0.04693879
           3532.6      0.05435156
            3533.        0.057817
           3533.4      0.05239155
           3533.8      0.05528536
           3534.2      0.06476749
           3534.6      0.06349386
            3535.      0.05806573
           3535.4      0.04648522
           3535.8       0.0520181
           3536.2      0.05387053
           3536.6      0.05737223
            3537.      0.05738501
           3537.4      0.05800817
           3537.8      0.06018253
           3538.2      0.06560828
           3538.6      0.06338745
            3539.      0.06315354
           3539.4       0.0707944
           3539.8      0.07791553
           3540.2      0.07544541
           3540.6      0.05864468
            3541.      0.05703594
           3541.4      0.05841795
           3541.8      0.05428781
           3542.2      0.05716642
           3542.6        0.056941
            3543.      0.06840809
           3543.4      0.07086322
           3543.8      0.06491125
           3544.2      0.06816497
           3544.6      0.06837057
            3545.      0.05535727
           3545.4      0.05068881
           3545.8      0.05556015
           3546.2      0.04918813
           3546.6      0.05864346
            3547.      0.06920856
           3547.4      0.05944028
           3547.8      0.05583109
           3548.2      0.05466332
           3548.6      0.05330633
            3549.      0.05053439
           3549.4      0.04770939
           3549.8      0.05180416
           3550.2      0.05417446
           3550.6      0.05363203
            3551.      0.05910403
           3551.4      0.05859018
           3551.8      0.05654391
           3552.2      0.04557652
           3552.6      0.04897476
            3553.      0.05442936
           3553.4      0.05497036
           3553.8      0.05288177
           3554.2      0.04631115
           3554.6      0.04342226
            3555.      0.05090719
           3555.4      0.06515613
           3555.8      0.07306191
           3556.2      0.06470365
           3556.6      0.05116196
            3557.      0.05005585
           3557.4      0.06410175
           3557.8      0.05698569
           3558.2      0.04553395
           3558.6       0.0520294
            3559.      0.05225158
           3559.4      0.04819828
           3559.8      0.05466096
           3560.2      0.06434875
           3560.6      0.06056938
            3561.      0.05311606
           3561.4      0.05350537
           3561.8      0.05154729
           3562.2      0.05827643
           3562.6      0.07041399
            3563.      0.06976173
           3563.4       0.0557406
           3563.8      0.06143609
           3564.2      0.04759783
           3564.6      0.04208531
            3565.      0.04939722
           3565.4      0.04662629
           3565.8      0.04489311
           3566.2      0.04716133
           3566.6      0.04560756
            3567.      0.05156229
           3567.4      0.05682985
           3567.8      0.04978486
           3568.2      0.04441973
           3568.6      0.04510722
            3569.      0.04806018
           3569.4        0.038024
           3569.8      0.04302561
           3570.2      0.03274158
           3570.6      0.03251758
            3571.      0.04590547
           3571.4      0.04874868
           3571.8      0.04867468
           3572.2      0.04387902
           3572.6      0.04322027
            3573.      0.04699575
           3573.4      0.04960474
           3573.8      0.04797102
           3574.2      0.05135183
           3574.6      0.05548304
            3575.      0.05225542
           3575.4      0.04227726
           3575.8      0.04516404
           3576.2      0.04489357
           3576.6      0.04277943
            3577.      0.04511138
           3577.4      0.03867437
