#K OBJECT   '48432'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 48432
#K OBJRA    06:46:49.51
#K OBJDEC   +57:10:09.0
#K OBJBMAG  6.300000E+00
#K OBJVMAG  5.349000E+00
#K SPTYPE   K0III
#K OBJRV    1.900000E+01
#K HDNAME   HD 48432
#K BDNAME   BD+57 1004
#K HIPNAME  HIP 32489
#K SAONAME  SAO 25947
#K VHELIO   -2.01750948921078E+01
#K VLSR     -2.09935585050959E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790025E+03
#K CMAX1    8.125439E+03
#K PICKTYPE K0III
#K NCOMBINE 6
#K TEFF     4840  Jones..Coude.Feed.Library
#K LOGG     2.540000E+00  Jones..Coude.Feed.Library
#K FEH      -1.600000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9449.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2041695
           3465.4       0.1732398
           3465.8       0.1479222
           3466.2       0.1408186
           3466.6       0.1466641
            3467.       0.1706238
           3467.4       0.1918583
           3467.8       0.2027692
           3468.2       0.2136563
           3468.6       0.2153613
            3469.       0.2117289
           3469.4       0.2094253
           3469.8       0.2234712
           3470.2       0.2473601
           3470.6       0.2539453
            3471.       0.2380633
           3471.4       0.2198529
           3471.8        0.199275
           3472.2       0.1725419
           3472.6       0.1713392
            3473.       0.1735732
           3473.4       0.1660542
           3473.8       0.1547876
           3474.2        0.150484
           3474.6       0.1343093
            3475.       0.1180545
           3475.4       0.1109269
           3475.8        0.103331
           3476.2       0.0988274
           3476.6       0.1052632
            3477.       0.1168484
           3477.4       0.1353805
           3477.8       0.1650563
           3478.2       0.1825224
           3478.6       0.1874045
            3479.       0.1905576
           3479.4       0.1911423
           3479.8       0.1826116
           3480.2       0.1791417
           3480.6       0.1803869
            3481.       0.1845579
           3481.4       0.1895347
           3481.8       0.1925567
           3482.2        0.190306
           3482.6       0.1768542
            3483.       0.1612595
           3483.4       0.1488445
           3483.8       0.1489044
           3484.2       0.1639508
           3484.6       0.1700377
            3485.       0.1623984
           3485.4       0.1600646
           3485.8       0.1681216
           3486.2       0.1921098
           3486.6       0.2224317
            3487.       0.2376417
           3487.4       0.2389831
           3487.8       0.2323136
           3488.2       0.2097201
           3488.6       0.1827227
            3489.       0.1637946
           3489.4       0.1421378
           3489.8       0.1261693
           3490.2       0.1126866
           3490.6       0.1090715
            3491.       0.1184084
           3491.4       0.1402878
           3491.8       0.1610362
           3492.2       0.1588246
           3492.6       0.1387102
            3493.       0.1270344
           3493.4       0.1406903
           3493.8       0.1751079
           3494.2       0.1978638
           3494.6       0.2068181
            3495.       0.1998059
           3495.4       0.1790877
           3495.8       0.1606019
           3496.2       0.1418704
           3496.6       0.1316452
            3497.       0.1257734
           3497.4       0.1237005
           3497.8       0.1319597
           3498.2       0.1532662
           3498.6       0.1902645
            3499.       0.2291883
           3499.4       0.2549379
           3499.8       0.2583635
           3500.2       0.2469509
           3500.6       0.2353978
            3501.       0.2386242
           3501.4       0.2429334
           3501.8       0.2353864
           3502.2       0.2262239
           3502.6       0.2344611
            3503.       0.2625481
           3503.4       0.2914656
           3503.8       0.3031577
           3504.2       0.2876641
           3504.6       0.2491809
            3505.       0.2250529
           3505.4       0.2138098
           3505.8       0.2074342
           3506.2        0.195341
           3506.6       0.2004985
            3507.       0.2161301
           3507.4       0.2354456
           3507.8       0.2513384
           3508.2       0.2545195
           3508.6       0.2499215
            3509.       0.2408059
           3509.4       0.2183496
           3509.8       0.1865908
