#K OBJECT   '54662'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 54662
#K OBJRA    07:09:20.25
#K OBJDEC   -10:20:47.6
#K OBJBMAG  6.211000E+00
#K OBJVMAG  6.232000E+00
#K SPTYPE   O7III
#K OBJRV    58
#K HDNAME   HD 54662
#K BDNAME   BD-10 1892
#K HIPNAME  HIP 34536
#K SAONAME  SAO 152470
#K VHELIO   -1.34264296609114E+01
#K VLSR     -3.15705081940828E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434979E+03
#K CMAX1    4.762957E+03
#K PICKTYPE O8III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9442.6

#      wavelength        spectrum
#       angstroms                

            3465.        5.296166
           3465.4         5.29984
           3465.8        5.337808
           3466.2         5.34309
           3466.6        5.301977
            3467.        5.326829
           3467.4        5.338542
           3467.8        5.348658
           3468.2        5.317178
           3468.6         5.32069
            3469.        5.326476
           3469.4         5.29858
           3469.8        5.297909
           3470.2        5.301135
           3470.6        5.290043
            3471.        5.290285
           3471.4        5.266347
           3471.8        5.265649
           3472.2        5.275526
           3472.6        5.284971
            3473.        5.295013
           3473.4        5.346213
           3473.8        5.336842
           3474.2        5.280412
           3474.6        5.235222
            3475.        5.248936
           3475.4         5.27582
           3475.8        5.257394
           3476.2        5.242558
           3476.6        5.243122
            3477.        5.225262
           3477.4        5.217629
           3477.8        5.165931
           3478.2        5.132477
           3478.6          5.1003
            3479.        5.122552
           3479.4        5.155931
           3479.8         5.16638
           3480.2        5.182782
           3480.6        5.183156
            3481.        5.173691
           3481.4        5.171537
           3481.8        5.145411
           3482.2        5.116737
           3482.6        5.093866
            3483.         5.11952
           3483.4        5.141024
           3483.8         5.15494
           3484.2         5.08483
           3484.6        5.090109
            3485.        5.129593
           3485.4        5.160959
           3485.8        5.166636
           3486.2        5.162398
           3486.6        5.164934
            3487.        5.159321
           3487.4        5.170453
           3487.8        5.132836
           3488.2        5.134691
           3488.6        5.166046
            3489.         5.18203
           3489.4        5.134944
           3489.8        5.170276
           3490.2        5.152206
           3490.6        5.162755
            3491.        5.161577
           3491.4        5.120188
           3491.8        5.147105
           3492.2        5.177094
           3492.6        5.156041
            3493.        5.117727
           3493.4        5.122328
           3493.8        5.098066
           3494.2        5.153419
           3494.6        5.162714
            3495.        5.134983
           3495.4        5.100698
           3495.8        5.103578
           3496.2        5.113501
           3496.6        5.106378
            3497.        5.118484
           3497.4        5.118277
           3497.8        5.087959
           3498.2         5.08544
           3498.6        5.072904
            3499.         5.07887
           3499.4        5.065407
           3499.8        5.083528
           3500.2        5.072048
           3500.6        5.056245
            3501.        5.113317
           3501.4        5.106998
           3501.8         5.10738
           3502.2        5.100786
           3502.6        5.012023
            3503.        5.024252
           3503.4        5.067219
           3503.8        5.073583
           3504.2        5.022861
           3504.6        4.991309
            3505.        5.039362
           3505.4        5.047256
           3505.8        5.020851
           3506.2         5.01938
           3506.6        5.015207
            3507.        5.027162
           3507.4        5.076615
           3507.8        5.085542
           3508.2        5.051155
           3508.6         5.05058
            3509.          5.0446
           3509.4        5.035892
           3509.8        5.003123
           3510.2         5.00447
           3510.6        4.995856
            3511.        4.981676
           3511.4        4.961846
           3511.8        4.913423
           3512.2        4.906826
           3512.6        4.950481
            3513.        4.967534
           3513.4        4.957108
           3513.8        4.951266
           3514.2        4.965647
           3514.6        4.986813
            3515.        4.963034
           3515.4        4.951402
           3515.8        4.975688
           3516.2         4.97906
           3516.6        4.989375
            3517.        4.946791
           3517.4        4.942245
           3517.8        4.959067
           3518.2        4.926689
           3518.6        4.924199
            3519.        4.935743
           3519.4        4.953731
           3519.8        4.992046
           3520.2        4.993227
           3520.6        4.973238
            3521.        4.964967
           3521.4        4.939574
           3521.8        4.956221
           3522.2        4.983404
           3522.6        4.958552
            3523.        4.926504
           3523.4        4.936988
           3523.8        4.941495
           3524.2        4.917209
           3524.6        4.916684
            3525.        4.912859
           3525.4        4.885991
           3525.8        4.863122
           3526.2        4.899707
           3526.6        4.881681
            3527.        4.882301
           3527.4        4.871371
           3527.8        4.849659
           3528.2        4.872813
           3528.6        4.849189
            3529.         4.78944
           3529.4        4.781313
           3529.8        4.773314
           3530.2        4.844045
           3530.6        4.887666
            3531.        4.894628
           3531.4        4.883946
           3531.8        4.895972
           3532.2        4.866162
           3532.6        4.854293
            3533.        4.861974
           3533.4        4.876618
           3533.8         4.88225
           3534.2        4.878445
           3534.6        4.876841
            3535.        4.862029
           3535.4        4.877357
           3535.8        4.869471
           3536.2        4.874374
           3536.6        4.861226
            3537.         4.91627
           3537.4        4.879665
           3537.8        4.863756
           3538.2        4.876544
           3538.6        4.869807
            3539.        4.855948
           3539.4        4.846506
           3539.8        4.837135
           3540.2         4.81973
           3540.6        4.846877
            3541.        4.882833
           3541.4          4.8376
           3541.8        4.809932
           3542.2        4.831762
           3542.6        4.836689
            3543.          4.8355
           3543.4        4.828333
           3543.8        4.832441
           3544.2        4.821432
           3544.6        4.788671
            3545.         4.80371
           3545.4        4.830027
           3545.8        4.798526
           3546.2        4.797717
           3546.6        4.797144
            3547.        4.757635
           3547.4        4.778414
           3547.8        4.771263
           3548.2        4.812799
           3548.6        4.835189
            3549.        4.800415
           3549.4        4.777723
           3549.8        4.783709
           3550.2         4.79575
           3550.6        4.807863
