#K OBJECT   '5516'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 5516
#K OBJRA    00:57:12.40
#K OBJDEC   +23:25:03.5
#K OBJBMAG  5.341000E+00
#K OBJVMAG  4.403000E+00
#K SPTYPE   G8III
#K OBJRV    -1.030000E+01
#K HDNAME   HD 5516
#K BDNAME   BD+22 153
#K HIPNAME  HIP 4463
#K SAONAME  SAO 74388
#K VHELIO   -3.59729040603972E-01
#K VLSR     -5.26067068049593E-02
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453117E+03
#K CMAX1    4.777844E+03
#K PICKTYPE G8III
#K NCOMBINE 4
#K TEFF     4880  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.700000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -5.400000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-8073.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2364018
           3465.4       0.2026861
           3465.8       0.1744998
           3466.2       0.1690839
           3466.6       0.1900914
            3467.       0.2106495
           3467.4       0.2162868
           3467.8       0.2364927
           3468.2       0.2503799
           3468.6       0.2387065
            3469.       0.2305989
           3469.4       0.2425471
           3469.8       0.2611651
           3470.2       0.2856995
           3470.6       0.2939632
            3471.       0.2689091
           3471.4       0.2397911
           3471.8       0.2221199
           3472.2       0.2070515
           3472.6         0.19798
            3473.       0.1962993
           3473.4       0.1971682
           3473.8       0.1894447
           3474.2       0.1792449
           3474.6       0.1660768
            3475.       0.1555594
           3475.4       0.1462041
           3475.8       0.1354026
           3476.2       0.1319429
           3476.6       0.1347324
            3477.       0.1448025
           3477.4       0.1735546
           3477.8       0.1981882
           3478.2       0.2100128
           3478.6       0.2163064
            3479.       0.2208128
           3479.4       0.2219467
           3479.8       0.2142268
           3480.2       0.2044401
           3480.6        0.200349
            3481.       0.2071452
           3481.4       0.2133341
           3481.8        0.214017
           3482.2       0.2108158
           3482.6       0.1938116
            3483.       0.1806864
           3483.4       0.1733707
           3483.8       0.1740401
           3484.2       0.1865786
           3484.6       0.1897345
            3485.       0.1793655
           3485.4       0.1779235
           3485.8       0.1968764
           3486.2       0.2244293
           3486.6       0.2453226
            3487.        0.266856
           3487.4       0.2754244
           3487.8       0.2555174
           3488.2       0.2381841
           3488.6       0.2020046
            3489.       0.1833542
           3489.4       0.1661034
           3489.8       0.1560273
           3490.2       0.1416664
           3490.6       0.1390842
            3491.        0.153179
           3491.4        0.178387
           3491.8       0.1929718
           3492.2       0.1841322
           3492.6        0.164909
            3493.       0.1561732
           3493.4       0.1709275
           3493.8       0.1952104
           3494.2       0.2311973
           3494.6       0.2327213
            3495.       0.2187565
           3495.4       0.1957116
           3495.8       0.1741648
           3496.2       0.1563318
           3496.6       0.1478304
            3497.        0.144414
           3497.4       0.1430924
           3497.8       0.1561069
           3498.2       0.1881839
           3498.6       0.2313006
            3499.       0.2709438
           3499.4       0.2894696
           3499.8       0.2878898
           3500.2       0.2740594
           3500.6       0.2594504
            3501.       0.2747172
           3501.4       0.2790226
           3501.8       0.2587238
           3502.2       0.2536551
           3502.6        0.267664
            3503.       0.2985088
           3503.4       0.3356158
           3503.8        0.338117
           3504.2       0.3179944
           3504.6       0.2810263
            3505.       0.2482369
           3505.4       0.2303051
           3505.8       0.2265507
           3506.2       0.2255374
           3506.6       0.2292889
            3507.       0.2423218
           3507.4       0.2602926
           3507.8       0.2744869
           3508.2       0.2784067
           3508.6       0.2721049
            3509.       0.2601146
           3509.4       0.2422459
           3509.8       0.2046851
           3510.2       0.1598494
           3510.6       0.1922624
            3511.       0.2199482
           3511.4       0.2357045
           3511.8       0.2279172
           3512.2       0.2163475
           3512.6       0.2037795
            3513.       0.1845107
           3513.4       0.1667989
           3513.8       0.1612737
           3514.2       0.1610793
           3514.6       0.1550047
            3515.       0.1708176
           3515.4       0.1955621
           3515.8       0.2275431
           3516.2       0.2538336
           3516.6       0.2704794
            3517.       0.2942178
           3517.4       0.3128038
           3517.8       0.3222451
           3518.2       0.3188789
           3518.6        0.303095
            3519.       0.2879258
           3519.4       0.2727216
           3519.8       0.2527771
           3520.2        0.235716
           3520.6       0.2179562
            3521.       0.1988641
           3521.4       0.1875897
           3521.8       0.1989186
           3522.2       0.2092945
           3522.6       0.2113354
            3523.       0.1971274
           3523.4       0.1700284
           3523.8       0.1448786
           3524.2       0.1311978
           3524.6       0.1314725
            3525.       0.1423796
           3525.4       0.1506124
           3525.8       0.1385444
           3526.2       0.1273524
           3526.6       0.1396307
            3527.       0.1763097
           3527.4       0.2101099
           3527.8       0.2280334
           3528.2       0.2534612
           3528.6       0.2751921
            3529.       0.2724034
           3529.4       0.2559626
           3529.8       0.2417796
           3530.2        0.239759
           3530.6       0.2486102
            3531.       0.2462642
           3531.4       0.2300229
           3531.8       0.2050939
           3532.2       0.1882104
           3532.6       0.1861795
            3533.       0.1925519
           3533.4        0.214269
           3533.8       0.2471824
           3534.2       0.2736427
           3534.6       0.2842315
            3535.       0.2765506
           3535.4       0.2609273
           3535.8       0.2573844
           3536.2       0.2596604
           3536.6       0.2558115
            3537.       0.2536311
           3537.4       0.2386423
           3537.8       0.2329738
           3538.2       0.2399152
           3538.6       0.2586946
            3539.       0.2898329
           3539.4       0.3119717
           3539.8       0.3037587
           3540.2       0.2788212
           3540.6       0.2555225
            3541.       0.2362892
           3541.4       0.2287155
           3541.8       0.2238578
           3542.2       0.2249936
           3542.6       0.2305516
            3543.       0.2389836
           3543.4        0.255948
           3543.8       0.2639754
           3544.2       0.2737295
           3544.6       0.2809247
            3545.       0.2772686
           3545.4       0.2637488
           3545.8        0.252597
           3546.2       0.2576983
           3546.6       0.2579285
            3547.       0.2451481
           3547.4       0.2244695
           3547.8       0.2040767
           3548.2       0.2075041
           3548.6       0.2310467
            3549.       0.2516383
           3549.4       0.2670359
           3549.8        0.262625
           3550.2       0.2474577
           3550.6       0.2361712
            3551.        0.223739
