#K OBJECT   '63791'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 63791
#K OBJRA    07:54:28.72
#K OBJDEC   +62:08:10.8
#K OBJBMAG  8.780000E+00
#K OBJVMAG  7.920000E+00
#K SPTYPE   G0
#K OBJRV    -108
#K HDNAME   HD 63791
#K BDNAME   BD+62 959
#K HIPNAME  HIP 38621
#K SAONAME  SAO 14359
#K VHELIO   -1.31605915399522E+01
#K VLSR     -1.14866789492377E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.436892E+03
#K CMAX1    4.765606E+03
#K PICKTYPE G0I
#K NCOMBINE 6
#K TEFF     4700  2000AJ....120.1841F (Fulbright)
#K LOGG     1.700000E+00  2000AJ....120.1841F (Fulbright)
#K FEH      -1.810000E+00  2000AJ....120.1841F (Fulbright)
#K COVERAGE 3465.0-9447.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.3103524
           3465.4       0.2841815
           3465.8       0.2628968
           3466.2       0.2581232
           3466.6        0.270986
            3467.       0.2891347
           3467.4       0.3052821
           3467.8       0.3130966
           3468.2       0.3133156
           3468.6       0.3105342
            3469.       0.3008727
           3469.4       0.2940088
           3469.8       0.3056422
           3470.2       0.3238527
           3470.6       0.3250489
            3471.       0.3204669
           3471.4       0.3069321
           3471.8       0.3009468
           3472.2       0.3011796
           3472.6       0.2940917
            3473.       0.2834328
           3473.4       0.2723221
           3473.8       0.2588576
           3474.2       0.2505489
           3474.6         0.24867
            3475.       0.2385194
           3475.4       0.2219535
           3475.8       0.2115647
           3476.2       0.2144547
           3476.6       0.2153144
            3477.       0.2189943
           3477.4       0.2414776
           3477.8       0.2680448
           3478.2       0.2837574
           3478.6       0.2902561
            3479.       0.2884172
           3479.4       0.2851209
           3479.8       0.2895692
           3480.2       0.2966775
           3480.6       0.2990069
            3481.       0.3044028
           3481.4       0.3107418
           3481.8       0.3183436
           3482.2       0.3147237
           3482.6       0.2993912
            3483.       0.2759287
           3483.4       0.2567012
           3483.8       0.2562555
           3484.2       0.2712599
           3484.6       0.2819006
            3485.       0.2823917
           3485.4       0.2865424
           3485.8        0.296999
           3486.2       0.3136374
           3486.6        0.333033
            3487.       0.3443937
           3487.4       0.3440479
           3487.8        0.334142
           3488.2       0.3182375
           3488.6       0.3028935
            3489.       0.2902974
           3489.4       0.2753707
           3489.8       0.2572072
           3490.2       0.2389007
           3490.6       0.2260543
            3491.       0.2280376
           3491.4       0.2581335
           3491.8       0.2883211
           3492.2       0.2950967
           3492.6       0.2771261
            3493.       0.2541514
           3493.4       0.2542375
           3493.8       0.2726863
           3494.2       0.2898679
           3494.6       0.2924345
            3495.       0.2767204
           3495.4       0.2527981
           3495.8       0.2264921
           3496.2       0.2179302
           3496.6       0.2248803
            3497.       0.2330464
           3497.4       0.2389859
           3497.8       0.2551897
           3498.2       0.2825047
           3498.6        0.307717
            3499.       0.3270488
           3499.4        0.330887
           3499.8       0.3204958
           3500.2          0.3053
           3500.6       0.2916382
            3501.       0.3029007
           3501.4       0.3137073
           3501.8       0.3108189
           3502.2       0.3044864
           3502.6       0.3035604
            3503.       0.3239538
           3503.4       0.3426782
           3503.8       0.3508781
           3504.2       0.3380812
           3504.6       0.3098025
            3505.       0.2867146
           3505.4       0.2768372
           3505.8        0.275315
           3506.2       0.2714535
           3506.6       0.2774489
            3507.          0.2926
           3507.4       0.3027254
           3507.8       0.3113087
           3508.2       0.3183621
           3508.6        0.321968
            3509.       0.3243227
           3509.4       0.3115728
           3509.8       0.2873696
           3510.2       0.2688591
           3510.6        0.265331
            3511.       0.2863704
           3511.4       0.3091643
           3511.8       0.3055534
           3512.2       0.2969185
           3512.6       0.2852022
            3513.       0.2733023
           3513.4       0.2609509
           3513.8       0.2492017
           3514.2        0.253693
           3514.6       0.2677531
            3515.        0.272878
           3515.4       0.2848374
           3515.8       0.3065466
           3516.2       0.3176259
           3516.6       0.3275934
            3517.       0.3322943
           3517.4       0.3360459
           3517.8       0.3395107
           3518.2       0.3345325
           3518.6       0.3231906
            3519.       0.3186578
           3519.4       0.3098142
           3519.8       0.2933075
           3520.2       0.2802696
           3520.6       0.2774525
            3521.       0.2705019
           3521.4       0.2587167
           3521.8       0.2690156
           3522.2       0.2901375
           3522.6       0.2967512
            3523.       0.2844962
           3523.4         0.26557
           3523.8       0.2409222
           3524.2       0.2186265
           3524.6       0.2188019
            3525.       0.2467373
           3525.4       0.2609326
           3525.8       0.2386127
           3526.2       0.2094877
           3526.6       0.2097456
            3527.       0.2428001
           3527.4        0.276204
           3527.8       0.2984587
           3528.2       0.3080849
           3528.6        0.322273
            3529.       0.3223286
           3529.4       0.3154809
           3529.8       0.3096642
           3530.2       0.3100627
           3530.6       0.3157871
            3531.       0.3196705
           3531.4       0.3187109
           3531.8       0.3101628
           3532.2       0.3016911
           3532.6       0.3029774
            3533.       0.2992157
           3533.4        0.303718
           3533.8       0.3231748
           3534.2       0.3415326
           3534.6       0.3486828
            3535.       0.3331648
           3535.4       0.3152335
           3535.8       0.3160196
           3536.2       0.3253049
           3536.6       0.3345038
            3537.       0.3381123
           3537.4        0.326852
           3537.8       0.3162988
           3538.2       0.3202682
           3538.6        0.335359
            3539.       0.3596382
           3539.4       0.3751621
           3539.8       0.3760164
           3540.2       0.3545899
           3540.6       0.3318613
            3541.       0.3264413
           3541.4       0.3298419
           3541.8       0.3321395
           3542.2       0.3344153
           3542.6       0.3375178
            3543.       0.3447002
           3543.4       0.3519406
           3543.8        0.354533
           3544.2       0.3602996
           3544.6       0.3598257
            3545.       0.3446577
           3545.4       0.3265914
           3545.8       0.3298519
           3546.2       0.3463591
           3546.6       0.3545641
            3547.       0.3567966
           3547.4       0.3498896
           3547.8       0.3254512
           3548.2       0.3146888
           3548.6       0.3333253
            3549.       0.3467757
           3549.4       0.3479535
           3549.8       0.3462976
           3550.2       0.3448103
           3550.6       0.3455561
            3551.        0.344671
           3551.4       0.3364242
           3551.8       0.3267536
           3552.2       0.3221687
           3552.6       0.3200428
            3553.       0.3177031
           3553.4       0.3126161
           3553.8       0.3114248
           3554.2       0.3097375
           3554.6       0.3124326
            3555.       0.3273422
           3555.4       0.3479462
           3555.8       0.3614369
           3556.2       0.3553599
           3556.6       0.3334766
            3557.       0.3280281
           3557.4       0.3474871
           3557.8       0.3572934
           3558.2       0.3390964
           3558.6       0.3144884
            3559.       0.3162299
           3559.4       0.3343618
           3559.8       0.3489335
           3560.2       0.3518813
           3560.6       0.3338245
            3561.       0.3204739
           3561.4       0.3174588
           3561.8       0.3207315
           3562.2       0.3405326
           3562.6       0.3708634
            3563.       0.3902657
           3563.4       0.3894616
           3563.8       0.3742939
           3564.2       0.3546653
           3564.6       0.3118955
            3565.       0.2657079
           3565.4       0.2318337
           3565.8        0.221163
           3566.2       0.2296468
           3566.6       0.2540101
            3567.       0.2869887
           3567.4        0.310877
           3567.8       0.3218516
           3568.2       0.3259199
           3568.6       0.3152572
            3569.       0.2887112
           3569.4       0.2595815
           3569.8       0.2266048
           3570.2       0.2221059
           3570.6        0.259499
            3571.       0.3010471
           3571.4        0.309419
           3571.8       0.2948624
           3572.2       0.2838535
           3572.6       0.2885731
            3573.       0.3003053
           3573.4       0.3048247
           3573.8       0.3019778
           3574.2       0.3063011
           3574.6       0.3162106
            3575.       0.3043023
           3575.4       0.2962852
           3575.8       0.2968143
           3576.2       0.3016179
           3576.6       0.3081188
            3577.       0.3219131
           3577.4        0.339138
           3577.8       0.3405482
           3578.2        0.317865
           3578.6       0.3043425
            3579.       0.3233595
           3579.4       0.3463994
           3579.8       0.3493407
           3580.2       0.3262746
           3580.6       0.2698486
            3581.        0.213354
           3581.4       0.1851182
           3581.8       0.2070681
           3582.2       0.2535284
           3582.6       0.2969859
            3583.        0.328636
           3583.4       0.3427296
           3583.8       0.3404887
           3584.2       0.3200655
           3584.6       0.2713871
            3585.       0.2185746
           3585.4        0.197777
           3585.8       0.2111271
           3586.2       0.2392884
           3586.6       0.2471503
            3587.       0.2363818
           3587.4       0.2324905
           3587.8       0.2489803
           3588.2       0.2686683
           3588.6       0.2733408
            3589.       0.2687242
           3589.4       0.2644713
           3589.8       0.2697237
           3590.2       0.2936029
           3590.6       0.3232207
            3591.       0.3534561
           3591.4       0.3660015
           3591.8       0.3672035
           3592.2       0.3576271
           3592.6       0.3414556
            3593.       0.3229923
           3593.4       0.3140036
           3593.8       0.3302523
           3594.2       0.3515177
           3594.6       0.3532607
            3595.        0.344838
           3595.4       0.3426569
           3595.8       0.3468538
           3596.2       0.3487628
           3596.6       0.3592276
            3597.       0.3734068
           3597.4        0.376402
           3597.8       0.3734586
           3598.2       0.3728821
           3598.6       0.3805152
            3599.       0.3804921
           3599.4       0.3801259
           3599.8       0.3894269
           3600.2       0.3974471
           3600.6       0.4026954
            3601.       0.3972592
           3601.4       0.3799534
           3601.8       0.3428116
           3602.2       0.3071765
           3602.6       0.2981361
            3603.       0.3120472
           3603.4       0.3202606
           3603.8       0.3266129
           3604.2       0.3345025
           3604.6       0.3386374
            3605.       0.3288979
           3605.4       0.3087631
           3605.8       0.3117387
           3606.2       0.3367739
           3606.6       0.3557116
            3607.        0.361233
           3607.4       0.3753827
           3607.8       0.3678079
           3608.2       0.3362011
           3608.6       0.2904844
            3609.       0.2645214
           3609.4       0.2730039
           3609.8       0.2885826
           3610.2       0.2907265
           3610.6       0.2950437
            3611.       0.3177012
           3611.4       0.3460044
           3611.8       0.3590636
           3612.2       0.3558331
           3612.6       0.3309536
            3613.       0.2997413
           3613.4       0.2816073
           3613.8       0.2860945
           3614.2       0.3107617
