#K OBJECT   '74395'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 74395
#K OBJRA    08:43:40.37
#K OBJDEC   -07:14:01.4
#K OBJBMAG  5.443000E+00
#K OBJVMAG  4.642000E+00
#K SPTYPE   G2Iab:
#K OBJRV    3.140000E+01
#K HDNAME   HD 74395
#K BDNAME   BD-06 2708
#K HIPNAME  HIP 42835
#K SAONAME  SAO 136221
#K VHELIO   -3.18303095774839E+00
#K VLSR     -1.76119761855986E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435373E+03
#K CMAX1    4.763514E+03
#K PICKTYPE G2I
#K NCOMBINE 6
#K TEFF     5250  1980ApJ...241..218L (Luck)
#K LOGG     1.300000E+00  1980ApJ...241..218L (Luck)
#K FEH      -1.100000E-01  1980ApJ...241..218L (Luck)
#K COVERAGE 3465.0-9449.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2525715
           3465.4       0.2310561
           3465.8       0.2101796
           3466.2       0.2036686
           3466.6       0.2063622
            3467.       0.2110365
           3467.4       0.2237617
           3467.8       0.2353442
           3468.2        0.237316
           3468.6       0.2316476
            3469.       0.2249635
           3469.4       0.2302903
           3469.8       0.2453976
           3470.2        0.266612
           3470.6       0.2790892
            3471.       0.2697159
           3471.4       0.2497075
           3471.8       0.2318333
           3472.2       0.2222087
           3472.6       0.2188484
            3473.       0.2158347
           3473.4       0.2072673
           3473.8       0.1922585
           3474.2       0.1794924
           3474.6       0.1766696
            3475.       0.1708683
           3475.4       0.1704801
           3475.8       0.1753579
           3476.2       0.1732834
           3476.6       0.1672847
            3477.        0.164358
           3477.4       0.1768508
           3477.8       0.1970246
           3478.2       0.2052048
           3478.6       0.2036897
            3479.       0.1993015
           3479.4       0.1945562
           3479.8       0.1961164
           3480.2       0.1978166
           3480.6       0.1977672
            3481.       0.1994204
           3481.4       0.2041307
           3481.8       0.2101722
           3482.2       0.2074754
           3482.6       0.1931123
            3483.       0.1799357
           3483.4       0.1703783
           3483.8       0.1763941
           3484.2       0.1883924
           3484.6       0.1950078
            3485.       0.1979878
           3485.4       0.2013132
           3485.8       0.2192571
           3486.2       0.2431501
           3486.6        0.261077
            3487.       0.2726699
           3487.4       0.2710348
           3487.8        0.254634
           3488.2       0.2248611
