#K OBJECT   '74721'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 74721
#K OBJRA    08:45:59.26
#K OBJDEC   +13:15:48.6
#K OBJBMAG  8.760000E+00
#K OBJVMAG  8.710000E+00
#K SPTYPE   A0V
#K OBJRV    9
#K HDNAME   HD 74721
#K BDNAME   BD+13 1981
#K HIPNAME  HIP 43018
#K SAONAME  SAO 98102
#K VHELIO   -6.22648430956734E+00
#K VLSR     -1.67431591830876E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435585E+03
#K CMAX1    4.763812E+03
#K PICKTYPE A0V
#K NCOMBINE 3
#K TEFF     8640  1994MNRAS.269..579A (Adelman)
#K LOGG     3.550000E+00  1994MNRAS.269..579A (Adelman)
#K FEH      -1.480000E+00  1994MNRAS.269..579A (Adelman)
#K COVERAGE 3465.0-6790.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.9235651
           3465.4       0.9421833
           3465.8       0.9126907
           3466.2       0.9029552
           3466.6       0.9119365
            3467.       0.9159312
           3467.4        0.938885
           3467.8       0.9317041
           3468.2       0.9079943
           3468.6       0.9144423
            3469.       0.9059594
           3469.4       0.9093347
           3469.8       0.9180724
           3470.2       0.9151605
           3470.6       0.9223327
            3471.       0.9194007
           3471.4       0.9136935
           3471.8       0.9073407
           3472.2       0.9100914
           3472.6       0.9140686
            3473.       0.9124324
           3473.4       0.9037535
           3473.8       0.9018921
           3474.2       0.9098437
           3474.6       0.8997009
            3475.       0.8966425
           3475.4       0.9042691
           3475.8       0.8978174
           3476.2       0.8997411
           3476.6       0.8988929
            3477.       0.8848829
           3477.4       0.8776035
           3477.8       0.8986335
           3478.2        0.915875
           3478.6       0.9117596
            3479.       0.9061922
           3479.4       0.9000697
           3479.8       0.8952308
           3480.2       0.9024578
           3480.6       0.9125116
            3481.       0.9102813
           3481.4       0.8977166
           3481.8       0.9043022
           3482.2       0.8903933
           3482.6       0.8903675
            3483.       0.9034584
           3483.4       0.8956625
           3483.8       0.8923444
           3484.2       0.9037431
           3484.6        0.902073
            3485.       0.9048265
           3485.4       0.9175678
           3485.8       0.9090679
           3486.2       0.9065498
           3486.6        0.894431
            3487.       0.9037594
           3487.4       0.9121578
           3487.8       0.8958316
           3488.2       0.8904927
           3488.6        0.891361
            3489.       0.8796644
           3489.4       0.8747261
           3489.8       0.8855578
           3490.2       0.8986363
           3490.6       0.8995525
            3491.       0.8783396
           3491.4       0.8680423
           3491.8       0.8985575
           3492.2        0.902189
           3492.6       0.8968157
            3493.       0.9068467
           3493.4       0.9118841
           3493.8        0.903684
           3494.2       0.8889865
           3494.6       0.8823749
            3495.       0.8907803
           3495.4       0.8959458
           3495.8       0.8905437
           3496.2        0.887467
           3496.6       0.8882712
            3497.       0.8902783
           3497.4       0.8995501
           3497.8       0.9090649
           3498.2          0.9007
           3498.6       0.9059231
            3499.       0.9024549
           3499.4       0.8932195
           3499.8       0.8939195
           3500.2        0.902869
           3500.6       0.9128157
            3501.         0.89611
           3501.4       0.8965078
           3501.8       0.9193292
           3502.2       0.9002416
           3502.6       0.8931245
            3503.       0.8979742
           3503.4        0.919646
           3503.8         0.91525
           3504.2       0.9042094
           3504.6        0.893934
            3505.       0.8832617
           3505.4       0.8826022
           3505.8       0.8888136
           3506.2       0.9082993
           3506.6       0.9094827
            3507.       0.8894837
           3507.4       0.9061686
           3507.8       0.8965389
           3508.2       0.9044257
           3508.6       0.8967465
            3509.       0.9001185
           3509.4        0.900225
           3509.8       0.9106531
           3510.2       0.9180588
           3510.6       0.8980163
            3511.       0.8821965
           3511.4       0.8796703
           3511.8       0.8910918
           3512.2       0.9054177
           3512.6        0.912337
            3513.       0.9079405
           3513.4       0.9016353
           3513.8       0.9142943
           3514.2       0.9056349
           3514.6       0.8939637
            3515.       0.9015262
           3515.4       0.9103633
           3515.8       0.9069279
           3516.2       0.9074489
           3516.6       0.9191784
            3517.       0.9122484
           3517.4       0.8995965
           3517.8        0.913366
           3518.2       0.9241725
           3518.6       0.9363269
            3519.       0.9107291
           3519.4       0.8872868
           3519.8       0.9049454
           3520.2       0.9113514
           3520.6       0.8994576
            3521.       0.9054898
           3521.4       0.9170882
           3521.8       0.9179364
           3522.2        0.915696
           3522.6       0.9130092
            3523.       0.9173287
           3523.4       0.9216864
           3523.8        0.920575
           3524.2        0.907926
           3524.6       0.9040961
            3525.        0.914557
           3525.4       0.9173268
           3525.8       0.9085544
           3526.2         0.91189
           3526.6       0.9187779
            3527.       0.9187661
           3527.4       0.9240666
           3527.8       0.9169447
           3528.2        0.927466
           3528.6       0.9279419
            3529.       0.9421654
           3529.4       0.9168797
           3529.8       0.9049287
           3530.2       0.9051168
           3530.6       0.9152069
            3531.       0.9224588
           3531.4       0.9201091
           3531.8       0.9179643
           3532.2        0.923642
           3532.6       0.9290913
            3533.       0.9150493
           3533.4         0.92957
           3533.8       0.9279254
           3534.2       0.9228975
           3534.6        0.941057
            3535.       0.9188792
           3535.4       0.9162759
           3535.8       0.9166771
           3536.2       0.9072654
           3536.6        0.914425
            3537.       0.9193292
           3537.4       0.9267343
           3537.8       0.9385442
           3538.2        0.921287
           3538.6       0.9295077
            3539.       0.9300028
           3539.4       0.9332287
           3539.8       0.9354838
           3540.2       0.9284701
           3540.6       0.9287665
            3541.       0.9212427
           3541.4       0.9390681
           3541.8       0.9550205
           3542.2       0.9421563
           3542.6       0.9342489
            3543.       0.9235414
           3543.4       0.9160773
           3543.8         0.92211
           3544.2       0.9151235
           3544.6       0.9242058
            3545.       0.9486121
           3545.4        0.936428
           3545.8       0.9412754
           3546.2       0.9408312
           3546.6       0.9256569
            3547.       0.9280478
           3547.4       0.9327805
           3547.8       0.9385923
           3548.2       0.9510175
           3548.6       0.9388465
            3549.       0.9379016
           3549.4       0.9461964
           3549.8       0.9364567
           3550.2       0.9329385
           3550.6       0.9266635
            3551.       0.9268384
           3551.4       0.9442251
           3551.8       0.9420846
           3552.2       0.9364823
           3552.6       0.9394091
            3553.       0.9349806
           3553.4       0.9323809
           3553.8       0.9302121
           3554.2       0.9307089
           3554.6       0.9264853
            3555.       0.9207866
           3555.4       0.9298646
           3555.8       0.9237089
           3556.2       0.9241993
           3556.6       0.9379827
            3557.       0.9362487
           3557.4        0.937665
           3557.8       0.9457138
           3558.2       0.9389361
           3558.6       0.9304421
            3559.       0.9345642
           3559.4       0.9445234
           3559.8        0.944883
           3560.2       0.9438319
           3560.6       0.9519915
            3561.       0.9484502
           3561.4       0.9368452
           3561.8       0.9509561
           3562.2        0.947219
           3562.6       0.9384881
            3563.       0.9408422
           3563.4       0.9333384
           3563.8       0.9350898
           3564.2       0.9433376
           3564.6       0.9293042
            3565.       0.9248907
           3565.4       0.9266325
           3565.8       0.9262116
           3566.2       0.9076091
           3566.6       0.8977179
            3567.       0.9276759
           3567.4        0.946841
           3567.8       0.9475616
           3568.2       0.9426951
           3568.6       0.9427841
            3569.       0.9448699
           3569.4       0.9316051
           3569.8       0.9310872
           3570.2       0.9359527
           3570.6       0.9244272
            3571.       0.9329759
           3571.4       0.9480562
           3571.8       0.9587495
           3572.2       0.9419045
           3572.6       0.9206935
            3573.        0.909807
           3573.4       0.9170352
           3573.8       0.9293592
           3574.2       0.9254789
           3574.6        0.927559
            3575.       0.9368883
           3575.4       0.9216368
           3575.8       0.9205535
           3576.2        0.925474
           3576.6       0.9197168
            3577.       0.9249525
           3577.4       0.9333404
           3577.8       0.9321389
           3578.2       0.9322162
           3578.6       0.9449564
            3579.        0.948546
           3579.4       0.9392935
           3579.8       0.9434106
           3580.2        0.945837
           3580.6        0.935038
            3581.       0.9273123
           3581.4       0.8860689
           3581.8       0.9009381
           3582.2       0.9304271
           3582.6        0.947766
            3583.       0.9494556
           3583.4       0.9526966
           3583.8        0.949382
           3584.2       0.9346182
           3584.6       0.9360614
            3585.       0.9383287
           3585.4        0.914693
           3585.8       0.9128328
           3586.2       0.9303472
           3586.6       0.9295928
            3587.       0.9430887
           3587.4       0.9389921
           3587.8       0.9322143
           3588.2       0.9305044
           3588.6       0.9441712
            3589.       0.9431843
           3589.4       0.9320077
           3589.8        0.930786
           3590.2       0.9294549
           3590.6       0.9372511
            3591.       0.9501681
           3591.4         0.94386
           3591.8       0.9219906
           3592.2       0.9218519
           3592.6       0.9224284
            3593.       0.9277086
           3593.4       0.9359026
           3593.8       0.9255756
           3594.2       0.9259512
           3594.6       0.9292467
            3595.       0.9187921
           3595.4       0.9229917
           3595.8       0.9309553
           3596.2       0.9197959
           3596.6       0.9144791
            3597.       0.9116783
           3597.4       0.9233204
           3597.8       0.9509621
           3598.2       0.9437901
           3598.6       0.9192691
            3599.       0.9238439
           3599.4       0.9332434
           3599.8       0.9355235
           3600.2       0.9361326
           3600.6       0.9249933
            3601.        0.919774
           3601.4       0.9261165
           3601.8       0.9265775
           3602.2       0.9489604
           3602.6       0.9393734
            3603.         0.93637
           3603.4       0.9380675
           3603.8       0.9378604
           3604.2       0.9206298
           3604.6        0.935118
            3605.         0.93522
           3605.4       0.9133965
           3605.8       0.9101558
           3606.2       0.9063021
           3606.6       0.9174479
            3607.        0.932045
           3607.4       0.9313786
           3607.8       0.9109754
           3608.2       0.9010473
           3608.6       0.9182903
            3609.          0.8963
           3609.4       0.8973262
           3609.8       0.9244145
           3610.2       0.9179403
           3610.6       0.9178666
            3611.       0.9345902
           3611.4       0.9245796
           3611.8       0.9230584
           3612.2       0.9340646
           3612.6       0.9251344
            3613.       0.9069973
           3613.4       0.8980792
           3613.8       0.9017012
           3614.2       0.9005395
           3614.6       0.9091973
            3615.       0.9209173
           3615.4        0.932232
           3615.8       0.9392209
           3616.2       0.9251434
           3616.6       0.9124564
            3617.       0.9234125
           3617.4       0.9189184
           3617.8       0.9011298
           3618.2       0.8974579
           3618.6       0.8893019
            3619.       0.8964681
           3619.4       0.9085436
           3619.8       0.9059641
           3620.2       0.9047601
           3620.6        0.908422
            3621.       0.9124697
           3621.4       0.9148976
           3621.8       0.9141015
           3622.2        0.911137
           3622.6       0.9063935
            3623.       0.9177051
           3623.4       0.9362426
           3623.8       0.9163474
           3624.2       0.9033871
