#K OBJECT   '76219'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 76219
#K OBJRA    08:55:39.68
#K OBJDEC   +27:55:38.9
#K OBJBMAG  6.214000E+00
#K OBJVMAG  5.239000E+00
#K SPTYPE   G8Iab:
#K OBJRV    1.710000E+01
#K HDNAME   HD 76219
#K BDNAME   BD+28 1666
#K HIPNAME  HIP 43834
#K SAONAME  SAO 80511
#K VHELIO   7.06502871124515E+00
#K VLSR     5.48926910392877E-01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.678259E+03
#K CMAX1    6.004991E+03
#K PICKTYPE G8I
#K NCOMBINE 3
#K TEFF     4875  1995AJ....110.2425L (Luck)
#K LOGG     1.900000E+00  1995AJ....110.2425L (Luck)
#K FEH      1.900000E-01  1995AJ....110.2425L (Luck)
#K COVERAGE 3465.0-6790.2

#      wavelength        spectrum
#       angstroms                

            3465.      0.09774144
           3465.4      0.08571903
           3465.8      0.07233934
           3466.2      0.06757901
           3466.6      0.07137694
            3467.      0.07919015
           3467.4      0.08577371
           3467.8      0.09437677
           3468.2      0.09892448
           3468.6      0.09450837
            3469.      0.09154364
           3469.4      0.09387556
           3469.8       0.1009372
           3470.2       0.1120208
           3470.6       0.1172138
            3471.       0.1102887
           3471.4      0.09859554
           3471.8      0.09094211
           3472.2      0.08257666
           3472.6      0.08197357
            3473.      0.08287832
           3473.4      0.08340956
           3473.8      0.07680994
           3474.2      0.07200386
           3474.6      0.07036313
            3475.      0.06587595
           3475.4      0.06092819
           3475.8      0.05909002
           3476.2      0.05943194
           3476.6      0.05751989
            3477.      0.05921475
           3477.4      0.07463594
           3477.8      0.08382775
           3478.2      0.08673231
           3478.6      0.08951467
            3479.      0.08884942
           3479.4      0.08649817
           3479.8      0.08607567
           3480.2      0.08617598
           3480.6       0.0855077
            3481.      0.08581284
           3481.4      0.08880071
           3481.8      0.09233937
           3482.2      0.09071583
           3482.6      0.08310414
            3483.      0.07435242
           3483.4      0.07181026
           3483.8      0.07541108
           3484.2      0.08367903
           3484.6      0.08561919
            3485.      0.08051512
           3485.4      0.07952388
           3485.8      0.08807362
           3486.2       0.1016819
           3486.6       0.1161122
            3487.       0.1264162
           3487.4        0.124607
           3487.8       0.1179828
           3488.2       0.1072345
           3488.6      0.09233373
            3489.      0.08357842
           3489.4      0.07932344
           3489.8      0.07548141
           3490.2      0.06790491
           3490.6      0.06591907
            3491.      0.07684337
           3491.4      0.08907975
           3491.8      0.09428059
           3492.2      0.09174072
           3492.6      0.07921916
            3493.      0.07335208
           3493.4      0.07914991
           3493.8      0.09194957
           3494.2       0.1038887
           3494.6        0.105542
            3495.      0.09988382
           3495.4      0.09181868
           3495.8      0.07733642
           3496.2      0.06639057
           3496.6      0.06440624
            3497.      0.06442727
           3497.4      0.06801174
           3497.8      0.07405499
           3498.2      0.08548501
           3498.6       0.1051996
            3499.       0.1256468
           3499.4       0.1363305
           3499.8        0.131589
           3500.2       0.1262938
           3500.6       0.1238453
            3501.        0.129138
           3501.4       0.1339465
           3501.8         0.12647
           3502.2       0.1199595
           3502.6       0.1262259
            3503.       0.1403715
           3503.4       0.1593829
           3503.8       0.1648547
           3504.2       0.1537654
           3504.6       0.1266679
            3505.        0.107299
           3505.4       0.1031935
           3505.8        0.102469
           3506.2       0.1010433
           3506.6       0.1013779
            3507.       0.1090157
           3507.4       0.1187131
           3507.8       0.1245008
           3508.2       0.1316618
           3508.6       0.1327513
            3509.       0.1285884
           3509.4       0.1196266
           3509.8       0.1030037
           3510.2      0.09090392
           3510.6      0.09562716
            3511.       0.1081323
           3511.4        0.114652
           3511.8       0.1119891
           3512.2       0.1044184
           3512.6      0.09662756
            3513.      0.08965359
           3513.4      0.08469984
           3513.8      0.08277001
           3514.2      0.08051699
           3514.6      0.08207516
            3515.      0.08153965
           3515.4      0.09325728
           3515.8       0.1095833
           3516.2       0.1231953
           3516.6       0.1296484
            3517.       0.1374439
           3517.4       0.1488859
           3517.8       0.1569308
           3518.2       0.1556077
           3518.6       0.1477331
            3519.       0.1433896
           3519.4       0.1370031
           3519.8       0.1257307
           3520.2       0.1136414
           3520.6       0.1089675
            3521.      0.09784911
           3521.4      0.08934624
           3521.8      0.09455571
           3522.2       0.1037548
           3522.6       0.1039419
            3523.      0.09569438
           3523.4      0.08424794
           3523.8      0.07228067
           3524.2      0.06471156
           3524.6      0.06665387
            3525.      0.07753295
           3525.4      0.08387154
           3525.8      0.07663412
           3526.2      0.06690857
           3526.6      0.06913328
            3527.      0.08547136
           3527.4       0.1040564
           3527.8       0.1153035
           3528.2       0.1236649
           3528.6       0.1341467
            3529.       0.1381192
           3529.4       0.1309063
           3529.8       0.1232802
           3530.2       0.1189489
           3530.6       0.1188275
            3531.       0.1194666
           3531.4        0.114507
           3531.8       0.1034515
           3532.2      0.09673862
           3532.6      0.09436321
            3533.      0.09401894
           3533.4       0.1048952
           3533.8       0.1232474
           3534.2       0.1369026
           3534.6       0.1410539
            3535.        0.133221
           3535.4       0.1277729
           3535.8       0.1279094
           3536.2        0.128594
           3536.6        0.130728
            3537.       0.1274963
           3537.4       0.1225726
           3537.8       0.1182312
           3538.2       0.1166479
           3538.6       0.1276156
            3539.       0.1428472
           3539.4       0.1532458
           3539.8       0.1556558
           3540.2       0.1425611
           3540.6       0.1304247
            3541.       0.1203102
           3541.4       0.1188817
           3541.8       0.1154806
           3542.2       0.1115489
           3542.6       0.1125686
            3543.       0.1179184
           3543.4       0.1222711
           3543.8       0.1286367
           3544.2       0.1360031
           3544.6       0.1381949
            3545.       0.1331436
           3545.4       0.1237698
           3545.8       0.1207141
           3546.2       0.1241092
           3546.6       0.1232907
            3547.       0.1216355
           3547.4       0.1109026
           3547.8       0.1015626
           3548.2       0.1006183
           3548.6       0.1143643
            3549.       0.1262837
           3549.4        0.130979
           3549.8       0.1316255
           3550.2       0.1255753
           3550.6       0.1182683
            3551.       0.1104071
           3551.4       0.1053645
           3551.8       0.1055082
           3552.2       0.1064598
           3552.6       0.1074922
            3553.        0.104051
           3553.4      0.09740523
           3553.8       0.0924994
           3554.2      0.08949192
           3554.6      0.09129751
            3555.       0.1006214
           3555.4       0.1159424
           3555.8       0.1257205
           3556.2       0.1180797
           3556.6       0.1080774
            3557.       0.1075487
           3557.4       0.1100805
           3557.8       0.1040453
           3558.2      0.09467564
           3558.6      0.08542108
            3559.      0.08489262
           3559.4       0.0894644
           3559.8      0.09496443
           3560.2      0.09808797
           3560.6       0.0949208
            3561.      0.09148626
           3561.4      0.09021762
           3561.8      0.08850065
           3562.2       0.1004777
           3562.6       0.1201527
            3563.       0.1288095
           3563.4       0.1336246
