#K OBJECT   '87646'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 87646
#K OBJRA    10:06:40.77
#K OBJDEC   +17:53:42.4
#K OBJBMAG  8.670000E+00
#K OBJVMAG  8.070000E+00
#K SPTYPE   G1IV
#K OBJRV    21
#K HDNAME   HD 87646
#K BDNAME   BD+18 2317
#K HIPNAME  HIP 49522
#K SAONAME  SAO 98950
#K VHELIO   3.71415096994633E+00
#K VLSR     -1.27665948967485E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434323E+03
#K CMAX1    4.762567E+03
#K PICKTYPE G0IV
#K NCOMBINE 4
#K TEFF     5961  1998A&AS..129..237F (Feltzing)
#K LOGG     4.410000E+00  1998A&AS..129..237F (Feltzing)
#K FEH      3.000000E-01  1998A&AS..129..237F (Feltzing)
#K COVERAGE 3465.0-8123.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.5594419
           3465.4       0.5109441
           3465.8         0.45934
           3466.2       0.4476369
           3466.6       0.4847119
            3467.       0.5204224
           3467.4       0.5415742
           3467.8       0.5684641
           3468.2       0.5800108
           3468.6       0.5556234
            3469.       0.5275195
           3469.4       0.5309171
           3469.8       0.5573786
           3470.2       0.6056111
           3470.6       0.6231572
            3471.       0.6027403
           3471.4       0.5630222
           3471.8       0.5131099
           3472.2       0.4862477
           3472.6       0.4822915
            3473.       0.4864523
           3473.4       0.4892668
           3473.8       0.4690093
           3474.2       0.4427367
           3474.6       0.4332929
            3475.       0.4142793
           3475.4       0.3806889
           3475.8       0.3690699
           3476.2       0.3713741
           3476.6       0.3763832
            3477.       0.3841787
           3477.4       0.4115162
           3477.8       0.4695687
           3478.2       0.5037395
           3478.6       0.5135185
            3479.       0.5400961
           3479.4       0.5418779
           3479.8       0.5283375
           3480.2       0.5128297
           3480.6       0.5094253
            3481.       0.5037509
           3481.4       0.5037923
           3481.8       0.5038837
           3482.2        0.495751
           3482.6       0.4695469
            3483.       0.4391221
           3483.4       0.4196787
           3483.8       0.4196063
           3484.2       0.4362438
           3484.6       0.4455514
            3485.       0.4432133
           3485.4       0.4422776
           3485.8       0.4600256
           3486.2       0.5034342
           3486.6       0.5527943
