#K OBJECT   '87901'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 87901
#K OBJRA    10:08:22.31
#K OBJDEC   +11:58:01.9
#K OBJBMAG  1.240000E+00
#K OBJVMAG  1.350000E+00
#K SPTYPE   B7V
#K OBJRV    5.900000E+00
#K HDNAME   HD 87901
#K BDNAME   BD+12 2149
#K HIPNAME  HIP 49669
#K SAONAME  SAO 98967
#K VHELIO   1.94969998521590E+00
#K VLSR     -4.15912775162111E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679897E+03
#K CMAX1    6.010088E+03
#K PICKTYPE B8V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.        1.395594
           3465.4        1.391278
           3465.8        1.394147
           3466.2        1.392616
           3466.6        1.386582
            3467.        1.397365
           3467.4        1.406047
           3467.8        1.388792
           3468.2        1.391361
           3468.6        1.398385
            3469.        1.402395
           3469.4        1.390251
           3469.8        1.393008
           3470.2        1.390047
           3470.6        1.384521
            3471.        1.380858
           3471.4        1.380137
           3471.8        1.382192
           3472.2        1.379104
           3472.6        1.376852
            3473.        1.383161
           3473.4        1.386012
           3473.8        1.376805
           3474.2        1.379434
           3474.6        1.387144
            3475.        1.381119
           3475.4         1.38025
           3475.8        1.384776
           3476.2          1.3735
           3476.6        1.377064
            3477.        1.384849
           3477.4        1.374652
           3477.8        1.374453
           3478.2        1.381889
           3478.6        1.392448
            3479.        1.386035
           3479.4        1.381613
           3479.8        1.378981
           3480.2        1.374356
           3480.6        1.374377
            3481.         1.37887
           3481.4        1.380195
           3481.8        1.373093
           3482.2        1.375271
           3482.6        1.373184
            3483.        1.365505
           3483.4        1.375147
           3483.8        1.365525
           3484.2        1.369595
           3484.6        1.367673
            3485.        1.365383
           3485.4        1.365465
           3485.8        1.365063
           3486.2        1.365098
           3486.6        1.369207
            3487.        1.372064
           3487.4        1.372916
           3487.8        1.372648
           3488.2         1.37143
           3488.6        1.371411
            3489.        1.370249
           3489.4        1.372022
           3489.8        1.369291
           3490.2         1.36821
           3490.6        1.369704
            3491.         1.36143
           3491.4        1.362628
           3491.8        1.363233
           3492.2        1.360938
           3492.6        1.368274
            3493.        1.365398
