#K OBJECT   'BD+27_2126'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  BD+27 2126
#K OBJRA    12:25:25.12
#K OBJDEC   +27:00:02.8
#K OBJBMAG  1.201000E+01
#K OBJVMAG  1.131000E+01
#K SPTYPE   G5
#K OBJRV    -1.550000E+01
#K BDNAME   BD+27 2126
#K VHELIO   1.44691228792144E+01
#K VLSR     2.04869409850494E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435422E+03
#K CMAX1    4.763869E+03
#K PICKTYPE G5V
#K NCOMBINE 4
#K TEFF     -2147483647  Mis-ID_with_Up27-100??
#K LOGG     -2147483647  Mis-ID_with_Up27-100??
#K FEH      -2147483647  Mis-ID_with_Up27-100??
#K COVERAGE 3465.0-8646.2
#K OBSTITLE Up27-98

#      wavelength        spectrum
#       angstroms                

            3465.       0.3711224
           3465.4       0.3226676
           3465.8       0.3374466
           3466.2       0.3753203
           3466.6       0.4459192
            3467.       0.4937413
           3467.4        0.526376
           3467.8       0.5242426
           3468.2       0.5267009
           3468.6       0.4902617
            3469.       0.5056413
           3469.4       0.5688949
           3469.8       0.6335675
           3470.2       0.6615347
           3470.6       0.5876123
            3471.       0.5180607
           3471.4       0.4834674
           3471.8       0.4062528
           3472.2       0.3816649
           3472.6        0.401178
            3473.       0.4041314
           3473.4       0.3911556
           3473.8       0.3311865
           3474.2       0.2992184
           3474.6        0.262421
            3475.       0.2315219
           3475.4       0.2546189
           3475.8       0.2652743
           3476.2       0.2724273
           3476.6       0.3179807
            3477.       0.4197757
           3477.4        0.449277
           3477.8       0.4749573
           3478.2       0.4903825
           3478.6       0.5004607
            3479.       0.4946527
           3479.4         0.47789
           3479.8       0.4668567
           3480.2       0.4827794
           3480.6       0.4854779
            3481.       0.4865051
           3481.4       0.5192066
           3481.8       0.4829696
           3482.2       0.4554735
           3482.6       0.3745672
            3483.       0.4049083
           3483.4       0.4151244
           3483.8       0.4497247
           3484.2       0.4233054
           3484.6       0.4130891
            3485.       0.4232351
           3485.4       0.4472872
           3485.8       0.5345961
           3486.2       0.6114455
           3486.6       0.6460928
            3487.       0.6656572
           3487.4       0.6094019
           3487.8        0.536745
           3488.2       0.4665497
           3488.6       0.3890976
            3489.        0.343408
           3489.4       0.3138434
           3489.8       0.2967256
           3490.2       0.2982676
           3490.6       0.3497282
            3491.       0.4098985
           3491.4       0.4132445
           3491.8       0.3773727
           3492.2        0.326311
           3492.6        0.340861
            3493.       0.4051481
           3493.4       0.4738428
           3493.8       0.5244055
           3494.2       0.5726248
           3494.6       0.5120751
            3495.       0.4585653
           3495.4         0.39438
           3495.8       0.3300411
           3496.2       0.3130619
           3496.6       0.3220541
            3497.       0.3534719
           3497.4       0.3692202
           3497.8       0.4617526
           3498.2       0.5888464
           3498.6       0.6698809
            3499.       0.6919341
           3499.4       0.7009161
           3499.8       0.6660839
           3500.2         0.62793
           3500.6       0.6400658
            3501.       0.6302726
           3501.4       0.5949052
           3501.8       0.5901306
           3502.2       0.6338395
           3502.6       0.7428954
            3503.       0.7998332
           3503.4       0.7927643
           3503.8        0.761634
           3504.2       0.6400379
           3504.6       0.5602981
            3505.       0.5518469
           3505.4       0.5378174
           3505.8       0.5020904
           3506.2        0.529431
           3506.6       0.5962281
            3507.       0.6338246
           3507.4       0.6719154
           3507.8        0.688439
           3508.2       0.6390963
           3508.6       0.5680909
            3509.       0.5242115
           3509.4       0.4373291
           3509.8       0.4058293
           3510.2       0.4423412
           3510.6       0.5343078
            3511.       0.5546374
           3511.4       0.5118512
           3511.8       0.4691882
           3512.2       0.4319113
           3512.6       0.3910058
            3513.       0.3283034
           3513.4       0.3139529
           3513.8       0.3237392
           3514.2       0.3230723
           3514.6       0.3569243
            3515.        0.413545
           3515.4       0.4882361
           3515.8       0.5520748
           3516.2       0.6396978
           3516.6       0.7081835
            3517.       0.7326666
           3517.4       0.7594931
           3517.8       0.7481027
           3518.2       0.6779965
           3518.6       0.6335871
            3519.        0.587374
           3519.4       0.5265757
           3519.8       0.4861685
           3520.2        0.455314
           3520.6       0.3937772
            3521.       0.3732137
           3521.4       0.4096844
           3521.8       0.4512857
           3522.2       0.4361467
           3522.6       0.3601193
            3523.       0.2816628
           3523.4       0.2271865
           3523.8       0.1952376
           3524.2        0.214678
           3524.6       0.2754606
            3525.       0.2712903
           3525.4       0.2516156
           3525.8       0.2820145
           3526.2       0.3276768
           3526.6       0.4009919
            3527.       0.4477362
           3527.4       0.4764974
           3527.8       0.5400247
           3528.2       0.5888212
           3528.6       0.5825776
            3529.       0.5507506
           3529.4       0.5316667
           3529.8       0.5501685
           3530.2        0.555429
           3530.6       0.5484795
            3531.       0.5179528
           3531.4       0.4747481
           3531.8       0.4281935
           3532.2       0.4233137
           3532.6       0.4296743
            3533.       0.4708712
           3533.4        0.563949
           3533.8        0.619524
           3534.2       0.6206466
           3534.6       0.5827251
            3535.       0.5939637
           3535.4       0.5834103
           3535.8       0.5810118
           3536.2       0.5536355
           3536.6       0.5420967
            3537.       0.5234131
           3537.4       0.4869545
           3537.8        0.517496
           3538.2        0.599208
           3538.6       0.6640047
            3539.       0.7039616
           3539.4       0.6850656
           3539.8       0.6124798
           3540.2       0.5307958
           3540.6       0.5177462
            3541.        0.509409
           3541.4       0.4939726
           3541.8       0.4919625
           3542.2       0.5154535
           3542.6       0.5382936
            3543.       0.5493868
           3543.4       0.5811508
           3543.8       0.6084667
           3544.2       0.6000906
           3544.6       0.5762284
            3545.       0.5387673
           3545.4       0.5530279
           3545.8        0.540526
           3546.2       0.5324859
           3546.6        0.489937
            3547.       0.4237098
           3547.4       0.4160159
           3547.8       0.4437226
           3548.2       0.4827499
           3548.6       0.5482243
            3549.       0.5998623
           3549.4        0.576286
           3549.8       0.5030775
           3550.2       0.4697542
           3550.6       0.4689816
            3551.       0.4215331
           3551.4       0.4345012
           3551.8       0.4656019
           3552.2       0.4445524
           3552.6       0.3968764
            3553.        0.374907
           3553.4       0.3694877
           3553.8       0.3720762
           3554.2       0.3901262
           3554.6        0.429492
            3555.       0.4811872
           3555.4       0.4938447
           3555.8       0.4573617
           3556.2       0.4192776
           3556.6       0.4318216
            3557.       0.4744125
           3557.4        0.403403
           3557.8       0.3362243
           3558.2       0.3132558
           3558.6       0.3130305
            3559.       0.3377474
           3559.4       0.3759912
           3559.8       0.4073251
           3560.2       0.3930337
           3560.6       0.3550709
            3561.       0.3702634
           3561.4       0.3794668
           3561.8        0.450196
           3562.2       0.4732075
           3562.6       0.4947549
            3563.       0.4944795
           3563.4       0.4485211
           3563.8       0.3682013
           3564.2       0.2751762
           3564.6       0.2078436
            3565.       0.1821598
           3565.4       0.1775454
           3565.8       0.2024184
           3566.2       0.2591642
           3566.6       0.2922176
            3567.       0.3468693
           3567.4       0.3745419
           3567.8       0.3299532
           3568.2       0.2998373
           3568.6       0.2436256
            3569.       0.1798446
           3569.4       0.1647735
           3569.8       0.1790577
           3570.2       0.2139957
           3570.6       0.2712068
            3571.       0.2802337
           3571.4        0.250579
           3571.8       0.3168423
