#K OBJECT   'BD+37_448'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  SAO 55164
#K OBJRA    01:58:52.90
#K OBJDEC   +37:48:57.2
#K OBJBMAG  1.007000E+01
#K OBJVMAG  9.040000E+00
#K SPTYPE   G9III
#K BDNAME   BD+37 448
#K HIPNAME  HIP 9245
#K SAONAME  SAO 55164
#K VHELIO   8.48469842645732E+00
#K VLSR     8.03402061322033E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.452864E+03
#K CMAX1    4.777500E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     4726  Jones..Coude.Feed.Library
#K LOGG     2.270000E+00  Jones..Coude.Feed.Library
#K FEH      -1.500000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     6791.4-6811.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2508896
           3465.4       0.2269024
           3465.8       0.1758855
           3466.2       0.1653304
           3466.6       0.1809281
            3467.        0.202595
           3467.4       0.2142017
           3467.8        0.227477
           3468.2       0.2302601
           3468.6       0.2381868
            3469.       0.2500966
           3469.4       0.2395155
           3469.8       0.2604153
           3470.2       0.2870868
           3470.6       0.2826051
            3471.       0.2972573
           3471.4       0.2721325
           3471.8       0.2275959
           3472.2       0.2011461
           3472.6       0.1927924
            3473.       0.1967354
           3473.4       0.1961394
           3473.8       0.1833248
           3474.2       0.1723159
           3474.6         0.16396
            3475.       0.1448864
           3475.4       0.1273692
           3475.8       0.1327731
           3476.2       0.1348588
           3476.6       0.1345089
            3477.       0.1377776
           3477.4       0.1572716
           3477.8       0.1960169
           3478.2       0.2167481
           3478.6        0.218511
            3479.        0.225739
           3479.4       0.2282822
           3479.8       0.2084024
           3480.2         0.18166
           3480.6       0.1861337
            3481.       0.2196439
           3481.4       0.2154522
           3481.8       0.2103444
           3482.2       0.2012164
           3482.6       0.2047018
            3483.        0.188709
           3483.4       0.1583053
           3483.8       0.1601865
           3484.2       0.1788868
           3484.6       0.1905522
            3485.       0.1869166
           3485.4         0.17477
           3485.8       0.1913477
           3486.2       0.2093381
           3486.6         0.24187
            3487.       0.2860045
           3487.4       0.2944849
           3487.8       0.2700044
           3488.2       0.2563649
           3488.6       0.2225081
            3489.       0.1859711
           3489.4       0.1657476
           3489.8       0.1515474
           3490.2       0.1406205
           3490.6        0.128222
            3491.        0.131276
           3491.4       0.1635106
           3491.8       0.1858179
           3492.2       0.1890748
           3492.6        0.170028
            3493.       0.1473139
           3493.4       0.1615064
           3493.8       0.1952112
           3494.2       0.2223429
           3494.6       0.2239222
            3495.       0.2273141
           3495.4       0.2247757
           3495.8       0.1854692
           3496.2       0.1627107
           3496.6         0.16521
            3497.       0.1482089
           3497.4       0.1481245
           3497.8       0.1468789
           3498.2       0.1640606
           3498.6       0.2010585
            3499.       0.2564311
           3499.4       0.2888495
           3499.8       0.3006535
           3500.2       0.2971761
           3500.6       0.2752031
            3501.       0.2658181
           3501.4       0.2762689
           3501.8       0.2788762
           3502.2        0.272564
           3502.6        0.265734
            3503.       0.2896877
           3503.4       0.3409714
           3503.8       0.3718886
           3504.2       0.3460625
           3504.6       0.3112371
            3505.       0.2620454
           3505.4       0.2238628
           3505.8       0.2226643
           3506.2       0.2231237
           3506.6       0.2159722
            3507.       0.2260939
           3507.4       0.2608416
           3507.8       0.2885637
           3508.2       0.2920907
           3508.6       0.2883794
            3509.       0.2771802
           3509.4       0.2621718
           3509.8      0.08071759
           3510.2      0.07408469
           3510.6       0.1674208
            3511.       0.1933163
           3511.4       0.2408052
           3511.8       0.2546911
           3512.2       0.2324777
           3512.6       0.2097888
            3513.       0.1962809
           3513.4       0.1885835
           3513.8       0.1553272
           3514.2       0.1473076
           3514.6       0.1441749
            3515.       0.1568543
           3515.4       0.1742353
           3515.8        0.204058
           3516.2        0.249353
           3516.6       0.2690922
            3517.       0.2726635
           3517.4       0.3053414
           3517.8       0.3405218
           3518.2       0.3432148
           3518.6       0.3202315
            3519.       0.3313035
           3519.4       0.3126724
           3519.8       0.2716619
           3520.2       0.2483912
           3520.6       0.2196889
            3521.       0.2017605
           3521.4       0.1855679
           3521.8       0.1801299
           3522.2       0.2023652
           3522.6       0.2106352
            3523.        0.194055
           3523.4       0.1656613
           3523.8       0.1389335
           3524.2       0.1178736
           3524.6        0.115251
            3525.       0.1310593
           3525.4       0.1512206
           3525.8       0.1455017
           3526.2        0.112307
           3526.6       0.1211414
            3527.       0.1619572
           3527.4       0.1831346
           3527.8       0.2093256
           3528.2       0.2464683
           3528.6       0.2644886
            3529.       0.2734121
           3529.4       0.2877232
           3529.8       0.2579454
           3530.2       0.2471966
           3530.6       0.2415552
            3531.       0.2430767
           3531.4       0.2431095
           3531.8       0.2207859
           3532.2        0.202163
           3532.6       0.1968699
            3533.       0.1922235
           3533.4       0.2049554
           3533.8       0.2430796
           3534.2        0.280895
           3534.6       0.2665489
            3535.        0.283027
           3535.4       0.2707508
           3535.8       0.2536214
           3536.2       0.2593384
           3536.6        0.264948
            3537.       0.2658947
           3537.4       0.2568693
           3537.8       0.2359019
           3538.2       0.2355796
           3538.6       0.2561804
            3539.       0.2767065
           3539.4       0.3206041
           3539.8       0.3339534
           3540.2       0.3018609
           3540.6       0.2759583
            3541.       0.2683839
           3541.4       0.2502039
           3541.8       0.2341705
           3542.2       0.2256558
           3542.6       0.2218994
            3543.       0.2408103
