#K OBJECT   'G_15-20'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 136834
#K OBJRA    15:22:42.55
#K OBJDEC   +01:25:07.1
#K OBJBMAG  9.300000E+00
#K OBJVMAG  8.300000E+00
#K SPTYPE   K3V
#K OBJRV    -3.040000E+01
#K HDNAME   HD 136834
#K BDNAME   BD+01 3071
#K HIPNAME  HIP 75266
#K SAONAME  SAO 120966
#K VHELIO   2.85020203398961E+01
#K VLSR     4.19569098424314E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435780E+03
#K CMAX1    4.764355E+03
#K PICKTYPE K3V
#K NCOMBINE 4
#K TEFF     4765  1998A&AS..129..237F (Feltzing)
#K LOGG     4.470000E+00  1998A&AS..129..237F (Feltzing)
#K FEH      1.900000E-01  1998A&AS..129..237F (Feltzing)
#K COVERAGE 3465.0-8121.0
#K OBSTITLE 136834

#      wavelength        spectrum
#       angstroms                

            3465.       0.1752184
           3465.4       0.1384232
           3465.8       0.1218293
           3466.2       0.1184557
           3466.6       0.1399461
            3467.       0.1691506
           3467.4       0.1988138
           3467.8         0.23319
           3468.2       0.2419042
           3468.6       0.2422673
            3469.       0.2369798
           3469.4       0.2458827
           3469.8       0.2684992
           3470.2       0.2881697
           3470.6       0.2888681
            3471.       0.2704406
           3471.4       0.2410387
           3471.8       0.2035342
           3472.2       0.1793753
           3472.6       0.1696791
            3473.       0.1635542
           3473.4       0.1633376
           3473.8       0.1495877
           3474.2       0.1370742
           3474.6       0.1174612
            3475.      0.09434576
           3475.4      0.08597594
           3475.8      0.08331382
           3476.2      0.08290634
           3476.6      0.09652292
            3477.       0.1211735
           3477.4       0.1608003
           3477.8       0.2044201
           3478.2       0.2269669
           3478.6       0.2361538
            3479.       0.2521668
           3479.4       0.2695006
           3479.8       0.2634733
           3480.2       0.2515749
           3480.6       0.2530735
            3481.       0.2513346
           3481.4        0.248117
           3481.8        0.255985
           3482.2       0.2530604
           3482.6       0.2289006
            3483.       0.1999801
           3483.4       0.1879943
           3483.8       0.1944479
           3484.2       0.1983198
           3484.6        0.203693
            3485.       0.1984089
           3485.4       0.2000654
           3485.8       0.2152459
           3486.2       0.2458763
           3486.6       0.2825673
            3487.       0.3030518
           3487.4       0.3030556
           3487.8        0.283079
           3488.2       0.2572616
           3488.6       0.2211923
            3489.       0.1797784
           3489.4       0.1415527
           3489.8       0.1197002
           3490.2       0.1026777
           3490.6      0.09200633
            3491.       0.1055579
           3491.4       0.1319607
           3491.8       0.1459399
           3492.2       0.1392381
           3492.6         0.12457
            3493.       0.1261291
           3493.4       0.1488985
           3493.8       0.1933888
           3494.2       0.2345446
           3494.6       0.2487464
            3495.        0.240799
           3495.4       0.2179779
           3495.8       0.2027952
           3496.2       0.1817759
           3496.6       0.1619664
            3497.       0.1417619
           3497.4       0.1271937
           3497.8       0.1448857
           3498.2       0.1708241
           3498.6       0.2180458
            3499.       0.2782205
           3499.4       0.3165381
           3499.8       0.3270949
           3500.2       0.3059051
           3500.6       0.2731136
            3501.       0.2702812
           3501.4       0.2774129
           3501.8       0.2750628
           3502.2        0.271376
           3502.6       0.2940377
            3503.       0.3446335
           3503.4       0.3810304
           3503.8       0.4027173
           3504.2       0.3772771
           3504.6       0.3349004
            3505.       0.2942502
           3505.4        0.290584
           3505.8       0.2802059
           3506.2       0.2632162
           3506.6       0.2585629
            3507.       0.2761988
           3507.4       0.3069906
           3507.8       0.3265915
           3508.2       0.3311861
           3508.6       0.3212647
            3509.       0.2848243
           3509.4       0.2378515
           3509.8       0.1970684
           3510.2       0.1778985
           3510.6       0.1882605
            3511.       0.2230793
           3511.4       0.2428949
           3511.8       0.2437872
           3512.2       0.2252831
           3512.6       0.1955711
            3513.        0.167097
           3513.4        0.143185
           3513.8       0.1275634
           3514.2       0.1137704
           3514.6       0.1209383
            3515.       0.1297097
           3515.4       0.1594717
           3515.8       0.1942455
           3516.2        0.232353
           3516.6       0.2707444
            3517.       0.3086941
           3517.4       0.3459213
           3517.8       0.3524147
           3518.2       0.3271672
           3518.6       0.3071371
            3519.       0.2924556
           3519.4       0.2715507
           3519.8       0.2478009
           3520.2       0.2236957
           3520.6       0.2053706
            3521.       0.1763175
           3521.4       0.1578785
           3521.8       0.1624907
           3522.2       0.1802667
           3522.6       0.1874105
            3523.       0.1677887
           3523.4       0.1401302
           3523.8       0.1172213
           3524.2      0.09436883
           3524.6      0.09012899
            3525.       0.0974071
           3525.4       0.1006471
           3525.8      0.09944787
           3526.2       0.1012741
           3526.6       0.1146712
            3527.       0.1510983
           3527.4       0.1873014
           3527.8        0.214371
           3528.2        0.245487
           3528.6       0.2719996
            3529.        0.276761
           3529.4       0.2614427
           3529.8        0.242204
           3530.2       0.2462395
           3530.6       0.2692713
            3531.       0.2731533
           3531.4       0.2544825
           3531.8       0.2265495
           3532.2        0.198035
           3532.6       0.1837954
            3533.       0.1886104
           3533.4       0.2180196
           3533.8        0.275676
           3534.2       0.3270918
           3534.6       0.3328732
            3535.         0.31439
           3535.4       0.3008163
           3535.8       0.2816546
           3536.2       0.2758766
           3536.6       0.2645139
            3537.       0.2539902
           3537.4       0.2532716
           3537.8       0.2546054
           3538.2        0.266773
           3538.6       0.2971395
            3539.       0.3380307
           3539.4       0.3567934
           3539.8       0.3272565
           3540.2       0.2806945
           3540.6       0.2439684
            3541.       0.2113396
           3541.4       0.2086929
           3541.8       0.2073246
           3542.2       0.2212236
           3542.6       0.2444965
            3543.        0.269867
           3543.4       0.2778865
           3543.8       0.2960916
           3544.2       0.3232418
           3544.6       0.3325791
            3545.        0.324558
           3545.4       0.2972738
           3545.8       0.2886384
           3546.2       0.3054195
           3546.6        0.290596
            3547.       0.2702327
           3547.4       0.2432914
           3547.8       0.2082615
           3548.2       0.2085738
           3548.6       0.2400173
            3549.        0.283888
           3549.4       0.3017612
           3549.8       0.2815944
           3550.2       0.2580285
           3550.6       0.2373639
            3551.       0.2229717
           3551.4       0.2271426
           3551.8       0.2466363
           3552.2       0.2518971
           3552.6        0.240169
            3553.       0.2109952
           3553.4       0.1899844
           3553.8       0.1678294
           3554.2       0.1508525
           3554.6       0.1515105
            3555.       0.1717572
           3555.4       0.2070195
           3555.8       0.2345204
           3556.2       0.2369999
           3556.6       0.2188101
            3557.       0.2147793
           3557.4       0.2102308
           3557.8       0.1992635
           3558.2       0.1658696
           3558.6       0.1434033
            3559.        0.154825
           3559.4       0.1798405
           3559.8       0.1962048
           3560.2       0.2123249
           3560.6       0.2251689
            3561.       0.2244997
           3561.4       0.2262996
           3561.8       0.2229746
           3562.2       0.2316451
           3562.6       0.2494881
            3563.       0.2596641
           3563.4       0.2519246
           3563.8       0.2318336
           3564.2       0.1950565
           3564.6       0.1418414
            3565.        0.101795
           3565.4      0.08900541
           3565.8      0.08566796
           3566.2       0.0913744
           3566.6       0.1133864
            3567.       0.1345307
           3567.4       0.1535705
           3567.8       0.1632618
           3568.2       0.1632355
           3568.6       0.1424574
            3569.       0.1170596
           3569.4       0.0914506
           3569.8      0.07370158
           3570.2      0.07183019
           3570.6      0.08381881
            3571.       0.1019546
           3571.4       0.1134532
           3571.8       0.1191866
           3572.2       0.1358401
           3572.6       0.1627558
            3573.       0.1958032
           3573.4       0.2030219
           3573.8       0.1904317
           3574.2       0.1790939
           3574.6       0.1838843
            3575.       0.1789936
           3575.4       0.1704303
           3575.8       0.1784694
           3576.2       0.1935451
           3576.6       0.1968413
            3577.       0.1892578
           3577.4       0.1768791
           3577.8       0.1340046
           3578.2       0.1059641
           3578.6      0.08846122
            3579.      0.08991952
           3579.4      0.09947132
           3579.8      0.09855022
           3580.2      0.08977171
           3580.6      0.07520041
            3581.      0.06210375
           3581.4      0.05978204
           3581.8      0.06619827
           3582.2      0.07927168
           3582.6      0.09443802
            3583.       0.1066406
           3583.4       0.1164403
           3583.8       0.1082458
           3584.2       0.1087323
           3584.6       0.1020601
            3585.      0.08492975
           3585.4       0.0741592
           3585.8      0.07613172
           3586.2      0.08079238
           3586.6      0.08622925
            3587.      0.09189393
           3587.4      0.09798855
           3587.8       0.1146618
           3588.2       0.1240995
           3588.6       0.1244642
            3589.       0.1213694
           3589.4       0.1238465
           3589.8       0.1299489
           3590.2       0.1616713
           3590.6       0.2135737
            3591.       0.2522687
           3591.4        0.265155
           3591.8        0.261752
           3592.2       0.2413487
           3592.6       0.2000361
            3593.       0.1507382
           3593.4       0.1184612
           3593.8       0.1290789
           3594.2       0.1419672
           3594.6       0.1665582
            3595.        0.210591
           3595.4       0.2520358
           3595.8        0.292629
           3596.2       0.3235792
           3596.6       0.3313729
            3597.       0.3153591
           3597.4       0.2800628
           3597.8       0.2568108
           3598.2       0.2659609
           3598.6       0.2756535
            3599.       0.2964884
           3599.4       0.3138524
           3599.8       0.3502957
           3600.2       0.3798229
           3600.6       0.3911158
            3601.       0.3876148
           3601.4       0.3458888
           3601.8       0.2760932
           3602.2       0.2227121
           3602.6       0.2038623
            3603.       0.2020339
           3603.4       0.2009098
           3603.8       0.1989987
           3604.2       0.1818515
           3604.6       0.1567596
            3605.       0.1289793
           3605.4        0.122144
           3605.8       0.1279038
           3606.2        0.146654
           3606.6       0.1663896
            3607.       0.1841995
           3607.4       0.1885176
           3607.8       0.1629582
           3608.2       0.1266031
           3608.6       0.1023962
            3609.      0.09128616
           3609.4      0.09819574
           3609.8       0.1117548
           3610.2       0.1233249
           3610.6       0.1472315
            3611.       0.1858524
           3611.4       0.2228803
           3611.8         0.23711
           3612.2       0.2334694
           3612.6       0.2166508
            3613.       0.1989357
           3613.4       0.1945482
           3613.8       0.2000679
           3614.2       0.2238819
           3614.6         0.25453
            3615.       0.2772057
           3615.4       0.2886718
           3615.8       0.2846817
           3616.2       0.2657681
           3616.6       0.2458142
            3617.       0.2189233
           3617.4       0.1788646
           3617.8       0.1345144
           3618.2       0.1001355
           3618.6      0.08369797
            3619.      0.07933696
           3619.4      0.08535437
           3619.8       0.1131557
           3620.2        0.148948
           3620.6       0.1732216
            3621.       0.1806952
           3621.4       0.1912073
           3621.8       0.2115814
           3622.2       0.2498392
           3622.6       0.2878706
            3623.        0.283411
           3623.4       0.2464998
           3623.8       0.2240984
           3624.2        0.224104
           3624.6       0.2329687
            3625.       0.2549659
           3625.4       0.3043231
           3625.8       0.3595777
           3626.2       0.3866521
           3626.6       0.3954598
            3627.       0.3932139
           3627.4       0.3721475
           3627.8       0.3460352
           3628.2       0.3375895
           3628.6       0.3276628
            3629.       0.3152397
           3629.4       0.3013572
           3629.8       0.2515675
           3630.2       0.2038811
           3630.6       0.1538951
            3631.       0.1023228
           3631.4      0.08345022
           3631.8      0.09165534
           3632.2       0.1177461
           3632.6       0.1445997
            3633.       0.1793337
           3633.4       0.2039813
           3633.8       0.2088029
           3634.2       0.1946342
           3634.6        0.171391
            3635.        0.177784
           3635.4       0.2068513
           3635.8       0.2457201
           3636.2       0.2592549
           3636.6       0.2581746
            3637.       0.2706528
           3637.4       0.2789938
           3637.8       0.2813685
           3638.2       0.2943744
           3638.6       0.3259594
            3639.       0.3488984
           3639.4       0.3406554
           3639.8       0.3262271
           3640.2       0.3343212
           3640.6       0.3533374
            3641.       0.3538464
           3641.4       0.3388131
           3641.8       0.3210053
           3642.2       0.3001006
           3642.6       0.2709792
            3643.       0.2571912
           3643.4       0.2627592
           3643.8       0.2588562
           3644.2       0.2338021
           3644.6       0.2039013
            3645.       0.1863305
           3645.4       0.1897704
           3645.8       0.2063808
           3646.2       0.2133282
           3646.6       0.2030005
            3647.       0.1643769
