#K OBJECT   'G_249-49'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 45205
#K OBJRA    06:30:15.67
#K OBJDEC   +60:47:02.8
#K OBJBMAG  8.600000E+00
#K OBJVMAG  8.000000E+00
#K SPTYPE   G0
#K OBJRV    6.064000E+01
#K HDNAME   HD 45205
#K BDNAME   BD+60 970
#K HIPNAME  HIP 30990
#K SAONAME  SAO 13854
#K VHELIO   -2.00031082641334E+01
#K VLSR     -1.96695366862819E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.789087E+03
#K CMAX1    8.124316E+03
#K PICKTYPE G0V
#K NCOMBINE 5
#K TEFF     5825  2000AJ....120.1841F (Fulbright)
#K LOGG     4.000000E+00  2000AJ....120.1841F (Fulbright)
#K FEH      -8.900000E-01  2000AJ....120.1841F (Fulbright)
#K COVERAGE 3465.0-9442.2
#K OBSTITLE G249-49

#      wavelength        spectrum
#       angstroms                

            3465.       0.5523344
           3465.4       0.5211542
           3465.8       0.5103546
           3466.2       0.5196075
           3466.6        0.534949
            3467.       0.5562046
           3467.4       0.5775816
           3467.8       0.5862181
           3468.2        0.568585
           3468.6       0.5636605
            3469.       0.5519294
           3469.4       0.5577758
           3469.8       0.5752111
           3470.2       0.5898978
           3470.6       0.5888788
            3471.       0.5776685
           3471.4       0.5658143
           3471.8       0.5513052
           3472.2       0.5393142
           3472.6       0.5401456
            3473.       0.5448382
           3473.4       0.5286244
           3473.8       0.5040662
           3474.2       0.4901979
           3474.6       0.4769976
            3475.       0.4672984
           3475.4       0.4503162
           3475.8       0.4371998
           3476.2       0.4373194
           3476.6       0.4428027
            3477.       0.4586008
           3477.4       0.4845294
           3477.8       0.5134073
           3478.2       0.5508876
           3478.6       0.5695567
            3479.       0.5689325
           3479.4       0.5701723
           3479.8       0.5702593
           3480.2        0.565997
           3480.6       0.5656857
            3481.       0.5653716
           3481.4       0.5739443
           3481.8       0.5787376
           3482.2       0.5645164
           3482.6       0.5408872
            3483.       0.5177637
           3483.4       0.5079551
           3483.8       0.5118085
           3484.2        0.524514
           3484.6       0.5421718
            3485.       0.5433072
           3485.4       0.5465547
           3485.8       0.5576914
           3486.2       0.5772609
           3486.6       0.5942943
            3487.       0.6068573
           3487.4       0.6095269
           3487.8       0.5914725
           3488.2       0.5654044
           3488.6       0.5448914
            3489.       0.5238695
           3489.4        0.505221
           3489.8       0.4935841
           3490.2       0.4735596
           3490.6       0.4680159
            3491.       0.4816298
           3491.4        0.504616
           3491.8       0.5394382
           3492.2       0.5398679
           3492.6       0.5149317
            3493.       0.5023411
           3493.4       0.5048967
           3493.8        0.528989
           3494.2       0.5412281
           3494.6       0.5406663
            3495.       0.5166805
           3495.4       0.4731646
           3495.8       0.4579828
           3496.2       0.4539126
           3496.6        0.455973
            3497.       0.4626584
           3497.4       0.4679107
           3497.8       0.4896825
           3498.2       0.5302138
           3498.6       0.5683599
            3499.        0.596674
           3499.4       0.6048762
           3499.8       0.5903267
           3500.2         0.57133
           3500.6       0.5534472
            3501.       0.5604823
           3501.4       0.5676524
           3501.8       0.5616834
           3502.2       0.5608183
           3502.6       0.5724725
            3503.       0.5877891
           3503.4       0.6008086
           3503.8       0.6030965
           3504.2       0.5859788
           3504.6       0.5612444
            3505.        0.544071
           3505.4       0.5320821
           3505.8       0.5307139
           3506.2       0.5304897
           3506.6       0.5425566
            3507.       0.5536945
           3507.4       0.5649129
           3507.8       0.5686826
           3508.2       0.5777978
           3508.6       0.5866923
            3509.       0.5811939
           3509.4       0.5625032
           3509.8       0.5297862
           3510.2       0.5113015
           3510.6       0.5132464
            3511.       0.5318223
           3511.4       0.5563918
           3511.8       0.5619928
           3512.2       0.5463888
           3512.6       0.5328621
            3513.         0.52104
           3513.4       0.5022308
           3513.8       0.4938553
           3514.2       0.5003139
           3514.6       0.5099881
            3515.       0.5238817
           3515.4       0.5455478
           3515.8       0.5766221
           3516.2       0.5843924
           3516.6       0.5948089
            3517.       0.6050603
           3517.4       0.6132873
           3517.8       0.6114221
           3518.2       0.6006078
           3518.6        0.595548
            3519.        0.585302
           3519.4       0.5657145
           3519.8       0.5533401
           3520.2       0.5429027
           3520.6       0.5330708
            3521.       0.5341151
           3521.4       0.5261703
           3521.8       0.5363913
           3522.2       0.5505265
           3522.6       0.5628669
            3523.       0.5508279
           3523.4       0.5267432
           3523.8       0.4942867
           3524.2       0.4648197
           3524.6       0.4652633
            3525.       0.4806487
           3525.4        0.495228
           3525.8       0.4863251
           3526.2        0.422796
           3526.6       0.4244109
            3527.       0.4789018
           3527.4       0.5328194
           3527.8       0.5654347
           3528.2       0.5912005
           3528.6       0.6059349
            3529.       0.6031396
           3529.4       0.5917112
           3529.8       0.5848054
           3530.2       0.5865605
           3530.6       0.5951568
            3531.       0.6023051
           3531.4       0.5973486
           3531.8       0.5829847
           3532.2       0.5591622
           3532.6        0.554636
            3533.       0.5539958
           3533.4        0.570762
           3533.8       0.6021391
           3534.2       0.6178879
           3534.6       0.6246054
            3535.       0.6130772
           3535.4       0.5930167
           3535.8       0.5905195
           3536.2       0.5950418
           3536.6       0.6024467
            3537.       0.6020614
           3537.4       0.5952215
           3537.8       0.5877078
           3538.2       0.6004688
           3538.6        0.631217
            3539.       0.6565827
           3539.4       0.6618475
           3539.8       0.6522833
           3540.2       0.6307607
           3540.6       0.6056619
            3541.       0.5874059
           3541.4        0.583983
           3541.8       0.5986685
           3542.2       0.6055505
           3542.6       0.6033102
            3543.       0.6259012
           3543.4       0.6379879
           3543.8       0.6458175
           3544.2       0.6570314
           3544.6       0.6467427
            3545.       0.6211113
           3545.4       0.6172353
           3545.8       0.6246375
           3546.2       0.6410447
           3546.6        0.660605
            3547.       0.6456594
           3547.4       0.6237823
           3547.8       0.6070024
           3548.2          0.6029
           3548.6       0.6146225
            3549.       0.6341652
           3549.4       0.6468297
           3549.8       0.6519576
